ko:K00130	bsus:Q433_16975
ko:K21900	bsus:Q433_20740
ko:K02277	bsus:Q433_08550
ko:K06292	bsus:Q433_19635
ko:K21613	bsus:Q433_15890
ko:K06419	bsus:Q433_05515
ko:K02032	bsus:Q433_06420
ko:K19551	bsus:Q433_19135
ko:K22044	bsus:Q433_08140
ko:K19578	bsus:Q433_13130
ko:K05592	bsus:Q433_21575
ko:K14230	bsus:Q433_03380
ko:K14230	bsus:Q433_16855
ko:K14230	bsus:Q433_04920
ko:K19689	bsus:Q433_08270
ko:K03297	bsus:Q433_18420
ko:K11741	bsus:Q433_18890
ko:K18924	bsus:Q433_18885
ko:K19417	bsus:Q433_18830
ko:K19563	bsus:Q433_16395
ko:K18926	bsus:Q433_01630
ko:K18939	bsus:Q433_01635
ko:K07155	bsus:Q433_22030
ko:K18939	bsus:Q433_22035
ko:K01732	bsus:Q433_11025
ko:K19427	bsus:Q433_18780
ko:K03296	bsus:Q433_03800
ko:K13613	bsus:Q433_09780
ko:K00571	bsus:Q433_16000
ko:K01977	bsus:Q433_00985
ko:K01977	bsus:Q433_00045
ko:K07029	bsus:Q433_03805
ko:K07315	bsus:Q433_18695
ko:K21064	bsus:Q433_06295
ko:K01990	bsus:Q433_01565
ko:K11638	bsus:Q433_04280
ko:K01212	bsus:Q433_18870
ko:K19575	bsus:Q433_13135
ko:K01990	bsus:Q433_04655
ko:K01990	bsus:Q433_05170
ko:K18924	bsus:Q433_07475
ko:K08221	bsus:Q433_04165
ko:K03892	bsus:Q433_03015
ko:K05799	bsus:Q433_01520
ko:K22579	bsus:Q433_19270
ko:K21471	bsus:Q433_19055
ko:K21469	bsus:Q433_01060
ko:K21472	bsus:Q433_17695
ko:K21466	bsus:Q433_08020
ko:K15654	bsus:Q433_02085
ko:K19242	bsus:Q433_21425
ko:K11691	bsus:Q433_02625
ko:K19546	bsus:Q433_20785
ko:K19449	bsus:Q433_13460
ko:K19429	bsus:Q433_18765
ko:K19430	bsus:Q433_18760
ko:K01101	bsus:Q433_17670
ko:K19420	bsus:Q433_18825
ko:K07149	bsus:Q433_22465
ko:K01487	bsus:Q433_07525
ko:K18929	bsus:Q433_18655
ko:K18928	bsus:Q433_18660
ko:K01977	bsus:Q433_00160
ko:K01977	bsus:Q433_00565
ko:K01977	bsus:Q433_04885
ko:K01977	bsus:Q433_00505
ko:K01977	bsus:Q433_03365
ko:K01977	bsus:Q433_16930
ko:K18925	bsus:Q433_07480
ko:K18907	bsus:Q433_03040
ko:K01980	bsus:Q433_00510
ko:K01980	bsus:Q433_03370
ko:K01980	bsus:Q433_04890
ko:K01980	bsus:Q433_00060
ko:K01980	bsus:Q433_00570
ko:K01980	bsus:Q433_16925
ko:K01980	bsus:Q433_00990
ko:K06147	bsus:Q433_04620
ko:K06147	bsus:Q433_04625
ko:K09692	bsus:Q433_19550
ko:K11814	bsus:Q433_09840
ko:K11815	bsus:Q433_09835
ko:K01978	bsus:Q433_22640
ko:K00794	bsus:Q433_12675
ko:K14652	bsus:Q433_12680
ko:K00793	bsus:Q433_12685
ko:K11752	bsus:Q433_12690
ko:K03100	bsus:Q433_12710
ko:K07069	bsus:Q433_12725
ko:K03768	bsus:Q433_12745
ko:K01586	bsus:Q433_12760
ko:K06408	bsus:Q433_12765
ko:K06407	bsus:Q433_12770
ko:K06407	bsus:Q433_12775
ko:K06406	bsus:Q433_12780
ko:K06405	bsus:Q433_12785
ko:K06404	bsus:Q433_12790
ko:K06403	bsus:Q433_12795
ko:K03091	bsus:Q433_12800
ko:K06379	bsus:Q433_12805
ko:K07258	bsus:Q433_12815
ko:K03783	bsus:Q433_12825
ko:K01839	bsus:Q433_12830
ko:K04763	bsus:Q433_12835
ko:K03711	bsus:Q433_12850
ko:K06384	bsus:Q433_12855
ko:K00027	bsus:Q433_12865
ko:K03315	bsus:Q433_12870
ko:K01744	bsus:Q433_12875
ko:K01424	bsus:Q433_12880
ko:K01515	bsus:Q433_12895
ko:K06889	bsus:Q433_12920
ko:K03644	bsus:Q433_17690
ko:K07090	bsus:Q433_17715
ko:K01466	bsus:Q433_17730
ko:K09684	bsus:Q433_17735
ko:K16169	bsus:Q433_17745
ko:K07127	bsus:Q433_17755
ko:K07141	bsus:Q433_17785
ko:K02083	bsus:Q433_17800
ko:K10112	bsus:Q433_17815
ko:K10711	bsus:Q433_17820
ko:K10710	bsus:Q433_17825
ko:K10119	bsus:Q433_17830
ko:K10118	bsus:Q433_17835
ko:K10117	bsus:Q433_17840
ko:K10708	bsus:Q433_17845
