ko:K07046	bpk:BBK_3654
ko:K18928	bpk:BBK_5533
ko:K18094	bpk:BBK_3294
ko:K00477	bpk:BBK_1255
ko:K18333	bpk:BBK_3651
ko:K07005	bpk:BBK_3760
ko:K14742	bpk:BBK_2779
ko:K12979	bpk:BBK_4031
ko:K01652	bpk:BBK_3536
ko:K03297	bpk:BBK_3355
ko:K01178	bpk:BBK_5336
ko:K16238	bpk:BBK_1490
ko:K18129	bpk:BBK_3295
ko:K18101	bpk:BBK_5743
ko:K07045	bpk:BBK_4792
ko:K18100	bpk:BBK_5742
ko:K11741	bpk:BBK_357
ko:K15634	bpk:BBK_2022
ko:K05799	bpk:BBK_1975
ko:K18336	bpk:BBK_3652
ko:K18139	bpk:BBK_3292
ko:K09691	bpk:BBK_2253
ko:K09691	bpk:BBK_2256
ko:K08642	bpk:BBK_3910
ko:K09472	bpk:BBK_5679
ko:K01458	bpk:BBK_5490
ko:K05375	bpk:BBK_5840
ko:K06893	bpk:BBK_1380
ko:K00529	bpk:BBK_3532
ko:K21449	bpk:BBK_5224
ko:K18288	bpk:BBK_4296
ko:K16320	bpk:BBK_4625
ko:K18249	bpk:BBK_4623
ko:K18816	bpk:BBK_5462
ko:K03458	bpk:BBK_690
ko:K02483	bpk:BBK_3862
ko:K02226	bpk:BBK_536
ko:K11209	bpk:BBK_2018
ko:K11209	bpk:BBK_3235
ko:K01985	bpk:BBK_281
ko:K01985	bpk:BBK_1638
ko:K01985	bpk:BBK_1879
ko:K01985	bpk:BBK_5568
ko:K14218	bpk:BBK_1596
ko:K14233	bpk:BBK_2720
ko:K14233	bpk:BBK_5598
ko:K14237	bpk:BBK_2899
ko:K14237	bpk:BBK_4767
ko:K00102	bpk:BBK_2087
ko:K01659	bpk:BBK_5401
ko:K02027	bpk:BBK_3710
ko:K00108	bpk:BBK_3961
ko:K00537	bpk:BBK_5135
ko:K17836	bpk:BBK_3489
ko:K13543	bpk:BBK_501
ko:K14236	bpk:BBK_1641
ko:K03566	bpk:BBK_1052
ko:K05540	bpk:BBK_2030
ko:K03566	bpk:BBK_1184
ko:K07684	bpk:BBK_2643
ko:K03566	bpk:BBK_3488
ko:K03767	bpk:BBK_2713
ko:K06518	bpk:BBK_1409
ko:K02027	bpk:BBK_5878
ko:K02027	bpk:BBK_4846
ko:K01658	bpk:BBK_1861
ko:K08194	bpk:BBK_5554
ko:K14219	bpk:BBK_1510
ko:K14219	bpk:BBK_2376
ko:K14230	bpk:BBK_2651
ko:K14229	bpk:BBK_2165
ko:K14225	bpk:BBK_2535
ko:K14234	bpk:BBK_2396
ko:K14232	bpk:BBK_1914
ko:K14237	bpk:BBK_3442
ko:K14218	bpk:BBK_2762
ko:K19209	bpk:BBK_4740
ko:K15650	bpk:BBK_5927
ko:K02768	bpk:BBK_964
ko:K08483	bpk:BBK_964
ko:K11183	bpk:BBK_964
ko:K00146	bpk:BBK_3570
ko:K01497	bpk:BBK_5989
ko:K01497	bpk:BBK_3554
ko:K14219	bpk:BBK_133
ko:K14219	bpk:BBK_454
ko:K14219	bpk:BBK_2377
ko:K01980	bpk:BBK_282
ko:K01980	bpk:BBK_1878
ko:K01980	bpk:BBK_1637
ko:K01980	bpk:BBK_5567
ko:K14218	bpk:BBK_1635
ko:K14218	bpk:BBK_284
ko:K14218	bpk:BBK_1876
ko:K14218	bpk:BBK_5565
ko:K14227	bpk:BBK_1634
ko:K14227	bpk:BBK_285
ko:K14227	bpk:BBK_5564
ko:K14227	bpk:BBK_1875
ko:K01977	bpk:BBK_286
ko:K01977	bpk:BBK_1874
ko:K01977	bpk:BBK_5563
ko:K01977	bpk:BBK_1633
ko:K14228	bpk:BBK_323
ko:K14228	bpk:BBK_3662
ko:K14228	bpk:BBK_563
ko:K14230	bpk:BBK_735
ko:K14230	bpk:BBK_3357
ko:K14223	bpk:BBK_938
ko:K14231	bpk:BBK_1295
ko:K14229	bpk:BBK_1311
ko:K14225	bpk:BBK_1643
ko:K14225	bpk:BBK_2536
ko:K14225	bpk:BBK_2303
ko:K14234	bpk:BBK_1644
ko:K14234	bpk:BBK_1757
ko:K14235	bpk:BBK_1646
ko:K14233	bpk:BBK_2353
ko:K14233	bpk:BBK_2368
ko:K14220	bpk:BBK_2487
ko:K14220	bpk:BBK_2488
ko:K14220	bpk:BBK_2489
ko:K14222	bpk:BBK_2537
ko:K14222	bpk:BBK_6144
ko:K14237	bpk:BBK_2626
ko:K14224	bpk:BBK_2763
ko:K14224	bpk:BBK_2765
ko:K14221	bpk:BBK_2764
ko:K14221	bpk:BBK_2766
ko:K14221	bpk:BBK_2904
ko:K14228	bpk:BBK_2879
ko:K14228	bpk:BBK_3370
ko:K14228	bpk:BBK_3371
ko:K14226	bpk:BBK_3346
ko:K14230	bpk:BBK_4480
ko:K01834	bpk:BBK_1020
ko:K03797	bpk:BBK_1021
ko:K08483	bpk:BBK_1023
ko:K11189	bpk:BBK_1024
ko:K02821	bpk:BBK_1025
ko:K01920	bpk:BBK_1026
ko:K01919	bpk:BBK_1027
ko:K03320	bpk:BBK_1028
ko:K04752	bpk:BBK_1029
ko:K09806	bpk:BBK_1030
ko:K07391	bpk:BBK_1031
