ko:K00086	kpx:PMK1_01008
ko:K16238	kpx:PMK1_02634
ko:K02345	kpx:PMK1_a00149
ko:K18922	kpx:PMK1_00576
ko:K18923	kpx:PMK1_ndm00190
ko:K02532	kpx:PMK1_03201
ko:K06120	kpx:PMK1_01006
ko:K19123	kpx:PMK1_04448
ko:K07012	kpx:PMK1_04449
ko:K07484	kpx:PMK1_04861
ko:K07484	kpx:PMK1_ndm00313
ko:K01985	kpx:PMK1_04943
ko:K01985	kpx:PMK1_05018
ko:K01985	kpx:PMK1_04988
ko:K01985	kpx:PMK1_04963
ko:K01985	kpx:PMK1_05063
ko:K01985	kpx:PMK1_05048
ko:K01985	kpx:PMK1_05003
ko:K01985	kpx:PMK1_05033
ko:K01985	kpx:PMK1_04958
ko:K09690	kpx:PMK1_04932
ko:K21908	kpx:PMK1_01000
ko:K00638	kpx:PMK1_ndm00056
ko:K19162	kpx:PMK1_02772
ko:K02345	kpx:PMK1_04721
ko:K06121	kpx:PMK1_01005
ko:K08151	kpx:PMK1_a00029
ko:K03585	kpx:PMK1_01544
ko:K07481	kpx:PMK1_00763
ko:K18138	kpx:PMK1_01545
ko:K18139	kpx:PMK1_01546
ko:K03111	kpx:PMK1_a00156
ko:K03553	kpx:PMK1_00507
ko:K04772	kpx:PMK1_01141
ko:K00042	kpx:PMK1_01057
ko:K19611	kpx:PMK1_03623
ko:K03293	kpx:PMK1_03816
ko:K00526	kpx:PMK1_00141
ko:K03111	kpx:PMK1_01920
ko:K07481	kpx:PMK1_ndm00120
ko:K01990	kpx:PMK1_01491
ko:K01990	kpx:PMK1_03154
ko:K19227	kpx:PMK1_03676
ko:K19230	kpx:PMK1_03673
ko:K18590	kpx:PMK1_ndm00220
ko:K08348	kpx:PMK1_04208
ko:K19611	kpx:PMK1_01922
ko:K19789	kpx:PMK1_00105
ko:K19745	kpx:PMK1_04806
ko:K00108	kpx:PMK1_02911
ko:K07484	kpx:PMK1_ndm00265
ko:K03446	kpx:PMK1_04117
ko:K04103	kpx:PMK1_00237
ko:K00001	kpx:PMK1_01696
ko:K21430	kpx:PMK1_03203
