ko:K19416	amaa:amad1_11020
ko:K19092	amaa:amad1_16180
ko:K18923	amaa:amad1_02805
ko:K12066	amaa:amad1_05920
ko:K02909	amaa:amad1_18275
ko:K07172	amaa:amad1_16745
ko:K03297	amaa:amad1_15595
ko:K01563	amaa:amad1_09175
ko:K11741	amaa:amad1_00870
ko:K02258	amaa:amad1_19925
ko:K02274	amaa:amad1_19930
ko:K01259	amaa:amad1_18315
ko:K05595	amaa:amad1_18370
ko:K00970	amaa:amad1_18400
ko:K01580	amaa:amad1_18420
ko:K04085	amaa:amad1_20105
ko:K07114	amaa:amad1_20235
ko:K07114	amaa:amad1_20240
ko:K00845	amaa:amad1_20315
ko:K07386	amaa:amad1_18595
ko:K08234	amaa:amad1_18625
ko:K03442	amaa:amad1_18630
ko:K05341	amaa:amad1_18640
ko:K00568	amaa:amad1_18735
ko:K09966	amaa:amad1_18740
ko:K12942	amaa:amad1_18765
ko:K09898	amaa:amad1_19645
ko:K07019	amaa:amad1_19650
ko:K00854	amaa:amad1_19775
ko:K01181	amaa:amad1_19810
ko:K01209	amaa:amad1_19815
ko:K00799	amaa:amad1_20410
ko:K02116	amaa:amad1_20460
ko:K03409	amaa:amad1_18845
ko:K02004	amaa:amad1_18930
ko:K03776	amaa:amad1_18935
ko:K05350	amaa:amad1_18990
ko:K01989	amaa:amad1_19130
ko:K00567	amaa:amad1_19170
ko:K01585	amaa:amad1_19185
ko:K03769	amaa:amad1_19275
ko:K02342	amaa:amad1_19400
ko:K01426	amaa:amad1_19425
ko:K02454	amaa:amad1_19545
ko:K02463	amaa:amad1_19590
ko:K00135	amaa:amad1_19600
ko:K01082	amaa:amad1_19620
ko:K00808	amaa:amad1_21553
ko:K21430	amaa:amad1_02635
ko:K03111	amaa:amad1_01135
ko:K19597	amaa:amad1_05940
ko:K00254	amaa:amad1_10750
ko:K19736	amaa:amad1_07075
ko:K18828	amaa:amad1_19315
ko:K07340	amaa:amad1_14655
ko:K00253	amaa:amad1_08480
ko:K01271	amaa:amad1_02950
ko:K07213	amaa:amad1_06040
