ko:K18929	ccoi:YSU_00370
ko:K14228	ccoi:YSU_08440
ko:K14226	ccoi:YSU_08455
ko:K14232	ccoi:YSU_08460
ko:K01980	ccoi:YSU_06720
ko:K01977	ccoi:YSU_06735
ko:K18928	ccoi:YSU_00375
ko:K18139	ccoi:YSU_07060
ko:K18682	ccoi:YSU_02955
ko:K02031	ccoi:YSU_00985
ko:K18291	ccoi:YSU_06660
ko:K17248	ccoi:YSU_03370
ko:K11014	ccoi:YSU_07450
ko:K02482	ccoi:YSU_04535
ko:K01174	ccoi:YSU_04160
ko:K04753	ccoi:YSU_01325
ko:K06148	ccoi:YSU_03355
ko:K07216	ccoi:YSU_02870
ko:K01996	ccoi:YSU_03980
ko:K03781	ccoi:YSU_01960
ko:K03839	ccoi:YSU_01975
ko:K07017	ccoi:YSU_01980
ko:K01042	ccoi:YSU_01990
ko:K03833	ccoi:YSU_01995
ko:K03981	ccoi:YSU_02000
ko:K02428	ccoi:YSU_02020
ko:K07003	ccoi:YSU_02025
ko:K07323	ccoi:YSU_02030
ko:K04754	ccoi:YSU_02035
ko:K00769	ccoi:YSU_02040
ko:K06901	ccoi:YSU_02045
ko:K18285	ccoi:YSU_02050
ko:K00990	ccoi:YSU_02055
ko:K00820	ccoi:YSU_02060
ko:K01679	ccoi:YSU_02065
ko:K03551	ccoi:YSU_02075
ko:K03407	ccoi:YSU_02080
ko:K00937	ccoi:YSU_02090
ko:K15876	ccoi:YSU_02095
ko:K03385	ccoi:YSU_02100
ko:K02016	ccoi:YSU_02115
ko:K02013	ccoi:YSU_02120
ko:K02015	ccoi:YSU_02125
ko:K02015	ccoi:YSU_02130
ko:K01058	ccoi:YSU_02135
ko:K03752	ccoi:YSU_02140
ko:K00981	ccoi:YSU_02155
ko:K00099	ccoi:YSU_02160
ko:K01409	ccoi:YSU_02170
ko:K02456	ccoi:YSU_02175
ko:K01873	ccoi:YSU_05185
ko:K02071	ccoi:YSU_05190
ko:K02072	ccoi:YSU_05195
ko:K02073	ccoi:YSU_05200
ko:K02073	ccoi:YSU_05205
ko:K02073	ccoi:YSU_05210
ko:K03186	ccoi:YSU_05220
ko:K00954	ccoi:YSU_05225
ko:K00943	ccoi:YSU_05230
ko:K01892	ccoi:YSU_05235
ko:K01585	ccoi:YSU_05240
ko:K00640	ccoi:YSU_05245
ko:K00812	ccoi:YSU_05250
ko:K04043	ccoi:YSU_05270
ko:K03687	ccoi:YSU_05275
ko:K03705	ccoi:YSU_05280
ko:K16089	ccoi:YSU_05285
ko:K03832	ccoi:YSU_05290
ko:K02030	ccoi:YSU_05330
ko:K02053	ccoi:YSU_05345
ko:K02054	ccoi:YSU_05350
ko:K02055	ccoi:YSU_05365
ko:K03284	ccoi:YSU_05370
ko:K03831	ccoi:YSU_05375
ko:K06013	ccoi:YSU_05385
ko:K02493	ccoi:YSU_05390
ko:K02406	ccoi:YSU_05400
ko:K06997	ccoi:YSU_05405
ko:K02337	ccoi:YSU_05410
ko:K01626	ccoi:YSU_05420
ko:K07127	ccoi:YSU_05425
ko:K02884	ccoi:YSU_05430
ko:K00554	ccoi:YSU_05435
ko:K02860	ccoi:YSU_05440
ko:K06960	ccoi:YSU_05445
ko:K02959	ccoi:YSU_05450
ko:K03106	ccoi:YSU_05455
ko:K08738	ccoi:YSU_02850
ko:K02484	ccoi:YSU_02880
ko:K04077	ccoi:YSU_02895
ko:K04078	ccoi:YSU_02900
ko:K00793	ccoi:YSU_02910
