ko:K16235	bbrn:B2258_1059
ko:K18205	bbrn:B2258_0230
ko:K06147	bbrn:B2258_1849
ko:K18926	bbrn:B2258_1462
ko:K18955	bbrn:B2258_0705
ko:K18955	bbrn:B2258_0708
ko:K07012	bbrn:B2258_1390
ko:K01802	bbrn:B2258_0701
ko:K02483	bbrn:B2258_1337
ko:K00991	bbrn:B2258_1721
ko:K07005	bbrn:B2258_0069
ko:K03701	bbrn:B2258_0583
ko:K07457	bbrn:B2258_0585
ko:K01183	bbrn:B2258_0593
ko:K02069	bbrn:B2258_0595
ko:K02068	bbrn:B2258_0596
ko:K02356	bbrn:B2258_0597
ko:K03625	bbrn:B2258_0598
ko:K01956	bbrn:B2258_0599
ko:K01955	bbrn:B2258_0600
ko:K01591	bbrn:B2258_0601
ko:K00942	bbrn:B2258_0602
ko:K02342	bbrn:B2258_0603
ko:K06999	bbrn:B2258_0606
ko:K01760	bbrn:B2258_0607
ko:K07133	bbrn:B2258_0611
ko:K01776	bbrn:B2258_0613
ko:K01778	bbrn:B2258_0614
ko:K07053	bbrn:B2258_0616
ko:K03657	bbrn:B2258_0619
ko:K07177	bbrn:B2258_0621
ko:K00099	bbrn:B2258_0624
ko:K03584	bbrn:B2258_0627
ko:K00806	bbrn:B2258_0628
ko:K16784	bbrn:B2258_0632
ko:K01972	bbrn:B2258_0636
ko:K03593	bbrn:B2258_0637
ko:K13288	bbrn:B2258_1450
ko:K00088	bbrn:B2258_1451
ko:K02851	bbrn:B2258_1452
ko:K01996	bbrn:B2258_1454
ko:K01995	bbrn:B2258_1455
ko:K01998	bbrn:B2258_1456
ko:K01997	bbrn:B2258_1457
ko:K01999	bbrn:B2258_1458
ko:K02493	bbrn:B2258_1459
ko:K02835	bbrn:B2258_1460
ko:K02909	bbrn:B2258_1461
ko:K01462	bbrn:B2258_1464
ko:K02313	bbrn:B2258_0001
ko:K02338	bbrn:B2258_0002
ko:K03629	bbrn:B2258_0003
ko:K02470	bbrn:B2258_0005
ko:K02469	bbrn:B2258_0006
ko:K02529	bbrn:B2258_0008
ko:K01190	bbrn:B2258_0010
ko:K00262	bbrn:B2258_0013
ko:K07043	bbrn:B2258_0016
