ko:K12978	fpt:BZ13_1500
ko:K14219	fpt:BZ13_929
ko:K14235	fpt:BZ13_991
ko:K14234	fpt:BZ13_993
ko:K14227	fpt:BZ13_1153
ko:K14227	fpt:BZ13_1683
ko:K14227	fpt:BZ13_617
ko:K03602	fpt:BZ13_33
ko:K19416	fpt:BZ13_434
ko:K19561	fpt:BZ13_192
ko:K01990	fpt:BZ13_1884
ko:K15654	fpt:BZ13_1878
ko:K00709	fpt:BZ13_510
ko:K02887	fpt:BZ13_4
ko:K01620	fpt:BZ13_7
ko:K06911	fpt:BZ13_8
ko:K01807	fpt:BZ13_9
ko:K03495	fpt:BZ13_12
ko:K01141	fpt:BZ13_17
ko:K03702	fpt:BZ13_18
ko:K01776	fpt:BZ13_20
ko:K03601	fpt:BZ13_31
ko:K00765	fpt:BZ13_37
ko:K00013	fpt:BZ13_38
ko:K00817	fpt:BZ13_39
ko:K02501	fpt:BZ13_42
ko:K01814	fpt:BZ13_43
ko:K02500	fpt:BZ13_44
ko:K11755	fpt:BZ13_45
ko:K01166	fpt:BZ13_46
ko:K01590	fpt:BZ13_47
ko:K14058	fpt:BZ13_48
ko:K03664	fpt:BZ13_49
ko:K09801	fpt:BZ13_51
ko:K04754	fpt:BZ13_54
ko:K00681	fpt:BZ13_55
ko:K06207	fpt:BZ13_57
ko:K06956	fpt:BZ13_63
ko:K03629	fpt:BZ13_131
ko:K03424	fpt:BZ13_132
ko:K01879	fpt:BZ13_133
ko:K09966	fpt:BZ13_135
ko:K03684	fpt:BZ13_136
ko:K03703	fpt:BZ13_137
ko:K09791	fpt:BZ13_141
ko:K00979	fpt:BZ13_142
ko:K00849	fpt:BZ13_146
ko:K00965	fpt:BZ13_147
ko:K08137	fpt:BZ13_148
ko:K03769	fpt:BZ13_150
ko:K05592	fpt:BZ13_151
ko:K00942	fpt:BZ13_152
ko:K03517	fpt:BZ13_153
ko:K00767	fpt:BZ13_154
ko:K00278	fpt:BZ13_155
ko:K00945	fpt:BZ13_157
ko:K00831	fpt:BZ13_159
ko:K00228	fpt:BZ13_160
ko:K07146	fpt:BZ13_161
ko:K03554	fpt:BZ13_163
ko:K03297	fpt:BZ13_168
ko:K03325	fpt:BZ13_169
ko:K00604	fpt:BZ13_172
ko:K01920	fpt:BZ13_173
ko:K01845	fpt:BZ13_174
ko:K13771	fpt:BZ13_176
ko:K05916	fpt:BZ13_177
ko:K01207	fpt:BZ13_178
ko:K01574	fpt:BZ13_182
ko:K22468	fpt:BZ13_802
ko:K07447	fpt:BZ13_238
ko:K01869	fpt:BZ13_239
ko:K03643	fpt:BZ13_240
ko:K16053	fpt:BZ13_242
ko:K01494	fpt:BZ13_241
ko:K03593	fpt:BZ13_243
ko:K06131	fpt:BZ13_245
ko:K06131	fpt:BZ13_246
ko:K09823	fpt:BZ13_250
ko:K01890	fpt:BZ13_254
ko:K01889	fpt:BZ13_255
ko:K03305	fpt:BZ13_257
ko:K16210	fpt:BZ13_258
ko:K01187	fpt:BZ13_259
ko:K00040	fpt:BZ13_260
ko:K01686	fpt:BZ13_261
ko:K00874	fpt:BZ13_262
ko:K01625	fpt:BZ13_263
ko:K01812	fpt:BZ13_264
ko:K00469	fpt:BZ13_266
ko:K07727	fpt:BZ13_271
ko:K03551	fpt:BZ13_273
ko:K01662	fpt:BZ13_276
ko:K01951	fpt:BZ13_277
ko:K06173	fpt:BZ13_278
ko:K06861	fpt:BZ13_281
ko:K11719	fpt:BZ13_283
ko:K03270	fpt:BZ13_284
ko:K01507	fpt:BZ13_285
ko:K07258	fpt:BZ13_286
ko:K09158	fpt:BZ13_287
ko:K03801	fpt:BZ13_288
ko:K03086	fpt:BZ13_290
ko:K09117	fpt:BZ13_292
ko:K02970	fpt:BZ13_293
ko:K07259	fpt:BZ13_294
ko:K07107	fpt:BZ13_296
ko:K14058	fpt:BZ13_297
ko:K03773	fpt:BZ13_298
ko:K02523	fpt:BZ13_299
ko:K03789	fpt:BZ13_302
ko:K06178	fpt:BZ13_304
ko:K02656	fpt:BZ13_305
ko:K06941	fpt:BZ13_306
ko:K02939	fpt:BZ13_308
ko:K02963	fpt:BZ13_309
ko:K02990	fpt:BZ13_310
ko:K00243	fpt:BZ13_313
ko:K03656	fpt:BZ13_314
ko:K06980	fpt:BZ13_315
ko:K00616	fpt:BZ13_317
ko:K01872	fpt:BZ13_321
ko:K03657	fpt:BZ13_323
ko:K09710	fpt:BZ13_325
ko:K18979	fpt:BZ13_326
ko:K12267	fpt:BZ13_330
ko:K02168	fpt:BZ13_331
ko:K03437	fpt:BZ13_333
ko:K07107	fpt:BZ13_335
ko:K00432	fpt:BZ13_346
ko:K03781	fpt:BZ13_348
ko:K04761	fpt:BZ13_351
ko:K00128	fpt:BZ13_353
ko:K16074	fpt:BZ13_355
ko:K07260	fpt:BZ13_357
ko:K02342	fpt:BZ13_358
ko:K06193	fpt:BZ13_361
ko:K03386	fpt:BZ13_363
ko:K06134	fpt:BZ13_368
ko:K00024	fpt:BZ13_371
ko:K03674	fpt:BZ13_373
ko:K06158	fpt:BZ13_375
ko:K02346	fpt:BZ13_379
ko:K02970	fpt:BZ13_380
ko:K03704	fpt:BZ13_382
ko:K04762	fpt:BZ13_390
ko:K18930	fpt:BZ13_391
ko:K18930	fpt:BZ13_392
ko:K01866	fpt:BZ13_395
ko:K03800	fpt:BZ13_396
ko:K01419	fpt:BZ13_398
ko:K03667	fpt:BZ13_399
ko:K03305	fpt:BZ13_400
ko:K10716	fpt:BZ13_401
ko:K00322	fpt:BZ13_402
ko:K02654	fpt:BZ13_403
ko:K17836	fpt:BZ13_405
ko:K01056	fpt:BZ13_406
ko:K06942	fpt:BZ13_407
ko:K02897	fpt:BZ13_410
ko:K00948	fpt:BZ13_411
ko:K06987	fpt:BZ13_412
ko:K03455	fpt:BZ13_415
ko:K09760	fpt:BZ13_420
ko:K03550	fpt:BZ13_421
ko:K01159	fpt:BZ13_423
ko:K03644	fpt:BZ13_426
ko:K02217	fpt:BZ13_427
ko:K03305	fpt:BZ13_428
ko:K03675	fpt:BZ13_429
ko:K03616	fpt:BZ13_430
ko:K10773	fpt:BZ13_431
ko:K03723	fpt:BZ13_435
ko:K00053	fpt:BZ13_436
ko:K01653	fpt:BZ13_437
ko:K01652	fpt:BZ13_438
ko:K01687	fpt:BZ13_439
ko:K03978	fpt:BZ13_442
ko:K01104	fpt:BZ13_443
ko:K04087	fpt:BZ13_444
ko:K04088	fpt:BZ13_445
ko:K03665	fpt:BZ13_447
ko:K03666	fpt:BZ13_448
ko:K00791	fpt:BZ13_449
ko:K03770	fpt:BZ13_450
ko:K03530	fpt:BZ13_451
ko:K01338	fpt:BZ13_452
ko:K03544	fpt:BZ13_453
ko:K01358	fpt:BZ13_454
ko:K03545	fpt:BZ13_455
ko:K03427	fpt:BZ13_456
ko:K01154	fpt:BZ13_459
ko:K01153	fpt:BZ13_461
ko:K01673	fpt:BZ13_462
ko:K01424	fpt:BZ13_463
ko:K03469	fpt:BZ13_464
ko:K00800	fpt:BZ13_466
ko:K03089	fpt:BZ13_467
ko:K03074	fpt:BZ13_469
ko:K03072	fpt:BZ13_470
ko:K03210	fpt:BZ13_471
ko:K00773	fpt:BZ13_478
ko:K08591	fpt:BZ13_479
ko:K02071	fpt:BZ13_480
ko:K01770	fpt:BZ13_484
