ko:K21147	lph:LPV_1705
ko:K18827	lph:LPV_3329
ko:K11741	lph:LPV_0659
ko:K09930	lph:LPV_0788
ko:K07001	lph:LPV_0018
ko:K03455	lph:LPV_2173
ko:K03111	lph:LPV_0449
ko:K02487	lph:LPV_1150
ko:K02487	lph:LPV_1820
ko:K08604	lph:LPV_0023
ko:K01990	lph:LPV_0780
ko:K01990	lph:LPV_0802
ko:K00537	lph:LPV_0331
ko:K06910	lph:LPV_2463
ko:K00059	lph:LPV_2494
ko:K00383	lph:LPV_0686
ko:K01488	lph:LPV_0687
ko:K09806	lph:LPV_0699
ko:K01934	lph:LPV_0701
ko:K04488	lph:LPV_0715
ko:K00652	lph:LPV_1599
ko:K07258	lph:LPV_1641
ko:K00625	lph:LPV_2534
ko:K06179	lph:LPV_2562
ko:K02238	lph:LPV_0739
ko:K02674	lph:LPV_0741
ko:K02653	lph:LPV_1655
ko:K00970	lph:LPV_1672
ko:K03153	lph:LPV_1701
ko:K00219	lph:LPV_2620
ko:K03386	lph:LPV_2623
ko:K01426	lph:LPV_2628
ko:K01409	lph:LPV_2631
ko:K02030	lph:LPV_0798
ko:K01992	lph:LPV_0803
ko:K00639	lph:LPV_0824
ko:K01479	lph:LPV_0832
ko:K03560	lph:LPV_1709
ko:K00135	lph:LPV_1720
ko:K01782	lph:LPV_1734
ko:K00626	lph:LPV_1735
ko:K02116	lph:LPV_1755
ko:K07027	lph:LPV_2679
ko:K07665	lph:LPV_0839
ko:K15727	lph:LPV_1781
ko:K15725	lph:LPV_1782
ko:K15725	lph:LPV_1793
ko:K00758	lph:LPV_1807
ko:K01537	lph:LPV_1812
ko:K03574	lph:LPV_2720
ko:K07393	lph:LPV_2764
ko:K04750	lph:LPV_2766
ko:K01585	lph:LPV_0008
ko:K07019	lph:LPV_1878
ko:K02348	lph:LPV_2779
ko:K04655	lph:LPV_2796
ko:K04652	lph:LPV_2800
ko:K02428	lph:LPV_2809
ko:K13953	lph:LPV_2819
ko:K00808	lph:LPV_2823
ko:K00949	lph:LPV_2826
ko:K03294	lph:LPV_0031
ko:K03294	lph:LPV_0055
ko:K02067	lph:LPV_0970
ko:K04774	lph:LPV_0984
ko:K02193	lph:LPV_0985
ko:K02200	lph:LPV_0994
ko:K01715	lph:LPV_1002
ko:K00010	lph:LPV_1908
ko:K01482	lph:LPV_1913
ko:K01176	lph:LPV_1930
ko:K01176	lph:LPV_1932
ko:K15383	lph:LPV_2827
ko:K04518	lph:LPV_2866
ko:K05815	lph:LPV_1997
ko:K05814	lph:LPV_1998
ko:K06889	lph:LPV_2941
ko:K07386	lph:LPV_2944
ko:K01262	lph:LPV_0092
ko:K07304	lph:LPV_0120
ko:K01439	lph:LPV_1020
ko:K00674	lph:LPV_1021
ko:K01760	lph:LPV_1023
ko:K00486	lph:LPV_1026
ko:K02414	lph:LPV_1952
ko:K00568	lph:LPV_1964
ko:K00088	lph:LPV_1990
ko:K06445	lph:LPV_1993
ko:K05816	lph:LPV_1996
ko:K02050	lph:LPV_0137
ko:K02049	lph:LPV_0138
ko:K02665	lph:LPV_1067
ko:K06149	lph:LPV_1072
ko:K02033	lph:LPV_1098
ko:K01510	lph:LPV_1110
ko:K02433	lph:LPV_2004
ko:K13628	lph:LPV_2012
ko:K04488	lph:LPV_2013
ko:K01092	lph:LPV_2016
ko:K10943	lph:LPV_2031
ko:K10942	lph:LPV_2032
ko:K06889	lph:LPV_0246
ko:K07397	lph:LPV_0246
ko:K01537	lph:LPV_1158
ko:K00758	lph:LPV_1163
ko:K15725	lph:LPV_1169
ko:K03743	lph:LPV_2074
ko:K03593	lph:LPV_2084
ko:K11085	lph:LPV_2091
ko:K00626	lph:LPV_2097
ko:K01907	lph:LPV_2103
ko:K01081	lph:LPV_3021
ko:K02056	lph:LPV_0267
ko:K07030	lph:LPV_0284
ko:K15725	lph:LPV_1191
ko:K15727	lph:LPV_1192
ko:K07305	lph:LPV_1245
ko:K01259	lph:LPV_2117
ko:K08305	lph:LPV_2146
ko:K01759	lph:LPV_2155
ko:K03768	lph:LPV_3076
ko:K01719	lph:LPV_3086
ko:K00974	lph:LPV_3092
ko:K01507	lph:LPV_3115
ko:K03177	lph:LPV_3121
ko:K07250	lph:LPV_0321
ko:K00058	lph:LPV_0325
ko:K06902	lph:LPV_0350
ko:K08481	lph:LPV_1260
ko:K11069	lph:LPV_1290
ko:K11071	lph:LPV_1293
ko:K11072	lph:LPV_1294
ko:K00799	lph:LPV_2182
ko:K01885	lph:LPV_2185
ko:K05524	lph:LPV_2198
ko:K16329	lph:LPV_2203
ko:K02427	lph:LPV_3148
ko:K05994	lph:LPV_3167
ko:K06990	lph:LPV_1323
ko:K07126	lph:LPV_1327
ko:K00569	lph:LPV_3190
ko:K00088	lph:LPV_3198
ko:K01426	lph:LPV_3208
ko:K07114	lph:LPV_3210
ko:K07114	lph:LPV_3212
ko:K07114	lph:LPV_3213
ko:K03793	lph:LPV_3220
ko:K01424	lph:LPV_3231
ko:K00647	lph:LPV_0456
ko:K03711	lph:LPV_0468
ko:K01992	lph:LPV_0485
ko:K01990	lph:LPV_0486
ko:K00567	lph:LPV_0493
ko:K14475	lph:LPV_1392
ko:K00027	lph:LPV_1393
ko:K03087	lph:LPV_1397
ko:K08086	lph:LPV_1413
ko:K01724	lph:LPV_2301
ko:K03616	lph:LPV_3239
ko:K02258	lph:LPV_3254
ko:K02274	lph:LPV_3255
ko:K00276	lph:LPV_3277
ko:K08305	lph:LPV_3289
ko:K02004	lph:LPV_3294
ko:K14998	lph:LPV_0510
ko:K05844	lph:LPV_0515
ko:K00845	lph:LPV_0520
ko:K02454	lph:LPV_1426
ko:K07126	lph:LPV_1469
ko:K00869	lph:LPV_2343
ko:K01597	lph:LPV_2344
ko:K02067	lph:LPV_2349
ko:K01823	lph:LPV_2354
ko:K00054	lph:LPV_2355
ko:K15725	lph:LPV_2384
ko:K01525	lph:LPV_3298
ko:K01679	lph:LPV_3313
ko:K03386	lph:LPV_3352
ko:K11189	lph:LPV_0577
ko:K02030	lph:LPV_0591
ko:K02028	lph:LPV_0593
ko:K01488	lph:LPV_0597
ko:K03469	lph:LPV_1499
ko:K02342	lph:LPV_1500
ko:K00059	lph:LPV_1511
ko:K00939	lph:LPV_1528
ko:K00027	lph:LPV_3358
ko:K02116	lph:LPV_3377
ko:K00241	lph:LPV_0637
ko:K10563	lph:LPV_0663
ko:K08992	lph:LPV_1539
ko:K01619	lph:LPV_1552
ko:K01489	lph:LPV_1554
ko:K07640	lph:LPV_1556
ko:K06910	lph:LPV_1570
ko:K03574	lph:LPV_1585
ko:K02619	lph:LPV_0703
ko:K17713	lph:LPV_1676
ko:K03417	lph:LPV_0059
ko:K06075	lph:LPV_1365
ko:K11070	lph:LPV_1291
ko:K00951	lph:LPV_1578
ko:K01897	lph:LPV_1689
ko:K01897	lph:LPV_1276
ko:K01897	lph:LPV_2492
ko:K14225	lph:LPV_tRNA4
ko:K14225	lph:LPV_tRNA7
ko:K14225	lph:LPV_tRNA23
ko:K14232	lph:LPV_tRNA30
ko:K14232	lph:LPV_tRNA22
ko:K14228	lph:LPV_tRNA40
ko:K14228	lph:LPV_tRNA33
ko:K14228	lph:LPV_tRNA25
ko:K14228	lph:LPV_tRNA18
ko:K14228	lph:LPV_tRNA17
ko:K14233	lph:LPV_tRNA10
ko:K14219	lph:LPV_tRNA11
ko:K14237	lph:LPV_tRNA21
ko:K14226	lph:LPV_tRNA32
ko:K14230	lph:LPV_tRNA19
ko:K08316	lph:LPV_3017
ko:K14220	lph:LPV_tRNA43
ko:K01977	lph:LPV_16S_2
ko:K01977	lph:LPV_16S_1
ko:K01977	lph:LPV_16S_3
ko:K14218	lph:LPV_tRNA1
ko:K14218	lph:LPV_tRNA8
ko:K14218	lph:LPV_tRNA27
ko:K01980	lph:LPV_23S_2
ko:K01980	lph:LPV_23S_1
ko:K01980	lph:LPV_23S_3
ko:K01985	lph:LPV_5S_2
ko:K01985	lph:LPV_5S_1
ko:K01985	lph:LPV_5S_3
ko:K14234	lph:LPV_tRNA2
ko:K14234	lph:LPV_tRNA5
ko:K14234	lph:LPV_tRNA9
ko:K14236	lph:LPV_tRNA3
ko:K14235	lph:LPV_tRNA6
ko:K14232	lph:LPV_tRNA42
ko:K14223	lph:LPV_tRNA41
ko:K14233	lph:LPV_tRNA39
ko:K14233	lph:LPV_tRNA38
ko:K14219	lph:LPV_tRNA37
ko:K14219	lph:LPV_tRNA31
ko:K14219	lph:LPV_tRNA15
ko:K14230	lph:LPV_tRNA36
ko:K14230	lph:LPV_tRNA16
ko:K14221	lph:LPV_tRNA35
ko:K14237	lph:LPV_tRNA34
ko:K14229	lph:LPV_tRNA13
ko:K14229	lph:LPV_tRNA14
ko:K00122	lph:LPV_0376
ko:K00821	lph:LPV_3355
ko:K17686	lph:LPV_1804
ko:K08309	lph:LPV_0784
ko:K01783	lph:LPV_0785
ko:K15977	lph:LPV_0786
ko:K07001	lph:LPV_0790
ko:K03885	lph:LPV_0791
ko:K01574	lph:LPV_0792
ko:K09930	lph:LPV_0796
ko:K00982	lph:LPV_0799
ko:K14441	lph:LPV_0804
ko:K04084	lph:LPV_0806
ko:K04078	lph:LPV_0807
ko:K04077	lph:LPV_0808
ko:K04047	lph:LPV_0809
ko:K02622	lph:LPV_0813
ko:K01881	lph:LPV_0816
ko:K01673	lph:LPV_0819
ko:K14058	lph:LPV_0821
ko:K12340	lph:LPV_0822
ko:K00573	lph:LPV_0823
ko:K00060	lph:LPV_0825
ko:K07112	lph:LPV_0828
ko:K07112	lph:LPV_0829
ko:K06076	lph:LPV_0830
ko:K01468	lph:LPV_0834
ko:K07644	lph:LPV_0838
ko:K03154	lph:LPV_1702
ko:K03149	lph:LPV_1703
ko:K14153	lph:LPV_1704
ko:K03641	lph:LPV_1707
ko:K03562	lph:LPV_1710
ko:K07107	lph:LPV_1711
ko:K03551	lph:LPV_1712
ko:K03088	lph:LPV_1713
ko:K09159	lph:LPV_1715
ko:K06980	lph:LPV_1716
