ko:K18929	hpym:K749_05005
ko:K18928	hpym:K749_05000
ko:K01262	hpym:K749_03575
ko:K00076	hpym:K749_03465
ko:K03711	hpym:K749_03525
ko:K13640	hpym:K749_03515
ko:K07098	hpym:K749_03615
ko:K03455	hpym:K749_03380
ko:K01885	hpym:K749_03330
ko:K02014	hpym:K749_03245
ko:K02433	hpym:K749_03025
ko:K00088	hpym:K749_03020
ko:K07316	hpym:K749_04355
ko:K18682	hpym:K749_02630
ko:K03196	hpym:K749_06850
ko:K01155	hpym:K749_05095
ko:K03559	hpym:K749_00075
ko:K03559	hpym:K749_07075
ko:K09477	hpym:K749_04980
ko:K03559	hpym:K749_06725
ko:K01674	hpym:K749_07845
ko:K02843	hpym:K749_07820
ko:K13797	hpym:K749_07795
ko:K01719	hpym:K749_07665
ko:K01784	hpym:K749_00265
ko:K07126	hpym:K749_00245
ko:K00845	hpym:K749_00220
ko:K07126	hpym:K749_00135
ko:K11085	hpym:K749_03820
ko:K00949	hpym:K749_07335
ko:K01679	hpym:K749_07160
ko:K02028	hpym:K749_07940
ko:K02030	hpym:K749_07935
ko:K03784	hpym:K749_07890
ko:K03317	hpym:K749_08630
ko:K01455	hpym:K749_07590
ko:K04655	hpym:K749_07050
ko:K03279	hpym:K749_06880
ko:K12574	hpym:K749_06815
ko:K14221	hpym:K749_t08152
ko:K14237	hpym:K749_t08150
ko:K14224	hpym:K749_t08148
ko:K02963	hpym:K749_07565
ko:K09794	hpym:K749_07575
ko:K01872	hpym:K749_07580
ko:K06287	hpym:K749_07585
ko:K01956	hpym:K749_07595
ko:K09804	hpym:K749_07600
ko:K15257	hpym:K749_00575
ko:K03531	hpym:K749_00655
ko:K03590	hpym:K749_00660
ko:K03770	hpym:K749_00665
ko:K00833	hpym:K749_00670
ko:K02435	hpym:K749_00675
ko:K15633	hpym:K749_00680
ko:K01772	hpym:K749_00570
ko:K01879	hpym:K749_00685
ko:K15726	hpym:K749_00700
ko:K00057	hpym:K749_00765
ko:K01878	hpym:K749_00770
ko:K07164	hpym:K749_00780
ko:K02527	hpym:K749_00785
ko:K13292	hpym:K749_00795
ko:K00783	hpym:K749_00830
ko:K12086	hpym:K749_01300
ko:K12088	hpym:K749_01310
ko:K12090	hpym:K749_01320
ko:K12091	hpym:K749_01330
ko:K12092	hpym:K749_01335
ko:K12093	hpym:K749_01340
ko:K12094	hpym:K749_01345
ko:K12095	hpym:K749_01350
ko:K12096	hpym:K749_01355
ko:K12097	hpym:K749_01360
ko:K12098	hpym:K749_01365
ko:K12101	hpym:K749_01390
ko:K12102	hpym:K749_01395
ko:K12103	hpym:K749_01400
ko:K12104	hpym:K749_01405
ko:K12105	hpym:K749_01410
ko:K12107	hpym:K749_01420
ko:K12108	hpym:K749_01425
ko:K12109	hpym:K749_01430
ko:K12110	hpym:K749_01435
ko:K03595	hpym:K749_01285
ko:K15842	hpym:K749_01445
ko:K01776	hpym:K749_01455
ko:K03628	hpym:K749_01460
ko:K02909	hpym:K749_01465
ko:K07056	hpym:K749_01470
ko:K03218	hpym:K749_01475
ko:K01962	hpym:K749_01490
ko:K09458	hpym:K749_01495
ko:K02078	hpym:K749_01505
ko:K02970	hpym:K749_01515
ko:K01778	hpym:K749_01535
ko:K06942	hpym:K749_01555
ko:K01255	hpym:K749_01560
ko:K00759	hpym:K749_01570
ko:K01808	hpym:K749_01580
ko:K03100	hpym:K749_01590
ko:K06920	hpym:K749_01915
ko:K02221	hpym:K749_01940
ko:K08309	hpym:K749_01945
ko:K00963	hpym:K749_01950
ko:K00790	hpym:K749_01960
ko:K07226	hpym:K749_04070
ko:K01845	hpym:K749_04115
ko:K03979	hpym:K749_04130
ko:K12372	hpym:K749_04135
ko:K02421	hpym:K749_04825
ko:K02836	hpym:K749_04840
ko:K08303	hpym:K749_04850
ko:K01698	hpym:K749_04875
ko:K10856	hpym:K749_02205
ko:K00901	hpym:K749_02215
ko:K02469	hpym:K749_02220
ko:K03701	hpym:K749_02235
ko:K03438	hpym:K749_02245
ko:K07023	hpym:K749_02375
ko:K03092	hpym:K749_02390
ko:K06861	hpym:K749_02395
ko:K06925	hpym:K749_02400
ko:K02343	hpym:K749_02405
ko:K06895	hpym:K749_02410
ko:K00995	hpym:K749_03475
ko:K12506	hpym:K749_03490
ko:K05516	hpym:K749_03510
ko:K07478	hpym:K749_03520
ko:K02417	hpym:K749_03540
ko:K02416	hpym:K749_03545
ko:K02405	hpym:K749_03550
ko:K12370	hpym:K749_04145
ko:K12369	hpym:K749_04150
ko:K12368	hpym:K749_04155
ko:K02899	hpym:K749_04160
ko:K02888	hpym:K749_04165
ko:K02397	hpym:K749_04170
ko:K01163	hpym:K749_04185
ko:K01586	hpym:K749_04195
ko:K01735	hpym:K749_04235
ko:K09944	hpym:K749_04240
ko:K00773	hpym:K749_04245
ko:K02517	hpym:K749_04250
ko:K02841	hpym:K749_04255
ko:K01524	hpym:K749_04260
ko:K01609	hpym:K749_04270
ko:K06940	hpym:K749_04280
ko:K09778	hpym:K749_04300
ko:K06168	hpym:K749_04305
ko:K00767	hpym:K749_05600
ko:K03517	hpym:K749_05605
ko:K01613	hpym:K749_05610
ko:K03179	hpym:K749_05625
ko:K03570	hpym:K749_05675
ko:K03569	hpym:K749_05680
ko:K03544	hpym:K749_05685
ko:K00677	hpym:K749_05690
ko:K02372	hpym:K749_05695
ko:K13626	hpym:K749_05700
ko:K05807	hpym:K749_05710
ko:K01338	hpym:K749_05715
ko:K01173	hpym:K749_05725
ko:K03760	hpym:K749_05740
ko:K12977	hpym:K749_05745
ko:K13747	hpym:K749_05750
ko:K03415	hpym:K749_05755
ko:K09859	hpym:K749_05760
ko:K00566	hpym:K749_05790
ko:K01476	hpym:K749_06240
ko:K16091	hpym:K749_06250
ko:K07043	hpym:K749_06255
ko:K03427	hpym:K749_06270
ko:K01154	hpym:K749_06275
ko:K00820	hpym:K749_06295
ko:K02313	hpym:K749_06310
ko:K07791	hpym:K749_02430
ko:K04075	hpym:K749_02460
ko:K01095	hpym:K749_02505
ko:K07270	hpym:K749_02885
ko:K07043	hpym:K749_02890
ko:K00997	hpym:K749_02905
ko:K02415	hpym:K749_02910
ko:K02556	hpym:K749_02940
ko:K02557	hpym:K749_02945
ko:K08602	hpym:K749_03385
ko:K01153	hpym:K749_03420
ko:K01153	hpym:K749_03430
ko:K03427	hpym:K749_03435
ko:K01154	hpym:K749_03440
ko:K00937	hpym:K749_03445
ko:K01714	hpym:K749_03460
ko:K04562	hpym:K749_03560
ko:K02404	hpym:K749_03565
ko:K00950	hpym:K749_03570
ko:K03786	hpym:K749_03580
ko:K02956	hpym:K749_03590
