ko:K01835	blb:BBMN68_1663
ko:K00001	blb:BBMN68_838
ko:K01990	blb:BBMN68_1710
ko:K01990	blb:BBMN68_1496
ko:K03719	blb:BBMN68_1361
ko:K02428	blb:BBMN68_1046
ko:K01990	blb:BBMN68_485
ko:K01990	blb:BBMN68_491
ko:K02056	blb:BBMN68_1724
ko:K07979	blb:BBMN68_791
ko:K17686	blb:BBMN68_1149
ko:K06147	blb:BBMN68_1797
ko:K01992	blb:BBMN68_1495
ko:K10118	blb:BBMN68_1423
ko:K14225	blb:BBMN68_tRNA35
ko:K07284	blb:BBMN68_1231
ko:K06187	blb:BBMN68_1232
ko:K02343	blb:BBMN68_1233
ko:K03282	blb:BBMN68_1780
ko:K10546	blb:BBMN68_1726
ko:K10548	blb:BBMN68_1727
ko:K10547	blb:BBMN68_1728
ko:K01805	blb:BBMN68_1736
ko:K00854	blb:BBMN68_1742
ko:K02909	blb:BBMN68_1744
ko:K02835	blb:BBMN68_1745
ko:K02493	blb:BBMN68_1746
ko:K01999	blb:BBMN68_1747
ko:K01997	blb:BBMN68_1748
ko:K01998	blb:BBMN68_1749
ko:K03602	blb:BBMN68_1783
ko:K03601	blb:BBMN68_1784
ko:K04068	blb:BBMN68_1786
ko:K01919	blb:BBMN68_1790
ko:K05349	blb:BBMN68_1792
ko:K05349	blb:BBMN68_1795
ko:K00852	blb:BBMN68_1799
ko:K01817	blb:BBMN68_1804
ko:K00847	blb:BBMN68_1805
ko:K01091	blb:BBMN68_1807
ko:K00852	blb:BBMN68_1809
ko:K02529	blb:BBMN68_1811
ko:K14155	blb:BBMN68_1814
ko:K01870	blb:BBMN68_1815
ko:K07259	blb:BBMN68_1712
ko:K04075	blb:BBMN68_1713
ko:K00760	blb:BBMN68_1714
ko:K03798	blb:BBMN68_1715
ko:K01495	blb:BBMN68_1717
ko:K00796	blb:BBMN68_1718
ko:K13940	blb:BBMN68_1719
ko:K10805	blb:BBMN68_1721
ko:K00845	blb:BBMN68_1723
ko:K01995	blb:BBMN68_1750
ko:K01996	blb:BBMN68_1751
ko:K00661	blb:BBMN68_1752
ko:K00088	blb:BBMN68_1755
ko:K13288	blb:BBMN68_1756
ko:K06990	blb:BBMN68_1758
ko:K04069	blb:BBMN68_1759
ko:K01881	blb:BBMN68_1761
ko:K07386	blb:BBMN68_1763
ko:K01265	blb:BBMN68_1765
ko:K01647	blb:BBMN68_1766
ko:K00674	blb:BBMN68_1767
ko:K07458	blb:BBMN68_1773
ko:K14229	blb:BBMN68_tRNA29
ko:K14233	blb:BBMN68_tRNA47
ko:K14225	blb:BBMN68_tRNA26
ko:K14225	blb:BBMN68_tRNA8
ko:K14225	blb:BBMN68_tRNA4
ko:K01091	blb:BBMN68_433
ko:K07284	blb:BBMN68_437
ko:K07667	blb:BBMN68_440
ko:K07646	blb:BBMN68_441
ko:K01548	blb:BBMN68_442
ko:K01547	blb:BBMN68_443
ko:K01546	blb:BBMN68_444
ko:K00765	blb:BBMN68_464
ko:K01523	blb:BBMN68_465
ko:K01783	blb:BBMN68_466
ko:K01695	blb:BBMN68_468
ko:K01696	blb:BBMN68_469
ko:K01151	blb:BBMN68_471
ko:K02283	blb:BBMN68_1241
ko:K03975	blb:BBMN68_1243
ko:K00059	blb:BBMN68_1245
ko:K03458	blb:BBMN68_1248
ko:K13640	blb:BBMN68_1249
ko:K03686	blb:BBMN68_1250
ko:K03687	blb:BBMN68_1251
ko:K04043	blb:BBMN68_1252
ko:K00705	blb:BBMN68_1259
ko:K00053	blb:BBMN68_1262
ko:K00053	blb:BBMN68_1263
ko:K00690	blb:BBMN68_1267
ko:K03484	blb:BBMN68_1268
ko:K06199	blb:BBMN68_1270
ko:K06199	blb:BBMN68_1271
ko:K01939	blb:BBMN68_1276
ko:K01624	blb:BBMN68_1277
ko:K03799	blb:BBMN68_1278
ko:K00528	blb:BBMN68_1279
ko:K07133	blb:BBMN68_1280
ko:K09955	blb:BBMN68_1283
ko:K03116	blb:BBMN68_1284
ko:K03117	blb:BBMN68_1286
ko:K08372	blb:BBMN68_1289
ko:K00773	blb:BBMN68_1290
ko:K03100	blb:BBMN68_513
ko:K11358	blb:BBMN68_522
ko:K00762	blb:BBMN68_528
ko:K02823	blb:BBMN68_530
ko:K01591	blb:BBMN68_531
ko:K01092	blb:BBMN68_24
ko:K13570	blb:BBMN68_25
ko:K13571	blb:BBMN68_26
ko:K03530	blb:BBMN68_27
ko:K01756	blb:BBMN68_29
ko:K07114	blb:BBMN68_36
ko:K03924	blb:BBMN68_40
ko:K03648	blb:BBMN68_41
ko:K03704	blb:BBMN68_43
ko:K04077	blb:BBMN68_44
ko:K03704	blb:BBMN68_49
ko:K03696	blb:BBMN68_52
ko:K01470	blb:BBMN68_55
ko:K01892	blb:BBMN68_58
ko:K01876	blb:BBMN68_59
ko:K10008	blb:BBMN68_61
ko:K10005	blb:BBMN68_62
ko:K10006	blb:BBMN68_63
ko:K10007	blb:BBMN68_64
ko:K06942	blb:BBMN68_674
ko:K00286	blb:BBMN68_675
ko:K02004	blb:BBMN68_679
ko:K02003	blb:BBMN68_680
ko:K01740	blb:BBMN68_681
ko:K00868	blb:BBMN68_682
ko:K07460	blb:BBMN68_683
ko:K07391	blb:BBMN68_684
ko:K04096	blb:BBMN68_685
ko:K00239	blb:BBMN68_686
ko:K00240	blb:BBMN68_687
ko:K06966	blb:BBMN68_689
ko:K03313	blb:BBMN68_690
ko:K03544	blb:BBMN68_691
ko:K01358	blb:BBMN68_692
ko:K01358	blb:BBMN68_693
ko:K03545	blb:BBMN68_696
ko:K03684	blb:BBMN68_697
ko:K04069	blb:BBMN68_699
ko:K00656	blb:BBMN68_700
ko:K01950	blb:BBMN68_702
ko:K02072	blb:BBMN68_704
ko:K02071	blb:BBMN68_705
ko:K02073	blb:BBMN68_706
ko:K01951	blb:BBMN68_709
ko:K03325	blb:BBMN68_710
ko:K00948	blb:BBMN68_724
ko:K04042	blb:BBMN68_725
ko:K09710	blb:BBMN68_726
ko:K00558	blb:BBMN68_1295
ko:K12267	blb:BBMN68_1300
ko:K01278	blb:BBMN68_1311
ko:K00688	blb:BBMN68_1325
ko:K01867	blb:BBMN68_1328
ko:K11928	blb:BBMN68_1331
ko:K01595	blb:BBMN68_1333
ko:K03655	blb:BBMN68_1341
ko:K00384	blb:BBMN68_1345
ko:K03386	blb:BBMN68_1346
ko:K01673	blb:BBMN68_1347
ko:K04047	blb:BBMN68_1349
ko:K07133	blb:BBMN68_1350
ko:K00851	blb:BBMN68_1351
ko:K07043	blb:BBMN68_1353
ko:K07478	blb:BBMN68_70
ko:K07670	blb:BBMN68_71
ko:K07654	blb:BBMN68_72
ko:K07574	blb:BBMN68_82
ko:K00886	blb:BBMN68_87
ko:K00925	blb:BBMN68_728
ko:K00800	blb:BBMN68_729
ko:K02335	blb:BBMN68_735
ko:K01515	blb:BBMN68_737
ko:K00873	blb:BBMN68_738
ko:K05794	blb:BBMN68_739
ko:K03702	blb:BBMN68_740
ko:K00859	blb:BBMN68_741
ko:K02945	blb:BBMN68_742
ko:K01491	blb:BBMN68_743
ko:K02077	blb:BBMN68_744
ko:K02074	blb:BBMN68_745
ko:K01770	blb:BBMN68_747
ko:K07736	blb:BBMN68_748
ko:K00700	blb:BBMN68_749
ko:K03466	blb:BBMN68_759
ko:K11068	blb:BBMN68_763
ko:K03624	blb:BBMN68_764
ko:K01752	blb:BBMN68_766
ko:K09009	blb:BBMN68_769
ko:K01689	blb:BBMN68_771
ko:K03723	blb:BBMN68_773
ko:K01056	blb:BBMN68_774
ko:K03823	blb:BBMN68_775
ko:K09118	blb:BBMN68_776
ko:K01207	blb:BBMN68_777
ko:K00969	blb:BBMN68_778
ko:K00147	blb:BBMN68_780
ko:K00600	blb:BBMN68_781
ko:K01733	blb:BBMN68_782
ko:K00262	blb:BBMN68_1362
ko:K02469	blb:BBMN68_1366
ko:K02470	blb:BBMN68_1367
ko:K03629	blb:BBMN68_1369
ko:K02338	blb:BBMN68_1370
ko:K02313	blb:BBMN68_1371
ko:K02914	blb:BBMN68_1372
ko:K03536	blb:BBMN68_1373
ko:K03217	blb:BBMN68_1374
ko:K06346	blb:BBMN68_1375
ko:K03501	blb:BBMN68_1376
ko:K03496	blb:BBMN68_1377
ko:K03497	blb:BBMN68_1378
ko:K00384	blb:BBMN68_1379
ko:K03980	blb:BBMN68_1382
ko:K03924	blb:BBMN68_963
ko:K01710	blb:BBMN68_1487
ko:K00973	blb:BBMN68_1489
ko:K07272	blb:BBMN68_1492
ko:K07272	blb:BBMN68_1493
ko:K00012	blb:BBMN68_1501
ko:K01854	blb:BBMN68_1504
ko:K01745	blb:BBMN68_1509
ko:K03695	blb:BBMN68_1510
ko:K01885	blb:BBMN68_1511
ko:K00783	blb:BBMN68_1513
ko:K00761	blb:BBMN68_1514
ko:K07133	blb:BBMN68_1515
ko:K00937	blb:BBMN68_1518
ko:K01703	blb:BBMN68_1521
ko:K01704	blb:BBMN68_1522
ko:K00790	blb:BBMN68_1525
ko:K14155	blb:BBMN68_1526
ko:K14219	blb:BBMN68_tRNA27
ko:K02057	blb:BBMN68_76
ko:K02057	blb:BBMN68_77
ko:K01465	blb:BBMN68_532
ko:K00610	blb:BBMN68_533
ko:K00609	blb:BBMN68_534
ko:K00982	blb:BBMN68_535
ko:K01442	blb:BBMN68_536
ko:K00297	blb:BBMN68_537
ko:K00549	blb:BBMN68_538
ko:K08296	blb:BBMN68_539
ko:K07442	blb:BBMN68_540
ko:K06999	blb:BBMN68_541
ko:K00558	blb:BBMN68_556
ko:K07088	blb:BBMN68_1537
ko:K01439	blb:BBMN68_1538
ko:K02888	blb:BBMN68_1540
ko:K02899	blb:BBMN68_1541
ko:K03979	blb:BBMN68_1542
ko:K00931	blb:BBMN68_1543
ko:K03073	blb:BBMN68_1545
ko:K02601	blb:BBMN68_1546
ko:K02867	blb:BBMN68_1547
ko:K02863	blb:BBMN68_1548
ko:K03524	blb:BBMN68_1554
ko:K03523	blb:BBMN68_1555
ko:K11263	blb:BBMN68_1556
ko:K11533	blb:BBMN68_1558
ko:K00997	blb:BBMN68_1560
ko:K05341	blb:BBMN68_1561
ko:K02956	blb:BBMN68_1575
ko:K00962	blb:BBMN68_1576
