ko:K14233	ctrk:SOTONK1_00893
ko:K11645	ctrk:SOTONK1_00222
ko:K02343	ctrk:SOTONK1_00192
ko:K00943	ctrk:SOTONK1_00193
ko:K02469	ctrk:SOTONK1_00194
ko:K02470	ctrk:SOTONK1_00195
ko:K00773	ctrk:SOTONK1_00198
ko:K06213	ctrk:SOTONK1_00199
ko:K15580	ctrk:SOTONK1_00203
ko:K15581	ctrk:SOTONK1_00204
ko:K03319	ctrk:SOTONK1_00209
ko:K00850	ctrk:SOTONK1_00210
ko:K00895	ctrk:SOTONK1_00212
ko:K02527	ctrk:SOTONK1_00215
ko:K01869	ctrk:SOTONK1_00216
ko:K01845	ctrk:SOTONK1_00217
ko:K07735	ctrk:SOTONK1_00218
ko:K08999	ctrk:SOTONK1_00219
ko:K01807	ctrk:SOTONK1_00220
ko:K03787	ctrk:SOTONK1_00225
ko:K03179	ctrk:SOTONK1_00226
ko:K03186	ctrk:SOTONK1_00227
ko:K03308	ctrk:SOTONK1_00240
ko:K02078	ctrk:SOTONK1_00245
ko:K00645	ctrk:SOTONK1_00247
ko:K00648	ctrk:SOTONK1_00248
ko:K06187	ctrk:SOTONK1_00249
ko:K07277	ctrk:SOTONK1_00250
ko:K06142	ctrk:SOTONK1_00251
ko:K02536	ctrk:SOTONK1_00252
ko:K00161	ctrk:SOTONK1_00254
ko:K00162	ctrk:SOTONK1_00255
ko:K00627	ctrk:SOTONK1_00256
ko:K00688	ctrk:SOTONK1_00257
ko:K02313	ctrk:SOTONK1_00259
ko:K03217	ctrk:SOTONK1_00260
ko:K04487	ctrk:SOTONK1_00267
ko:K07083	ctrk:SOTONK1_00271
ko:K01962	ctrk:SOTONK1_00274
ko:K01448	ctrk:SOTONK1_00277
ko:K01928	ctrk:SOTONK1_00278
ko:K03587	ctrk:SOTONK1_00279
ko:K03438	ctrk:SOTONK1_00281
ko:K02313	ctrk:SOTONK1_00284
ko:K00347	ctrk:SOTONK1_00287
ko:K00348	ctrk:SOTONK1_00288
ko:K00349	ctrk:SOTONK1_00289
ko:K00350	ctrk:SOTONK1_00290
ko:K02437	ctrk:SOTONK1_00291
ko:K03800	ctrk:SOTONK1_00294
ko:K03696	ctrk:SOTONK1_00295
ko:K01867	ctrk:SOTONK1_00618
ko:K03702	ctrk:SOTONK1_00619
ko:K01689	ctrk:SOTONK1_00620
