ko:K02313	lcw:BN194_00010
ko:K03629	lcw:BN194_00050
ko:K02338	lcw:BN194_00020
ko:K11741	lcw:BN194_29230
ko:K00088	lcw:BN194_02100
ko:K07258	lcw:BN194_02140
ko:K06988	lcw:BN194_01990
ko:K07009	lcw:BN194_02000
ko:K03299	lcw:BN194_02350
ko:K02074	lcw:BN194_02490
ko:K00851	lcw:BN194_02340
ko:K00033	lcw:BN194_02330
ko:K00010	lcw:BN194_02270
ko:K00010	lcw:BN194_02280
ko:K02240	lcw:BN194_10120
ko:K02242	lcw:BN194_10140
ko:K07658	lcw:BN194_10220
ko:K06023	lcw:BN194_10330
ko:K01835	lcw:BN194_10370
ko:K02004	lcw:BN194_10420
ko:K00882	lcw:BN194_15420
ko:K03436	lcw:BN194_15430
ko:K00784	lcw:BN194_15470
ko:K01119	lcw:BN194_15530
ko:K04763	lcw:BN194_15610
ko:K05337	lcw:BN194_15670
ko:K00974	lcw:BN194_15770
ko:K07304	lcw:BN194_15860
ko:K01262	lcw:BN194_18260
ko:K07584	lcw:BN194_18280
ko:K01281	lcw:BN194_18330
ko:K03713	lcw:BN194_18350
ko:K00845	lcw:BN194_18420
ko:K11618	lcw:BN194_18490
ko:K11617	lcw:BN194_18500
ko:K00033	lcw:BN194_18660
ko:K01784	lcw:BN194_21400
ko:K10041	lcw:BN194_21440
ko:K02076	lcw:BN194_21470
ko:K09762	lcw:BN194_10490
ko:K15051	lcw:BN194_13250
ko:K03810	lcw:BN194_13310
ko:K06147	lcw:BN194_13430
ko:K06147	lcw:BN194_13440
ko:K07104	lcw:BN194_13460
ko:K15986	lcw:BN194_16110
ko:K02004	lcw:BN194_16150
ko:K08217	lcw:BN194_16180
ko:K01523	lcw:BN194_16230
ko:K01515	lcw:BN194_16320
ko:K07035	lcw:BN194_16360
ko:K00929	lcw:BN194_16410
ko:K06948	lcw:BN194_18740
ko:K11144	lcw:BN194_18880
ko:K03346	lcw:BN194_18890
ko:K10563	lcw:BN194_18920
ko:K07533	lcw:BN194_19060
ko:K03698	lcw:BN194_19070
ko:K12555	lcw:BN194_19090
ko:K16509	lcw:BN194_19190
ko:K01439	lcw:BN194_13710
ko:K04488	lcw:BN194_13800
ko:K02824	lcw:BN194_16490
ko:K03469	lcw:BN194_16540
ko:K07386	lcw:BN194_16630
ko:K03700	lcw:BN194_16710
ko:K02086	lcw:BN194_16750
ko:K00869	lcw:BN194_16820
ko:K01597	lcw:BN194_16830
ko:K01823	lcw:BN194_16840
ko:K00054	lcw:BN194_19690
ko:K03095	lcw:BN194_19770
ko:K05833	lcw:BN194_19780
ko:K02004	lcw:BN194_19220
ko:K05832	lcw:BN194_19790
ko:K01989	lcw:BN194_19800
ko:K08483	lcw:BN194_19410
ko:K11189	lcw:BN194_19430
ko:K03697	lcw:BN194_19450
ko:K03699	lcw:BN194_19490
ko:K07586	lcw:BN194_19540
ko:K00158	lcw:BN194_19670
ko:K01641	lcw:BN194_19680
ko:K02795	lcw:BN194_02980
ko:K02793	lcw:BN194_03000
ko:K03491	lcw:BN194_03100
ko:K01258	lcw:BN194_03110
ko:K00068	lcw:BN194_04320
ko:K02744	lcw:BN194_04480
ko:K02795	lcw:BN194_04500
ko:K03436	lcw:BN194_04550
ko:K08093	lcw:BN194_04560
ko:K02798	lcw:BN194_04580
ko:K02799	lcw:BN194_04580
ko:K02800	lcw:BN194_04580
ko:K10439	lcw:BN194_03290
ko:K10440	lcw:BN194_03280
ko:K00852	lcw:BN194_03300
ko:K00244	lcw:BN194_03490
