ko:K03560	rrb:RPN_04525
ko:K18923	rrb:RPN_07055
ko:K01006	rrb:RPN_03105
ko:K02029	rrb:RPN_05920
ko:K02970	rrb:RPN_01765
ko:K13598	rrb:RPN_01775
ko:K03284	rrb:RPN_01805
ko:K03536	rrb:RPN_01830
ko:K02914	rrb:RPN_01835
ko:K02887	rrb:RPN_01840
ko:K02916	rrb:RPN_01845
ko:K02897	rrb:RPN_01855
ko:K01056	rrb:RPN_01860
ko:K06942	rrb:RPN_01875
ko:K02313	rrb:RPN_01940
ko:K09159	rrb:RPN_01950
ko:K03723	rrb:RPN_01955
ko:K01928	rrb:RPN_01960
ko:K01929	rrb:RPN_01965
ko:K01000	rrb:RPN_01970
ko:K01029	rrb:RPN_01990
ko:K01028	rrb:RPN_01995
ko:K03655	rrb:RPN_02015
ko:K03980	rrb:RPN_02030
ko:K02197	rrb:RPN_02040
ko:K07152	rrb:RPN_02045
ko:K03072	rrb:RPN_02050
ko:K03210	rrb:RPN_02055
ko:K06925	rrb:RPN_06790
ko:K07001	rrb:RPN_06825
ko:K02536	rrb:RPN_06840
ko:K02372	rrb:RPN_06845
ko:K00677	rrb:RPN_06850
ko:K03671	rrb:RPN_06875
ko:K09773	rrb:RPN_06880
ko:K01599	rrb:RPN_06885
ko:K01772	rrb:RPN_06890
ko:K08973	rrb:RPN_06895
ko:K00228	rrb:RPN_06910
ko:K03762	rrb:RPN_06915
ko:K00019	rrb:RPN_06930
ko:K03572	rrb:RPN_06935
ko:K02913	rrb:RPN_06940
ko:K02959	rrb:RPN_06945
ko:K11066	rrb:RPN_06950
ko:K03801	rrb:RPN_06955
ko:K03313	rrb:RPN_06970
ko:K03427	rrb:RPN_06995
ko:K01154	rrb:RPN_07005
ko:K02339	rrb:RPN_07020
ko:K07091	rrb:RPN_07025
ko:K06213	rrb:RPN_02105
ko:K02470	rrb:RPN_02115
ko:K00790	rrb:RPN_02120
ko:K03060	rrb:RPN_02125
ko:K00997	rrb:RPN_02130
ko:K03070	rrb:RPN_02140
ko:K03703	rrb:RPN_02215
ko:K03925	rrb:RPN_02230
ko:K03438	rrb:RPN_02235
ko:K03587	rrb:RPN_02245
ko:K05515	rrb:RPN_02255
ko:K13599	rrb:RPN_02270
ko:K03185	rrb:RPN_02280
ko:K01866	rrb:RPN_02355
ko:K06442	rrb:RPN_02360
ko:K13771	rrb:RPN_02365
ko:K09748	rrb:RPN_02380
ko:K06167	rrb:RPN_07045
ko:K06985	rrb:RPN_07085
ko:K09747	rrb:RPN_07090
ko:K02343	rrb:RPN_07095
ko:K00324	rrb:RPN_07105
ko:K00324	rrb:RPN_07110
ko:K03624	rrb:RPN_07115
ko:K03086	rrb:RPN_07130
ko:K06173	rrb:RPN_07135
ko:K01872	rrb:RPN_07140
ko:K09765	rrb:RPN_07170
ko:K01878	rrb:RPN_07185
ko:K01879	rrb:RPN_07190
ko:K07566	rrb:RPN_07195
ko:K02493	rrb:RPN_07200
ko:K06180	rrb:RPN_07215
ko:K01647	rrb:RPN_07230
