ko:K02022	rpz:MA3_01545
ko:K01006	rpz:MA3_02400
ko:K02029	rpz:MA3_00630
ko:K01965	rpz:MA3_03005
ko:K01966	rpz:MA3_03010
ko:K00568	rpz:MA3_03030
ko:K01885	rpz:MA3_03035
ko:K00939	rpz:MA3_03105
ko:K03769	rpz:MA3_02800
ko:K01507	rpz:MA3_02860
ko:K03560	rpz:MA3_01525
ko:K01679	rpz:MA3_03230
ko:K15383	rpz:MA3_03290
ko:K02195	rpz:MA3_04060
ko:K09817	rpz:MA3_04080
ko:K03701	rpz:MA3_04085
ko:K09131	rpz:MA3_04100
ko:K04079	rpz:MA3_04105
ko:K00643	rpz:MA3_04110
ko:K03545	rpz:MA3_04115
ko:K03979	rpz:MA3_04120
ko:K01647	rpz:MA3_04125
ko:K06180	rpz:MA3_04135
ko:K02493	rpz:MA3_04140
ko:K07566	rpz:MA3_04145
ko:K01879	rpz:MA3_04150
ko:K01878	rpz:MA3_04155
ko:K09765	rpz:MA3_04160
ko:K03762	rpz:MA3_04165
ko:K01872	rpz:MA3_04185
ko:K06173	rpz:MA3_04190
ko:K03086	rpz:MA3_04195
ko:K03624	rpz:MA3_04210
ko:K00324	rpz:MA3_04215
ko:K00324	rpz:MA3_04220
ko:K02343	rpz:MA3_04230
ko:K09747	rpz:MA3_04235
ko:K06985	rpz:MA3_04240
ko:K06167	rpz:MA3_04250
ko:K07091	rpz:MA3_04260
ko:K02339	rpz:MA3_04265
ko:K03801	rpz:MA3_04285
ko:K02959	rpz:MA3_04290
ko:K02913	rpz:MA3_04295
ko:K03572	rpz:MA3_04300
ko:K03762	rpz:MA3_04310
ko:K00228	rpz:MA3_04315
ko:K08973	rpz:MA3_04320
ko:K01772	rpz:MA3_04325
ko:K01599	rpz:MA3_04330
ko:K03544	rpz:MA3_03360
ko:K03790	rpz:MA3_03365
ko:K06920	rpz:MA3_03370
ko:K07552	rpz:MA3_03385
ko:K09808	rpz:MA3_03390
ko:K02198	rpz:MA3_03410
ko:K05349	rpz:MA3_03420
ko:K04764	rpz:MA3_03430
ko:K07010	rpz:MA3_03480
ko:K02517	rpz:MA3_03525
ko:K00912	rpz:MA3_03530
ko:K01972	rpz:MA3_03535
ko:K00773	rpz:MA3_03540
ko:K09985	rpz:MA3_03565
ko:K00859	rpz:MA3_03575
ko:K00645	rpz:MA3_03595
ko:K03821	rpz:MA3_03610
ko:K07042	rpz:MA3_03625
ko:K03644	rpz:MA3_03630
ko:K00600	rpz:MA3_03635
ko:K06999	rpz:MA3_03640
ko:K07390	rpz:MA3_03645
ko:K10773	rpz:MA3_03650
ko:K07056	rpz:MA3_03655
ko:K03116	rpz:MA3_03665
ko:K01095	rpz:MA3_03670
ko:K02888	rpz:MA3_03675
ko:K02899	rpz:MA3_03680
ko:K00928	rpz:MA3_03685
ko:K09888	rpz:MA3_03700
ko:K15371	rpz:MA3_03715
ko:K03650	rpz:MA3_03720
ko:K02078	rpz:MA3_03740
ko:K09458	rpz:MA3_03745
ko:K00942	rpz:MA3_03750
ko:K03570	rpz:MA3_03760
ko:K03569	rpz:MA3_03765
ko:K11720	rpz:MA3_03770
ko:K03640	rpz:MA3_03775
ko:K00648	rpz:MA3_03780
ko:K02911	rpz:MA3_03785
ko:K13292	rpz:MA3_00220
ko:K03217	rpz:MA3_00230
ko:K00995	rpz:MA3_00235
ko:K03301	rpz:MA3_00255
ko:K02445	rpz:MA3_00260
ko:K00940	rpz:MA3_00265
ko:K03495	rpz:MA3_00270
ko:K03501	rpz:MA3_00275
ko:K01627	rpz:MA3_00300
ko:K01129	rpz:MA3_00310
ko:K01887	rpz:MA3_00315
ko:K02621	rpz:MA3_00325
ko:K01494	rpz:MA3_00335
ko:K03071	rpz:MA3_00340
