ko:K14228	ftq:RO31_1692
ko:K12978	ftq:RO31_1922
ko:K14227	ftq:RO31_1502
ko:K14227	ftq:RO31_1570
ko:K14227	ftq:RO31_2011
ko:K14219	ftq:RO31_2000
ko:K03602	ftq:RO31_1388
ko:K19416	ftq:RO31_0738
ko:K19561	ftq:RO31_1081
ko:K07666	ftq:RO31_1830
ko:K22468	ftq:RO31_1838
ko:K01772	ftq:RO31_1319
ko:K01669	ftq:RO31_1321
ko:K01785	ftq:RO31_1333
ko:K13038	ftq:RO31_1334
ko:K13821	ftq:RO31_1337
ko:K09159	ftq:RO31_1338
ko:K01735	ftq:RO31_1341
ko:K00891	ftq:RO31_1342
ko:K02666	ftq:RO31_1343
ko:K02665	ftq:RO31_1344
ko:K02664	ftq:RO31_1345
ko:K02663	ftq:RO31_1346
ko:K00939	ftq:RO31_1348
ko:K18930	ftq:RO31_1351
ko:K00812	ftq:RO31_1354
ko:K14742	ftq:RO31_1356
ko:K01443	ftq:RO31_1357
ko:K14540	ftq:RO31_1358
ko:K03427	ftq:RO31_1361
ko:K01154	ftq:RO31_1363
ko:K01154	ftq:RO31_1364
ko:K02160	ftq:RO31_0534
ko:K01961	ftq:RO31_0535
ko:K16052	ftq:RO31_0537
ko:K04568	ftq:RO31_0539
ko:K03524	ftq:RO31_0540
ko:K07462	ftq:RO31_0541
ko:K03548	ftq:RO31_0542
ko:K11073	ftq:RO31_0544
ko:K06949	ftq:RO31_0546
ko:K03572	ftq:RO31_0549
ko:K00384	ftq:RO31_0553
ko:K01091	ftq:RO31_0555
ko:K06201	ftq:RO31_0559
ko:K01424	ftq:RO31_0562
ko:K03305	ftq:RO31_0565
ko:K01902	ftq:RO31_0571
ko:K01903	ftq:RO31_0572
ko:K05539	ftq:RO31_0576
ko:K02470	ftq:RO31_0579
ko:K06215	ftq:RO31_0580
ko:K08681	ftq:RO31_0581
ko:K00101	ftq:RO31_0584
ko:K00101	ftq:RO31_0585
ko:K18930	ftq:RO31_0587
ko:K06148	ftq:RO31_0911
ko:K02965	ftq:RO31_0369
ko:K02890	ftq:RO31_0370
ko:K02982	ftq:RO31_0371
ko:K02878	ftq:RO31_0372
ko:K02961	ftq:RO31_0373
ko:K02874	ftq:RO31_0374
ko:K02895	ftq:RO31_0375
ko:K02931	ftq:RO31_0376
ko:K02954	ftq:RO31_0377
ko:K02994	ftq:RO31_0378
ko:K02933	ftq:RO31_0379
ko:K02881	ftq:RO31_0380
ko:K02988	ftq:RO31_0381
ko:K02907	ftq:RO31_0382
ko:K02876	ftq:RO31_0383
ko:K03076	ftq:RO31_0384
ko:K02919	ftq:RO31_0385
ko:K02952	ftq:RO31_0386
ko:K02948	ftq:RO31_0387
ko:K02986	ftq:RO31_0388
ko:K03040	ftq:RO31_0389
ko:K02879	ftq:RO31_0390
ko:K01937	ftq:RO31_0400
ko:K00940	ftq:RO31_0401
ko:K01963	ftq:RO31_0402
ko:K11754	ftq:RO31_0403
ko:K06925	ftq:RO31_0404
ko:K06925	ftq:RO31_0405
ko:K07126	ftq:RO31_0406
ko:K03980	ftq:RO31_0407
ko:K01919	ftq:RO31_0408
ko:K01919	ftq:RO31_0409
ko:K02909	ftq:RO31_0410
ko:K07007	ftq:RO31_0419
ko:K04079	ftq:RO31_0422
ko:K04518	ftq:RO31_0659
ko:K01752	ftq:RO31_0661
ko:K11717	ftq:RO31_0662
ko:K13628	ftq:RO31_0663
ko:K00954	ftq:RO31_0665
ko:K15342	ftq:RO31_0669
ko:K15342	ftq:RO31_0670
ko:K09951	ftq:RO31_0671
ko:K07464	ftq:RO31_0672
ko:K00800	ftq:RO31_0674
ko:K03469	ftq:RO31_0676
ko:K01424	ftq:RO31_0677
ko:K01673	ftq:RO31_0678
ko:K06956	ftq:RO31_0684
ko:K00820	ftq:RO31_0685
ko:K03316	ftq:RO31_0692
