ko:K02483	nmh:NMBH4476_1595
ko:K21345	nmh:NMBH4476_2019
ko:K18929	nmh:NMBH4476_0783
ko:K14742	nmh:NMBH4476_1813
ko:K03297	nmh:NMBH4476_0387
ko:K04771	nmh:NMBH4476_1658
ko:K18133	nmh:NMBH4476_1982
ko:K18928	nmh:NMBH4476_0785
ko:K16087	nmh:NMBH4476_1926
ko:K18138	nmh:NMBH4476_0506
ko:K02992	nmh:NMBH4476_0134
ko:K02355	nmh:NMBH4476_0135
ko:K02358	nmh:NMBH4476_0136
ko:K02946	nmh:NMBH4476_0137
ko:K02906	nmh:NMBH4476_0139
ko:K02926	nmh:NMBH4476_0140
ko:K02892	nmh:NMBH4476_0141
ko:K02886	nmh:NMBH4476_0142
ko:K02965	nmh:NMBH4476_0143
ko:K02890	nmh:NMBH4476_0144
ko:K02982	nmh:NMBH4476_0145
ko:K02878	nmh:NMBH4476_0146
ko:K02904	nmh:NMBH4476_0147
ko:K02961	nmh:NMBH4476_0148
ko:K02874	nmh:NMBH4476_0149
ko:K02895	nmh:NMBH4476_0150
ko:K02931	nmh:NMBH4476_0151
ko:K02954	nmh:NMBH4476_0152
ko:K02994	nmh:NMBH4476_0153
ko:K02933	nmh:NMBH4476_0154
ko:K02881	nmh:NMBH4476_0155
ko:K02988	nmh:NMBH4476_0156
ko:K02907	nmh:NMBH4476_0157
ko:K02876	nmh:NMBH4476_0158
ko:K03076	nmh:NMBH4476_0159
ko:K02518	nmh:NMBH4476_0160
ko:K02919	nmh:NMBH4476_0161
ko:K02952	nmh:NMBH4476_0162
ko:K02948	nmh:NMBH4476_0163
ko:K02986	nmh:NMBH4476_0164
ko:K03040	nmh:NMBH4476_0165
ko:K02879	nmh:NMBH4476_0166
ko:K03610	nmh:NMBH4476_0167
ko:K03609	nmh:NMBH4476_0168
ko:K03608	nmh:NMBH4476_0169
ko:K04761	nmh:NMBH4476_0170
ko:K01873	nmh:NMBH4476_0171
ko:K07238	nmh:NMBH4476_0172
ko:K00285	nmh:NMBH4476_0173
ko:K03310	nmh:NMBH4476_0174
ko:K00677	nmh:NMBH4476_0175
ko:K02372	nmh:NMBH4476_0176
ko:K02536	nmh:NMBH4476_0177
ko:K06142	nmh:NMBH4476_0178
ko:K07277	nmh:NMBH4476_0179
ko:K11749	nmh:NMBH4476_0180
ko:K00099	nmh:NMBH4476_0181
ko:K00981	nmh:NMBH4476_0182
ko:K00806	nmh:NMBH4476_0183
ko:K02838	nmh:NMBH4476_0184
ko:K03581	nmh:NMBH4476_0980
ko:K01338	nmh:NMBH4476_0983
ko:K03530	nmh:NMBH4476_0984
ko:K00003	nmh:NMBH4476_0986
ko:K06158	nmh:NMBH4476_0988
ko:K03648	nmh:NMBH4476_0993
ko:K09158	nmh:NMBH4476_0997
ko:K03801	nmh:NMBH4476_0998
ko:K03644	nmh:NMBH4476_0999
ko:K03594	nmh:NMBH4476_1004
ko:K03594	nmh:NMBH4476_1005
ko:K00990	nmh:NMBH4476_1007
ko:K12573	nmh:NMBH4476_1010
ko:K06207	nmh:NMBH4476_1014
ko:K02302	nmh:NMBH4476_1017
ko:K00390	nmh:NMBH4476_1018
ko:K00957	nmh:NMBH4476_1019
ko:K00381	nmh:NMBH4476_1022
ko:K01687	nmh:NMBH4476_1023
ko:K01012	nmh:NMBH4476_1025
ko:K02558	nmh:NMBH4476_1026
ko:K03437	nmh:NMBH4476_1030
ko:K06168	nmh:NMBH4476_1808
ko:K01662	nmh:NMBH4476_1809
ko:K03733	nmh:NMBH4476_1810
ko:K01624	nmh:NMBH4476_1811
ko:K03789	nmh:NMBH4476_1814
ko:K00762	nmh:NMBH4476_1816
ko:K14682	nmh:NMBH4476_1818
ko:K00573	nmh:NMBH4476_1826
ko:K01803	nmh:NMBH4476_1828
ko:K03075	nmh:NMBH4476_1829
ko:K07726	nmh:NMBH4476_1832
ko:K01869	nmh:NMBH4476_1838
ko:K00937	nmh:NMBH4476_1841
ko:K02338	nmh:NMBH4476_1842
ko:K02313	nmh:NMBH4476_1843
ko:K02914	nmh:NMBH4476_1844
ko:K03536	nmh:NMBH4476_1845
ko:K08998	nmh:NMBH4476_1846
ko:K03217	nmh:NMBH4476_1847
ko:K07056	nmh:NMBH4476_1848
ko:K07040	nmh:NMBH4476_1850
ko:K02911	nmh:NMBH4476_1851
ko:K07101	nmh:NMBH4476_1852
