ko:K07005	bmal:DM55_4437
ko:K03297	bmal:DM55_2910
ko:K16238	bmal:DM55_1014
ko:K11741	bmal:DM55_2567
ko:K15634	bmal:DM55_1434
ko:K05799	bmal:DM55_657
ko:K05375	bmal:DM55_4550
ko:K06893	bmal:DM55_1185
ko:K19416	bmal:DM55_3195
ko:K18816	bmal:DM55_3975
ko:K00102	bmal:DM55_4513
ko:K02483	bmal:DM55_4349
ko:K11209	bmal:DM55_1438
ko:K11209	bmal:DM55_3007
ko:K00821	bmal:DM55_2476
ko:K07492	bmal:DM55_3078
ko:K21449	bmal:DM55_4778
ko:K07346	bmal:DM55_2888
ko:K22589	bmal:DM55_2307
ko:K21678	bmal:DM55_3713
ko:K00249	bmal:DM55_1176
ko:K21345	bmal:DM55_768
ko:K21344	bmal:DM55_1838
ko:K05882	bmal:DM55_4154
ko:K01738	bmal:DM55_266
ko:K01697	bmal:DM55_266
ko:K00863	bmal:DM55_2874
ko:K15355	bmal:DM55_4303
ko:K00108	bmal:DM55_4469
ko:K05874	bmal:DM55_3025
ko:K00344	bmal:DM55_3766
ko:K00091	bmal:DM55_3834
ko:K00108	bmal:DM55_968
ko:K21757	bmal:DM55_3516
ko:K14228	bmal:DM55_2023
ko:K03332	bmal:DM55_4049
ko:K18676	bmal:DM55_909
ko:K18138	bmal:DM55_1709
ko:K11902	bmal:DM55_3885
ko:K11904	bmal:DM55_3886
ko:K00355	bmal:DM55_3893
ko:K01740	bmal:DM55_3895
ko:K11901	bmal:DM55_4698
ko:K11900	bmal:DM55_4699
ko:K11903	bmal:DM55_4700
ko:K11905	bmal:DM55_4701
ko:K11896	bmal:DM55_4702
ko:K11895	bmal:DM55_4703
ko:K11907	bmal:DM55_4704
ko:K11904	bmal:DM55_4705
ko:K11893	bmal:DM55_4711
ko:K11892	bmal:DM55_4712
ko:K11891	bmal:DM55_4713
ko:K01495	bmal:DM55_4715
ko:K07044	bmal:DM55_4718
ko:K18369	bmal:DM55_4729
ko:K01387	bmal:DM55_4743
ko:K04127	bmal:DM55_4745
ko:K09761	bmal:DM55_666
ko:K00029	bmal:DM55_669
ko:K00946	bmal:DM55_670
ko:K01095	bmal:DM55_671
ko:K03743	bmal:DM55_672
ko:K01591	bmal:DM55_673
ko:K10538	bmal:DM55_676
ko:K10539	bmal:DM55_677
ko:K10537	bmal:DM55_678
ko:K01631	bmal:DM55_680
ko:K00883	bmal:DM55_681
ko:K03814	bmal:DM55_685
ko:K00014	bmal:DM55_686
ko:K01147	bmal:DM55_687
ko:K07000	bmal:DM55_688
ko:K02558	bmal:DM55_689
ko:K03786	bmal:DM55_692
ko:K02160	bmal:DM55_693
ko:K01961	bmal:DM55_694
ko:K02687	bmal:DM55_695
ko:K11065	bmal:DM55_697
ko:K00856	bmal:DM55_698
ko:K06077	bmal:DM55_699
ko:K03806	bmal:DM55_704
ko:K06950	bmal:DM55_705
ko:K03106	bmal:DM55_707
ko:K00760	bmal:DM55_708
ko:K01881	bmal:DM55_710
ko:K08311	bmal:DM55_711
ko:K00931	bmal:DM55_713
ko:K03979	bmal:DM55_714
ko:K02899	bmal:DM55_715
ko:K02888	bmal:DM55_716
ko:K02523	bmal:DM55_717
ko:K08234	bmal:DM55_1519
ko:K10778	bmal:DM55_1520
ko:K01247	bmal:DM55_1521
ko:K01919	bmal:DM55_1522
ko:K03086	bmal:DM55_1523
ko:K02055	bmal:DM55_1527
ko:K12251	bmal:DM55_1529
ko:K00058	bmal:DM55_1540
ko:K04096	bmal:DM55_1544
ko:K04096	bmal:DM55_1547
ko:K01462	bmal:DM55_1548
ko:K00604	bmal:DM55_1549
ko:K03799	bmal:DM55_1551
ko:K03500	bmal:DM55_1552
ko:K06920	bmal:DM55_1557
ko:K01737	bmal:DM55_1559
ko:K01630	bmal:DM55_1560
ko:K05837	bmal:DM55_1562
ko:K05515	bmal:DM55_1563
ko:K03571	bmal:DM55_1564
ko:K03570	bmal:DM55_1565
ko:K03569	bmal:DM55_1566
ko:K02435	bmal:DM55_1567
ko:K02433	bmal:DM55_1568
ko:K02434	bmal:DM55_1569
ko:K02428	bmal:DM55_2357
ko:K00989	bmal:DM55_2358
ko:K00942	bmal:DM55_2360
ko:K03060	bmal:DM55_2361
ko:K04760	bmal:DM55_2365
ko:K03640	bmal:DM55_2373
ko:K03641	bmal:DM55_2374
ko:K03560	bmal:DM55_2376
ko:K03562	bmal:DM55_2377
ko:K07107	bmal:DM55_2378
ko:K16066	bmal:DM55_2379
ko:K00600	bmal:DM55_2380
ko:K07738	bmal:DM55_2381
ko:K08084	bmal:DM55_2382
ko:K02672	bmal:DM55_2384
ko:K02655	bmal:DM55_2386
ko:K00252	bmal:DM55_2391
ko:K05712	bmal:DM55_2396
ko:K08195	bmal:DM55_2398
ko:K00451	bmal:DM55_2399
ko:K01555	bmal:DM55_2400
ko:K04719	bmal:DM55_2403
ko:K03778	bmal:DM55_2404
ko:K07506	bmal:DM55_2407
ko:K03787	bmal:DM55_3202
ko:K03220	bmal:DM55_3207
ko:K03220	bmal:DM55_3208
ko:K03227	bmal:DM55_3210
ko:K03226	bmal:DM55_3211
ko:K03225	bmal:DM55_3212
ko:K03230	bmal:DM55_3213
ko:K03229	bmal:DM55_3214
ko:K18374	bmal:DM55_3216
ko:K03222	bmal:DM55_3217
ko:K03223	bmal:DM55_3219
ko:K03224	bmal:DM55_3220
ko:K03228	bmal:DM55_3222
ko:K00836	bmal:DM55_3229
ko:K00156	bmal:DM55_3230
ko:K18288	bmal:DM55_3231
ko:K18290	bmal:DM55_3232
ko:K18292	bmal:DM55_3233
ko:K07152	bmal:DM55_3244
ko:K08195	bmal:DM55_3246
ko:K05349	bmal:DM55_3250
ko:K05349	bmal:DM55_3251
ko:K03522	bmal:DM55_4059
ko:K03521	bmal:DM55_4060
ko:K00479	bmal:DM55_4061
ko:K02002	bmal:DM55_4063
ko:K01433	bmal:DM55_4065
ko:K01133	bmal:DM55_4067
ko:K02002	bmal:DM55_4068
ko:K08720	bmal:DM55_4069
ko:K05994	bmal:DM55_4070
ko:K17736	bmal:DM55_4072
ko:K02002	bmal:DM55_4073
ko:K17735	bmal:DM55_4075
ko:K07107	bmal:DM55_4076
ko:K03186	bmal:DM55_4084
ko:K07390	bmal:DM55_4085
ko:K02493	bmal:DM55_4086
ko:K02835	bmal:DM55_4087
ko:K00285	bmal:DM55_84
ko:K01810	bmal:DM55_86
ko:K02003	bmal:DM55_87
ko:K10804	bmal:DM55_88
ko:K03770	bmal:DM55_89
ko:K01338	bmal:DM55_96
ko:K03544	bmal:DM55_97
ko:K01358	bmal:DM55_98
ko:K03545	bmal:DM55_99
ko:K00865	bmal:DM55_100
ko:K00077	bmal:DM55_102
ko:K13635	bmal:DM55_111
ko:K02045	bmal:DM55_112
ko:K02047	bmal:DM55_113
ko:K02046	bmal:DM55_114
ko:K02048	bmal:DM55_115
ko:K01356	bmal:DM55_116
ko:K09695	bmal:DM55_120
ko:K09694	bmal:DM55_121
ko:K07089	bmal:DM55_123
ko:K05539	bmal:DM55_128
ko:K02291	bmal:DM55_134
ko:K07659	bmal:DM55_138
ko:K01999	bmal:DM55_941
ko:K07226	bmal:DM55_943
ko:K03642	bmal:DM55_949
ko:K03530	bmal:DM55_951
ko:K15461	bmal:DM55_952
ko:K06048	bmal:DM55_954
ko:K01951	bmal:DM55_956
ko:K07117	bmal:DM55_958
ko:K01724	bmal:DM55_962
ko:K00500	bmal:DM55_963
ko:K00140	bmal:DM55_967
ko:K01995	bmal:DM55_969
ko:K01996	bmal:DM55_970
ko:K01999	bmal:DM55_971
ko:K01997	bmal:DM55_972
ko:K01998	bmal:DM55_973
ko:K01999	bmal:DM55_975
ko:K01997	bmal:DM55_976
ko:K01995	bmal:DM55_977
ko:K01998	bmal:DM55_977
ko:K01996	bmal:DM55_978
ko:K03495	bmal:DM55_979
ko:K03501	bmal:DM55_980
ko:K02116	bmal:DM55_984
ko:K02108	bmal:DM55_985
ko:K02110	bmal:DM55_986
ko:K02109	bmal:DM55_987
ko:K02113	bmal:DM55_988
ko:K02342	bmal:DM55_1787
ko:K04093	bmal:DM55_1788
ko:K02014	bmal:DM55_1791
ko:K03841	bmal:DM55_1799
ko:K03576	bmal:DM55_1800
ko:K00549	bmal:DM55_1801
ko:K01256	bmal:DM55_1802
ko:K01487	bmal:DM55_1805
ko:K06901	bmal:DM55_1806
ko:K07402	bmal:DM55_1808
ko:K03611	bmal:DM55_1809
ko:K02433	bmal:DM55_1810
ko:K00123	bmal:DM55_1815
ko:K00124	bmal:DM55_1816
ko:K00127	bmal:DM55_1817
ko:K00568	bmal:DM55_1824
ko:K03286	bmal:DM55_1825
ko:K02469	bmal:DM55_1826
ko:K09924	bmal:DM55_1827
ko:K00831	bmal:DM55_1828
ko:K14170	bmal:DM55_1829
ko:K00800	bmal:DM55_1830
ko:K00945	bmal:DM55_1831
ko:K00340	bmal:DM55_2617
ko:K00341	bmal:DM55_2618
ko:K00342	bmal:DM55_2619
ko:K00343	bmal:DM55_2620
ko:K01515	bmal:DM55_2622
ko:K00799	bmal:DM55_2634
ko:K14287	bmal:DM55_2635
ko:K09861	bmal:DM55_2637
ko:K07093	bmal:DM55_2647
ko:K07118	bmal:DM55_2650
ko:K05800	bmal:DM55_2652
ko:K02010	bmal:DM55_2653
ko:K02011	bmal:DM55_2654
ko:K02012	bmal:DM55_2655
ko:K16234	bmal:DM55_2657
ko:K03583	bmal:DM55_2659
ko:K03582	bmal:DM55_2660
ko:K03581	bmal:DM55_2661
ko:K15034	bmal:DM55_2662
ko:K04062	bmal:DM55_2667
ko:K07004	bmal:DM55_3469
ko:K02014	bmal:DM55_3474
ko:K07397	bmal:DM55_3483
ko:K07223	bmal:DM55_3485
ko:K06147	bmal:DM55_3486
ko:K18199	bmal:DM55_3487
ko:K01867	bmal:DM55_3489
ko:K07052	bmal:DM55_3492
ko:K01560	bmal:DM55_3494
ko:K13491	bmal:DM55_3495
ko:K13490	bmal:DM55_3496
ko:K13489	bmal:DM55_3497
ko:K13486	bmal:DM55_3498
ko:K13488	bmal:DM55_3499
ko:K13487	bmal:DM55_3500
ko:K01652	bmal:DM55_3505
ko:K03316	bmal:DM55_3506
ko:K02503	bmal:DM55_3510
ko:K16320	bmal:DM55_3513
ko:K03381	bmal:DM55_3518
ko:K07168	bmal:DM55_4318
ko:K07300	bmal:DM55_4320
ko:K05595	bmal:DM55_4321
ko:K07052	bmal:DM55_4322
ko:K16165	bmal:DM55_4323
ko:K03088	bmal:DM55_4327
ko:K03088	bmal:DM55_4332
ko:K07165	bmal:DM55_4333
ko:K02014	bmal:DM55_4334
ko:K10440	bmal:DM55_4335
ko:K10440	bmal:DM55_4336
ko:K10441	bmal:DM55_4337
ko:K10439	bmal:DM55_4338
ko:K01425	bmal:DM55_4348
ko:K02484	bmal:DM55_4351
ko:K07001	bmal:DM55_4352
ko:K03569	bmal:DM55_4354
ko:K07023	bmal:DM55_4356
ko:K00799	bmal:DM55_4362
ko:K07771	bmal:DM55_4367
ko:K02492	bmal:DM55_4088
ko:K01262	bmal:DM55_4090
ko:K01560	bmal:DM55_4092
