ko:K19744	pfc:PflA506_2228
ko:K10747	pfc:PflA506_1275
ko:K18302	pfc:PflA506_1211
ko:K18979	pfc:PflA506_0499
ko:K10014	pfc:PflA506_1274
ko:K13609	pfc:PflA506_2990
ko:K19595	pfc:PflA506_3014
ko:K02028	pfc:PflA506_0363
ko:K03297	pfc:PflA506_0474
ko:K17322	pfc:PflA506_3135
ko:K22617	pfc:PflA506_1348
ko:K16238	pfc:PflA506_4735
ko:K03321	pfc:PflA506_0024
ko:K03457	pfc:PflA506_3316
ko:K03499	pfc:PflA506_0014
ko:K04063	pfc:PflA506_0041
ko:K02274	pfc:PflA506_0058
ko:K02258	pfc:PflA506_0059
ko:K09815	pfc:PflA506_0075
ko:K13590	pfc:PflA506_0084
ko:K02067	pfc:PflA506_0094
ko:K03406	pfc:PflA506_0120
ko:K16301	pfc:PflA506_2582
ko:K19969	pfc:PflA506_4591
ko:K11741	pfc:PflA506_1912
ko:K00800	pfc:PflA506_1699
ko:K00254	pfc:PflA506_3902
ko:K00020	pfc:PflA506_4494
ko:K19593	pfc:PflA506_3012
ko:K18829	pfc:PflA506_4082
ko:K19734	pfc:PflA506_4423
ko:K02226	pfc:PflA506_3788
ko:K19736	pfc:PflA506_4097
ko:K02014	pfc:PflA506_3446
ko:K02014	pfc:PflA506_0217
ko:K16092	pfc:PflA506_4759
ko:K16091	pfc:PflA506_1022
ko:K16091	pfc:PflA506_1995
ko:K16090	pfc:PflA506_0798
ko:K16088	pfc:PflA506_3089
ko:K16088	pfc:PflA506_1983
ko:K16088	pfc:PflA506_2859
ko:K02014	pfc:PflA506_2242
ko:K16147	pfc:PflA506_2936
ko:K19611	pfc:PflA506_0808
ko:K16137	pfc:PflA506_2170
ko:K16088	pfc:PflA506_3008
ko:K16137	pfc:PflA506_3607
ko:K16137	pfc:PflA506_3836
ko:K02014	pfc:PflA506_0139
ko:K02014	pfc:PflA506_2771
ko:K02014	pfc:PflA506_0576
ko:K00130	pfc:PflA506_4981
ko:K14225	pfc:PflA506_1881
ko:K14225	pfc:PflA506_2158
ko:K14225	pfc:PflA506_1883
ko:K02014	pfc:PflA506_3811
ko:K03111	pfc:PflA506_4792
ko:K18968	pfc:PflA506_4098
ko:K08303	pfc:PflA506_2640
ko:K09458	pfc:PflA506_2642
ko:K07677	pfc:PflA506_3426
ko:K07677	pfc:PflA506_3428
ko:K07687	pfc:PflA506_3429
ko:K07345	pfc:PflA506_3430
ko:K07347	pfc:PflA506_3432
ko:K02453	pfc:PflA506_3434
ko:K02462	pfc:PflA506_3436
ko:K02461	pfc:PflA506_3437
ko:K02460	pfc:PflA506_3438
ko:K02459	pfc:PflA506_3439
ko:K02458	pfc:PflA506_3440
ko:K02457	pfc:PflA506_3441
ko:K02456	pfc:PflA506_3442
ko:K02455	pfc:PflA506_3443
ko:K06145	pfc:PflA506_3445
ko:K06188	pfc:PflA506_3448
ko:K04764	pfc:PflA506_3451
ko:K01890	pfc:PflA506_3452
ko:K01889	pfc:PflA506_3453
ko:K02887	pfc:PflA506_3454
ko:K02916	pfc:PflA506_3455
ko:K02520	pfc:PflA506_3456
ko:K01868	pfc:PflA506_3457
ko:K03704	pfc:PflA506_3459
ko:K06726	pfc:PflA506_3464
ko:K02529	pfc:PflA506_3466
ko:K10441	pfc:PflA506_3468
ko:K00798	pfc:PflA506_4238
ko:K00620	pfc:PflA506_4240
ko:K03070	pfc:PflA506_4241
ko:K06915	pfc:PflA506_4243
ko:K01433	pfc:PflA506_4248
ko:K01141	pfc:PflA506_4250
ko:K03924	pfc:PflA506_4255
ko:K00873	pfc:PflA506_4259
ko:K01676	pfc:PflA506_4261
ko:K10125	pfc:PflA506_4262
ko:K10126	pfc:PflA506_4263
ko:K01690	pfc:PflA506_4273
ko:K00134	pfc:PflA506_4274
ko:K16087	pfc:PflA506_4277
ko:K09790	pfc:PflA506_4279
ko:K09947	pfc:PflA506_4284
ko:K02012	pfc:PflA506_5167
ko:K03185	pfc:PflA506_5170
ko:K09895	pfc:PflA506_5172
ko:K09888	pfc:PflA506_5174
ko:K02415	pfc:PflA506_5179
ko:K02445	pfc:PflA506_5183
ko:K03182	pfc:PflA506_5187
ko:K03628	pfc:PflA506_5189
ko:K03671	pfc:PflA506_5190
ko:K02029	pfc:PflA506_5193
ko:K02029	pfc:PflA506_5194
ko:K01524	pfc:PflA506_5200
ko:K00937	pfc:PflA506_5201
ko:K01698	pfc:PflA506_5202
ko:K09768	pfc:PflA506_5206
ko:K07243	pfc:PflA506_5207
ko:K05834	pfc:PflA506_5208
ko:K06158	pfc:PflA506_5210
ko:K03773	pfc:PflA506_5213
ko:K07740	pfc:PflA506_5214
ko:K03611	pfc:PflA506_5215
ko:K02498	pfc:PflA506_5216
ko:K03118	pfc:PflA506_0367
ko:K03117	pfc:PflA506_0368
ko:K03116	pfc:PflA506_0369
ko:K03688	pfc:PflA506_0372
ko:K03690	pfc:PflA506_0373
ko:K03183	pfc:PflA506_0374
ko:K07345	pfc:PflA506_0378
ko:K07347	pfc:PflA506_0380
ko:K07345	pfc:PflA506_0383
ko:K03821	pfc:PflA506_0386
ko:K03821	pfc:PflA506_0388
ko:K03667	pfc:PflA506_0390
ko:K01419	pfc:PflA506_0391
ko:K01887	pfc:PflA506_0393
ko:K04066	pfc:PflA506_0394
ko:K02909	pfc:PflA506_0395
ko:K00029	pfc:PflA506_0397
ko:K05366	pfc:PflA506_0398
ko:K02666	pfc:PflA506_0402
ko:K00891	pfc:PflA506_0403
ko:K01735	pfc:PflA506_0404
ko:K03112	pfc:PflA506_0405
ko:K00266	pfc:PflA506_0407
ko:K01599	pfc:PflA506_0408
ko:K08224	pfc:PflA506_0409
ko:K09458	pfc:PflA506_0412
ko:K01595	pfc:PflA506_1202
ko:K15984	pfc:PflA506_1209
ko:K09914	pfc:PflA506_1215
ko:K00631	pfc:PflA506_1216
ko:K03704	pfc:PflA506_1217
ko:K00563	pfc:PflA506_1219
ko:K02426	pfc:PflA506_1223
ko:K01766	pfc:PflA506_1224
ko:K14267	pfc:PflA506_1228
ko:K00990	pfc:PflA506_1229
ko:K01265	pfc:PflA506_1230
ko:K02967	pfc:PflA506_1232
ko:K02357	pfc:PflA506_1233
ko:K09903	pfc:PflA506_1234
ko:K02838	pfc:PflA506_1235
ko:K00806	pfc:PflA506_1236
ko:K00981	pfc:PflA506_1237
ko:K00099	pfc:PflA506_1238
ko:K11749	pfc:PflA506_1239
ko:K07277	pfc:PflA506_1240
ko:K06142	pfc:PflA506_1241
ko:K02536	pfc:PflA506_1242
ko:K02372	pfc:PflA506_1243
ko:K00677	pfc:PflA506_1244
ko:K06996	pfc:PflA506_2863
ko:K01697	pfc:PflA506_2874
ko:K09136	pfc:PflA506_2876
ko:K08191	pfc:PflA506_2885
ko:K03762	pfc:PflA506_2888
ko:K08223	pfc:PflA506_2894
ko:K01061	pfc:PflA506_2902
ko:K03811	pfc:PflA506_2905
ko:K14155	pfc:PflA506_2910
ko:K00836	pfc:PflA506_3683
ko:K04084	pfc:PflA506_3687
ko:K03805	pfc:PflA506_3689
ko:K03088	pfc:PflA506_3693
ko:K13774	pfc:PflA506_3697
ko:K13778	pfc:PflA506_3698
ko:K11731	pfc:PflA506_3699
ko:K13779	pfc:PflA506_3700
ko:K13777	pfc:PflA506_3701
ko:K09913	pfc:PflA506_3703
ko:K07140	pfc:PflA506_3704
ko:K03415	pfc:PflA506_3705
ko:K03408	pfc:PflA506_3711
ko:K03408	pfc:PflA506_3712
ko:K02557	pfc:PflA506_3714
ko:K02556	pfc:PflA506_3715
ko:K03412	pfc:PflA506_3716
ko:K03407	pfc:PflA506_3717
ko:K03414	pfc:PflA506_3718
ko:K03413	pfc:PflA506_3719
ko:K02405	pfc:PflA506_3720
ko:K04562	pfc:PflA506_3721
ko:K02404	pfc:PflA506_3722
ko:K02400	pfc:PflA506_3723
ko:K03704	pfc:PflA506_3725
ko:K06995	pfc:PflA506_4493
ko:K00140	pfc:PflA506_4495
ko:K03581	pfc:PflA506_4500
ko:K03582	pfc:PflA506_4501
ko:K03583	pfc:PflA506_4502
ko:K00053	pfc:PflA506_4511
ko:K01653	pfc:PflA506_4512
ko:K01652	pfc:PflA506_4513
ko:K05365	pfc:PflA506_4516
ko:K02013	pfc:PflA506_4521
ko:K02015	pfc:PflA506_4522
ko:K02016	pfc:PflA506_4523
ko:K06206	pfc:PflA506_4524
ko:K06204	pfc:PflA506_4527
ko:K01894	pfc:PflA506_4528
ko:K00950	pfc:PflA506_4533
ko:K00606	pfc:PflA506_4534
ko:K01918	pfc:PflA506_4535
ko:K01810	pfc:PflA506_4536
ko:K01895	pfc:PflA506_4537
ko:K06969	pfc:PflA506_4538
ko:K00962	pfc:PflA506_4541
