ko:K18893	babo:DK55_1517
ko:K13967	babo:DK55_2766
ko:K22617	babo:DK55_2083
ko:K21909	babo:DK55_2360
ko:K00344	babo:DK55_2637
ko:K02031	babo:DK55_2441
ko:K03297	babo:DK55_932
ko:K07492	babo:DK55_543
ko:K07492	babo:DK55_560
ko:K07050	babo:DK55_1058
ko:K22616	babo:DK55_1525
ko:K19713	babo:DK55_2806
ko:K00035	babo:DK55_2285
ko:K11741	babo:DK55_796
ko:K01271	babo:DK55_1504
ko:K07005	babo:DK55_1363
ko:K21911	babo:DK55_2356
ko:K02031	babo:DK55_3000
ko:K00130	babo:DK55_578
ko:K19231	babo:DK55_3055
ko:K19233	babo:DK55_1792
ko:K19232	babo:DK55_90
ko:K00336	babo:DK55_824
ko:K11209	babo:DK55_653
ko:K00249	babo:DK55_449
ko:K00001	babo:DK55_2487
ko:K00065	babo:DK55_2249
ko:K00076	babo:DK55_1586
ko:K01144	babo:DK55_1374
ko:K11079	babo:DK55_3006
ko:K22616	babo:DK55_1524
ko:K00108	babo:DK55_579
ko:K04771	babo:DK55_638
ko:K19270	babo:DK55_872
ko:K21686	babo:DK55_1188
ko:K13010	babo:DK55_551
ko:K11077	babo:DK55_3004
ko:K05799	babo:DK55_2169
ko:K18676	babo:DK55_2689
ko:K14218	babo:DK55_45
ko:K14230	babo:DK55_1604
ko:K14230	babo:DK55_3017
ko:K14230	babo:DK55_1804
ko:K14225	babo:DK55_1249
ko:K14228	babo:DK55_908
ko:K14228	babo:DK55_1054
ko:K14232	babo:DK55_797
ko:K14237	babo:DK55_815
ko:K18676	babo:DK55_3024
ko:K14219	babo:DK55_323
ko:K14231	babo:DK55_297
ko:K01985	babo:DK55_1605
ko:K01985	babo:DK55_1805
ko:K01985	babo:DK55_3018
ko:K01980	babo:DK55_1806
ko:K14237	babo:DK55_3150
ko:K00940	babo:DK55_714
ko:K09914	babo:DK55_715
ko:K03635	babo:DK55_716
ko:K03636	babo:DK55_717
ko:K03703	babo:DK55_719
ko:K16079	babo:DK55_721
ko:K00799	babo:DK55_722
ko:K01166	babo:DK55_723
ko:K07115	babo:DK55_725
ko:K11175	babo:DK55_729
ko:K01933	babo:DK55_730
ko:K01784	babo:DK55_733
ko:K03303	babo:DK55_737
ko:K00939	babo:DK55_743
ko:K01760	babo:DK55_759
ko:K09969	babo:DK55_761
ko:K09969	babo:DK55_762
ko:K09970	babo:DK55_763
ko:K09971	babo:DK55_764
ko:K09971	babo:DK55_765
ko:K09972	babo:DK55_766
ko:K00480	babo:DK55_767
ko:K07270	babo:DK55_1570
ko:K07289	babo:DK55_1573
ko:K11074	babo:DK55_1574
ko:K11075	babo:DK55_1576
ko:K11076	babo:DK55_1577
ko:K11073	babo:DK55_1578
ko:K07110	babo:DK55_1579
ko:K01637	babo:DK55_1581
ko:K00076	babo:DK55_1585
ko:K16079	babo:DK55_1590
ko:K05879	babo:DK55_1593
ko:K05878	babo:DK55_1594
ko:K05878	babo:DK55_1595
ko:K05879	babo:DK55_1596
ko:K05878	babo:DK55_1597
ko:K17205	babo:DK55_1599
ko:K17206	babo:DK55_1600
ko:K17207	babo:DK55_1601
ko:K00135	babo:DK55_1612
ko:K01247	babo:DK55_1616
ko:K01894	babo:DK55_1617
ko:K01638	babo:DK55_1618
ko:K03823	babo:DK55_1619
ko:K01812	babo:DK55_2412
ko:K01812	babo:DK55_2413
ko:K00040	babo:DK55_2414
ko:K02055	babo:DK55_2415
ko:K02052	babo:DK55_2416
ko:K02054	babo:DK55_2417
ko:K02053	babo:DK55_2418
ko:K01708	babo:DK55_2419
ko:K07722	babo:DK55_2420
ko:K15584	babo:DK55_2421
ko:K15584	babo:DK55_2422
ko:K15585	babo:DK55_2423
ko:K15586	babo:DK55_2424
ko:K15587	babo:DK55_2425
ko:K10824	babo:DK55_2426
ko:K00626	babo:DK55_2430
ko:K01782	babo:DK55_2431
ko:K04566	babo:DK55_2434
ko:K01673	babo:DK55_2436
ko:K02035	babo:DK55_2438
ko:K02033	babo:DK55_2439
ko:K02034	babo:DK55_2440
ko:K00286	babo:DK55_2443
ko:K01491	babo:DK55_2444
ko:K01690	babo:DK55_2445
ko:K01057	babo:DK55_2446
ko:K00036	babo:DK55_2447
ko:K00059	babo:DK55_2448
ko:K09471	babo:DK55_2455
ko:K01915	babo:DK55_2457
ko:K03601	babo:DK55_2461
ko:K02343	babo:DK55_55
ko:K03426	babo:DK55_57
ko:K04518	babo:DK55_58
ko:K00979	babo:DK55_59
ko:K08738	babo:DK55_60
ko:K02297	babo:DK55_62
ko:K02298	babo:DK55_63
ko:K02298	babo:DK55_64
ko:K02299	babo:DK55_65
ko:K02300	babo:DK55_66
ko:K07278	babo:DK55_68
ko:K09800	babo:DK55_69
ko:K01759	babo:DK55_75
ko:K03593	babo:DK55_76
ko:K01835	babo:DK55_77
ko:K06889	babo:DK55_79
ko:K16165	babo:DK55_81
ko:K11068	babo:DK55_86
ko:K14162	babo:DK55_87
ko:K14161	babo:DK55_88
ko:K14160	babo:DK55_89
ko:K01940	babo:DK55_92
ko:K06941	babo:DK55_95
ko:K01724	babo:DK55_99
ko:K01104	babo:DK55_102
ko:K01975	babo:DK55_101
ko:K10804	babo:DK55_103
ko:K02003	babo:DK55_104
ko:K02004	babo:DK55_105
ko:K06890	babo:DK55_106
ko:K03823	babo:DK55_108
ko:K01866	babo:DK55_931
ko:K09001	babo:DK55_933
ko:K07018	babo:DK55_934
ko:K06016	babo:DK55_330
ko:K17723	babo:DK55_332
ko:K01810	babo:DK55_336
ko:K06987	babo:DK55_337
ko:K01091	babo:DK55_339
ko:K01897	babo:DK55_340
ko:K03577	babo:DK55_341
ko:K03585	babo:DK55_342
ko:K18138	babo:DK55_343
ko:K02030	babo:DK55_345
ko:K07636	babo:DK55_348
ko:K13583	babo:DK55_349
ko:K04083	babo:DK55_352
ko:K06195	babo:DK55_353
ko:K10764	babo:DK55_354
ko:K01494	babo:DK55_355
ko:K00254	babo:DK55_360
ko:K01259	babo:DK55_363
ko:K03282	babo:DK55_366
ko:K00643	babo:DK55_367
ko:K06518	babo:DK55_373
ko:K01918	babo:DK55_376
ko:K00606	babo:DK55_377
ko:K00528	babo:DK55_378
ko:K13747	babo:DK55_380
ko:K01077	babo:DK55_1200
ko:K01872	babo:DK55_1201
ko:K07478	babo:DK55_1205
ko:K02879	babo:DK55_1207
ko:K03040	babo:DK55_1208
ko:K02948	babo:DK55_1209
ko:K02952	babo:DK55_1210
