ko:K01175	mhat:B824_11000
ko:K21449	mhat:B824_16450
ko:K21449	mhat:B824_4160
ko:K21498	mhat:B824_15550
ko:K01139	mhat:B824_22530
ko:K04753	mhat:B824_3010
ko:K21645	mhat:B824_24310
ko:K01812	mhat:B824_1820
ko:K01187	mhat:B824_1870
ko:K13637	mhat:B824_1880
ko:K01686	mhat:B824_1890
ko:K09710	mhat:B824_1920
ko:K00783	mhat:B824_1930
ko:K05515	mhat:B824_1940
ko:K05837	mhat:B824_1950
ko:K03642	mhat:B824_1960
ko:K07258	mhat:B824_1970
ko:K09158	mhat:B824_1980
ko:K03801	mhat:B824_1990
ko:K03644	mhat:B824_2000
ko:K02013	mhat:B824_2020
ko:K02015	mhat:B824_2030
ko:K05776	mhat:B824_2050
ko:K00604	mhat:B824_2060
ko:K03498	mhat:B824_2080
ko:K00230	mhat:B824_2090
ko:K03282	mhat:B824_2100
ko:K02968	mhat:B824_2110
ko:K03980	mhat:B824_2120
ko:K02168	mhat:B824_2140
ko:K08223	mhat:B824_2160
ko:K08223	mhat:B824_2170
ko:K05786	mhat:B824_2180
ko:K04568	mhat:B824_2190
ko:K00244	mhat:B824_2200
ko:K00245	mhat:B824_2210
ko:K00246	mhat:B824_2220
ko:K00247	mhat:B824_2230
ko:K00748	mhat:B824_2270
ko:K04774	mhat:B824_2280
ko:K12267	mhat:B824_2310
ko:K03088	mhat:B824_2320
ko:K12372	mhat:B824_2340
ko:K12371	mhat:B824_2350
ko:K12370	mhat:B824_2360
ko:K12369	mhat:B824_2370
ko:K12410	mhat:B824_7900
ko:K01008	mhat:B824_7940
ko:K12152	mhat:B824_7950
ko:K03185	mhat:B824_7960
ko:K02824	mhat:B824_7970
ko:K00226	mhat:B824_7980
ko:K01689	mhat:B824_8000
ko:K03212	mhat:B824_8010
ko:K04565	mhat:B824_8020
ko:K01207	mhat:B824_8050
ko:K03573	mhat:B824_8070
ko:K01356	mhat:B824_8080
ko:K00631	mhat:B824_8090
ko:K07034	mhat:B824_8100
ko:K18991	mhat:B824_8110
ko:K03972	mhat:B824_8130
ko:K08289	mhat:B824_8150
ko:K02778	mhat:B824_8160
ko:K02779	mhat:B824_8160
ko:K01687	mhat:B824_8180
ko:K11179	mhat:B824_8190
ko:K00995	mhat:B824_8210
ko:K03703	mhat:B824_8220
ko:K02887	mhat:B824_8250
ko:K02916	mhat:B824_8260
ko:K02520	mhat:B824_8270
ko:K03654	mhat:B824_8280
ko:K06202	mhat:B824_8290
ko:K07270	mhat:B824_8300
ko:K01409	mhat:B824_8310
ko:K05807	mhat:B824_8320
ko:K06180	mhat:B824_8330
ko:K05809	mhat:B824_8350
ko:K02517	mhat:B824_8360
ko:K01714	mhat:B824_8370
ko:K03837	mhat:B824_8390
ko:K01752	mhat:B824_8400
ko:K00602	mhat:B824_8410
ko:K02013	mhat:B824_14540
ko:K00990	mhat:B824_14550
ko:K07301	mhat:B824_14560
ko:K00831	mhat:B824_14570
ko:K07220	mhat:B824_14580
ko:K03306	mhat:B824_14590
ko:K07184	mhat:B824_14600
ko:K00800	mhat:B824_14610
ko:K00817	mhat:B824_14620
ko:K03798	mhat:B824_14650
ko:K02427	mhat:B824_14660
ko:K04042	mhat:B824_14680
ko:K04067	mhat:B824_14710
ko:K00382	mhat:B824_14730
ko:K00627	mhat:B824_14740
ko:K00163	mhat:B824_14750
ko:K00254	mhat:B824_14760
ko:K00948	mhat:B824_14770
ko:K00919	mhat:B824_14780
ko:K02494	mhat:B824_14790
ko:K11085	mhat:B824_14800
ko:K06518	mhat:B824_14820
ko:K05833	mhat:B824_14860
ko:K05832	mhat:B824_14870
ko:K03321	mhat:B824_14880
ko:K03701	mhat:B824_14890
ko:K03111	mhat:B824_14900
ko:K03424	mhat:B824_14980
ko:K01935	mhat:B824_15070
ko:K05539	mhat:B824_21560
ko:K03426	mhat:B824_21600
ko:K06181	mhat:B824_21610
ko:K07113	mhat:B824_21630
ko:K04085	mhat:B824_21650
ko:K09893	mhat:B824_21660
ko:K03978	mhat:B824_21670
ko:K07160	mhat:B824_21750
ko:K01573	mhat:B824_21770
ko:K01571	mhat:B824_21780
ko:K01572	mhat:B824_21790
ko:K01866	mhat:B824_21800
ko:K01443	mhat:B824_21820
