ko:K19079	suw:SATW20_07360
ko:K09022	suw:SATW20_05650
ko:K04940	suw:SATW20_24320
ko:K19005	suw:SATW20_07940
ko:K19279	suw:SATW20_16490
ko:K01318	suw:SATW20_18070
ko:K19285	suw:SATW20_04490
ko:K07145	suw:SATW20_01760
ko:K11737	suw:SATW20_16860
ko:K16301	suw:SATW20_04120
ko:K05352	suw:SATW20_02580
ko:K09692	suw:SATW20_07130
ko:K18938	suw:SATW20_p1150
ko:K18936	suw:SATW20_25450
ko:K18934	suw:SATW20_23020
ko:K07491	suw:SATW20_28460
ko:K07491	suw:SATW20_17810
ko:K07491	suw:SATW20_14170
ko:K04763	suw:SATW20_16520
ko:K03111	suw:SATW20_19790
ko:K14234	suw:SATW20_t050
ko:K14234	suw:SATW20_t320
ko:K14234	suw:SATW20_t490
ko:K18935	suw:SATW20_23040
ko:K00122	suw:SATW20_01870
ko:K06216	suw:SATW20_02730
ko:K03328	suw:SATW20_01430
ko:K03328	suw:SATW20_05720
ko:K00130	suw:SATW20_27510
ko:K02424	suw:SATW20_25440
ko:K14222	suw:SATW20_t270
ko:K10009	suw:SATW20_25430
ko:K03311	suw:SATW20_03110
ko:K02003	suw:SATW20_03140
ko:K00611	suw:SATW20_11610
ko:K00926	suw:SATW20_11620
ko:K03925	suw:SATW20_11720
ko:K03438	suw:SATW20_11730
ko:K01000	suw:SATW20_11760
ko:K01925	suw:SATW20_11770
ko:K03589	suw:SATW20_11780
ko:K03590	suw:SATW20_11790
ko:K03531	suw:SATW20_11800
ko:K05810	suw:SATW20_11810
ko:K06997	suw:SATW20_11820
ko:K09772	suw:SATW20_11830
ko:K02221	suw:SATW20_11840
ko:K04074	suw:SATW20_11860
ko:K01870	suw:SATW20_11870
ko:K03101	suw:SATW20_11900
ko:K06180	suw:SATW20_11910
ko:K02825	suw:SATW20_11920
ko:K00609	suw:SATW20_11940
ko:K01465	suw:SATW20_11950
ko:K01956	suw:SATW20_11960
ko:K01955	suw:SATW20_11970
ko:K01591	suw:SATW20_11980
ko:K00762	suw:SATW20_11990
ko:K00942	suw:SATW20_12030
ko:K03060	suw:SATW20_12040
ko:K13038	suw:SATW20_12050
ko:K04066	suw:SATW20_12060
ko:K01462	suw:SATW20_12090
ko:K00604	suw:SATW20_12100
ko:K03500	suw:SATW20_12110
ko:K02016	suw:SATW20_20060
ko:K04077	suw:SATW20_20120
ko:K04078	suw:SATW20_20130
ko:K07078	suw:SATW20_20160
ko:K11936	suw:SATW20_28040
ko:K11755	suw:SATW20_28090
ko:K02500	suw:SATW20_28100
ko:K01814	suw:SATW20_28110
