ko:K01006	lmon:LMOSLCC2376_1829
ko:K01699	lmon:LMOSLCC2376_1104
ko:K00657	lmon:LMOSLCC2376_0009
ko:K07045	lmon:LMOSLCC2376_0838
ko:K07652	lmon:LMOSLCC2376_0266
ko:K03478	lmon:LMOSLCC2376_0162
ko:K09685	lmon:LMOSLCC2376_0163
ko:K02005	lmon:LMOSLCC2376_0164
ko:K02004	lmon:LMOSLCC2376_0166
ko:K01771	lmon:LMOSLCC2376_0172
ko:K11031	lmon:LMOSLCC2376_0173
ko:K00016	lmon:LMOSLCC2376_0180
ko:K03708	lmon:LMOSLCC2376_0199
ko:K09698	lmon:LMOSLCC2376_0207
ko:K00564	lmon:LMOSLCC2376_0225
ko:K01439	lmon:LMOSLCC2376_0236
ko:K01507	lmon:LMOSLCC2376_0318
ko:K03491	lmon:LMOSLCC2376_0276
ko:K01081	lmon:LMOSLCC2376_0283
ko:K00616	lmon:LMOSLCC2376_0323
ko:K08969	lmon:LMOSLCC2376_0264
ko:K07668	lmon:LMOSLCC2376_0265
ko:K02795	lmon:LMOSLCC2376_0026
ko:K02793	lmon:LMOSLCC2376_0024
ko:K06201	lmon:LMOSLCC2376_0029
ko:K02755	lmon:LMOSLCC2376_0030
ko:K02756	lmon:LMOSLCC2376_0030
ko:K02757	lmon:LMOSLCC2376_0030
ko:K01478	lmon:LMOSLCC2376_0040
ko:K07706	lmon:LMOSLCC2376_0047
ko:K02793	lmon:LMOSLCC2376_0086
ko:K02794	lmon:LMOSLCC2376_0086
ko:K02795	lmon:LMOSLCC2376_0087
ko:K06147	lmon:LMOSLCC2376_0098
ko:K06147	lmon:LMOSLCC2376_0099
ko:K01081	lmon:LMOSLCC2376_0112
ko:K00088	lmon:LMOSLCC2376_0114
ko:K02035	lmon:LMOSLCC2376_0117
ko:K02033	lmon:LMOSLCC2376_0118
ko:K02035	lmon:LMOSLCC2376_0127
ko:K09815	lmon:LMOSLCC2376_0128
ko:K22010	lmon:LMOSLCC2376_1124
ko:K01990	lmon:LMOSLCC2376_2173
ko:K01182	lmon:LMOSLCC2376_0155
ko:K00244	lmon:LMOSLCC2376_0336
ko:K05937	lmon:LMOSLCC2376_0373
ko:K02004	lmon:LMOSLCC2376_0390
ko:K15524	lmon:LMOSLCC2376_0396
ko:K01759	lmon:LMOSLCC2376_0401
ko:K07729	lmon:LMOSLCC2376_0409
ko:K00869	lmon:LMOSLCC2376_0011
ko:K00938	lmon:LMOSLCC2376_0012
ko:K02313	lmon:LMOSLCC2376_0001
ko:K02338	lmon:LMOSLCC2376_0002
ko:K11051	lmon:LMOSLCC2376_0959
ko:K05350	lmon:LMOSLCC2376_0354
ko:K11741	lmon:LMOSLCC2376_0821
ko:K11741	lmon:LMOSLCC2376_0822
ko:K18926	lmon:LMOSLCC2376_0499
ko:K16509	lmon:LMOSLCC2376_2148
ko:K03699	lmon:LMOSLCC2376_2633
ko:K01977	lmon:LMOSLCC2376rRNA01
ko:K16511	lmon:LMOSLCC2376_2147
ko:K02956	lmon:LMOSLCC2376_1284
ko:K00962	lmon:LMOSLCC2376_1285
ko:K06949	lmon:LMOSLCC2376_1286
ko:K02913	lmon:LMOSLCC2376_1289
ko:K01652	lmon:LMOSLCC2376_1961
ko:K07718	lmon:LMOSLCC2376_1966
ko:K03704	lmon:LMOSLCC2376_1971
ko:K01778	lmon:LMOSLCC2376_1973
ko:K01870	lmon:LMOSLCC2376_1974
ko:K04074	lmon:LMOSLCC2376_1975
ko:K04487	lmon:LMOSLCC2376_1977
ko:K00278	lmon:LMOSLCC2376_1978
ko:K00767	lmon:LMOSLCC2376_1979
ko:K03517	lmon:LMOSLCC2376_1980
ko:K02221	lmon:LMOSLCC2376_1982
ko:K09772	lmon:LMOSLCC2376_1983
ko:K06997	lmon:LMOSLCC2376_1984
ko:K03531	lmon:LMOSLCC2376_1985
ko:K03590	lmon:LMOSLCC2376_1986
ko:K03589	lmon:LMOSLCC2376_1987
ko:K02563	lmon:LMOSLCC2376_1988
ko:K01925	lmon:LMOSLCC2376_1989
ko:K01000	lmon:LMOSLCC2376_1990
ko:K01928	lmon:LMOSLCC2376_1991
ko:K03438	lmon:LMOSLCC2376_1994
ko:K03925	lmon:LMOSLCC2376_1995
ko:K01919	lmon:LMOSLCC2376_2666
ko:K01223	lmon:LMOSLCC2376_2667
ko:K02003	lmon:LMOSLCC2376_2670
ko:K06942	lmon:LMOSLCC2376_2679
ko:K02759	lmon:LMOSLCC2376_2680
ko:K05349	lmon:LMOSLCC2376_2681
ko:K02760	lmon:LMOSLCC2376_2682
ko:K02761	lmon:LMOSLCC2376_2683
ko:K03781	lmon:LMOSLCC2376_2685
ko:K03501	lmon:LMOSLCC2376_2702
ko:K02247	lmon:LMOSLCC2376_1297
ko:K00605	lmon:LMOSLCC2376_1302
ko:K00282	lmon:LMOSLCC2376_1303
ko:K00283	lmon:LMOSLCC2376_1304
ko:K02356	lmon:LMOSLCC2376_1309
ko:K02160	lmon:LMOSLCC2376_1310
ko:K01961	lmon:LMOSLCC2376_1311
ko:K03625	lmon:LMOSLCC2376_1313
ko:K01491	lmon:LMOSLCC2376_1314
ko:K03601	lmon:LMOSLCC2376_1315
ko:K03602	lmon:LMOSLCC2376_1316
ko:K13789	lmon:LMOSLCC2376_1317
ko:K03704	lmon:LMOSLCC2376_1318
ko:K01662	lmon:LMOSLCC2376_1319
ko:K06442	lmon:LMOSLCC2376_1320
ko:K03402	lmon:LMOSLCC2376_1321
ko:K03631	lmon:LMOSLCC2376_1322
ko:K00382	lmon:LMOSLCC2376_1325
ko:K00166	lmon:LMOSLCC2376_1326
ko:K00167	lmon:LMOSLCC2376_1327
ko:K09699	lmon:LMOSLCC2376_1328
ko:K03217	lmon:LMOSLCC2376_1334
ko:K01512	lmon:LMOSLCC2376_1336
ko:K07146	lmon:LMOSLCC2376_1339
ko:K03466	lmon:LMOSLCC2376_1341
ko:K00286	lmon:LMOSLCC2376_1342
ko:K00077	lmon:LMOSLCC2376_1999
ko:K02911	lmon:LMOSLCC2376_2001
ko:K07040	lmon:LMOSLCC2376_2002
ko:K00954	lmon:LMOSLCC2376_2006
ko:K02259	lmon:LMOSLCC2376_2012
ko:K10716	lmon:LMOSLCC2376_2013
ko:K14166	lmon:LMOSLCC2376_2016
ko:K03282	lmon:LMOSLCC2376_2018
ko:K01442	lmon:LMOSLCC2376_2021
ko:K04077	lmon:LMOSLCC2376_2022
ko:K04078	lmon:LMOSLCC2376_2023
ko:K01926	lmon:LMOSLCC2376_2027
ko:K06158	lmon:LMOSLCC2376_2028
