ko:K07005	bmaq:DM76_3387
ko:K03297	bmaq:DM76_2894
ko:K16238	bmaq:DM76_989
ko:K11741	bmaq:DM76_2553
ko:K15634	bmaq:DM76_1411
ko:K18816	bmaq:DM76_4671
ko:K05799	bmaq:DM76_638
ko:K05375	bmaq:DM76_3502
ko:K06893	bmaq:DM76_1161
ko:K19416	bmaq:DM76_3179
ko:K00102	bmaq:DM76_3463
ko:K02483	bmaq:DM76_3299
ko:K11209	bmaq:DM76_1415
ko:K11209	bmaq:DM76_2989
ko:K00821	bmaq:DM76_2461
ko:K07492	bmaq:DM76_3060
ko:K21449	bmaq:DM76_3732
ko:K07346	bmaq:DM76_2873
ko:K22589	bmaq:DM76_2291
ko:K21678	bmaq:DM76_4408
ko:K00249	bmaq:DM76_1152
ko:K21345	bmaq:DM76_749
ko:K21344	bmaq:DM76_1813
ko:K05882	bmaq:DM76_4854
ko:K01738	bmaq:DM76_244
ko:K01697	bmaq:DM76_244
ko:K00863	bmaq:DM76_2858
ko:K15355	bmaq:DM76_3256
ko:K00108	bmaq:DM76_3419
ko:K05874	bmaq:DM76_3007
ko:K00344	bmaq:DM76_4463
ko:K00091	bmaq:DM76_4531
ko:K00108	bmaq:DM76_943
ko:K21757	bmaq:DM76_4213
ko:K07485	bmaq:DM76_1267
ko:K07485	bmaq:DM76_424
ko:K07485	bmaq:DM76_4436
ko:K03332	bmaq:DM76_4746
ko:K18850	bmaq:DM76_291
ko:K14228	bmaq:DM76_2591
ko:K14228	bmaq:DM76_3755
ko:K14229	bmaq:DM76_2356
ko:K18928	bmaq:DM76_330
ko:K14229	bmaq:DM76_1516
ko:K02016	bmaq:DM76_2402
ko:K00854	bmaq:DM76_1693
ko:K05838	bmaq:DM76_1732
ko:K14232	bmaq:DM76_3046
ko:K14228	bmaq:DM76_3099
ko:K14228	bmaq:DM76_3097
ko:K14226	bmaq:DM76_108
ko:K14236	bmaq:DM76_1253
ko:K14222	bmaq:DM76_3255
ko:K14219	bmaq:DM76_4843
ko:K09691	bmaq:DM76_2443
ko:K07122	bmaq:DM76_1214
ko:K07323	bmaq:DM76_1215
ko:K04754	bmaq:DM76_1216
ko:K02067	bmaq:DM76_1217
ko:K02066	bmaq:DM76_1218
ko:K02065	bmaq:DM76_1219
ko:K00788	bmaq:DM76_1220
ko:K03149	bmaq:DM76_1221
ko:K03154	bmaq:DM76_1222
ko:K07240	bmaq:DM76_1493
ko:K08234	bmaq:DM76_1497
ko:K10778	bmaq:DM76_1498
ko:K01247	bmaq:DM76_1499
ko:K01919	bmaq:DM76_1500
ko:K03086	bmaq:DM76_1501
ko:K02055	bmaq:DM76_1505
ko:K12251	bmaq:DM76_1507
ko:K00058	bmaq:DM76_1519
ko:K04096	bmaq:DM76_1523
ko:K04096	bmaq:DM76_1526
ko:K01462	bmaq:DM76_1527
ko:K00604	bmaq:DM76_1528
ko:K03799	bmaq:DM76_1530
ko:K03500	bmaq:DM76_1531
ko:K06920	bmaq:DM76_1536
ko:K01737	bmaq:DM76_1538
ko:K01630	bmaq:DM76_1539
ko:K05837	bmaq:DM76_1541
ko:K05515	bmaq:DM76_1542
ko:K03571	bmaq:DM76_1543
ko:K03570	bmaq:DM76_1544
ko:K01679	bmaq:DM76_1862
ko:K03327	bmaq:DM76_1865
ko:K14761	bmaq:DM76_1866
ko:K05805	bmaq:DM76_1869
ko:K05524	bmaq:DM76_1872
ko:K00763	bmaq:DM76_1873
ko:K00782	bmaq:DM76_1874
ko:K09760	bmaq:DM76_1877
ko:K03750	bmaq:DM76_1880
ko:K03752	bmaq:DM76_1881
ko:K03639	bmaq:DM76_1882
ko:K08300	bmaq:DM76_1883
ko:K06179	bmaq:DM76_1884
ko:K01091	bmaq:DM76_1885
ko:K04773	bmaq:DM76_1887
ko:K07056	bmaq:DM76_1888
ko:K06287	bmaq:DM76_1889
ko:K07040	bmaq:DM76_1890
ko:K02911	bmaq:DM76_1891
ko:K03621	bmaq:DM76_1892
ko:K00648	bmaq:DM76_1893
ko:K00645	bmaq:DM76_1894
ko:K00059	bmaq:DM76_1895
ko:K02078	bmaq:DM76_1896
ko:K09458	bmaq:DM76_1897
ko:K03088	bmaq:DM76_1899
ko:K03597	bmaq:DM76_1900
ko:K03598	bmaq:DM76_1901
ko:K03596	bmaq:DM76_1904
ko:K03100	bmaq:DM76_1905
ko:K03685	bmaq:DM76_1906
ko:K03584	bmaq:DM76_1908
ko:K03474	bmaq:DM76_1909
ko:K00997	bmaq:DM76_1910
ko:K01207	bmaq:DM76_1911
ko:K02356	bmaq:DM76_1913
ko:K03439	bmaq:DM76_2281
ko:K06199	bmaq:DM76_2286
ko:K02221	bmaq:DM76_2288
ko:K06895	bmaq:DM76_2292
ko:K03182	bmaq:DM76_2293
ko:K03625	bmaq:DM76_2296
ko:K00794	bmaq:DM76_2297
ko:K14652	bmaq:DM76_2298
ko:K00793	bmaq:DM76_2299
ko:K11752	bmaq:DM76_2300
ko:K01845	bmaq:DM76_2301
ko:K07552	bmaq:DM76_2304
ko:K02028	bmaq:DM76_2307
ko:K10009	bmaq:DM76_2308
ko:K02424	bmaq:DM76_2309
ko:K00845	bmaq:DM76_2310
ko:K01057	bmaq:DM76_2311
ko:K00036	bmaq:DM76_2312
ko:K17315	bmaq:DM76_2313
ko:K17316	bmaq:DM76_2314
ko:K17317	bmaq:DM76_2315
ko:K10112	bmaq:DM76_2316
ko:K00384	bmaq:DM76_2319
ko:K03466	bmaq:DM76_2320
ko:K03634	bmaq:DM76_2321
ko:K07478	bmaq:DM76_2322
ko:K01875	bmaq:DM76_2324
ko:K03610	bmaq:DM76_2328
ko:K03609	bmaq:DM76_2329
ko:K03608	bmaq:DM76_2330
ko:K08296	bmaq:DM76_2753
ko:K03327	bmaq:DM76_2757
ko:K01895	bmaq:DM76_2759
ko:K00375	bmaq:DM76_2770
ko:K06044	bmaq:DM76_2773
ko:K00705	bmaq:DM76_2774
ko:K01236	bmaq:DM76_2775
ko:K00700	bmaq:DM76_2777
ko:K00700	bmaq:DM76_2778
ko:K05343	bmaq:DM76_2779
ko:K16147	bmaq:DM76_2780
ko:K05973	bmaq:DM76_2781
ko:K04618	bmaq:DM76_2798
ko:K11896	bmaq:DM76_2801
ko:K10440	bmaq:DM76_3287
ko:K10441	bmaq:DM76_3288
ko:K10439	bmaq:DM76_3289
ko:K01425	bmaq:DM76_3298
ko:K02484	bmaq:DM76_3301
ko:K07001	bmaq:DM76_3302
ko:K03569	bmaq:DM76_3304
ko:K07023	bmaq:DM76_3306
ko:K00799	bmaq:DM76_3312
ko:K07771	bmaq:DM76_3317
ko:K13633	bmaq:DM76_3322
ko:K01281	bmaq:DM76_3329
ko:K09927	bmaq:DM76_3335
ko:K01194	bmaq:DM76_3337
ko:K02164	bmaq:DM76_3339
ko:K03219	bmaq:DM76_3883
ko:K02669	bmaq:DM76_3893
ko:K07657	bmaq:DM76_3895
ko:K03220	bmaq:DM76_3905
ko:K03220	bmaq:DM76_3906
ko:K03227	bmaq:DM76_3908
ko:K03226	bmaq:DM76_3909
ko:K03225	bmaq:DM76_3910
ko:K03230	bmaq:DM76_3911
ko:K03229	bmaq:DM76_3912
ko:K18374	bmaq:DM76_3914
ko:K03222	bmaq:DM76_3915
ko:K03223	bmaq:DM76_3917
ko:K03224	bmaq:DM76_3918
ko:K03228	bmaq:DM76_3920
ko:K00836	bmaq:DM76_3927
ko:K00156	bmaq:DM76_3928
ko:K18288	bmaq:DM76_3929
ko:K18290	bmaq:DM76_3930
ko:K18292	bmaq:DM76_3931
ko:K01546	bmaq:DM76_2546
ko:K01547	bmaq:DM76_2547
ko:K01548	bmaq:DM76_2548
ko:K07646	bmaq:DM76_2550
ko:K07667	bmaq:DM76_2551
ko:K09712	bmaq:DM76_2552
ko:K02004	bmaq:DM76_2556
ko:K06886	bmaq:DM76_2557
ko:K01426	bmaq:DM76_2560
ko:K06966	bmaq:DM76_2565
ko:K00901	bmaq:DM76_2567
ko:K03088	bmaq:DM76_2573
ko:K01652	bmaq:DM76_2574
ko:K01653	bmaq:DM76_2575
ko:K00053	bmaq:DM76_2576
ko:K01613	bmaq:DM76_2577
ko:K17103	bmaq:DM76_2578
ko:K01649	bmaq:DM76_2581
ko:K01673	bmaq:DM76_2583
ko:K01999	bmaq:DM76_2585
ko:K02956	bmaq:DM76_2586
ko:K00962	bmaq:DM76_2587
ko:K01803	bmaq:DM76_2589
ko:K03075	bmaq:DM76_2590
ko:K00330	bmaq:DM76_2592
ko:K00331	bmaq:DM76_2593
ko:K07107	bmaq:DM76_3022
ko:K01028	bmaq:DM76_3026
ko:K01029	bmaq:DM76_3027
ko:K00951	bmaq:DM76_3035
ko:K01868	bmaq:DM76_3037
ko:K02520	bmaq:DM76_3038
ko:K02916	bmaq:DM76_3039
ko:K02887	bmaq:DM76_3040
ko:K01889	bmaq:DM76_3041
ko:K01890	bmaq:DM76_3042
ko:K04764	bmaq:DM76_3043
ko:K07287	bmaq:DM76_3049
ko:K06024	bmaq:DM76_3062
ko:K06178	bmaq:DM76_3063
ko:K09748	bmaq:DM76_3064
ko:K02600	bmaq:DM76_3065
ko:K02519	bmaq:DM76_3066
ko:K02834	bmaq:DM76_3067
ko:K03177	bmaq:DM76_3068
ko:K03446	bmaq:DM76_3069
ko:K03543	bmaq:DM76_3070
ko:K06207	bmaq:DM76_3073
ko:K00164	bmaq:DM76_3074
ko:K01497	bmaq:DM76_3563
ko:K18139	bmaq:DM76_3564
ko:K18307	bmaq:DM76_3566
ko:K18306	bmaq:DM76_3567
ko:K03798	bmaq:DM76_3571
ko:K03758	bmaq:DM76_3573
ko:K09129	bmaq:DM76_3576
ko:K15725	bmaq:DM76_3579
ko:K15727	bmaq:DM76_3580
ko:K07665	bmaq:DM76_3583
ko:K07644	bmaq:DM76_3584
ko:K01968	bmaq:DM76_3593
ko:K13766	bmaq:DM76_3594
ko:K01969	bmaq:DM76_3595
ko:K00253	bmaq:DM76_3596
ko:K04561	bmaq:DM76_3598
ko:K00368	bmaq:DM76_3599
ko:K13747	bmaq:DM76_3600
ko:K08369	bmaq:DM76_3605
ko:K02484	bmaq:DM76_3607
ko:K15256	bmaq:DM76_4144
ko:K03606	bmaq:DM76_4154
ko:K07004	bmaq:DM76_4166
ko:K02014	bmaq:DM76_4171
ko:K07397	bmaq:DM76_4180
ko:K07223	bmaq:DM76_4182
ko:K06147	bmaq:DM76_4183
ko:K18199	bmaq:DM76_4184
ko:K01867	bmaq:DM76_4186
ko:K07052	bmaq:DM76_4189
ko:K01560	bmaq:DM76_4191
ko:K13491	bmaq:DM76_4192
ko:K13490	bmaq:DM76_4193
ko:K13489	bmaq:DM76_4194
ko:K07501	bmaq:DM76_3182
ko:K03087	bmaq:DM76_3183
ko:K06194	bmaq:DM76_3184
ko:K00573	bmaq:DM76_3185
ko:K03787	bmaq:DM76_3186
ko:K06187	bmaq:DM76_3188
ko:K09747	bmaq:DM76_3189
ko:K02343	bmaq:DM76_3190
ko:K03671	bmaq:DM76_3191
ko:K03628	bmaq:DM76_3192
ko:K09933	bmaq:DM76_3195
ko:K02909	bmaq:DM76_3196
ko:K03327	bmaq:DM76_3198
ko:K01607	bmaq:DM76_3199
ko:K03695	bmaq:DM76_3203
ko:K13771	bmaq:DM76_3204
ko:K06886	bmaq:DM76_3205
ko:K03635	bmaq:DM76_3206
ko:K03636	bmaq:DM76_3207
ko:K03750	bmaq:DM76_3208
ko:K01569	bmaq:DM76_3209
ko:K03322	bmaq:DM76_3210
ko:K01531	bmaq:DM76_3217
ko:K14645	bmaq:DM76_3219
ko:K15977	bmaq:DM76_3225
ko:K10016	bmaq:DM76_3228
