ko:K08153	banh:HYU01_04530
ko:K19310	banh:HYU01_01545
ko:K16654	banh:HYU01_06460
ko:K07496	banh:HYU01_26375
ko:K18925	banh:HYU01_04520
ko:K18924	banh:HYU01_04515
ko:K03547	banh:HYU01_05335
ko:K17910	banh:HYU01_07090
ko:K19689	banh:HYU01_01775
ko:K07050	banh:HYU01_08670
ko:K07149	banh:HYU01_18940
ko:K03297	banh:HYU01_01770
ko:K03297	banh:HYU01_16440
ko:K05592	banh:HYU01_27840
ko:K11638	banh:HYU01_04935
ko:K18926	banh:HYU01_05475
ko:K18926	banh:HYU01_05030
ko:K01400	banh:HYU01_03265
ko:K20107	banh:HYU01_02015
ko:K20108	banh:HYU01_02015
ko:K19975	banh:HYU01_15700
ko:K19973	banh:HYU01_15710
ko:K01992	banh:HYU01_06995
ko:K01990	banh:HYU01_06990
ko:K01992	banh:HYU01_27570
ko:K01990	banh:HYU01_09005
ko:K01990	banh:HYU01_23270
ko:K19309	banh:HYU01_01550
ko:K02479	banh:HYU01_11290
ko:K01759	banh:HYU01_26630
ko:K07149	banh:HYU01_16030
ko:K21379	banh:HYU01_17515
ko:K08221	banh:HYU01_27430
ko:K21472	banh:HYU01_25470
ko:K21993	banh:HYU01_18860
ko:K06418	banh:HYU01_15430
ko:K19449	banh:HYU01_06595
ko:K06372	banh:HYU01_06600
ko:K21113	banh:HYU01_13075
ko:K22579	banh:HYU01_15365
ko:K02351	banh:HYU01_15375
ko:K02475	banh:HYU01_03050
ko:K15580	banh:HYU01_10215
ko:K01985	banh:HYU01_00060
ko:K01985	banh:HYU01_00170
ko:K01985	banh:HYU01_01440
ko:K01985	banh:HYU01_01535
ko:K01985	banh:HYU01_00445
ko:K01985	banh:HYU01_01575
ko:K01985	banh:HYU01_00825
ko:K01985	banh:HYU01_02865
ko:K01985	banh:HYU01_25070
ko:K01985	banh:HYU01_03870
ko:K01980	banh:HYU01_25075
ko:K01980	banh:HYU01_01435
ko:K01980	banh:HYU01_00165
ko:K01980	banh:HYU01_01570
ko:K01980	banh:HYU01_01530
ko:K01980	banh:HYU01_00820
ko:K01980	banh:HYU01_00055
ko:K01980	banh:HYU01_02860
ko:K01980	banh:HYU01_03865
ko:K01980	banh:HYU01_00440
ko:K01977	banh:HYU01_00150
ko:K01977	banh:HYU01_01565
ko:K01977	banh:HYU01_01525
ko:K01977	banh:HYU01_01430
ko:K01977	banh:HYU01_25080
ko:K01977	banh:HYU01_00815
ko:K01977	banh:HYU01_02855
ko:K01977	banh:HYU01_00435
ko:K01977	banh:HYU01_03860
ko:K01977	banh:HYU01_00040
ko:K05946	banh:HYU01_27675
ko:K12267	banh:HYU01_27760
ko:K05339	banh:HYU01_27770
ko:K05338	banh:HYU01_27775
ko:K07705	banh:HYU01_27780
ko:K07704	banh:HYU01_27785
ko:K00491	banh:HYU01_27800
ko:K04564	banh:HYU01_27805
ko:K01784	banh:HYU01_27825
ko:K11068	banh:HYU01_27830
ko:K00364	banh:HYU01_27850
ko:K00783	banh:HYU01_27865
ko:K07652	banh:HYU01_27895
ko:K07668	banh:HYU01_27900
ko:K01939	banh:HYU01_27925
ko:K02939	banh:HYU01_27935
ko:K02963	banh:HYU01_27950
ko:K07219	banh:HYU01_01125
ko:K00655	banh:HYU01_01160
ko:K03424	banh:HYU01_01200
ko:K02035	banh:HYU01_01245
ko:K02033	banh:HYU01_01250
ko:K02034	banh:HYU01_01255
ko:K00457	banh:HYU01_01285
ko:K00451	banh:HYU01_01295
ko:K01929	banh:HYU01_01310
ko:K05592	banh:HYU01_01315
ko:K00997	banh:HYU01_01330
ko:K01775	banh:HYU01_01340
ko:K07723	banh:HYU01_01350
ko:K06959	banh:HYU01_01360
ko:K03095	banh:HYU01_01370
ko:K06925	banh:HYU01_01455
ko:K06173	banh:HYU01_02610
ko:K06714	banh:HYU01_02620
ko:K01425	banh:HYU01_02660
ko:K02803	banh:HYU01_02665
ko:K02804	banh:HYU01_02665
ko:K15652	banh:HYU01_09950
ko:K08221	banh:HYU01_09960
ko:K06895	banh:HYU01_09965
ko:K07001	banh:HYU01_09975
ko:K01916	banh:HYU01_10005
ko:K11636	banh:HYU01_10010
ko:K13275	banh:HYU01_10020
ko:K06949	banh:HYU01_10055
ko:K03406	banh:HYU01_10060
ko:K04047	banh:HYU01_10080
ko:K00274	banh:HYU01_10105
ko:K00657	banh:HYU01_10125
ko:K09815	banh:HYU01_10185
ko:K00567	banh:HYU01_10205
ko:K11210	banh:HYU01_10220
ko:K06330	banh:HYU01_10240
ko:K01887	banh:HYU01_10865
ko:K01870	banh:HYU01_10890
ko:K01929	banh:HYU01_10905
ko:K03466	banh:HYU01_10930
ko:K00865	banh:HYU01_11020
ko:K03308	banh:HYU01_11050
ko:K01259	banh:HYU01_11055
ko:K09962	banh:HYU01_11060
ko:K01091	banh:HYU01_11070
ko:K01779	banh:HYU01_11085
ko:K01990	banh:HYU01_11110
ko:K01992	banh:HYU01_11115
ko:K01091	banh:HYU01_11130
ko:K01034	banh:HYU01_11440
ko:K01438	banh:HYU01_11450
ko:K06714	banh:HYU01_11460
ko:K01843	banh:HYU01_11465
ko:K06377	banh:HYU01_11505
ko:K07533	banh:HYU01_11640
ko:K06304	banh:HYU01_11660
ko:K05366	banh:HYU01_11675
ko:K01647	banh:HYU01_11695
ko:K01720	banh:HYU01_11700
ko:K00140	banh:HYU01_11720
ko:K03704	banh:HYU01_12050
ko:K07052	banh:HYU01_12055
ko:K00133	banh:HYU01_12120
ko:K09702	banh:HYU01_12150
ko:K01448	banh:HYU01_12170
ko:K03088	banh:HYU01_12210
ko:K02760	banh:HYU01_12240
ko:K02761	banh:HYU01_12245
ko:K09001	banh:HYU01_12255
ko:K01754	banh:HYU01_12275
ko:K05592	banh:HYU01_12305
ko:K02004	banh:HYU01_12330
ko:K02003	banh:HYU01_12335
ko:K03666	banh:HYU01_28955
ko:K03611	banh:HYU01_28965
ko:K03168	banh:HYU01_28990
ko:K02283	banh:HYU01_29115
ko:K01448	banh:HYU01_29215
ko:K07052	banh:HYU01_29245
ko:K03406	banh:HYU01_25990
ko:K06199	banh:HYU01_26000
ko:K06199	banh:HYU01_26005
ko:K00657	banh:HYU01_26020
ko:K13256	banh:HYU01_26025
ko:K02013	banh:HYU01_26040
ko:K02015	banh:HYU01_26045
ko:K02015	banh:HYU01_26050
ko:K02016	banh:HYU01_26055
ko:K03664	banh:HYU01_26065
ko:K12573	banh:HYU01_26070
ko:K03928	banh:HYU01_26075
ko:K03075	banh:HYU01_26080
ko:K01689	banh:HYU01_26205
ko:K15633	banh:HYU01_26210
ko:K01803	banh:HYU01_26215
ko:K00927	banh:HYU01_26220
ko:K00134	banh:HYU01_26225
ko:K05311	banh:HYU01_26230
ko:K03092	banh:HYU01_26240
ko:K06405	banh:HYU01_26265
ko:K06406	banh:HYU01_26270
ko:K06407	banh:HYU01_26275
ko:K01961	banh:HYU01_12645
ko:K02160	banh:HYU01_12650
ko:K01640	banh:HYU01_12655
ko:K01895	banh:HYU01_12670
ko:K01243	banh:HYU01_12725
ko:K08602	banh:HYU01_12820
ko:K01928	banh:HYU01_12855
ko:K01449	banh:HYU01_12875
ko:K01426	banh:HYU01_12880
ko:K11635	banh:HYU01_12915
ko:K00657	banh:HYU01_13280
ko:K08177	banh:HYU01_13305
ko:K02338	banh:HYU01_13320
ko:K03574	banh:HYU01_13325
ko:K07214	banh:HYU01_13370
ko:K06153	banh:HYU01_13420
ko:K08310	banh:HYU01_13470
ko:K00285	banh:HYU01_13475
ko:K00675	banh:HYU01_13485
ko:K07025	banh:HYU01_13500
ko:K03076	banh:HYU01_13560
ko:K01807	banh:HYU01_13840
ko:K03823	banh:HYU01_13925
ko:K03657	banh:HYU01_13945
ko:K03654	banh:HYU01_13965
ko:K15986	banh:HYU01_14010
ko:K03310	banh:HYU01_14030
ko:K00128	banh:HYU01_14035
ko:K01714	banh:HYU01_14040
ko:K03740	banh:HYU01_14110
ko:K15580	banh:HYU01_14120
ko:K01489	banh:HYU01_14150
ko:K01281	banh:HYU01_14175
ko:K06889	banh:HYU01_14205
ko:K01243	banh:HYU01_14210
ko:K05946	banh:HYU01_14220
ko:K02372	banh:HYU01_14360
ko:K09680	banh:HYU01_14365
ko:K01992	banh:HYU01_14380
ko:K01990	banh:HYU01_14385
ko:K01784	banh:HYU01_02700
ko:K00656	banh:HYU01_02710
ko:K04069	banh:HYU01_02715
ko:K07071	banh:HYU01_02740
ko:K03565	banh:HYU01_02745
ko:K06428	banh:HYU01_02760
ko:K07038	banh:HYU01_02770
ko:K03575	banh:HYU01_02775
ko:K06422	banh:HYU01_02785
ko:K07586	banh:HYU01_02795
ko:K11085	banh:HYU01_02800
