ko:K09796	mys:NF92_13045
ko:K14231	mys:NF92_19255
ko:K02113	mys:NF92_16355
ko:K02109	mys:NF92_16355
ko:K18958	mys:NF92_06600
ko:K15733	mys:NF92_13050
ko:K18955	mys:NF92_06225
ko:K19311	mys:NF92_06555
ko:K19746	mys:NF92_00725
ko:K22552	mys:NF92_17210
ko:K21689	mys:NF92_03850
ko:K21688	mys:NF92_17910
ko:K19302	mys:NF92_22005
ko:K00897	mys:NF92_22190
ko:K14333	mys:NF92_06290
ko:K21672	mys:NF92_01260
ko:K14224	mys:NF92_07730
ko:K14237	mys:NF92_09735
ko:K14237	mys:NF92_09750
ko:K14230	mys:NF92_14950
ko:K14218	mys:NF92_22930
ko:K14233	mys:NF92_21955
ko:K00252	mys:NF92_01380
ko:K11609	mys:NF92_01385
ko:K00128	mys:NF92_01400
ko:K02066	mys:NF92_01420
ko:K02066	mys:NF92_01425
ko:K02067	mys:NF92_01435
ko:K18481	mys:NF92_01460
ko:K09793	mys:NF92_01465
ko:K01104	mys:NF92_01470
ko:K11537	mys:NF92_01475
ko:K01692	mys:NF92_01485
ko:K07393	mys:NF92_01525
ko:K00324	mys:NF92_01530
ko:K00324	mys:NF92_01535
ko:K00325	mys:NF92_01540
ko:K00666	mys:NF92_01580
ko:K02067	mys:NF92_01590
ko:K06911	mys:NF92_01620
ko:K00121	mys:NF92_01625
ko:K03744	mys:NF92_01640
ko:K01966	mys:NF92_06100
ko:K00666	mys:NF92_06115
ko:K15982	mys:NF92_06120
ko:K03524	mys:NF92_06125
ko:K03119	mys:NF92_06155
ko:K01589	mys:NF92_06160
ko:K01588	mys:NF92_06165
ko:K00067	mys:NF92_06190
ko:K16870	mys:NF92_06195
ko:K00966	mys:NF92_06200
ko:K12234	mys:NF92_06215
ko:K11212	mys:NF92_06220
ko:K01840	mys:NF92_06240
ko:K01809	mys:NF92_06250
ko:K03294	mys:NF92_06260
ko:K00496	mys:NF92_06265
ko:K01251	mys:NF92_06285
ko:K00943	mys:NF92_06300
ko:K07507	mys:NF92_06305
ko:K07670	mys:NF92_06315
ko:K07654	mys:NF92_06320
ko:K00232	mys:NF92_06330
ko:K03070	mys:NF92_06365
ko:K01681	mys:NF92_10795
ko:K03924	mys:NF92_10815
ko:K07114	mys:NF92_10825
ko:K11610	mys:NF92_10830
ko:K11611	mys:NF92_10835
ko:K01772	mys:NF92_10840
ko:K01847	mys:NF92_10890
ko:K01847	mys:NF92_10895
ko:K07588	mys:NF92_10900
ko:K07182	mys:NF92_10910
ko:K01870	mys:NF92_10925
ko:K02346	mys:NF92_10935
ko:K01424	mys:NF92_10940
ko:K03101	mys:NF92_10945
ko:K06180	mys:NF92_10950
ko:K05786	mys:NF92_10955
ko:K02337	mys:NF92_10960
ko:K01754	mys:NF92_10980
ko:K00833	mys:NF92_10995
ko:K00652	mys:NF92_11000
ko:K01935	mys:NF92_11005
ko:K01012	mys:NF92_11015
ko:K00116	mys:NF92_11030
ko:K03517	mys:NF92_11070
ko:K02968	mys:NF92_15405
ko:K02340	mys:NF92_15410
ko:K02238	mys:NF92_15440
