ko:K02345	yel:LC20_03135
ko:K03297	yel:LC20_02831
ko:K13060	yel:LC20_03387
ko:K08723	yel:LC20_02770
ko:K21029	yel:LC20_01905
ko:K15634	yel:LC20_04585
ko:K07481	yel:LC20_03220
ko:K18918	yel:LC20_03265
ko:K06218	yel:LC20_03266
ko:K04103	yel:LC20_03860
ko:K01990	yel:LC20_01800
ko:K18968	yel:LC20_01598
ko:K07497	yel:LC20_01069
ko:K07497	yel:LC20_02270
ko:K07497	yel:LC20_02318
ko:K07497	yel:LC20_02599
ko:K07497	yel:LC20_03058
ko:K07497	yel:LC20_04461
ko:K07497	yel:LC20_04485
ko:K07497	yel:LC20_05084
ko:K19734	yel:LC20_06246
ko:K19734	yel:LC20_03388
ko:K19734	yel:LC20_06257
ko:K05802	yel:LC20_04882
ko:K00526	yel:LC20_03652
ko:K19221	yel:LC20_00196
ko:K03111	yel:LC20_00537
ko:K19227	yel:LC20_02860
ko:K19230	yel:LC20_02863
ko:K18654	yel:LC20_02630
ko:K18652	yel:LC20_02631
ko:K18653	yel:LC20_02629
ko:K19229	yel:LC20_02862
ko:K19789	yel:LC20_03611
ko:K07493	yel:LC20_03128
ko:K07493	yel:LC20_04487
ko:K00344	yel:LC20_00528
ko:K21908	yel:LC20_00864
ko:K02081	yel:LC20_02379
ko:K07493	yel:LC20_03060
ko:K01271	yel:LC20_04962
ko:K03973	yel:LC20_02853
ko:K00632	yel:LC20_04965
ko:K21365	yel:LC20_01463
ko:K05799	yel:LC20_04472
ko:K03293	yel:LC20_05061
ko:K04753	yel:LC20_00788
ko:K16210	yel:LC20_03628
ko:K09475	yel:LC20_03631
ko:K07676	yel:LC20_03635
ko:K07687	yel:LC20_03636
ko:K02469	yel:LC20_03648
ko:K00568	yel:LC20_03650
ko:K11107	yel:LC20_03653
ko:K08276	yel:LC20_03654
ko:K03834	yel:LC20_03656
ko:K03781	yel:LC20_03659
ko:K01911	yel:LC20_03660
ko:K02549	yel:LC20_03661
ko:K01661	yel:LC20_03662
ko:K08680	yel:LC20_03663
ko:K02551	yel:LC20_03664
ko:K02552	yel:LC20_03665
ko:K05594	yel:LC20_03669
ko:K00046	yel:LC20_03677
ko:K00851	yel:LC20_03678
ko:K00364	yel:LC20_04488
ko:K00859	yel:LC20_04489
ko:K09862	yel:LC20_04491
ko:K03574	yel:LC20_04492
ko:K03070	yel:LC20_04494
ko:K13301	yel:LC20_04495
ko:K02535	yel:LC20_04497
ko:K03531	yel:LC20_04498
ko:K03590	yel:LC20_04499
ko:K03589	yel:LC20_04500
ko:K01921	yel:LC20_04501
ko:K01924	yel:LC20_04502
ko:K02563	yel:LC20_04504
ko:K03588	yel:LC20_04505
ko:K01925	yel:LC20_04506
ko:K01000	yel:LC20_04507
ko:K01929	yel:LC20_04508
ko:K01928	yel:LC20_04509
ko:K03587	yel:LC20_04510
ko:K03586	yel:LC20_04511
ko:K03438	yel:LC20_04512
ko:K03925	yel:LC20_04513
ko:K03435	yel:LC20_04516
ko:K01653	yel:LC20_04517
ko:K01652	yel:LC20_04518
ko:K01897	yel:LC20_04520
ko:K05798	yel:LC20_04521
ko:K01649	yel:LC20_04523
ko:K00052	yel:LC20_04524
ko:K01703	yel:LC20_04525
ko:K01704	yel:LC20_04526
ko:K01667	yel:LC20_04527
ko:K03835	yel:LC20_04528
