ko:K04042	cbo:CBO3545
ko:K09127	cbo:CBO2174
ko:K02409	cbo:CBO2662
ko:K02033	cbo:CBO1356
ko:K02034	cbo:CBO1357
ko:K02035	cbo:CBO1355
ko:K06409	cbo:CBO1435
ko:K03406	cbo:CBO1773
ko:K03816	cbo:CBO0317
ko:K03816	cbo:CBO1139
ko:K02475	cbo:CBO0249
ko:K02476	cbo:CBO0248
ko:K02004	cbo:CBO0586
ko:K07391	cbo:CBO2439
ko:K02412	cbo:CBO2659
ko:K03637	cbo:CBO1939
ko:K07238	cbo:CBO1177
ko:K03106	cbo:CBO2449
ko:K03657	cbo:CBO1321
ko:K09903	cbo:CBO2433
ko:K02356	cbo:CBO1897
ko:K09758	cbo:CBO1166
ko:K00132	cbo:CBO2108
ko:K11358	cbo:CBO1014
ko:K03978	cbo:CBO3227
ko:K06942	cbo:CBO1451
ko:K00111	cbo:CBO1068
ko:K03075	cbo:CBO0231
ko:K02904	cbo:CBO3472A
ko:K02189	cbo:CBO0948
ko:K10796	cbo:CBO2475
ko:K10795	cbo:CBO2476
ko:K02337	cbo:CBOP01
ko:K02469	cbo:CBO0007
ko:K05810	cbo:CBO2528
ko:K07088	cbo:CBO2572
ko:K06960	cbo:CBO2447
ko:K02959	cbo:CBO2448
ko:K02878	cbo:CBO3473
ko:K02867	cbo:CBO3492
ko:K03624	cbo:CBO3519
ko:K02782	cbo:CBO3415
ko:K02783	cbo:CBO3415
ko:K00954	cbo:CBO2494
ko:K03660	cbo:CBO3303
ko:K05873	cbo:CBO0191
ko:K03091	cbo:CBO3497
ko:K01448	cbo:CBO3443
ko:K03547	cbo:CBO0472
ko:K00230	cbo:CBO1022
ko:K03152	cbo:CBO1025
ko:K04758	cbo:CBO1028
ko:K04758	cbo:CBO1029
ko:K03305	cbo:CBO1539
ko:K00609	cbo:CBO3241
ko:K00610	cbo:CBO3240
ko:K03088	cbo:CBO0043
ko:K07023	cbo:CBO1592
ko:K03584	cbo:CBO2945
ko:K07455	cbo:CBO2550
ko:K01990	cbo:CBO1206
ko:K05967	cbo:CBO1219
ko:K01273	cbo:CBO1220
ko:K03406	cbo:CBO1526
ko:K03525	cbo:CBO3522
ko:K03652	cbo:CBO1265
ko:K03833	cbo:CBO2975
ko:K05366	cbo:CBO3083
ko:K03536	cbo:CBO3647
ko:K06378	cbo:CBO3089
ko:K00558	cbo:CBO2328
ko:K02056	cbo:CBO0220
ko:K02057	cbo:CBO0221
ko:K02564	cbo:CBO2833
ko:K03650	cbo:CBO3643
ko:K03601	cbo:CBO1885
ko:K03610	cbo:CBO2998
ko:K03602	cbo:CBO1884
ko:K10773	cbo:CBO0209
ko:K02015	cbo:CBO1045A
ko:K02013	cbo:CBO1046
ko:K02410	cbo:CBO2661
ko:K02935	cbo:CBO3489
ko:K01808	cbo:CBO0144
ko:K03411	cbo:CBO2751
ko:K02796	cbo:CBO2845
ko:K02388	cbo:CBO2664
ko:K03060	cbo:CBO2512A
ko:K03665	cbo:CBO3080
ko:K02120	cbo:CBO2623
ko:K02109	cbo:CBO0152
ko:K02118	cbo:CBO2624
ko:K02124	cbo:CBO2628
ko:K02123	cbo:CBO2629
ko:K02115	cbo:CBO0155
ko:K03498	cbo:CBO3134
ko:K03737	cbo:CBO1192
ko:K03553	cbo:CBO2405
ko:K01880	cbo:CBO3517
ko:K01034	cbo:CBO2847
ko:K04075	cbo:CBO3526
ko:K03177	cbo:CBO2416
ko:K03687	cbo:CBO2960
ko:K01889	cbo:CBO3131
ko:K03596	cbo:CBO2963
ko:K04655	cbo:CBO1833
ko:K07164	cbo:CBO2934
ko:K02337	cbo:CBO3374
ko:K02007	cbo:CBO0917
ko:K00872	cbo:CBO1639
ko:K02121	cbo:CBO2627
ko:K02122	cbo:CBO2625A
ko:K03977	cbo:CBO2519
ko:K02519	cbo:CBO2418
ko:K05896	cbo:CBO1857
ko:K08303	cbo:CBO2555
ko:K02003	cbo:CBO1391A
ko:K01569	cbo:CBO0864
ko:K02371	cbo:CBO3602
ko:K06024	cbo:CBO1856
ko:K02073	cbo:CBO1087
ko:K08384	cbo:CBO1456
ko:K03657	cbo:CBO3271
ko:K02040	cbo:CBO2525
ko:K02071	cbo:CBO1084
ko:K02072	cbo:CBO1085
ko:K13653	cbo:CBO0779
ko:K13653	cbo:CBO0714
ko:K03427	cbo:CBO0678
ko:K03723	cbo:CBO3539
ko:K02419	cbo:CBO2648
ko:K01153	cbo:CBO0682
ko:K07456	cbo:CBO3121
ko:K01870	cbo:CBO0099
ko:K02113	cbo:CBO0153
ko:K02470	cbo:CBO0006
ko:K06442	cbo:CBO1880
ko:K03696	cbo:CBO3509
ko:K03218	cbo:CBO3499
ko:K01892	cbo:CBO3055
ko:K02188	cbo:CBO0936
ko:K02895	cbo:CBO3470
ko:K02016	cbo:CBO0301
ko:K02015	cbo:CBO0302
ko:K02013	cbo:CBO0303
ko:K03110	cbo:CBO2451
ko:K02860	cbo:CBO2446
ko:K06180	cbo:CBO1476
ko:K09936	cbo:CBO0866
ko:K01142	cbo:CBO1480
ko:K07444	cbo:CBO1481
ko:K01673	cbo:CBO1482
ko:K02020	cbo:CBO1483
ko:K02018	cbo:CBO1484
ko:K07001	cbo:CBO1487
ko:K06206	cbo:CBO0036
ko:K03469	cbo:CBO0402
ko:K01914	cbo:CBO1504
