ko:K07483	cuq:Cul210931_2064
ko:K07012	cuq:Cul210931_0035
ko:K18926	cuq:Cul210931_0529
ko:K14237	cuq:Cul210931_1256
ko:K14237	cuq:Cul210931_1259
ko:K15733	cuq:Cul210931_1250
ko:K18955	cuq:Cul210931_0562
ko:K01906	cuq:Cul210931_1242
ko:K07012	cuq:Cul210931_0108
ko:K19745	cuq:Cul210931_1708
ko:K00130	cuq:Cul210931_1927
ko:K21480	cuq:Cul210931_1537
ko:K21449	cuq:Cul210931_1847
ko:K21687	cuq:Cul210931_0641
ko:K21688	cuq:Cul210931_0724
ko:K00652	cuq:Cul210931_1243
ko:K02483	cuq:Cul210931_1825
ko:K02013	cuq:Cul210931_0043
ko:K02015	cuq:Cul210931_0044
ko:K02015	cuq:Cul210931_0045
ko:K02016	cuq:Cul210931_0046
ko:K07052	cuq:Cul210931_0059
ko:K01011	cuq:Cul210931_0060
ko:K02016	cuq:Cul210931_0063
ko:K02013	cuq:Cul210931_0064
ko:K02015	cuq:Cul210931_0065
ko:K06213	cuq:Cul210931_0066
ko:K05343	cuq:Cul210931_0067
ko:K03088	cuq:Cul210931_0075
ko:K05846	cuq:Cul210931_0079
ko:K05846	cuq:Cul210931_0080
ko:K05847	cuq:Cul210931_0081
ko:K01012	cuq:Cul210931_0091
ko:K01241	cuq:Cul210931_0094
ko:K02361	cuq:Cul210931_0955
ko:K01885	cuq:Cul210931_0956
ko:K03932	cuq:Cul210931_0957
ko:K02033	cuq:Cul210931_0963
ko:K02034	cuq:Cul210931_0964
ko:K02035	cuq:Cul210931_0967
ko:K01012	cuq:Cul210931_0968
ko:K01703	cuq:Cul210931_0971
ko:K01704	cuq:Cul210931_0972
ko:K03574	cuq:Cul210931_0973
ko:K00057	cuq:Cul210931_0974
ko:K01921	cuq:Cul210931_0975
ko:K00946	cuq:Cul210931_0977
ko:K03648	cuq:Cul210931_0978
ko:K02864	cuq:Cul210931_0363
ko:K02935	cuq:Cul210931_0364
ko:K03043	cuq:Cul210931_0372
ko:K03046	cuq:Cul210931_0373
ko:K01990	cuq:Cul210931_0381
ko:K01992	cuq:Cul210931_0382
ko:K07089	cuq:Cul210931_0384
ko:K04069	cuq:Cul210931_0385
ko:K02950	cuq:Cul210931_0388
ko:K02992	cuq:Cul210931_0389
ko:K02355	cuq:Cul210931_0390
ko:K02358	cuq:Cul210931_0391
ko:K02946	cuq:Cul210931_0400
ko:K02906	cuq:Cul210931_0401
ko:K02926	cuq:Cul210931_0402
ko:K02892	cuq:Cul210931_0403
ko:K02886	cuq:Cul210931_0404
ko:K02965	cuq:Cul210931_0405
ko:K02890	cuq:Cul210931_0406
ko:K02982	cuq:Cul210931_0407
ko:K02878	cuq:Cul210931_0408
ko:K02904	cuq:Cul210931_0409
ko:K02961	cuq:Cul210931_0410
ko:K02035	cuq:Cul210931_0411
ko:K02031	cuq:Cul210931_0412
ko:K02032	cuq:Cul210931_0412
ko:K02034	cuq:Cul210931_0413
ko:K02033	cuq:Cul210931_0414
ko:K02874	cuq:Cul210931_0415
ko:K02895	cuq:Cul210931_0416
ko:K07082	cuq:Cul210931_1211
ko:K07447	cuq:Cul210931_1212
ko:K01872	cuq:Cul210931_1213
ko:K07478	cuq:Cul210931_1214
ko:K01876	cuq:Cul210931_1216
ko:K07054	cuq:Cul210931_1217
ko:K01421	cuq:Cul210931_1219
ko:K00299	cuq:Cul210931_1222
ko:K01752	cuq:Cul210931_1223
ko:K01892	cuq:Cul210931_1224
ko:K11065	cuq:Cul210931_1226
ko:K03768	cuq:Cul210931_1227
ko:K00951	cuq:Cul210931_1230
ko:K00759	cuq:Cul210931_1231
ko:K02035	cuq:Cul210931_1232
ko:K03074	cuq:Cul210931_1233
ko:K03072	cuq:Cul210931_1234
ko:K03210	cuq:Cul210931_1235
ko:K03551	cuq:Cul210931_1236
ko:K03550	cuq:Cul210931_1237
ko:K01159	cuq:Cul210931_1238
ko:K10805	cuq:Cul210931_1240
ko:K08256	cuq:Cul210931_1245
ko:K00995	cuq:Cul210931_1247
ko:K01868	cuq:Cul210931_1249
ko:K07156	cuq:Cul210931_1252
ko:K02004	cuq:Cul210931_2038
ko:K02003	cuq:Cul210931_2039
ko:K02005	cuq:Cul210931_2040
ko:K13953	cuq:Cul210931_2043
ko:K00138	cuq:Cul210931_2044
ko:K13640	cuq:Cul210931_2047
ko:K03686	cuq:Cul210931_2048
ko:K03687	cuq:Cul210931_2049
ko:K04043	cuq:Cul210931_2050
ko:K07284	cuq:Cul210931_2053
ko:K02031	cuq:Cul210931_2056
ko:K02034	cuq:Cul210931_2056
ko:K02033	cuq:Cul210931_2057
ko:K02035	cuq:Cul210931_2058
ko:K03306	cuq:Cul210931_2067
ko:K02013	cuq:Cul210931_2072
ko:K02015	cuq:Cul210931_2073
ko:K02016	cuq:Cul210931_2074
ko:K03190	cuq:Cul210931_2076
ko:K03189	cuq:Cul210931_2077
ko:K03188	cuq:Cul210931_2078
ko:K03187	cuq:Cul210931_2079
ko:K01428	cuq:Cul210931_2080
