ko:K01921	ctrw:CTRC3_04080
ko:K01840	ctrw:CTRC3_01535
ko:K03559	ctrw:CTRC3_03170
ko:K14228	ctrw:CTRC3_t04769
ko:K14219	ctrw:CTRC3_t04787
ko:K14229	ctrw:CTRC3_t04791
ko:K04084	ctrw:CTRC3_03160
ko:K03437	ctrw:CTRC3_02130
ko:K06969	ctrw:CTRC3_02135
ko:K00793	ctrw:CTRC3_02140
ko:K07738	ctrw:CTRC3_02145
ko:K06204	ctrw:CTRC3_02150
ko:K03101	ctrw:CTRC3_02155
ko:K03310	ctrw:CTRC3_02160
ko:K00748	ctrw:CTRC3_02170
ko:K09817	ctrw:CTRC3_02195
ko:K09816	ctrw:CTRC3_02200
ko:K03979	ctrw:CTRC3_02205
ko:K02899	ctrw:CTRC3_02210
ko:K02888	ctrw:CTRC3_02215
ko:K07042	ctrw:CTRC3_02235
ko:K03183	ctrw:CTRC3_02265
ko:K01778	ctrw:CTRC3_02275
ko:K01358	ctrw:CTRC3_02280
ko:K00600	ctrw:CTRC3_02285
ko:K01770	ctrw:CTRC3_02300
ko:K14164	ctrw:CTRC3_04265
ko:K00995	ctrw:CTRC3_04270
ko:K00703	ctrw:CTRC3_04275
ko:K02897	ctrw:CTRC3_04280
ko:K01056	ctrw:CTRC3_04285
ko:K02990	ctrw:CTRC3_04290
ko:K02963	ctrw:CTRC3_04295
ko:K02939	ctrw:CTRC3_04300
ko:K00919	ctrw:CTRC3_04305
ko:K00630	ctrw:CTRC3_04325
ko:K08301	ctrw:CTRC3_04330
ko:K02911	ctrw:CTRC3_04345
ko:K03621	ctrw:CTRC3_04350
ko:K03431	ctrw:CTRC3_04380
ko:K00134	ctrw:CTRC3_02700
ko:K02879	ctrw:CTRC3_02705
ko:K03040	ctrw:CTRC3_02710
ko:K02948	ctrw:CTRC3_02715
ko:K02952	ctrw:CTRC3_02720
ko:K03076	ctrw:CTRC3_02725
ko:K02876	ctrw:CTRC3_02730
ko:K02988	ctrw:CTRC3_02735
ko:K02881	ctrw:CTRC3_02740
ko:K02933	ctrw:CTRC3_02745
ko:K02994	ctrw:CTRC3_02750
ko:K02931	ctrw:CTRC3_02755
ko:K02895	ctrw:CTRC3_02760
ko:K02874	ctrw:CTRC3_02765
ko:K02961	ctrw:CTRC3_02770
ko:K02904	ctrw:CTRC3_02775
ko:K02878	ctrw:CTRC3_02780
ko:K02982	ctrw:CTRC3_02785
ko:K02890	ctrw:CTRC3_02790
ko:K02965	ctrw:CTRC3_02795
ko:K02886	ctrw:CTRC3_02800
ko:K02892	ctrw:CTRC3_02805
ko:K02926	ctrw:CTRC3_02810
ko:K02906	ctrw:CTRC3_02815
ko:K00604	ctrw:CTRC3_02825
ko:K00677	ctrw:CTRC3_02830
ko:K09779	ctrw:CTRC3_00010
ko:K02435	ctrw:CTRC3_00015
ko:K02434	ctrw:CTRC3_00025
ko:K02517	ctrw:CTRC3_00055
ko:K00425	ctrw:CTRC3_00070
ko:K00426	ctrw:CTRC3_00075
ko:K07175	ctrw:CTRC3_00080
ko:K01870	ctrw:CTRC3_00105
ko:K03100	ctrw:CTRC3_00110
ko:K02909	ctrw:CTRC3_00120
ko:K02835	ctrw:CTRC3_00125
ko:K02493	ctrw:CTRC3_00130
ko:K03106	ctrw:CTRC3_00135
ko:K02959	ctrw:CTRC3_00140
ko:K00554	ctrw:CTRC3_00145
ko:K02884	ctrw:CTRC3_00150
ko:K03470	ctrw:CTRC3_00155
ko:K00942	ctrw:CTRC3_00160
ko:K01874	ctrw:CTRC3_00170
ko:K03581	ctrw:CTRC3_00175
ko:K01494	ctrw:CTRC3_00200
ko:K03551	ctrw:CTRC3_00210
ko:K03648	ctrw:CTRC3_03230
ko:K03657	ctrw:CTRC3_03235
ko:K03092	ctrw:CTRC3_03240
ko:K06137	ctrw:CTRC3_03245
ko:K13941	ctrw:CTRC3_03260
ko:K01633	ctrw:CTRC3_03265
ko:K03086	ctrw:CTRC3_03270
ko:K02968	ctrw:CTRC3_03280
ko:K03980	ctrw:CTRC3_03320
ko:K01151	ctrw:CTRC3_03325
ko:K02986	ctrw:CTRC3_03335
ko:K07146	ctrw:CTRC3_03340
ko:K13789	ctrw:CTRC3_03345
ko:K00895	ctrw:CTRC3_01085
ko:K02527	ctrw:CTRC3_01090
ko:K01869	ctrw:CTRC3_01095
ko:K01845	ctrw:CTRC3_01100
ko:K07735	ctrw:CTRC3_01105
ko:K08999	ctrw:CTRC3_01110
ko:K01807	ctrw:CTRC3_01115
ko:K03787	ctrw:CTRC3_01140
ko:K03179	ctrw:CTRC3_01145
ko:K03186	ctrw:CTRC3_01150
ko:K03308	ctrw:CTRC3_01210
ko:K02078	ctrw:CTRC3_01235
ko:K00645	ctrw:CTRC3_01245
ko:K00648	ctrw:CTRC3_01250
ko:K06187	ctrw:CTRC3_01255
ko:K07277	ctrw:CTRC3_01260
ko:K06142	ctrw:CTRC3_01265
ko:K02536	ctrw:CTRC3_01270
ko:K00161	ctrw:CTRC3_01280
ko:K00162	ctrw:CTRC3_01285
ko:K00627	ctrw:CTRC3_01290
ko:K00688	ctrw:CTRC3_01295
ko:K02313	ctrw:CTRC3_01305
ko:K03217	ctrw:CTRC3_01310
ko:K03977	ctrw:CTRC3_03750
ko:K03544	ctrw:CTRC3_03760
ko:K01358	ctrw:CTRC3_03765
ko:K03545	ctrw:CTRC3_03770
ko:K03569	ctrw:CTRC3_03785
ko:K00057	ctrw:CTRC3_03810
ko:K02412	ctrw:CTRC3_03825
ko:K02411	ctrw:CTRC3_03830
ko:K02409	ctrw:CTRC3_03835
ko:K13819	ctrw:CTRC3_03845
ko:K04487	ctrw:CTRC3_03850
ko:K06178	ctrw:CTRC3_03865
ko:K02946	ctrw:CTRC3_02310
ko:K02355	ctrw:CTRC3_02315
ko:K02992	ctrw:CTRC3_02320
ko:K02950	ctrw:CTRC3_02325
ko:K03797	ctrw:CTRC3_02335
ko:K07462	ctrw:CTRC3_02370
ko:K12257	ctrw:CTRC3_02380
ko:K00806	ctrw:CTRC3_02390
ko:K00981	ctrw:CTRC3_02400
ko:K00945	ctrw:CTRC3_02405
ko:K00655	ctrw:CTRC3_02410
ko:K01887	ctrw:CTRC3_02415
ko:K00790	ctrw:CTRC3_02420
ko:K02836	ctrw:CTRC3_02440
ko:K00820	ctrw:CTRC3_04385
ko:K03834	ctrw:CTRC3_04390
ko:K03834	ctrw:CTRC3_04400
ko:K06890	ctrw:CTRC3_04405
ko:K03110	ctrw:CTRC3_04410
ko:K01903	ctrw:CTRC3_04415
ko:K01902	ctrw:CTRC3_04420
ko:K09760	ctrw:CTRC3_04435
ko:K17103	ctrw:CTRC3_04440
ko:K03439	ctrw:CTRC3_04455
ko:K00075	ctrw:CTRC3_04465
ko:K03625	ctrw:CTRC3_04475
ko:K02520	ctrw:CTRC3_04480
ko:K02916	ctrw:CTRC3_04485
ko:K02887	ctrw:CTRC3_04490
ko:K01889	ctrw:CTRC3_04495
ko:K11720	ctrw:CTRC3_04505
ko:K02372	ctrw:CTRC3_02835
ko:K02535	ctrw:CTRC3_02840
ko:K03820	ctrw:CTRC3_02845
ko:K06925	ctrw:CTRC3_02860
ko:K03671	ctrw:CTRC3_02870
ko:K03216	ctrw:CTRC3_02875
ko:K01876	ctrw:CTRC3_02885
ko:K01892	ctrw:CTRC3_02890
ko:K07783	ctrw:CTRC3_02895
ko:K02337	ctrw:CTRC3_02900
ko:K03311	ctrw:CTRC3_02945
ko:K00382	ctrw:CTRC3_02960
ko:K01255	ctrw:CTRC3_00240
