ko:K19302	hpyh:HPOKI828_04335
ko:K01980	hpyh:HPOKI828_05070
ko:K14233	hpyh:HPOKI828_00530
ko:K14220	hpyh:HPOKI828_01240
ko:K14232	hpyh:HPOKI828_05160
ko:K14219	hpyh:HPOKI828_04260
ko:K14219	hpyh:HPOKI828_05145
ko:K14232	hpyh:HPOKI828_02285
ko:K14230	hpyh:HPOKI828_03755
ko:K14230	hpyh:HPOKI828_04550
ko:K14230	hpyh:HPOKI828_05905
ko:K14225	hpyh:HPOKI828_04785
ko:K14225	hpyh:HPOKI828_06065
ko:K14228	hpyh:HPOKI828_04790
ko:K14228	hpyh:HPOKI828_05410
ko:K14228	hpyh:HPOKI828_06105
ko:K14228	hpyh:HPOKI828_06110
ko:K14233	hpyh:HPOKI828_04800
ko:K14234	hpyh:HPOKI828_06060
ko:K14234	hpyh:HPOKI828_06075
ko:K14236	hpyh:HPOKI828_06070
ko:K14231	hpyh:HPOKI828_07655
ko:K02483	hpyh:HPOKI828_00900
ko:K02003	hpyh:HPOKI828_00970
ko:K03820	hpyh:HPOKI828_00975
ko:K03558	hpyh:HPOKI828_00985
ko:K04567	hpyh:HPOKI828_00990
ko:K00600	hpyh:HPOKI828_00995
ko:K00245	hpyh:HPOKI828_01030
ko:K00244	hpyh:HPOKI828_01035
ko:K00246	hpyh:HPOKI828_01040
ko:K01803	hpyh:HPOKI828_01045
ko:K00208	hpyh:HPOKI828_01050
ko:K02536	hpyh:HPOKI828_01055
ko:K00789	hpyh:HPOKI828_01060
ko:K00940	hpyh:HPOKI828_01065
ko:K02911	hpyh:HPOKI828_01075
ko:K03621	hpyh:HPOKI828_01080
ko:K00648	hpyh:HPOKI828_01085
ko:K03593	hpyh:HPOKI828_01110
ko:K04079	hpyh:HPOKI828_01125
ko:K01439	hpyh:HPOKI828_01145
ko:K03495	hpyh:HPOKI828_01150
ko:K14445	hpyh:HPOKI828_01155
ko:K00981	hpyh:HPOKI828_01160
ko:K00099	hpyh:HPOKI828_01165
ko:K06910	hpyh:HPOKI828_01175
ko:K04487	hpyh:HPOKI828_01185
ko:K13819	hpyh:HPOKI828_01190
ko:K04485	hpyh:HPOKI828_01205
ko:K12267	hpyh:HPOKI828_01215
ko:K07090	hpyh:HPOKI828_01225
ko:K03321	hpyh:HPOKI828_01235
ko:K09761	hpyh:HPOKI828_05365
ko:K01494	hpyh:HPOKI828_05375
ko:K02160	hpyh:HPOKI828_05380
ko:K01961	hpyh:HPOKI828_05385
ko:K15895	hpyh:HPOKI828_05405
ko:K00573	hpyh:HPOKI828_05420
ko:K07091	hpyh:HPOKI828_05425
ko:K06173	hpyh:HPOKI828_05430
ko:K01784	hpyh:HPOKI828_05435
ko:K07126	hpyh:HPOKI828_05460
ko:K01625	hpyh:HPOKI828_05465
ko:K01690	hpyh:HPOKI828_05470
ko:K00036	hpyh:HPOKI828_05475
ko:K01057	hpyh:HPOKI828_05480
ko:K00845	hpyh:HPOKI828_05485
ko:K13979	hpyh:HPOKI828_05490
ko:K00172	hpyh:HPOKI828_05515
ko:K00171	hpyh:HPOKI828_05520
ko:K00169	hpyh:HPOKI828_05525
ko:K00170	hpyh:HPOKI828_05530
ko:K01756	hpyh:HPOKI828_05535
ko:K03702	hpyh:HPOKI828_05545
ko:K07126	hpyh:HPOKI828_05560
ko:K00681	hpyh:HPOKI828_05565
ko:K02396	hpyh:HPOKI828_05570
ko:K03775	hpyh:HPOKI828_05595
ko:K03640	hpyh:HPOKI828_05605
ko:K03641	hpyh:HPOKI828_05610
ko:K03559	hpyh:HPOKI828_05620
ko:K04042	hpyh:HPOKI828_03465
ko:K02419	hpyh:HPOKI828_03475
ko:K16091	hpyh:HPOKI828_03480
ko:K04759	hpyh:HPOKI828_03485
ko:K07501	hpyh:HPOKI828_03490
ko:K07501	hpyh:HPOKI828_03505
ko:K00626	hpyh:HPOKI828_03510
ko:K01028	hpyh:HPOKI828_03515
ko:K01029	hpyh:HPOKI828_03520
ko:K02106	hpyh:HPOKI828_03525
ko:K10856	hpyh:HPOKI828_03545
ko:K00901	hpyh:HPOKI828_03555
ko:K02469	hpyh:HPOKI828_03560
ko:K03296	hpyh:HPOKI828_03100
ko:K03701	hpyh:HPOKI828_03575
ko:K03438	hpyh:HPOKI828_03585
ko:K07023	hpyh:HPOKI828_03615
ko:K03092	hpyh:HPOKI828_03620
ko:K06861	hpyh:HPOKI828_03625
ko:K06925	hpyh:HPOKI828_03630
ko:K02343	hpyh:HPOKI828_03635
ko:K06895	hpyh:HPOKI828_03640
ko:K01424	hpyh:HPOKI828_03660
ko:K07791	hpyh:HPOKI828_03665
ko:K15848	hpyh:HPOKI828_03670
ko:K05540	hpyh:HPOKI828_03680
ko:K04075	hpyh:HPOKI828_03685
