ko:K19405	ctrd:SOTOND1_00718
ko:K08719	ctrd:SOTOND1_00760
ko:K14233	ctrd:SOTOND1_00896
ko:K11645	ctrd:SOTOND1_00223
ko:K06888	ctrd:SOTOND1_00375
ko:K03523	ctrd:SOTOND1_00379
ko:K01714	ctrd:SOTOND1_00382
ko:K00928	ctrd:SOTOND1_00383
ko:K00133	ctrd:SOTOND1_00384
ko:K00215	ctrd:SOTOND1_00385
ko:K00800	ctrd:SOTOND1_00387
ko:K00891	ctrd:SOTOND1_00388
ko:K01736	ctrd:SOTOND1_00389
ko:K01735	ctrd:SOTOND1_00390
ko:K13832	ctrd:SOTOND1_00391
ko:K03758	ctrd:SOTOND1_00395
ko:K00024	ctrd:SOTOND1_00397
ko:K01214	ctrd:SOTOND1_00045
ko:K01810	ctrd:SOTOND1_00399
ko:K03665	ctrd:SOTOND1_00400
ko:K06167	ctrd:SOTOND1_00401
ko:K09996	ctrd:SOTOND1_00402
ko:K06966	ctrd:SOTOND1_00409
ko:K09131	ctrd:SOTOND1_00410
ko:K10206	ctrd:SOTOND1_00412
ko:K01881	ctrd:SOTOND1_00415
ko:K03705	ctrd:SOTOND1_00416
ko:K03687	ctrd:SOTOND1_00417
ko:K04043	ctrd:SOTOND1_00418
ko:K12573	ctrd:SOTOND1_00419
ko:K07164	ctrd:SOTOND1_00420
ko:K06041	ctrd:SOTOND1_00421
ko:K00658	ctrd:SOTOND1_00422
ko:K00912	ctrd:SOTOND1_00424
ko:K03437	ctrd:SOTOND1_00425
ko:K06969	ctrd:SOTOND1_00426
ko:K00793	ctrd:SOTOND1_00427
ko:K07738	ctrd:SOTOND1_00428
ko:K06204	ctrd:SOTOND1_00429
ko:K03101	ctrd:SOTOND1_00430
ko:K03310	ctrd:SOTOND1_00431
ko:K00748	ctrd:SOTOND1_00433
ko:K09817	ctrd:SOTOND1_00439
ko:K09816	ctrd:SOTOND1_00440
ko:K03979	ctrd:SOTOND1_00441
ko:K02899	ctrd:SOTOND1_00442
ko:K02888	ctrd:SOTOND1_00443
ko:K07042	ctrd:SOTOND1_00448
ko:K03183	ctrd:SOTOND1_00454
ko:K01778	ctrd:SOTOND1_00456
ko:K01358	ctrd:SOTOND1_00457
ko:K00600	ctrd:SOTOND1_00458
ko:K01770	ctrd:SOTOND1_00460
ko:K02946	ctrd:SOTOND1_00462
ko:K02355	ctrd:SOTOND1_00463
ko:K02992	ctrd:SOTOND1_00464
ko:K02950	ctrd:SOTOND1_00465
ko:K03797	ctrd:SOTOND1_00467
ko:K07462	ctrd:SOTOND1_00474
ko:K12257	ctrd:SOTOND1_00475
ko:K00806	ctrd:SOTOND1_00477
ko:K00981	ctrd:SOTOND1_00478
ko:K00945	ctrd:SOTOND1_00479
ko:K03723	ctrd:SOTOND1_00799
ko:K01872	ctrd:SOTOND1_00800
ko:K00615	ctrd:SOTOND1_00804
ko:K01241	ctrd:SOTOND1_00805
ko:K02356	ctrd:SOTOND1_00806
ko:K01929	ctrd:SOTOND1_00811
ko:K01000	ctrd:SOTOND1_00812
ko:K01925	ctrd:SOTOND1_00813
ko:K03588	ctrd:SOTOND1_00815
ko:K02563	ctrd:SOTOND1_00816
ko:K06960	ctrd:SOTOND1_00818
ko:K00791	ctrd:SOTOND1_00821
ko:K09710	ctrd:SOTOND1_00824
ko:K09458	ctrd:SOTOND1_00825
ko:K00263	ctrd:SOTOND1_00828
ko:K00655	ctrd:SOTOND1_00830
ko:K04066	ctrd:SOTOND1_00833
ko:K04567	ctrd:SOTOND1_00836
ko:K01883	ctrd:SOTOND1_00837
ko:K03536	ctrd:SOTOND1_00839
ko:K02919	ctrd:SOTOND1_00840
ko:K02954	ctrd:SOTOND1_00841
ko:K03703	ctrd:SOTOND1_00845
ko:K03555	ctrd:SOTOND1_00846
ko:K14164	ctrd:SOTOND1_00850
ko:K00655	ctrd:SOTOND1_00480
ko:K01887	ctrd:SOTOND1_00481
ko:K00790	ctrd:SOTOND1_00482
ko:K02836	ctrd:SOTOND1_00486
ko:K00991	ctrd:SOTOND1_00489
ko:K06173	ctrd:SOTOND1_00490
ko:K07710	ctrd:SOTOND1_00495
ko:K07714	ctrd:SOTOND1_00496
ko:K03584	ctrd:SOTOND1_00499
ko:K01890	ctrd:SOTOND1_00504
ko:K02034	ctrd:SOTOND1_00507
ko:K01772	ctrd:SOTOND1_00516
ko:K07099	ctrd:SOTOND1_00519
ko:K00975	ctrd:SOTOND1_00520
ko:K03628	ctrd:SOTOND1_00522
ko:K00859	ctrd:SOTOND1_00523
ko:K03301	ctrd:SOTOND1_00526
ko:K00995	ctrd:SOTOND1_00527
ko:K03495	ctrd:SOTOND1_00530
ko:K03800	ctrd:SOTOND1_00531
ko:K00940	ctrd:SOTOND1_00532
ko:K03575	ctrd:SOTOND1_00109
ko:K04077	ctrd:SOTOND1_00112
ko:K04078	ctrd:SOTOND1_00113
ko:K08602	ctrd:SOTOND1_00114
ko:K03695	ctrd:SOTOND1_00115
ko:K01783	ctrd:SOTOND1_00123
ko:K02356	ctrd:SOTOND1_00124
ko:K02160	ctrd:SOTOND1_00125
ko:K01961	ctrd:SOTOND1_00126
ko:K02871	ctrd:SOTOND1_00127
ko:K02996	ctrd:SOTOND1_00128
ko:K02029	ctrd:SOTOND1_00131
ko:K07058	ctrd:SOTOND1_00134
ko:K06999	ctrd:SOTOND1_00138
ko:K07566	ctrd:SOTOND1_00139
ko:K09125	ctrd:SOTOND1_00142
ko:K07039	ctrd:SOTOND1_00143
ko:K01972	ctrd:SOTOND1_00150
ko:K02913	ctrd:SOTOND1_00154
ko:K09808	ctrd:SOTOND1_00155
ko:K09810	ctrd:SOTOND1_00156
ko:K09779	ctrd:SOTOND1_00002
ko:K02435	ctrd:SOTOND1_00003
ko:K02434	ctrd:SOTOND1_00005
ko:K02517	ctrd:SOTOND1_00011
ko:K00425	ctrd:SOTOND1_00014
ko:K00426	ctrd:SOTOND1_00015
ko:K07175	ctrd:SOTOND1_00016
ko:K01870	ctrd:SOTOND1_00021
ko:K03100	ctrd:SOTOND1_00022
ko:K02909	ctrd:SOTOND1_00024
ko:K02835	ctrd:SOTOND1_00025
ko:K02493	ctrd:SOTOND1_00026
ko:K03106	ctrd:SOTOND1_00027
ko:K02959	ctrd:SOTOND1_00028
ko:K00554	ctrd:SOTOND1_00029
ko:K02884	ctrd:SOTOND1_00030
ko:K03470	ctrd:SOTOND1_00031
ko:K00942	ctrd:SOTOND1_00032
ko:K01874	ctrd:SOTOND1_00034
ko:K03581	ctrd:SOTOND1_00035
ko:K01494	ctrd:SOTOND1_00042
ko:K03551	ctrd:SOTOND1_00043
ko:K01255	ctrd:SOTOND1_00048
ko:K02340	ctrd:SOTOND1_00050
ko:K07056	ctrd:SOTOND1_00051
ko:K00995	ctrd:SOTOND1_00851
ko:K00703	ctrd:SOTOND1_00852
ko:K02897	ctrd:SOTOND1_00854
ko:K01056	ctrd:SOTOND1_00855
ko:K02990	ctrd:SOTOND1_00856
ko:K02963	ctrd:SOTOND1_00857
ko:K02939	ctrd:SOTOND1_00858
ko:K00919	ctrd:SOTOND1_00859
ko:K00630	ctrd:SOTOND1_00863
ko:K08301	ctrd:SOTOND1_00864
ko:K02911	ctrd:SOTOND1_00867
ko:K03621	ctrd:SOTOND1_00868
ko:K03431	ctrd:SOTOND1_00873
ko:K00820	ctrd:SOTOND1_00874
ko:K03834	ctrd:SOTOND1_00875
ko:K03834	ctrd:SOTOND1_00877
ko:K06890	ctrd:SOTOND1_00878
ko:K03110	ctrd:SOTOND1_00879
ko:K01903	ctrd:SOTOND1_00880
ko:K01902	ctrd:SOTOND1_00881
ko:K09760	ctrd:SOTOND1_00884
ko:K00075	ctrd:SOTOND1_00890
ko:K02520	ctrd:SOTOND1_00892
ko:K02916	ctrd:SOTOND1_00893
ko:K02887	ctrd:SOTOND1_00894
ko:K01889	ctrd:SOTOND1_00895
ko:K11720	ctrd:SOTOND1_00898
ko:K07091	ctrd:SOTOND1_00899
ko:K04075	ctrd:SOTOND1_00900
ko:K03798	ctrd:SOTOND1_00901
ko:K00962	ctrd:SOTOND1_00902
ko:K02956	ctrd:SOTOND1_00903
ko:K03550	ctrd:SOTOND1_00533
ko:K01159	ctrd:SOTOND1_00534
ko:K00134	ctrd:SOTOND1_00538
ko:K02879	ctrd:SOTOND1_00539
ko:K03040	ctrd:SOTOND1_00540
ko:K02948	ctrd:SOTOND1_00541
ko:K02952	ctrd:SOTOND1_00542
ko:K03076	ctrd:SOTOND1_00543
ko:K02876	ctrd:SOTOND1_00544
ko:K02988	ctrd:SOTOND1_00545
ko:K02881	ctrd:SOTOND1_00546
ko:K02933	ctrd:SOTOND1_00547
ko:K02994	ctrd:SOTOND1_00548
ko:K02931	ctrd:SOTOND1_00549
ko:K02895	ctrd:SOTOND1_00550
ko:K02874	ctrd:SOTOND1_00551
ko:K02961	ctrd:SOTOND1_00552
ko:K02904	ctrd:SOTOND1_00553
ko:K02878	ctrd:SOTOND1_00554
ko:K02982	ctrd:SOTOND1_00555
ko:K02890	ctrd:SOTOND1_00556
ko:K02965	ctrd:SOTOND1_00557
ko:K02886	ctrd:SOTOND1_00558
ko:K02892	ctrd:SOTOND1_00559
ko:K02926	ctrd:SOTOND1_00560
ko:K02906	ctrd:SOTOND1_00561
ko:K00604	ctrd:SOTOND1_00564
ko:K00677	ctrd:SOTOND1_00565
ko:K02372	ctrd:SOTOND1_00566
ko:K02535	ctrd:SOTOND1_00567
ko:K03820	ctrd:SOTOND1_00568
ko:K06925	ctrd:SOTOND1_00571
ko:K03671	ctrd:SOTOND1_00574
ko:K03216	ctrd:SOTOND1_00575
ko:K01876	ctrd:SOTOND1_00577
ko:K01892	ctrd:SOTOND1_00578
ko:K07783	ctrd:SOTOND1_00579
ko:K02337	ctrd:SOTOND1_00580
ko:K03720	ctrd:SOTOND1_00172
ko:K01696	ctrd:SOTOND1_00173
ko:K01695	ctrd:SOTOND1_00174
ko:K03611	ctrd:SOTOND1_00180
ko:K00979	ctrd:SOTOND1_00188
ko:K01937	ctrd:SOTOND1_00189
ko:K07447	ctrd:SOTOND1_00190
