ko:K00459	hpl:HPB8_982
ko:K12108	hpl:HPB8_699
ko:K14652	hpl:HPB8_1012
ko:K12099	hpl:HPB8_709
ko:K12101	hpl:HPB8_706
ko:K00845	hpl:HPB8_401
ko:K01057	hpl:HPB8_402
ko:K00036	hpl:HPB8_403
ko:K01690	hpl:HPB8_404
ko:K01625	hpl:HPB8_405
ko:K07126	hpl:HPB8_406
ko:K01784	hpl:HPB8_409
ko:K06173	hpl:HPB8_410
ko:K07091	hpl:HPB8_411
ko:K00573	hpl:HPB8_412
ko:K01961	hpl:HPB8_418
ko:K02160	hpl:HPB8_419
ko:K01494	hpl:HPB8_420
ko:K01810	hpl:HPB8_331
ko:K00384	hpl:HPB8_333
ko:K03839	hpl:HPB8_337
ko:K07042	hpl:HPB8_338
ko:K04095	hpl:HPB8_339
ko:K04095	hpl:HPB8_340
ko:K00286	hpl:HPB8_341
ko:K02563	hpl:HPB8_345
ko:K01873	hpl:HPB8_348
ko:K03106	hpl:HPB8_349
ko:K02959	hpl:HPB8_350
ko:K06960	hpl:HPB8_351
ko:K02860	hpl:HPB8_352
ko:K02884	hpl:HPB8_354
ko:K03524	hpl:HPB8_361
ko:K02109	hpl:HPB8_364
ko:K02109	hpl:HPB8_365
ko:K02113	hpl:HPB8_366
ko:K02111	hpl:HPB8_367
ko:K02115	hpl:HPB8_368
ko:K02112	hpl:HPB8_369
ko:K02114	hpl:HPB8_370
ko:K03559	hpl:HPB8_372
ko:K03641	hpl:HPB8_374
ko:K03640	hpl:HPB8_375
ko:K00554	hpl:HPB8_353
ko:K03775	hpl:HPB8_377
ko:K02396	hpl:HPB8_382
ko:K00681	hpl:HPB8_384
ko:K07126	hpl:HPB8_385
ko:K03702	hpl:HPB8_390
ko:K01756	hpl:HPB8_392
ko:K00170	hpl:HPB8_393
ko:K00169	hpl:HPB8_394
ko:K00171	hpl:HPB8_395
ko:K00172	hpl:HPB8_396
ko:K09761	hpl:HPB8_422
ko:K01772	hpl:HPB8_424
ko:K00262	hpl:HPB8_429
ko:K08602	hpl:HPB8_1113
ko:K02909	hpl:HPB8_745
ko:K07056	hpl:HPB8_746
ko:K03218	hpl:HPB8_747
ko:K01962	hpl:HPB8_753
ko:K09458	hpl:HPB8_754
ko:K02078	hpl:HPB8_755
ko:K02970	hpl:HPB8_757
ko:K01778	hpl:HPB8_762
ko:K06942	hpl:HPB8_765
ko:K01255	hpl:HPB8_766
ko:K00759	hpl:HPB8_768
ko:K01870	hpl:HPB8_122
ko:K02412	hpl:HPB8_124
ko:K02420	hpl:HPB8_125
ko:K00075	hpl:HPB8_126
ko:K03797	hpl:HPB8_129
ko:K00655	hpl:HPB8_131
ko:K03648	hpl:HPB8_132
ko:K00134	hpl:HPB8_133
ko:K00927	hpl:HPB8_134
ko:K03284	hpl:HPB8_135
ko:K03832	hpl:HPB8_138
ko:K03561	hpl:HPB8_140
ko:K07722	hpl:HPB8_141
ko:K00969	hpl:HPB8_142
ko:K00566	hpl:HPB8_144
ko:K03686	hpl:HPB8_147
ko:K03980	hpl:HPB8_668
ko:K07787	hpl:HPB8_150
ko:K03470	hpl:HPB8_156
ko:K07133	hpl:HPB8_158
ko:K02946	hpl:HPB8_159
ko:K02864	hpl:HPB8_291
ko:K02935	hpl:HPB8_292
ko:K02950	hpl:HPB8_294
ko:K03550	hpl:HPB8_670
ko:K02429	hpl:HPB8_322
ko:K02902	hpl:HPB8_676
ko:K02029	hpl:HPB8_328
ko:K06200	hpl:HPB8_329
ko:K01925	hpl:HPB8_679
ko:K07107	hpl:HPB8_681
ko:K03308	hpl:HPB8_682
ko:K03308	hpl:HPB8_683
ko:K01058	hpl:HPB8_684
ko:K02338	hpl:HPB8_685
ko:K02470	hpl:HPB8_686
ko:K00215	hpl:HPB8_694
ko:K05516	hpl:HPB8_1142
ko:K07478	hpl:HPB8_1144
ko:K02417	hpl:HPB8_1148
ko:K02416	hpl:HPB8_1149
ko:K02405	hpl:HPB8_1150
ko:K01000	hpl:HPB8_678
ko:K02493	hpl:HPB8_430
ko:K04066	hpl:HPB8_437
ko:K04564	hpl:HPB8_439
ko:K11065	hpl:HPB8_440
ko:K03408	hpl:HPB8_441
ko:K03407	hpl:HPB8_442
ko:K01955	hpl:HPB8_630
ko:K03657	hpl:HPB8_641
ko:K02390	hpl:HPB8_644
ko:K02389	hpl:HPB8_645
ko:K13788	hpl:HPB8_647
ko:K00925	hpl:HPB8_648
ko:K00925	hpl:HPB8_649
ko:K04653	hpl:HPB8_653
ko:K04654	hpl:HPB8_654
ko:K02015	hpl:HPB8_663
ko:K02013	hpl:HPB8_664
ko:K01883	hpl:HPB8_667
ko:K01915	hpl:HPB8_728
ko:K03923	hpl:HPB8_829
ko:K03620	hpl:HPB8_833
ko:K00609	hpl:HPB8_1203
ko:K00878	hpl:HPB8_1055
ko:K01153	hpl:HPB8_1056
ko:K01154	hpl:HPB8_1057
ko:K03427	hpl:HPB8_1058
ko:K00364	hpl:HPB8_1064
ko:K03271	hpl:HPB8_1066
ko:K03272	hpl:HPB8_1067
ko:K03274	hpl:HPB8_1068
ko:K03273	hpl:HPB8_1069
ko:K09792	hpl:HPB8_1070
ko:K03525	hpl:HPB8_1071
ko:K03624	hpl:HPB8_1075
ko:K00748	hpl:HPB8_1076
ko:K04651	hpl:HPB8_1078
ko:K02390	hpl:HPB8_1079
ko:K06207	hpl:HPB8_1102
ko:K02018	hpl:HPB8_1108
ko:K02020	hpl:HPB8_1109
ko:K01153	hpl:HPB8_1119
ko:K01153	hpl:HPB8_1121
ko:K03427	hpl:HPB8_1122
ko:K01154	hpl:HPB8_1123
ko:K00937	hpl:HPB8_1126
ko:K01714	hpl:HPB8_1129
ko:K00995	hpl:HPB8_1132
ko:K12506	hpl:HPB8_1135
ko:K02906	hpl:HPB8_160
ko:K02926	hpl:HPB8_161
ko:K02892	hpl:HPB8_162
ko:K02886	hpl:HPB8_163
ko:K02965	hpl:HPB8_164
ko:K02890	hpl:HPB8_165
ko:K02982	hpl:HPB8_166
ko:K02878	hpl:HPB8_167
ko:K02904	hpl:HPB8_168
ko:K02961	hpl:HPB8_169
ko:K02874	hpl:HPB8_170
ko:K02895	hpl:HPB8_171
ko:K02931	hpl:HPB8_172
ko:K02954	hpl:HPB8_173
ko:K02994	hpl:HPB8_174
ko:K02933	hpl:HPB8_175
ko:K02881	hpl:HPB8_176
