ko:K02030	rsc:RCFBP_20811
ko:K07052	rsc:RCFBP_10062
ko:K02029	rsc:RCFBP_11136
ko:K02029	rsc:RCFBP_11137
ko:K14682	rsc:RCFBP_20179
ko:K21344	rsc:RCFBP_20567
ko:K15778	rsc:RCFBP_20723
ko:K07497	rsc:RCFBP_10365
ko:K02303	rsc:RCFBP_11006
ko:K01485	rsc:RCFBP_11601
ko:K01487	rsc:RCFBP_11290
ko:K07130	rsc:RCFBP_20655
ko:K00102	rsc:RCFBP_10783
ko:K12340	rsc:RCFBP_20719
ko:K02057	rsc:RCFBP_11220
ko:K14058	rsc:RCFBP_21278
ko:K00632	rsc:RCFBP_21009
ko:K00344	rsc:RCFBP_11212
ko:K12262	rsc:RCFBP_10731
ko:K06147	rsc:RCFBP_21006
ko:K03767	rsc:RCFBP_20268
ko:K07117	rsc:RCFBP_10105
ko:K07168	rsc:RCFBP_21323
ko:K00108	rsc:RCFBP_10120
ko:K13953	rsc:RCFBP_10307
ko:K00956	rsc:RCFBP_11005
ko:K13979	rsc:RCFBP_11285
ko:K01077	rsc:RCFBP_21348
ko:K05973	rsc:RCFBP_20471
ko:K02055	rsc:RCFBP_11745
ko:K03342	rsc:RCFBP_10814
ko:K11745	rsc:RCFBP_10343
ko:K11085	rsc:RCFBP_11196
ko:K01856	rsc:RCFBP_11865
ko:K00568	rsc:RCFBP_20583
ko:K00104	rsc:RCFBP_10782
ko:K01897	rsc:RCFBP_10602
ko:K00329	rsc:RCFBP_21357
ko:K00356	rsc:RCFBP_21357
ko:K03772	rsc:RCFBP_11561
ko:K00666	rsc:RCFBP_20639
ko:K00974	rsc:RCFBP_21359
ko:K13953	rsc:RCFBP_11485
ko:K03719	rsc:RCFBP_20554
ko:K14232	rsc:RCFBP_tRNA52
ko:K14229	rsc:RCFBP_tRNA25
ko:K01266	rsc:RCFBP_20049
ko:K01358	rsc:RCFBP_20352
ko:K07213	rsc:RCFBP_10116
ko:K01179	rsc:RCFBP_10201
ko:K14221	rsc:RCFBP_tRNA21
ko:K14221	rsc:RCFBP_tRNA42
ko:K14221	rsc:RCFBP_tRNA39
ko:K14229	rsc:RCFBP_tRNA32
ko:K01983	rsc:RCFBP_misc_RNA_10
ko:K14393	rsc:RCFBP_11433
ko:K14233	rsc:RCFBP_tRNA36
ko:K14225	rsc:RCFBP_tRNA5
ko:K14219	rsc:RCFBP_tRNA47
ko:K14228	rsc:RCFBP_tRNA13
ko:K00799	rsc:RCFBP_10729
ko:K01759	rsc:RCFBP_20961
ko:K06867	rsc:RCFBP_20638
ko:K01055	rsc:RCFBP_11145
ko:K00799	rsc:RCFBP_20598
ko:K02463	rsc:RCFBP_10324
ko:K07232	rsc:RCFBP_20637
ko:K00537	rsc:RCFBP_10209
ko:K14232	rsc:RCFBP_tRNA16
ko:K14220	rsc:RCFBP_tRNA23
ko:K02057	rsc:RCFBP_11221
ko:K04085	rsc:RCFBP_20605
ko:K02010	rsc:RCFBP_10512
ko:K14233	rsc:RCFBP_tRNA11
ko:K14347	rsc:RCFBP_10859
ko:K14234	rsc:RCFBP_tRNA6
ko:K14287	rsc:RCFBP_11373
ko:K14233	rsc:RCFBP_tRNA50
ko:K14260	rsc:RCFBP_20100
ko:K01561	rsc:RCFBP_21237
ko:K14228	rsc:RCFBP_tRNA51
ko:K14232	rsc:RCFBP_tRNA18
ko:K06992	rsc:RCFBP_21038
