ko:K18917	cgj:AR0_04770
ko:K14230	cgj:AR0_02935
ko:K18926	cgj:AR0_13015
ko:K14237	cgj:AR0_08875
ko:K14237	cgj:AR0_08890
ko:K18926	cgj:AR0_11990
ko:K15733	cgj:AR0_08855
ko:K18955	cgj:AR0_04290
ko:K18918	cgj:AR0_15060
ko:K01156	cgj:AR0_10555
ko:K00529	cgj:AR0_03360
ko:K09693	cgj:AR0_02165
ko:K09692	cgj:AR0_02170
ko:K09693	cgj:AR0_02245
ko:K09684	cgj:AR0_02965
ko:K19745	cgj:AR0_12185
ko:K01007	cgj:AR0_03380
ko:K21687	cgj:AR0_04650
ko:K21688	cgj:AR0_05100
ko:K02021	cgj:AR0_07695
ko:K14231	cgj:AR0_12315
ko:K02483	cgj:AR0_12565
ko:K14228	cgj:AR0_07280
ko:K14227	cgj:AR0_00070
ko:K14227	cgj:AR0_00145
ko:K01977	cgj:AR0_00660
ko:K01977	cgj:AR0_07565
ko:K01977	cgj:AR0_12250
ko:K01977	cgj:AR0_12280
ko:K01977	cgj:AR0_14325
ko:K01977	cgj:AR0_04610
ko:K14221	cgj:AR0_12320
ko:K14221	cgj:AR0_12335
ko:K18701	cgj:AR0_01610
ko:K18700	cgj:AR0_02835
ko:K01978	cgj:AR0_15005
ko:K01985	cgj:AR0_00670
ko:K01985	cgj:AR0_14315
ko:K01985	cgj:AR0_12270
ko:K01985	cgj:AR0_07575
ko:K01985	cgj:AR0_04620
ko:K01985	cgj:AR0_12240
ko:K14218	cgj:AR0_00075
ko:K14218	cgj:AR0_00150
ko:K14218	cgj:AR0_00135
ko:K14230	cgj:AR0_04520
ko:K14230	cgj:AR0_04570
ko:K01980	cgj:AR0_12245
ko:K01980	cgj:AR0_04615
ko:K01980	cgj:AR0_14320
ko:K01980	cgj:AR0_00665
ko:K01980	cgj:AR0_12275
ko:K01980	cgj:AR0_07570
ko:K14237	cgj:AR0_08900
ko:K18701	cgj:AR0_08095
ko:K01462	cgj:AR0_08510
ko:K04066	cgj:AR0_08515
ko:K00789	cgj:AR0_08520
ko:K13038	cgj:AR0_08525
ko:K03060	cgj:AR0_08530
ko:K00942	cgj:AR0_08535
ko:K01591	cgj:AR0_08545
ko:K01955	cgj:AR0_08550
ko:K01956	cgj:AR0_08555
ko:K01465	cgj:AR0_08560
ko:K00609	cgj:AR0_08565
ko:K02825	cgj:AR0_08570
