ko:K01006	sagl:GBS222_1396
ko:K06896	sagl:GBS222_1620
ko:K07045	sagl:GBS222_1524
ko:K03293	sagl:GBS222_1228
ko:K01990	sagl:GBS222_0023
ko:K04771	sagl:GBS222_1766
ko:K13677	sagl:GBS222_0583
ko:K12574	sagl:GBS222_1482
ko:K01791	sagl:GBS222_0992
ko:K11704	sagl:GBS222_1271
ko:K11705	sagl:GBS222_1269
ko:K08986	sagl:GBS222_0602
ko:K01945	sagl:GBS222_0193
ko:K01588	sagl:GBS222_0194
ko:K01589	sagl:GBS222_0195
ko:K01756	sagl:GBS222_0198
ko:K03551	sagl:GBS222_0200
ko:K04072	sagl:GBS222_0204
ko:K01733	sagl:GBS222_0206
ko:K02946	sagl:GBS222_0208
ko:K02906	sagl:GBS222_0209
ko:K02926	sagl:GBS222_0210
ko:K02892	sagl:GBS222_0211
ko:K02886	sagl:GBS222_0212
ko:K02965	sagl:GBS222_0213
ko:K02890	sagl:GBS222_0214
ko:K02982	sagl:GBS222_0215
ko:K02878	sagl:GBS222_0216
ko:K02904	sagl:GBS222_0217
ko:K02961	sagl:GBS222_0218
ko:K02874	sagl:GBS222_0219
ko:K02895	sagl:GBS222_0220
ko:K02931	sagl:GBS222_0221
ko:K02954	sagl:GBS222_0222
ko:K02994	sagl:GBS222_0223
ko:K02933	sagl:GBS222_0224
ko:K02881	sagl:GBS222_0225
ko:K02988	sagl:GBS222_0226
ko:K02907	sagl:GBS222_0227
ko:K02876	sagl:GBS222_0228
ko:K03076	sagl:GBS222_0229
ko:K02518	sagl:GBS222_0231
ko:K02952	sagl:GBS222_0232
ko:K02948	sagl:GBS222_0233
ko:K03040	sagl:GBS222_0234
ko:K02879	sagl:GBS222_0235
ko:K09962	sagl:GBS222_0240
ko:K03705	sagl:GBS222_0246
ko:K03687	sagl:GBS222_0247
ko:K04043	sagl:GBS222_0248
ko:K03686	sagl:GBS222_0249
ko:K06173	sagl:GBS222_0251
ko:K00868	sagl:GBS222_0252
ko:K03545	sagl:GBS222_0256
ko:K01937	sagl:GBS222_0258
ko:K04485	sagl:GBS222_0261
ko:K01673	sagl:GBS222_0262
ko:K10441	sagl:GBS222_0267
ko:K06726	sagl:GBS222_0268
ko:K02529	sagl:GBS222_0270
ko:K02003	sagl:GBS222_0272
ko:K01940	sagl:GBS222_0275
ko:K01755	sagl:GBS222_0276
ko:K01624	sagl:GBS222_0277
ko:K02902	sagl:GBS222_0279
ko:K06153	sagl:GBS222_0287
ko:K16511	sagl:GBS222_0288
ko:K09013	sagl:GBS222_0290
ko:K09015	sagl:GBS222_0291
ko:K11717	sagl:GBS222_0292
ko:K09014	sagl:GBS222_0294
ko:K15580	sagl:GBS222_0297
ko:K15581	sagl:GBS222_0298
ko:K09817	sagl:GBS222_0304
ko:K09816	sagl:GBS222_0305
ko:K01866	sagl:GBS222_0307
ko:K03043	sagl:GBS222_0309
ko:K03046	sagl:GBS222_0310
ko:K00925	sagl:GBS222_0317
ko:K00286	sagl:GBS222_0321
ko:K06878	sagl:GBS222_0326
ko:K05338	sagl:GBS222_0332
ko:K05339	sagl:GBS222_0333
ko:K02034	sagl:GBS222_0336
ko:K02851	sagl:GBS222_0289
ko:K11070	sagl:GBS222_0940
ko:K00615	sagl:GBS222_0344
ko:K00615	sagl:GBS222_0345
ko:K02956	sagl:GBS222_0347
ko:K00962	sagl:GBS222_0348
ko:K00640	sagl:GBS222_0350
ko:K01883	sagl:GBS222_0352
ko:K11145	sagl:GBS222_0353
ko:K03218	sagl:GBS222_0354
ko:K06962	sagl:GBS222_0355
ko:K02871	sagl:GBS222_0358
ko:K02996	sagl:GBS222_0359
ko:K05846	sagl:GBS222_0368
ko:K05845	sagl:GBS222_0369
ko:K05846	sagl:GBS222_0370
ko:K05847	sagl:GBS222_0371
ko:K03565	sagl:GBS222_0373
ko:K16264	sagl:GBS222_0391
ko:K02773	sagl:GBS222_0398
ko:K02774	sagl:GBS222_0399
ko:K02773	sagl:GBS222_0402
ko:K02774	sagl:GBS222_0404
ko:K00965	sagl:GBS222_0411
ko:K01873	sagl:GBS222_0418
ko:K01914	sagl:GBS222_0428
ko:K00954	sagl:GBS222_0432
ko:K06941	sagl:GBS222_0436
ko:K03523	sagl:GBS222_0441
ko:K03322	sagl:GBS222_0618
ko:K11752	sagl:GBS222_0619
ko:K00793	sagl:GBS222_0620
ko:K14652	sagl:GBS222_0621
ko:K00794	sagl:GBS222_0622
ko:K04567	sagl:GBS222_0623
ko:K01595	sagl:GBS222_0633
ko:K03588	sagl:GBS222_0634
ko:K02358	sagl:GBS222_0635
ko:K01803	sagl:GBS222_0636
ko:K00687	sagl:GBS222_0638
ko:K06187	sagl:GBS222_0639
ko:K01921	sagl:GBS222_0640
ko:K01929	sagl:GBS222_0641
ko:K08177	sagl:GBS222_0642
ko:K02837	sagl:GBS222_0645
ko:K02071	sagl:GBS222_0647
ko:K02072	sagl:GBS222_0648
ko:K02073	sagl:GBS222_0649
ko:K05592	sagl:GBS222_0650
ko:K07461	sagl:GBS222_0651
ko:K00655	sagl:GBS222_0653
ko:K02237	sagl:GBS222_0654
ko:K02340	sagl:GBS222_0660
ko:K04564	sagl:GBS222_0661
ko:K01223	sagl:GBS222_0664
ko:K02647	sagl:GBS222_0665
ko:K00865	sagl:GBS222_0666
ko:K07568	sagl:GBS222_0670
ko:K02109	sagl:GBS222_0730
ko:K02113	sagl:GBS222_0731
ko:K02111	sagl:GBS222_0732
ko:K02115	sagl:GBS222_0733
ko:K02112	sagl:GBS222_0734
ko:K02114	sagl:GBS222_0735
ko:K00790	sagl:GBS222_0737
ko:K01889	sagl:GBS222_0740
ko:K01890	sagl:GBS222_0742
ko:K16898	sagl:GBS222_0745
ko:K03650	sagl:GBS222_0747
ko:K06158	sagl:GBS222_0748
ko:K00161	sagl:GBS222_0749
ko:K00162	sagl:GBS222_0750
ko:K00627	sagl:GBS222_0751
ko:K00382	sagl:GBS222_0752
ko:K03800	sagl:GBS222_0753
ko:K01928	sagl:GBS222_0755
ko:K03431	sagl:GBS222_0758
ko:K00940	sagl:GBS222_0771
ko:K03596	sagl:GBS222_0772
ko:K06950	sagl:GBS222_0774
ko:K02337	sagl:GBS222_0784
ko:K02003	sagl:GBS222_0847
ko:K03168	sagl:GBS222_0848
ko:K02016	sagl:GBS222_0850
ko:K02013	sagl:GBS222_0851
ko:K02015	sagl:GBS222_0852
ko:K02015	sagl:GBS222_0853
ko:K03470	sagl:GBS222_0855
ko:K14540	sagl:GBS222_0856
ko:K07704	sagl:GBS222_0860
ko:K01955	sagl:GBS222_0867
ko:K01956	sagl:GBS222_0868
ko:K00609	sagl:GBS222_0869
ko:K01465	sagl:GBS222_0870
ko:K00762	sagl:GBS222_0871
ko:K01591	sagl:GBS222_0872
ko:K00133	sagl:GBS222_0876
ko:K06131	sagl:GBS222_0878
ko:K01938	sagl:GBS222_0881
ko:K03800	sagl:GBS222_0882
ko:K05786	sagl:GBS222_0949
ko:K00872	sagl:GBS222_0950
ko:K00003	sagl:GBS222_0951
ko:K11065	sagl:GBS222_0960
ko:K03657	sagl:GBS222_0972
ko:K03310	sagl:GBS222_0975
ko:K02945	sagl:GBS222_0980
ko:K00826	sagl:GBS222_0982
ko:K02621	sagl:GBS222_0983
ko:K02622	sagl:GBS222_0984
ko:K08591	sagl:GBS222_0985
ko:K03648	sagl:GBS222_0988
