ko:K01992	plr:PAQ_060
ko:K01872	plr:PAQ_228
ko:K01869	plr:PAQ_229
ko:K07042	plr:PAQ_230
ko:K01696	plr:PAQ_231
ko:K01695	plr:PAQ_232
ko:K01873	plr:PAQ_235
ko:K03596	plr:PAQ_237
ko:K04077	plr:PAQ_238
ko:K04078	plr:PAQ_239
ko:K01940	plr:PAQ_240
ko:K07390	plr:PAQ_241
ko:K01657	plr:PAQ_247
ko:K00766	plr:PAQ_249
ko:K01609	plr:PAQ_250
ko:K02897	plr:PAQ_253
ko:K00948	plr:PAQ_254
ko:K02835	plr:PAQ_255
ko:K06443	plr:PAQ_256
ko:K02434	plr:PAQ_259
ko:K00765	plr:PAQ_262
ko:K02871	plr:PAQ_263
ko:K02996	plr:PAQ_264
ko:K03438	plr:PAQ_266
ko:K03555	plr:PAQ_267
ko:K02204	plr:PAQ_271
ko:K00817	plr:PAQ_272
ko:K02500	plr:PAQ_273
ko:K01814	plr:PAQ_274
ko:K02501	plr:PAQ_275
ko:K01693	plr:PAQ_276
ko:K06180	plr:PAQ_281
ko:K01652	plr:PAQ_283
ko:K01653	plr:PAQ_284
ko:K00053	plr:PAQ_285
ko:K02959	plr:PAQ_286
ko:K02860	plr:PAQ_287
ko:K02884	plr:PAQ_288
ko:K00003	plr:PAQ_289
ko:K01733	plr:PAQ_290
ko:K03664	plr:PAQ_291
ko:K03687	plr:PAQ_292
ko:K04043	plr:PAQ_001
ko:K03686	plr:PAQ_002
ko:K00343	plr:PAQ_003
ko:K00342	plr:PAQ_004
ko:K00341	plr:PAQ_005
ko:K00340	plr:PAQ_006
ko:K00339	plr:PAQ_007
ko:K00338	plr:PAQ_008
ko:K00337	plr:PAQ_009
ko:K00334	plr:PAQ_012
ko:K13378	plr:PAQ_013
ko:K00331	plr:PAQ_014
ko:K00330	plr:PAQ_015
ko:K02914	plr:PAQ_017
ko:K02470	plr:PAQ_018
ko:K01879	plr:PAQ_020
ko:K01878	plr:PAQ_021
ko:K01754	plr:PAQ_022
ko:K00528	plr:PAQ_023
ko:K03217	plr:PAQ_024
ko:K03650	plr:PAQ_025
ko:K03495	plr:PAQ_026
ko:K02108	plr:PAQ_028
ko:K02110	plr:PAQ_029
ko:K02109	plr:PAQ_030
ko:K02113	plr:PAQ_031
ko:K02111	plr:PAQ_032
ko:K02115	plr:PAQ_033
ko:K02112	plr:PAQ_034
ko:K02114	plr:PAQ_035
ko:K00611	plr:PAQ_036
ko:K01704	plr:PAQ_037
ko:K00052	plr:PAQ_038
ko:K00133	plr:PAQ_039
ko:K06173	plr:PAQ_040
ko:K01817	plr:PAQ_041
ko:K06895	plr:PAQ_042
ko:K01875	plr:PAQ_043
ko:K03977	plr:PAQ_045
ko:K01892	plr:PAQ_046
ko:K01338	plr:PAQ_047
ko:K01687	plr:PAQ_048
ko:K02502	plr:PAQ_050
ko:K09014	plr:PAQ_051
ko:K09013	plr:PAQ_052
ko:K09015	plr:PAQ_053
ko:K11717	plr:PAQ_054
ko:K00566	plr:PAQ_055
