ko:K07726	lmc:Lm4b_00760
ko:K00008	lmc:Lm4b_00528
ko:K13920	lmc:Lm4b_01160
ko:K01223	lmc:Lm4b_02736
ko:K12574	lmc:Lm4b_01047
ko:K01990	lmc:Lm4b_02254
ko:K01182	lmc:Lm4b_00181
ko:K04751	lmc:Lm4b_01527
ko:K02247	lmc:Lm4b_01351
ko:K00244	lmc:Lm4b_00374
ko:K02529	lmc:Lm4b_01050
ko:K05520	lmc:Lm4b_02283
ko:K01443	lmc:Lm4b_00976
ko:K02564	lmc:Lm4b_00977
ko:K03710	lmc:Lm4b_00978
ko:K08303	lmc:Lm4b_00981
ko:K03744	lmc:Lm4b_00982
ko:K03799	lmc:Lm4b_00983
ko:K07816	lmc:Lm4b_00987
ko:K00858	lmc:Lm4b_00988
ko:K06180	lmc:Lm4b_00989
ko:K00208	lmc:Lm4b_00990
ko:K03740	lmc:Lm4b_00991
ko:K03739	lmc:Lm4b_00993
ko:K03367	lmc:Lm4b_00994
ko:K01807	lmc:Lm4b_00995
ko:K00826	lmc:Lm4b_00998
ko:K00432	lmc:Lm4b_01003
ko:K02837	lmc:Lm4b_01008
ko:K00567	lmc:Lm4b_01016
ko:K03697	lmc:Lm4b_01017
ko:K08483	lmc:Lm4b_01023
ko:K05823	lmc:Lm4b_01032
ko:K02002	lmc:Lm4b_01036
ko:K01734	lmc:Lm4b_01923
ko:K00027	lmc:Lm4b_01932
ko:K00656	lmc:Lm4b_01934
ko:K07007	lmc:Lm4b_01935
ko:K06973	lmc:Lm4b_01936
ko:K00800	lmc:Lm4b_01940
ko:K00817	lmc:Lm4b_01942
ko:K06208	lmc:Lm4b_01943
ko:K01735	lmc:Lm4b_01944
ko:K01736	lmc:Lm4b_01945
ko:K00940	lmc:Lm4b_01946
ko:K03183	lmc:Lm4b_01948
ko:K01495	lmc:Lm4b_01950
ko:K03530	lmc:Lm4b_01951
ko:K00057	lmc:Lm4b_01953
ko:K03977	lmc:Lm4b_01954
ko:K02945	lmc:Lm4b_01955
ko:K00945	lmc:Lm4b_01956
ko:K03654	lmc:Lm4b_01960
ko:K07651	lmc:Lm4b_01966
ko:K07775	lmc:Lm4b_01967
ko:K06178	lmc:Lm4b_01968
ko:K06024	lmc:Lm4b_01969
ko:K05896	lmc:Lm4b_01970
ko:K01586	lmc:Lm4b_01971
ko:K03783	lmc:Lm4b_01972
ko:K01839	lmc:Lm4b_01973
ko:K04763	lmc:Lm4b_01974
ko:K02015	lmc:Lm4b_01976
ko:K02015	lmc:Lm4b_01977
ko:K02016	lmc:Lm4b_01978
ko:K02013	lmc:Lm4b_01979
ko:K02009	lmc:Lm4b_01209
ko:K00657	lmc:Lm4b_00009
ko:K00657	lmc:Lm4b_02372
ko:K01297	lmc:Lm4b_01649
ko:K12555	lmc:Lm4b_02256
ko:K12410	lmc:Lm4b_02713
ko:K01934	lmc:Lm4b_01344
ko:K02191	lmc:Lm4b_01200
ko:K03711	lmc:Lm4b_01975
ko:K07027	lmc:Lm4b_02521
ko:K06889	lmc:Lm4b_02095
ko:K06889	lmc:Lm4b_01130
ko:K13292	lmc:Lm4b_02451
ko:K01491	lmc:Lm4b_01368
ko:K05934	lmc:Lm4b_01203
ko:K03394	lmc:Lm4b_01207
ko:K13052	lmc:Lm4b_00215
ko:K03492	lmc:Lm4b_00922
ko:K03492	lmc:Lm4b_00601
ko:K11072	lmc:Lm4b_00822
ko:K06889	lmc:Lm4b_02289
ko:K01739	lmc:Lm4b_01693
ko:K02823	lmc:Lm4b_01850
ko:K03768	lmc:Lm4b_02348
ko:K01992	lmc:Lm4b_02241
ko:K00287	lmc:Lm4b_01890
ko:K00560	lmc:Lm4b_01891
ko:K01938	lmc:Lm4b_01893
ko:K03704	lmc:Lm4b_01895
ko:K03469	lmc:Lm4b_01896
ko:K02954	lmc:Lm4b_01898
ko:K03816	lmc:Lm4b_01901
ko:K01299	lmc:Lm4b_01902
ko:K07444	lmc:Lm4b_01903
ko:K03700	lmc:Lm4b_01908
ko:K05366	lmc:Lm4b_01909
ko:K10773	lmc:Lm4b_01911
ko:K02086	lmc:Lm4b_01912
ko:K01893	lmc:Lm4b_01913
ko:K00812	lmc:Lm4b_01914
ko:K03722	lmc:Lm4b_01916
ko:K01579	lmc:Lm4b_01917
ko:K01918	lmc:Lm4b_01918
ko:K00606	lmc:Lm4b_01919
ko:K03524	lmc:Lm4b_01921
ko:K00831	lmc:Lm4b_02798
ko:K07078	lmc:Lm4b_02802
ko:K00865	lmc:Lm4b_02805
ko:K02026	lmc:Lm4b_02810
ko:K02025	lmc:Lm4b_02811
ko:K03534	lmc:Lm4b_02818
ko:K01629	lmc:Lm4b_02819
ko:K00848	lmc:Lm4b_02821
ko:K06346	lmc:Lm4b_02825
ko:K03217	lmc:Lm4b_02826
ko:K03536	lmc:Lm4b_02827
ko:K00266	lmc:Lm4b_01747
ko:K03475	lmc:Lm4b_02615
ko:K02822	lmc:Lm4b_02616
ko:K02358	lmc:Lm4b_02625
ko:K02355	lmc:Lm4b_02626
ko:K02992	lmc:Lm4b_02627
ko:K02950	lmc:Lm4b_02628
ko:K01129	lmc:Lm4b_02629
ko:K01783	lmc:Lm4b_02632
ko:K00615	lmc:Lm4b_02633
ko:K01783	lmc:Lm4b_02634
ko:K01808	lmc:Lm4b_02635
ko:K02775	lmc:Lm4b_02638
ko:K02774	lmc:Lm4b_02639
ko:K02773	lmc:Lm4b_02640
ko:K01808	lmc:Lm4b_02647
ko:K03502	lmc:Lm4b_02649
ko:K07667	lmc:Lm4b_02651
ko:K07646	lmc:Lm4b_02652
ko:K01548	lmc:Lm4b_02653
ko:K01547	lmc:Lm4b_02654
ko:K01546	lmc:Lm4b_02655
ko:K02760	lmc:Lm4b_02656
ko:K02761	lmc:Lm4b_02657
ko:K02759	lmc:Lm4b_02658
ko:K01531	lmc:Lm4b_02661
ko:K00943	lmc:Lm4b_02666
ko:K05878	lmc:Lm4b_02668
ko:K05879	lmc:Lm4b_02669
ko:K03308	lmc:Lm4b_01775
ko:K01945	lmc:Lm4b_01778
ko:K00602	lmc:Lm4b_01779
ko:K11175	lmc:Lm4b_01780
ko:K01933	lmc:Lm4b_01781
ko:K00764	lmc:Lm4b_01782
ko:K01952	lmc:Lm4b_01783
ko:K01952	lmc:Lm4b_01784
ko:K01952	lmc:Lm4b_01785
ko:K01923	lmc:Lm4b_01786
ko:K01756	lmc:Lm4b_01787
ko:K01589	lmc:Lm4b_01788
ko:K01588	lmc:Lm4b_01789
ko:K06950	lmc:Lm4b_01793
ko:K01258	lmc:Lm4b_01796
ko:K01142	lmc:Lm4b_01798
ko:K02887	lmc:Lm4b_01799
ko:K02916	lmc:Lm4b_01800
ko:K02520	lmc:Lm4b_01801
ko:K02884	lmc:Lm4b_01803
ko:K08310	lmc:Lm4b_02673
ko:K06187	lmc:Lm4b_02676
ko:K09747	lmc:Lm4b_02677
ko:K02343	lmc:Lm4b_02678
ko:K02761	lmc:Lm4b_02682
ko:K00851	lmc:Lm4b_02686
ko:K00426	lmc:Lm4b_02691
ko:K00425	lmc:Lm4b_02692
ko:K01895	lmc:Lm4b_02694
ko:K02768	lmc:Lm4b_02707
ko:K02769	lmc:Lm4b_02707
ko:K02770	lmc:Lm4b_02707
ko:K00865	lmc:Lm4b_02710
ko:K08161	lmc:Lm4b_02715
ko:K00616	lmc:Lm4b_02717
ko:K01875	lmc:Lm4b_02721
ko:K07258	lmc:Lm4b_02729
ko:K06978	lmc:Lm4b_02730
ko:K03169	lmc:Lm4b_02731
ko:K03654	lmc:Lm4b_02732
ko:K00088	lmc:Lm4b_02733
ko:K03800	lmc:Lm4b_00780
ko:K09704	lmc:Lm4b_00781
ko:K02026	lmc:Lm4b_00783
ko:K02796	lmc:Lm4b_00796
ko:K02795	lmc:Lm4b_00797
ko:K01118	lmc:Lm4b_00801
ko:K03976	lmc:Lm4b_00806
ko:K07150	lmc:Lm4b_00809
ko:K07118	lmc:Lm4b_00810
ko:K05786	lmc:Lm4b_00811
ko:K11071	lmc:Lm4b_00823
ko:K11070	lmc:Lm4b_00824
ko:K11069	lmc:Lm4b_00825
ko:K00847	lmc:Lm4b_00828
ko:K02371	lmc:Lm4b_00829
ko:K00265	lmc:Lm4b_01748
ko:K01486	lmc:Lm4b_01756
ko:K02003	lmc:Lm4b_01761
ko:K00891	lmc:Lm4b_01763
ko:K02434	lmc:Lm4b_01768
ko:K02433	lmc:Lm4b_01769
ko:K02435	lmc:Lm4b_01770
ko:K01972	lmc:Lm4b_01772
ko:K03657	lmc:Lm4b_01773
ko:K07094	lmc:Lm4b_01774
ko:K03527	lmc:Lm4b_01461
ko:K06967	lmc:Lm4b_01463
ko:K03086	lmc:Lm4b_01464
ko:K02316	lmc:Lm4b_01465
ko:K09768	lmc:Lm4b_01466
ko:K09773	lmc:Lm4b_01467
ko:K01879	lmc:Lm4b_01468
ko:K01878	lmc:Lm4b_01469
ko:K01810	lmc:Lm4b_02337
ko:K04023	lmc:Lm4b_01191
ko:K02227	lmc:Lm4b_01196
ko:K06042	lmc:Lm4b_01197
ko:K02188	lmc:Lm4b_01198
ko:K03399	lmc:Lm4b_01199
ko:K05936	lmc:Lm4b_01201
ko:K02189	lmc:Lm4b_01202
ko:K05895	lmc:Lm4b_01204
ko:K02190	lmc:Lm4b_01206
ko:K02007	lmc:Lm4b_01208
ko:K02008	lmc:Lm4b_01210
ko:K02006	lmc:Lm4b_01211
ko:K02232	lmc:Lm4b_01212
ko:K09936	lmc:Lm4b_01214
ko:K09936	lmc:Lm4b_01215
ko:K06199	lmc:Lm4b_02102
ko:K06199	lmc:Lm4b_02103
ko:K01940	lmc:Lm4b_02111
ko:K01755	lmc:Lm4b_02112
ko:K00882	lmc:Lm4b_02116
ko:K02775	lmc:Lm4b_02117
ko:K02774	lmc:Lm4b_02118
ko:K02773	lmc:Lm4b_02119
ko:K06215	lmc:Lm4b_02122
ko:K08681	lmc:Lm4b_02123
ko:K04758	lmc:Lm4b_02125
ko:K04759	lmc:Lm4b_02126
ko:K07098	lmc:Lm4b_02128
ko:K01443	lmc:Lm4b_02130
ko:K01809	lmc:Lm4b_02132
ko:K02003	lmc:Lm4b_02136
ko:K03431	lmc:Lm4b_02140
ko:K00262	lmc:Lm4b_00586
ko:K01523	lmc:Lm4b_00587
ko:K01496	lmc:Lm4b_00588
ko:K02500	lmc:Lm4b_00589
ko:K01814	lmc:Lm4b_00590
ko:K02501	lmc:Lm4b_00591
ko:K01693	lmc:Lm4b_00592
ko:K00013	lmc:Lm4b_00593
ko:K00765	lmc:Lm4b_00594
ko:K02502	lmc:Lm4b_00595
ko:K04486	lmc:Lm4b_00596
ko:K07443	lmc:Lm4b_00597
ko:K06901	lmc:Lm4b_00599
ko:K06999	lmc:Lm4b_00606
ko:K06969	lmc:Lm4b_00607
ko:K03070	lmc:Lm4b_00609
ko:K01669	lmc:Lm4b_00614
ko:K00641	lmc:Lm4b_00620
ko:K01740	lmc:Lm4b_00621
ko:K03523	lmc:Lm4b_00624
ko:K01118	lmc:Lm4b_00637
ko:K01126	lmc:Lm4b_00642
ko:K07090	lmc:Lm4b_00647
ko:K00259	lmc:Lm4b_01590
ko:K00925	lmc:Lm4b_01592
ko:K11065	lmc:Lm4b_01594
ko:K04773	lmc:Lm4b_01596
ko:K00858	lmc:Lm4b_01597
ko:K00930	lmc:Lm4b_01600
ko:K00145	lmc:Lm4b_01602
ko:K03151	lmc:Lm4b_01603
ko:K04487	lmc:Lm4b_01604
ko:K06286	lmc:Lm4b_01605
ko:K02986	lmc:Lm4b_01607
ko:K01866	lmc:Lm4b_01609
ko:K02529	lmc:Lm4b_01610
ko:K01924	lmc:Lm4b_01616
ko:K03466	lmc:Lm4b_01617
ko:K06878	lmc:Lm4b_01618
ko:K03439	lmc:Lm4b_01626
ko:K00824	lmc:Lm4b_01630
ko:K01439	lmc:Lm4b_01631
ko:K01695	lmc:Lm4b_01638
ko:K01696	lmc:Lm4b_01639
ko:K01817	lmc:Lm4b_01640
ko:K01609	lmc:Lm4b_01641
ko:K00766	lmc:Lm4b_01642
ko:K01658	lmc:Lm4b_01643
ko:K01657	lmc:Lm4b_01644
ko:K02115	lmc:Lm4b_02499
ko:K02111	lmc:Lm4b_02500
ko:K02113	lmc:Lm4b_02501
ko:K02109	lmc:Lm4b_02502
ko:K02110	lmc:Lm4b_02503
ko:K02108	lmc:Lm4b_02504
ko:K00761	lmc:Lm4b_02507
ko:K00600	lmc:Lm4b_02508
ko:K07566	lmc:Lm4b_02510
ko:K02493	lmc:Lm4b_02511
ko:K02835	lmc:Lm4b_02512
ko:K00857	lmc:Lm4b_02513
ko:K00872	lmc:Lm4b_02514
ko:K01733	lmc:Lm4b_02515
ko:K00003	lmc:Lm4b_02516
ko:K02909	lmc:Lm4b_02517
ko:K03628	lmc:Lm4b_02519
ko:K00790	lmc:Lm4b_02520
ko:K01937	lmc:Lm4b_02527
ko:K03048	lmc:Lm4b_02528
ko:K01887	lmc:Lm4b_02529
ko:K01821	lmc:Lm4b_02532
ko:K06885	lmc:Lm4b_02533
ko:K02035	lmc:Lm4b_02537
ko:K02003	lmc:Lm4b_02547
ko:K02379	lmc:Lm4b_02551
ko:K00123	lmc:Lm4b_02553
ko:K02557	lmc:Lm4b_00714
ko:K03415	lmc:Lm4b_00717
ko:K02406	lmc:Lm4b_00718
ko:K01679	lmc:Lm4b_02252
ko:K00014	lmc:Lm4b_02263
ko:K06180	lmc:Lm4b_02271
ko:K07220	lmc:Lm4b_02275
ko:K03306	lmc:Lm4b_02276
ko:K03413	lmc:Lm4b_00719
ko:K03407	lmc:Lm4b_00720
ko:K02417	lmc:Lm4b_00721
ko:K02389	lmc:Lm4b_00724
ko:K02390	lmc:Lm4b_00725
ko:K02417	lmc:Lm4b_00726
ko:K02416	lmc:Lm4b_00727
ko:K02417	lmc:Lm4b_00728
ko:K09770	lmc:Lm4b_00731
ko:K02396	lmc:Lm4b_00733
ko:K02397	lmc:Lm4b_00734
ko:K02407	lmc:Lm4b_00735
ko:K02422	lmc:Lm4b_00736
ko:K02387	lmc:Lm4b_00738
ko:K02388	lmc:Lm4b_00739
ko:K02408	lmc:Lm4b_00740
ko:K02409	lmc:Lm4b_00741
ko:K02410	lmc:Lm4b_00742
ko:K02411	lmc:Lm4b_00743
ko:K02412	lmc:Lm4b_00744
ko:K00158	lmc:Lm4b_00750
ko:K00820	lmc:Lm4b_00754
ko:K06999	lmc:Lm4b_00776
ko:K03665	lmc:Lm4b_00778
ko:K07098	lmc:Lm4b_00779
ko:K09825	lmc:Lm4b_01697
ko:K01845	lmc:Lm4b_01699
ko:K07586	lmc:Lm4b_01701
ko:K03575	lmc:Lm4b_01703
ko:K01520	lmc:Lm4b_01705
ko:K03565	lmc:Lm4b_01707
ko:K07071	lmc:Lm4b_01708
ko:K03790	lmc:Lm4b_01712
ko:K07058	lmc:Lm4b_01720
ko:K00662	lmc:Lm4b_01722
ko:K01265	lmc:Lm4b_01723
ko:K03569	lmc:Lm4b_01727
ko:K07504	lmc:Lm4b_01731
ko:K02759	lmc:Lm4b_01733
ko:K02760	lmc:Lm4b_01734
ko:K02529	lmc:Lm4b_01741
ko:K03924	lmc:Lm4b_00477
ko:K09703	lmc:Lm4b_00481
ko:K06885	lmc:Lm4b_00495
ko:K10254	lmc:Lm4b_00501
ko:K06941	lmc:Lm4b_00502
ko:K02911	lmc:Lm4b_00509
ko:K00014	lmc:Lm4b_00513
ko:K03785	lmc:Lm4b_00514
ko:K06978	lmc:Lm4b_00516
ko:K01808	lmc:Lm4b_00520
ko:K01783	lmc:Lm4b_00521
ko:K03584	lmc:Lm4b_01470
ko:K03595	lmc:Lm4b_01472
ko:K01489	lmc:Lm4b_01473
ko:K07042	lmc:Lm4b_01475
ko:K07037	lmc:Lm4b_01476
ko:K06217	lmc:Lm4b_01477
ko:K09117	lmc:Lm4b_01478
ko:K02970	lmc:Lm4b_01479
ko:K09761	lmc:Lm4b_01480
ko:K02687	lmc:Lm4b_01481
ko:K03686	lmc:Lm4b_01482
ko:K04043	lmc:Lm4b_01483
ko:K03687	lmc:Lm4b_01484
ko:K03705	lmc:Lm4b_01485
ko:K03596	lmc:Lm4b_01489
ko:K02968	lmc:Lm4b_01490
ko:K02340	lmc:Lm4b_01491
ko:K02238	lmc:Lm4b_01492
ko:K01493	lmc:Lm4b_01493
ko:K02237	lmc:Lm4b_01494
ko:K09710	lmc:Lm4b_01496
ko:K00969	lmc:Lm4b_01498
ko:K07574	lmc:Lm4b_01499
ko:K00014	lmc:Lm4b_01500
ko:K07015	lmc:Lm4b_01502
ko:K01243	lmc:Lm4b_01504
ko:K03624	lmc:Lm4b_01506
ko:K00876	lmc:Lm4b_01507
ko:K07082	lmc:Lm4b_01509
ko:K07447	lmc:Lm4b_01512
ko:K01872	lmc:Lm4b_01514
ko:K02003	lmc:Lm4b_01515
ko:K03581	lmc:Lm4b_01519
ko:K00566	lmc:Lm4b_01522
ko:K04487	lmc:Lm4b_01523
ko:K07478	lmc:Lm4b_01524
ko:K03320	lmc:Lm4b_01526
ko:K01876	lmc:Lm4b_01529
ko:K09013	lmc:Lm4b_02384
ko:K02073	lmc:Lm4b_02386
ko:K02072	lmc:Lm4b_02387
ko:K02071	lmc:Lm4b_02388
ko:K02437	lmc:Lm4b_02393
ko:K05837	lmc:Lm4b_02395
ko:K05837	lmc:Lm4b_02396
ko:K02013	lmc:Lm4b_02397
ko:K02015	lmc:Lm4b_02398
ko:K02016	lmc:Lm4b_02399
ko:K03488	lmc:Lm4b_02404
ko:K07032	lmc:Lm4b_02405
ko:K03664	lmc:Lm4b_02417
ko:K03928	lmc:Lm4b_02419
ko:K03075	lmc:Lm4b_02420
ko:K01689	lmc:Lm4b_02424
ko:K01803	lmc:Lm4b_02426
ko:K00927	lmc:Lm4b_02427
ko:K00134	lmc:Lm4b_02428
ko:K05311	lmc:Lm4b_02429
ko:K03092	lmc:Lm4b_02430
ko:K06994	lmc:Lm4b_02432
ko:K03933	lmc:Lm4b_02436
ko:K01358	lmc:Lm4b_02437
ko:K09762	lmc:Lm4b_02441
ko:K03218	lmc:Lm4b_00261
ko:K06962	lmc:Lm4b_00262
ko:K03091	lmc:Lm4b_00263
ko:K03073	lmc:Lm4b_00265
ko:K02601	lmc:Lm4b_00266
ko:K07570	lmc:Lm4b_02339
ko:K02003	lmc:Lm4b_02342
ko:K02760	lmc:Lm4b_02343
ko:K00928	lmc:Lm4b_02344
ko:K05566	lmc:Lm4b_02351
ko:K05567	lmc:Lm4b_02352
ko:K05568	lmc:Lm4b_02353
ko:K05569	lmc:Lm4b_02354
ko:K05570	lmc:Lm4b_02355
ko:K05571	lmc:Lm4b_02356
ko:K09775	lmc:Lm4b_02358
ko:K03885	lmc:Lm4b_02362
ko:K07090	lmc:Lm4b_02376
ko:K09014	lmc:Lm4b_02380
ko:K04488	lmc:Lm4b_02381
ko:K11717	lmc:Lm4b_02382
ko:K09015	lmc:Lm4b_02383
ko:K01448	lmc:Lm4b_00133
ko:K00088	lmc:Lm4b_00136
ko:K06975	lmc:Lm4b_00138
ko:K02035	lmc:Lm4b_00139
ko:K02033	lmc:Lm4b_00140
ko:K02034	lmc:Lm4b_00141
ko:K02035	lmc:Lm4b_00152
ko:K09815	lmc:Lm4b_00153
ko:K09817	lmc:Lm4b_00154
ko:K09816	lmc:Lm4b_00155
ko:K02341	lmc:Lm4b_00163
ko:K07461	lmc:Lm4b_00167
ko:K07056	lmc:Lm4b_00168
ko:K06284	lmc:Lm4b_00169
ko:K05340	lmc:Lm4b_00170
ko:K01874	lmc:Lm4b_00174
ko:K03424	lmc:Lm4b_00182
ko:K04024	lmc:Lm4b_01166
ko:K02440	lmc:Lm4b_01172
ko:K00925	lmc:Lm4b_01173
ko:K04019	lmc:Lm4b_01179
ko:K03735	lmc:Lm4b_01180
ko:K03736	lmc:Lm4b_01181
ko:K04026	lmc:Lm4b_01182
ko:K04032	lmc:Lm4b_01186
ko:K02867	lmc:Lm4b_00268
ko:K02863	lmc:Lm4b_00269
ko:K02864	lmc:Lm4b_00270
ko:K02935	lmc:Lm4b_00271
ko:K00690	lmc:Lm4b_00279
ko:K03043	lmc:Lm4b_00281
ko:K03046	lmc:Lm4b_00282
ko:K01439	lmc:Lm4b_00292
ko:K10112	lmc:Lm4b_00306
ko:K04068	lmc:Lm4b_00308
ko:K02072	lmc:Lm4b_00311
ko:K02071	lmc:Lm4b_00312
ko:K02073	lmc:Lm4b_00313
ko:K08969	lmc:Lm4b_00314
ko:K07668	lmc:Lm4b_00315
ko:K07652	lmc:Lm4b_00316
ko:K00783	lmc:Lm4b_00321
ko:K01419	lmc:Lm4b_01288
ko:K03667	lmc:Lm4b_01289
ko:K03706	lmc:Lm4b_01290
ko:K07107	lmc:Lm4b_01291
ko:K08591	lmc:Lm4b_01294
ko:K02622	lmc:Lm4b_01296
ko:K02621	lmc:Lm4b_01297
ko:K07173	lmc:Lm4b_01298
ko:K01126	lmc:Lm4b_01301
ko:K00111	lmc:Lm4b_01302
ko:K00791	lmc:Lm4b_01303
ko:K03666	lmc:Lm4b_01304
ko:K03665	lmc:Lm4b_01305
ko:K03713	lmc:Lm4b_01307
ko:K01915	lmc:Lm4b_01308
ko:K03893	lmc:Lm4b_01309
ko:K01356	lmc:Lm4b_01311
ko:K00615	lmc:Lm4b_01314
ko:K09976	lmc:Lm4b_01315
ko:K09903	lmc:Lm4b_01321
ko:K02838	lmc:Lm4b_01322
ko:K00806	lmc:Lm4b_01323
ko:K00981	lmc:Lm4b_01324
ko:K00099	lmc:Lm4b_01325
ko:K01881	lmc:Lm4b_01327
ko:K03763	lmc:Lm4b_01328
ko:K09748	lmc:Lm4b_01329
ko:K02600	lmc:Lm4b_01330
ko:K07742	lmc:Lm4b_01331
ko:K02519	lmc:Lm4b_01333
ko:K09764	lmc:Lm4b_01334
ko:K02834	lmc:Lm4b_01335
ko:K03177	lmc:Lm4b_01336
ko:K11753	lmc:Lm4b_01337
ko:K02956	lmc:Lm4b_01338
ko:K00962	lmc:Lm4b_01339
ko:K06949	lmc:Lm4b_01340
ko:K02913	lmc:Lm4b_01343
ko:K00845	lmc:Lm4b_01347
ko:K01867	lmc:Lm4b_02225
ko:K09458	lmc:Lm4b_02228
ko:K00648	lmc:Lm4b_02229
ko:K01834	lmc:Lm4b_02232
ko:K03695	lmc:Lm4b_02233
ko:K06890	lmc:Lm4b_02234
ko:K06976	lmc:Lm4b_02236
ko:K01599	lmc:Lm4b_02239
ko:K07533	lmc:Lm4b_02246
ko:K03698	lmc:Lm4b_02247
ko:K07315	lmc:Lm4b_00910
ko:K03090	lmc:Lm4b_00913
ko:K06959	lmc:Lm4b_00916
ko:K03095	lmc:Lm4b_00917
ko:K02761	lmc:Lm4b_00921
ko:K00383	lmc:Lm4b_00926
ko:K00135	lmc:Lm4b_00933
ko:K02760	lmc:Lm4b_00934
ko:K02761	lmc:Lm4b_00935
ko:K02759	lmc:Lm4b_00936
ko:K01223	lmc:Lm4b_00937
ko:K07089	lmc:Lm4b_00940
ko:K00867	lmc:Lm4b_00942
ko:K03652	lmc:Lm4b_00947
ko:K03800	lmc:Lm4b_00950
ko:K03216	lmc:Lm4b_00955
ko:K04047	lmc:Lm4b_00962
ko:K03449	lmc:Lm4b_00967
ko:K03327	lmc:Lm4b_01862
ko:K03797	lmc:Lm4b_01867
ko:K03784	lmc:Lm4b_01872
ko:K03810	lmc:Lm4b_01874
ko:K07305	lmc:Lm4b_01875
ko:K07304	lmc:Lm4b_01876
ko:K11068	lmc:Lm4b_01880
ko:K09773	lmc:Lm4b_01882
ko:K01006	lmc:Lm4b_01883
ko:K00563	lmc:Lm4b_01889
ko:K08972	lmc:Lm4b_02453
ko:K03701	lmc:Lm4b_02457
ko:K03702	lmc:Lm4b_02458
ko:K07023	lmc:Lm4b_02460
ko:K02039	lmc:Lm4b_02463
ko:K02036	lmc:Lm4b_02464
ko:K02036	lmc:Lm4b_02465
ko:K02038	lmc:Lm4b_02466
ko:K02037	lmc:Lm4b_02467
ko:K02040	lmc:Lm4b_02468
ko:K07636	lmc:Lm4b_02469
ko:K07658	lmc:Lm4b_02470
ko:K06131	lmc:Lm4b_02472
ko:K09812	lmc:Lm4b_02476
ko:K02836	lmc:Lm4b_02478
ko:K03070	lmc:Lm4b_02479
ko:K02240	lmc:Lm4b_02482
ko:K02549	lmc:Lm4b_02489
ko:K05946	lmc:Lm4b_02490
ko:K03111	lmc:Lm4b_02492
ko:K02372	lmc:Lm4b_02493
ko:K03569	lmc:Lm4b_02494
ko:K00790	lmc:Lm4b_02495
ko:K02114	lmc:Lm4b_02497
ko:K02112	lmc:Lm4b_02498
ko:K07048	lmc:Lm4b_02614
ko:K03737	lmc:Lm4b_00845
ko:K04041	lmc:Lm4b_00846
ko:K07088	lmc:Lm4b_00847
ko:K07784	lmc:Lm4b_00854
ko:K08151	lmc:Lm4b_00855
ko:K01921	lmc:Lm4b_00871
ko:K01929	lmc:Lm4b_00872
ko:K02529	lmc:Lm4b_00874
ko:K02025	lmc:Lm4b_00876
ko:K02026	lmc:Lm4b_00877
ko:K01226	lmc:Lm4b_00878
ko:K05592	lmc:Lm4b_00882
ko:K02760	lmc:Lm4b_00893
ko:K02761	lmc:Lm4b_00894
ko:K09167	lmc:Lm4b_00900
ko:K08981	lmc:Lm4b_00901
ko:K00231	lmc:Lm4b_00902
ko:K00997	lmc:Lm4b_00903
ko:K01775	lmc:Lm4b_00904
ko:K00554	lmc:Lm4b_01808
ko:K02860	lmc:Lm4b_01809
ko:K07010	lmc:Lm4b_01811
ko:K06960	lmc:Lm4b_01812
ko:K02959	lmc:Lm4b_01813
