ko:K08744	mto:MTCTRI2_1854
ko:K07029	mto:MTCTRI2_2288
ko:K08884	mto:MTCTRI2_2970
ko:K01992	mto:MTCTRI2_1248
ko:K01992	mto:MTCTRI2_1494
ko:K01992	mto:MTCTRI2_2994
ko:K01992	mto:MTCTRI2_2995
ko:K16786	mto:MTCTRI2_2367
ko:K16787	mto:MTCTRI2_2367
ko:K12349	mto:MTCTRI2_0685
ko:K01006	mto:MTCTRI2_1158
ko:K22476	mto:MTCTRI2_0431
ko:K07016	mto:MTCTRI2_2880
ko:K03574	mto:MTCTRI2_1192
ko:K07171	mto:MTCTRI2_0460
ko:K03297	mto:MTCTRI2_3128
ko:K21431	mto:MTCTRI2_0876
ko:K22316	mto:MTCTRI2_2264
ko:K01897	mto:MTCTRI2_2222
ko:K07171	mto:MTCTRI2_1132
ko:K04787	mto:MTCTRI2_2427
ko:K04789	mto:MTCTRI2_2423
ko:K04791	mto:MTCTRI2_2424
ko:K04792	mto:MTCTRI2_2422
ko:K04790	mto:MTCTRI2_2425
ko:K16146	mto:MTCTRI2_0130
ko:K16147	mto:MTCTRI2_1364
ko:K16148	mto:MTCTRI2_1243
ko:K16149	mto:MTCTRI2_3094
ko:K16150	mto:MTCTRI2_3095
ko:K01011	mto:MTCTRI2_3181
ko:K14728	mto:MTCTRI2_3009
ko:K18956	mto:MTCTRI2_0025
ko:K01754	mto:MTCTRI2_1601
ko:K01236	mto:MTCTRI2_1604
ko:K06044	mto:MTCTRI2_1605
ko:K00833	mto:MTCTRI2_1610
ko:K01935	mto:MTCTRI2_1612
ko:K01012	mto:MTCTRI2_1616
ko:K03517	mto:MTCTRI2_1621
ko:K00278	mto:MTCTRI2_1622
ko:K00767	mto:MTCTRI2_1623
ko:K00013	mto:MTCTRI2_1626
ko:K00817	mto:MTCTRI2_1627
ko:K01693	mto:MTCTRI2_1628
ko:K02501	mto:MTCTRI2_1629
ko:K02500	mto:MTCTRI2_1632
ko:K07300	mto:MTCTRI2_1634
ko:K03564	mto:MTCTRI2_1635
ko:K01657	mto:MTCTRI2_1636
ko:K01609	mto:MTCTRI2_1638
ko:K01696	mto:MTCTRI2_1639
ko:K01584	mto:MTCTRI2_2580
ko:K03625	mto:MTCTRI2_2582
ko:K02356	mto:MTCTRI2_2583
ko:K03786	mto:MTCTRI2_2586
ko:K01735	mto:MTCTRI2_2587
ko:K00891	mto:MTCTRI2_2588
ko:K01736	mto:MTCTRI2_2589
ko:K02654	mto:MTCTRI2_2600
ko:K00014	mto:MTCTRI2_2601
ko:K07082	mto:MTCTRI2_2602
ko:K07447	mto:MTCTRI2_2603
ko:K01872	mto:MTCTRI2_2604
ko:K07478	mto:MTCTRI2_2608
ko:K02003	mto:MTCTRI2_2612
ko:K07001	mto:MTCTRI2_2613
ko:K01876	mto:MTCTRI2_2620
ko:K00077	mto:MTCTRI2_2621
ko:K01892	mto:MTCTRI2_2628
ko:K00759	mto:MTCTRI2_2632
ko:K01087	mto:MTCTRI2_3445
ko:K01662	mto:MTCTRI2_3452
ko:K03527	mto:MTCTRI2_3453
ko:K00574	mto:MTCTRI2_3463
ko:K14161	mto:MTCTRI2_3465
ko:K01951	mto:MTCTRI2_3468
ko:K02291	mto:MTCTRI2_3469
ko:K03088	mto:MTCTRI2_3486
ko:K04077	mto:MTCTRI2_3489
ko:K04078	mto:MTCTRI2_3490
ko:K03789	mto:MTCTRI2_3492
ko:K06925	mto:MTCTRI2_3494
ko:K01775	mto:MTCTRI2_3495
ko:K01695	mto:MTCTRI2_1640
ko:K00873	mto:MTCTRI2_1644
ko:K10805	mto:MTCTRI2_1645
ko:K00426	mto:MTCTRI2_1649
ko:K00425	mto:MTCTRI2_1650
ko:K02945	mto:MTCTRI2_1658
ko:K00859	mto:MTCTRI2_1659
ko:K03702	mto:MTCTRI2_1661
ko:K03701	mto:MTCTRI2_1666
ko:K04567	mto:MTCTRI2_1669
ko:K02520	mto:MTCTRI2_1670
ko:K02916	mto:MTCTRI2_1671
ko:K02887	mto:MTCTRI2_1672
ko:K03437	mto:MTCTRI2_1673
ko:K01889	mto:MTCTRI2_1678
ko:K01890	mto:MTCTRI2_1679
ko:K00145	mto:MTCTRI2_1681
ko:K00620	mto:MTCTRI2_1682
ko:K00930	mto:MTCTRI2_1683
ko:K00611	mto:MTCTRI2_1685
ko:K03402	mto:MTCTRI2_1686
ko:K01940	mto:MTCTRI2_1687
ko:K01755	mto:MTCTRI2_1688
ko:K02575	mto:MTCTRI2_1768
ko:K00705	mto:MTCTRI2_1813
ko:K01430	mto:MTCTRI2_1880
ko:K01429	mto:MTCTRI2_1881
ko:K01428	mto:MTCTRI2_1882
ko:K03189	mto:MTCTRI2_1884
ko:K03190	mto:MTCTRI2_1885
ko:K03885	mto:MTCTRI2_1886
ko:K02020	mto:MTCTRI2_1889
ko:K02018	mto:MTCTRI2_1890
ko:K03594	mto:MTCTRI2_1908
ko:K01915	mto:MTCTRI2_1910
ko:K07560	mto:MTCTRI2_1930
ko:K02066	mto:MTCTRI2_1997
ko:K02066	mto:MTCTRI2_1998
ko:K05596	mto:MTCTRI2_2018
ko:K06895	mto:MTCTRI2_2019
ko:K01194	mto:MTCTRI2_2040
ko:K07133	mto:MTCTRI2_2042
ko:K07001	mto:MTCTRI2_2075
ko:K08281	mto:MTCTRI2_2081
ko:K03820	mto:MTCTRI2_2089
ko:K07113	mto:MTCTRI2_2091
ko:K01061	mto:MTCTRI2_2092
ko:K02963	mto:MTCTRI2_2093
ko:K02954	mto:MTCTRI2_2094
ko:K02913	mto:MTCTRI2_2095
ko:K02902	mto:MTCTRI2_2096
ko:K00116	mto:MTCTRI2_2909
ko:K07241	mto:MTCTRI2_2913
ko:K07010	mto:MTCTRI2_2916
ko:K01915	mto:MTCTRI2_2917
ko:K01265	mto:MTCTRI2_2918
ko:K00099	mto:MTCTRI2_2927
ko:K06941	mto:MTCTRI2_2936
ko:K00981	mto:MTCTRI2_2937
ko:K02838	mto:MTCTRI2_2938
ko:K09903	mto:MTCTRI2_2939
ko:K02357	mto:MTCTRI2_2945
ko:K02967	mto:MTCTRI2_2946
ko:K03733	mto:MTCTRI2_2950
ko:K04096	mto:MTCTRI2_2952
ko:K07391	mto:MTCTRI2_2953
ko:K07460	mto:MTCTRI2_2954
ko:K02379	mto:MTCTRI2_2955
ko:K03470	mto:MTCTRI2_2958
ko:K03100	mto:MTCTRI2_2959
ko:K07008	mto:MTCTRI2_3772
ko:K01919	mto:MTCTRI2_3774
ko:K00133	mto:MTCTRI2_3779
ko:K00928	mto:MTCTRI2_3780
ko:K01649	mto:MTCTRI2_3781
ko:K06187	mto:MTCTRI2_3786
ko:K09747	mto:MTCTRI2_3787
ko:K01448	mto:MTCTRI2_3788
ko:K00574	mto:MTCTRI2_3791
ko:K02343	mto:MTCTRI2_3792
ko:K07001	mto:MTCTRI2_3801
ko:K06937	mto:MTCTRI2_3802
ko:K09129	mto:MTCTRI2_3808
ko:K03074	mto:MTCTRI2_2634
ko:K03072	mto:MTCTRI2_2635
ko:K03210	mto:MTCTRI2_2636
ko:K03551	mto:MTCTRI2_2640
ko:K03550	mto:MTCTRI2_2641
ko:K01159	mto:MTCTRI2_2642
ko:K00797	mto:MTCTRI2_2649
ko:K08681	mto:MTCTRI2_2653
ko:K10805	mto:MTCTRI2_2654
ko:K06215	mto:MTCTRI2_2655
ko:K00275	mto:MTCTRI2_2656
ko:K00995	mto:MTCTRI2_2661
ko:K01868	mto:MTCTRI2_2663
ko:K14415	mto:MTCTRI2_2681
ko:K00820	mto:MTCTRI2_3504
ko:K03431	mto:MTCTRI2_3509
ko:K02996	mto:MTCTRI2_3510
ko:K02871	mto:MTCTRI2_3511
ko:K03466	mto:MTCTRI2_3515
ko:K06173	mto:MTCTRI2_3523
ko:K02879	mto:MTCTRI2_3524
ko:K03040	mto:MTCTRI2_3525
ko:K02986	mto:MTCTRI2_3526
ko:K02948	mto:MTCTRI2_3527
ko:K02952	mto:MTCTRI2_3528
ko:K02919	mto:MTCTRI2_3529
ko:K02518	mto:MTCTRI2_3530
ko:K01790	mto:MTCTRI2_3533
ko:K01666	mto:MTCTRI2_3537
ko:K01652	mto:MTCTRI2_3538
ko:K02950	mto:MTCTRI2_0698
ko:K02992	mto:MTCTRI2_0699
ko:K02355	mto:MTCTRI2_0700
ko:K02358	mto:MTCTRI2_0701
ko:K02946	mto:MTCTRI2_0716
ko:K02906	mto:MTCTRI2_0717
ko:K02926	mto:MTCTRI2_0718
ko:K02892	mto:MTCTRI2_0719
ko:K02886	mto:MTCTRI2_0720
ko:K02965	mto:MTCTRI2_0721
ko:K02890	mto:MTCTRI2_0722
ko:K02982	mto:MTCTRI2_0723
ko:K02878	mto:MTCTRI2_0724
ko:K02904	mto:MTCTRI2_0725
ko:K02961	mto:MTCTRI2_0726
