ko:K01992	pld:PalTV_173
ko:K14230	pld:PalTV_008
ko:K14233	pld:PalTV_200
ko:K14228	pld:PalTV_009
ko:K14218	pld:PalTV_017
ko:K14228	pld:PalTV_051
ko:K14227	pld:PalTV_082
ko:K14235	pld:PalTV_147
ko:K14234	pld:PalTV_148
ko:K14225	pld:PalTV_149
ko:K14237	pld:PalTV_166
ko:K14225	pld:PalTV_175
ko:K14224	pld:PalTV_176
ko:K14233	pld:PalTV_193
ko:K14233	pld:PalTV_199
ko:K14236	pld:PalTV_150
ko:K14219	pld:PalTV_192
ko:K14221	pld:PalTV_164
ko:K14233	pld:PalTV_172
ko:K08316	pld:PalTV_088
ko:K03536	pld:PalTV_270
ko:K02914	pld:PalTV_271
ko:K02338	pld:PalTV_272
ko:K02470	pld:PalTV_273
ko:K01879	pld:PalTV_275
ko:K01878	pld:PalTV_276
ko:K01754	pld:PalTV_277
ko:K00528	pld:PalTV_278
ko:K00330	pld:PalTV_279
ko:K00331	pld:PalTV_280
ko:K13378	pld:PalTV_281
ko:K00334	pld:PalTV_282
ko:K00337	pld:PalTV_285
ko:K00338	pld:PalTV_286
ko:K00339	pld:PalTV_287
ko:K00340	pld:PalTV_288
ko:K00341	pld:PalTV_289
ko:K00342	pld:PalTV_290
ko:K00343	pld:PalTV_291
ko:K01778	pld:PalTV_292
ko:K01586	pld:PalTV_293
ko:K01755	pld:PalTV_294
ko:K02204	pld:PalTV_297
ko:K00817	pld:PalTV_298
ko:K02500	pld:PalTV_299
ko:K01814	pld:PalTV_300
ko:K02501	pld:PalTV_301
ko:K01693	pld:PalTV_302
ko:K03664	pld:PalTV_306
ko:K03687	pld:PalTV_307
ko:K04043	pld:PalTV_001
ko:K03686	pld:PalTV_002
ko:K00962	pld:PalTV_003
ko:K02956	pld:PalTV_004
ko:K02834	pld:PalTV_005
ko:K02519	pld:PalTV_006
ko:K02600	pld:PalTV_007
ko:K03798	pld:PalTV_010
ko:K03624	pld:PalTV_011
ko:K01955	pld:PalTV_012
ko:K01956	pld:PalTV_013
ko:K00215	pld:PalTV_014
ko:K02221	pld:PalTV_015
ko:K01866	pld:PalTV_016
ko:K01265	pld:PalTV_020
ko:K02967	pld:PalTV_021
ko:K02357	pld:PalTV_022
ko:K02838	pld:PalTV_023
ko:K02337	pld:PalTV_024
ko:K04075	pld:PalTV_025
ko:K03628	pld:PalTV_026
ko:K01626	pld:PalTV_027
ko:K00549	pld:PalTV_028
ko:K03667	pld:PalTV_029
ko:K01419	pld:PalTV_030
ko:K02909	pld:PalTV_031
ko:K00891	pld:PalTV_032
ko:K01735	pld:PalTV_033
ko:K08300	pld:PalTV_035
ko:K02078	pld:PalTV_037
ko:K02341	pld:PalTV_038
ko:K01649	pld:PalTV_040
ko:K03704	pld:PalTV_041
ko:K01736	pld:PalTV_042
ko:K01703	pld:PalTV_043
ko:K01704	pld:PalTV_044
ko:K00052	pld:PalTV_045
ko:K00133	pld:PalTV_046
ko:K06173	pld:PalTV_047
ko:K01817	pld:PalTV_048
ko:K06895	pld:PalTV_049
ko:K01875	pld:PalTV_050
ko:K07400	pld:PalTV_053
ko:K02426	pld:PalTV_054
ko:K01890	pld:PalTV_058
ko:K01889	pld:PalTV_059
ko:K02887	pld:PalTV_060
ko:K02916	pld:PalTV_061
ko:K02520	pld:PalTV_062
ko:K01881	pld:PalTV_063
ko:K03100	pld:PalTV_065
ko:K03596	pld:PalTV_066
ko:K01873	pld:PalTV_068
ko:K01695	pld:PalTV_070
ko:K01696	pld:PalTV_071
ko:K07042	pld:PalTV_072
ko:K01869	pld:PalTV_073
ko:K02340	pld:PalTV_074
ko:K00382	pld:PalTV_075
ko:K00658	pld:PalTV_076
ko:K00164	pld:PalTV_077
ko:K05592	pld:PalTV_079
ko:K01867	pld:PalTV_084
ko:K02913	pld:PalTV_085
