ko:K18929	hpf:HPF30_1157
ko:K19302	hpf:HPF30_0480
ko:K01985	hpf:HPF30_r03
ko:K01985	hpf:HPF30_r04
ko:K18928	hpf:HPF30_1156
ko:K03831	hpf:HPF30_0532
ko:K03637	hpf:HPF30_0533
ko:K15846	hpf:HPF30_0534
ko:K03545	hpf:HPF30_0536
ko:K01358	hpf:HPF30_0537
ko:K01462	hpf:HPF30_0538
ko:K07391	hpf:HPF30_0539
ko:K01534	hpf:HPF30_0540
ko:K01154	hpf:HPF30_0541
ko:K02897	hpf:HPF30_1364
ko:K01056	hpf:HPF30_1365
ko:K11720	hpf:HPF30_1366
ko:K09943	hpf:HPF30_1372
ko:K11752	hpf:HPF30_1375
ko:K03312	hpf:HPF30_1376
ko:K08591	hpf:HPF30_1379
ko:K01633	hpf:HPF30_1380
ko:K01042	hpf:HPF30_1383
ko:K02600	hpf:HPF30_1384
ko:K03655	hpf:HPF30_1395
ko:K01142	hpf:HPF30_1398
ko:K02313	hpf:HPF30_1400
ko:K00820	hpf:HPF30_1403
ko:K01154	hpf:HPF30_1405
ko:K03427	hpf:HPF30_1406
ko:K01153	hpf:HPF30_1407
ko:K07043	hpf:HPF30_1409
ko:K01476	hpf:HPF30_1411
ko:K00259	hpf:HPF30_1412
ko:K00858	hpf:HPF30_1415
ko:K03631	hpf:HPF30_1416
ko:K03636	hpf:HPF30_0530
ko:K03182	hpf:HPF30_0329
ko:K02945	hpf:HPF30_0332
ko:K03527	hpf:HPF30_0333
ko:K00800	hpf:HPF30_0334
ko:K01890	hpf:HPF30_0335
ko:K01889	hpf:HPF30_0336
ko:K02503	hpf:HPF30_0337
ko:K01951	hpf:HPF30_0346
ko:K15846	hpf:HPF30_0347
ko:K00574	hpf:HPF30_0349
ko:K01874	hpf:HPF30_0350
ko:K01772	hpf:HPF30_0351
ko:K15257	hpf:HPF30_0352
ko:K03531	hpf:HPF30_0362
ko:K03590	hpf:HPF30_0363
ko:K03770	hpf:HPF30_0364
ko:K00833	hpf:HPF30_0365
ko:K02435	hpf:HPF30_0366
ko:K15633	hpf:HPF30_0367
ko:K01879	hpf:HPF30_0369
ko:K00057	hpf:HPF30_0380
ko:K02520	hpf:HPF30_1201
ko:K02916	hpf:HPF30_1202
ko:K02887	hpf:HPF30_1203
ko:K03168	hpf:HPF30_1206
ko:K03086	hpf:HPF30_1212
ko:K00116	hpf:HPF30_1214
ko:K02871	hpf:HPF30_1216
ko:K02996	hpf:HPF30_1217
ko:K02835	hpf:HPF30_1223
ko:K02968	hpf:HPF30_1224
ko:K03431	hpf:HPF30_1225
ko:K03101	hpf:HPF30_1226
ko:K01428	hpf:HPF30_1228
