ko:K00652	eum:ECUMN_3461
ko:K15581	eum:ECUMN_1541
ko:K11746	eum:ECUMN_0048
ko:K02495	eum:ECUMN_4390
ko:K01760	eum:ECUMN_3492
ko:K06133	eum:ECUMN_3956
ko:K07229	eum:ECUMN_3553
ko:K06970	eum:ECUMN_0951
ko:K05812	eum:ECUMN_2909
ko:K11733	eum:ECUMN_2492
ko:K03765	eum:ECUMN_4667
ko:K11734	eum:ECUMN_0109
ko:K06889	eum:ECUMN_4723
ko:K02511	eum:ECUMN_4968
ko:K01232	eum:ECUMN_4213
ko:K13895	eum:ECUMN_2516
ko:K01961	eum:ECUMN_3730
ko:K10823	eum:ECUMN_1544
ko:K18138	eum:ECUMN_0501
ko:K01524	eum:ECUMN_2816
ko:K07243	eum:p1ECUMN_0043
ko:K18922	eum:ECUMN_0673
ko:K22507	eum:ECUMN_3197
ko:K12066	eum:p1ECUMN_0108
ko:K11740	eum:ECUMN_0642
ko:K01270	eum:ECUMN_0303
ko:K15555	eum:ECUMN_1129
ko:K08318	eum:ECUMN_4409
ko:K02566	eum:ECUMN_0760
ko:K08348	eum:ECUMN_1727
ko:K11754	eum:ECUMN_2655
ko:K00113	eum:ECUMN_2583
ko:K12265	eum:ECUMN_3032
ko:K12136	eum:ECUMN_2794
ko:K12137	eum:ECUMN_2795
ko:K12138	eum:ECUMN_2796
ko:K12139	eum:ECUMN_2797
ko:K02778	eum:ECUMN_1279
ko:K02779	eum:ECUMN_1279
ko:K12142	eum:ECUMN_2800
ko:K12113	eum:ECUMN_3558
ko:K12147	eum:ECUMN_1227
ko:K12148	eum:ECUMN_1234
ko:K12149	eum:ECUMN_1235
ko:K07304	eum:ECUMN_4755
ko:K12144	eum:ECUMN_2802
ko:K12145	eum:ECUMN_2803
ko:K12146	eum:ECUMN_2804
ko:K12111	eum:ECUMN_3559
ko:K01079	eum:ECUMN_5012
ko:K02483	eum:ECUMN_2260
ko:K00632	eum:ECUMN_2681
ko:K12289	eum:ECUMN_3852
ko:K02654	eum:ECUMN_3447
ko:K09810	eum:ECUMN_1295
ko:K12266	eum:ECUMN_3030
ko:K11991	eum:ECUMN_2879
ko:K00703	eum:ECUMN_3893
ko:K12264	eum:ECUMN_3031
ko:K12340	eum:ECUMN_3520
ko:K03533	eum:ECUMN_1180
ko:K11085	eum:ECUMN_1107
ko:K07307	eum:ECUMN_1090
ko:K01784	eum:ECUMN_0843
ko:K12299	eum:ECUMN_3609
ko:K11921	eum:ECUMN_0381
ko:K11892	eum:ECUMN_0220
ko:K00832	eum:ECUMN_4588
ko:K03760	eum:ECUMN_4646
ko:K01628	eum:ECUMN_3129
ko:K01096	eum:ECUMN_1580
ko:K03892	eum:ECUMN_3989
ko:K04781	eum:ECUMN_2268
ko:K04783	eum:ECUMN_2277
ko:K04785	eum:ECUMN_2275
ko:K00575	eum:ECUMN_2181
ko:K04091	eum:ECUMN_1131
ko:K00299	eum:ECUMN_1133
ko:K02574	eum:ECUMN_2539
ko:K11941	eum:ECUMN_1221
ko:K21905	eum:ECUMN_4017
ko:K01840	eum:ECUMN_2384
ko:K02554	eum:ECUMN_0393
ko:K01485	eum:ECUMN_0380
ko:K12140	eum:ECUMN_2798
ko:K12141	eum:ECUMN_2799
ko:K11178	eum:ECUMN_0316
ko:K12152	eum:ECUMN_1378
ko:K03810	eum:ECUMN_1242
ko:K07251	eum:ECUMN_1284
ko:K01835	eum:ECUMN_0774
ko:K12262	eum:ECUMN_1665
ko:K00058	eum:ECUMN_3254
ko:K01023	eum:ECUMN_3523
ko:K11177	eum:ECUMN_0315
ko:K05835	eum:ECUMN_4349
ko:K13920	eum:ECUMN_2338
ko:K00029	eum:ECUMN_2775
ko:K08161	eum:ECUMN_1228
ko:K03711	eum:ECUMN_0768
ko:K03636	eum:ECUMN_0927
ko:K11896	eum:ECUMN_0225
ko:K07346	eum:ECUMN_1760
ko:K09934	eum:ECUMN_2566
ko:K07592	eum:ECUMN_3602
ko:K06934	eum:ECUMN_3273
ko:K11750	eum:ECUMN_0305
ko:K01420	eum:ECUMN_1629
ko:K09473	eum:ECUMN_1604
ko:K00348	eum:p1ECUMN_0045
ko:K02824	eum:ECUMN_2810
ko:K11747	eum:ECUMN_3811
ko:K11903	eum:ECUMN_0229
ko:K01759	eum:ECUMN_1941
ko:K07126	eum:ECUMN_0738
ko:K09251	eum:ECUMN_3556
ko:K02436	eum:ECUMN_2422
ko:K05875	eum:ECUMN_2183
ko:K08322	eum:ECUMN_1865
ko:K04775	eum:ECUMN_1883
ko:K04334	eum:ECUMN_1216
ko:K09470	eum:ECUMN_1603
ko:K00262	eum:ECUMN_2049
ko:K03208	eum:ECUMN_2386
ko:K04335	eum:ECUMN_1215
ko:K11744	eum:ECUMN_1889
ko:K07470	eum:ECUMN_2355
ko:K03719	eum:ECUMN_1084
ko:K11742	eum:ECUMN_1884
ko:K07726	eum:ECUMN_4189
ko:K04333	eum:ECUMN_1214
ko:K08682	eum:ECUMN_0442
ko:K07782	eum:ECUMN_2208
ko:K11755	eum:ECUMN_2368
ko:K03279	eum:ECUMN_4141
ko:K11904	eum:ECUMN_1705
ko:K12974	eum:ECUMN_2708
ko:K13288	eum:ECUMN_4696
ko:K12975	eum:ECUMN_4058
ko:K09946	eum:ECUMN_2418
ko:K02458	eum:ECUMN_3439
ko:K12962	eum:ECUMN_2600
ko:K03832	eum:p1ECUMN_0021
ko:K03767	eum:ECUMN_3826
ko:K02851	eum:ECUMN_4309
ko:K01034	eum:ECUMN_2559
ko:K01460	eum:ECUMN_3472
ko:K09954	eum:ECUMN_2732
ko:K00906	eum:ECUMN_4542
ko:K00215	eum:ECUMN_0032
ko:K10906	eum:ECUMN_1305
ko:K01534	eum:ECUMN_3931
