ko:K13613	bama:RBAU_1681
ko:K01212	bama:RBAU_3887
ko:K08153	bama:RBAU_1037
ko:K21900	bama:RBAU_3621
ko:K02253	bama:RBAU_3008
ko:K02277	bama:RBAU_1455
ko:K15327	bama:RBAU_1672
ko:K22044	bama:RBAU_1381
ko:K05592	bama:RBAU_3751
ko:K19689	bama:RBAU_1402
ko:K03297	bama:RBAU_0446
ko:K11741	bama:RBAU_0580
ko:K18924	bama:RBAU_0581
ko:K19417	bama:RBAU_3305
ko:K18939	bama:RBAU_0271
ko:K18939	bama:RBAU_3360
ko:K18926	bama:RBAU_0270
ko:K01732	bama:RBAU_3765
ko:K19427	bama:RBAU_3295
ko:K07260	bama:RBAU_1911
ko:K03296	bama:RBAU_0691
ko:K15656	bama:RBAU_0341
ko:K00571	bama:RBAU_2780
ko:K18682	bama:RBAU_1657
ko:K09022	bama:RBAU_0053
ko:K07045	bama:RBAU_3208
ko:K07045	bama:RBAU_0872
ko:K07029	bama:RBAU_0692
ko:K15555	bama:RBAU_0873
ko:K01218	bama:RBAU_3722
ko:K03483	bama:RBAU_0413
ko:K06113	bama:RBAU_3773
ko:K12574	bama:RBAU_1639
ko:K03417	bama:RBAU_2376
ko:K00951	bama:RBAU_2609
ko:K07032	bama:RBAU_0523
ko:K06421	bama:RBAU_1302
ko:K00567	bama:RBAU_1310
ko:K08969	bama:RBAU_1314
ko:K08964	bama:RBAU_1317
ko:K03697	bama:RBAU_1325
ko:K10118	bama:RBAU_2858
ko:K01048	bama:RBAU_2888
ko:K02051	bama:RBAU_2896
ko:K02049	bama:RBAU_2897
ko:K02050	bama:RBAU_2898
ko:K00294	bama:RBAU_3636
ko:K07257	bama:RBAU_3645
ko:K03488	bama:RBAU_3664
ko:K01409	bama:RBAU_0594
ko:K07052	bama:RBAU_0601
ko:K05822	bama:RBAU_1378
ko:K03635	bama:RBAU_1389
ko:K02005	bama:RBAU_1392
ko:K02004	bama:RBAU_1394
ko:K03436	bama:RBAU_1395
ko:K00882	bama:RBAU_1396
ko:K03499	bama:RBAU_1408
ko:K15329	bama:RBAU_1415
ko:K00974	bama:RBAU_2199
