ko:K07591	eoh:ECO103_3866
ko:K00042	eoh:ECO103_3870
ko:K01630	eoh:ECO103_3871
ko:K01708	eoh:ECO103_3873
ko:K02081	eoh:ECO103_3876
ko:K15581	eoh:ECO103_1344
ko:K00974	eoh:ECO103_3736
ko:K03779	eoh:ECO103_3741
ko:K00932	eoh:ECO103_3862
ko:K13888	eoh:ECO103_0922
ko:K03316	eoh:ECO103_4815
ko:K07229	eoh:ECO103_3815
ko:K18919	eoh:ECO103_0016
ko:K18919	eoh:ECO103_0017
ko:K18919	eoh:ECO103_1187
ko:K18919	eoh:ECO103_1375
ko:K18919	eoh:ECO103_1376
ko:K18919	eoh:ECO103_1699
ko:K18919	eoh:ECO103_1700
ko:K18919	eoh:ECO103_2268
ko:K18919	eoh:ECO103_2414
ko:K13895	eoh:ECO103_2656
ko:K01961	eoh:ECO103_3995
ko:K01545	eoh:ECO103_0694
ko:K12786	eoh:ECO103_3600
ko:K18928	eoh:ECO103_0282
ko:K10823	eoh:ECO103_1347
ko:K18138	eoh:ECO103_0438
ko:K19092	eoh:ECO103_2560
ko:K01524	eoh:ECO103_3019
ko:K05396	eoh:ECO103_2175
ko:K07349	eoh:ECO103_5100
ko:K00065	eoh:ECO103_3402
ko:K18922	eoh:ECO103_0588
ko:K22507	eoh:ECO103_3430
ko:K07459	eoh:ECO103_0920
ko:K00281	eoh:ECO103_3479
ko:K02455	eoh:ECO103_p05
ko:K18923	eoh:ECO103_p64
ko:K21905	eoh:ECO103_4244
ko:K15555	eoh:ECO103_0978
ko:K06177	eoh:ECO103_0059
ko:K00853	eoh:ECO103_0064
ko:K05806	eoh:ECO103_0077
ko:K08278	eoh:ECO103_0001
ko:K00616	eoh:ECO103_0009
ko:K07034	eoh:ECO103_0011
ko:K08299	eoh:ECO103_0038
ko:K03855	eoh:ECO103_0046
ko:K01525	eoh:ECO103_0052
ko:K13288	eoh:ECO103_4958
ko:K00956	eoh:ECO103_3293
ko:K00244	eoh:ECO103_4952
ko:K03767	eoh:ECO103_4082
ko:K08234	eoh:ECO103_0185
ko:K06957	eoh:ECO103_2984
ko:K04085	eoh:ECO103_4190
ko:K00568	eoh:ECO103_2701
ko:K03892	eoh:ECO103_4228
ko:K08225	eoh:ECO103_0599
ko:K07353	eoh:ECO103_0503
ko:K08172	eoh:ECO103_2445
ko:K01534	eoh:ECO103_4189
ko:K01119	eoh:ECO103_5012
ko:K06218	eoh:ECO103_p63
ko:K05875	eoh:ECO103_2148
ko:K12340	eoh:ECO103_3713
ko:K04753	eoh:ECO103_3698
ko:K12944	eoh:ECO103_2717
ko:K01150	eoh:ECO103_3525
ko:K02681	eoh:ECO103_3382
ko:K00951	eoh:ECO103_3327
ko:K01139	eoh:ECO103_4508
ko:K08305	eoh:ECO103_3236
ko:K03446	eoh:ECO103_3226
ko:K13301	eoh:ECO103_0099
ko:K05812	eoh:ECO103_3162
ko:K04751	eoh:ECO103_3074
ko:K07687	eoh:ECO103_2693
ko:K14762	eoh:ECO103_4579
ko:K02505	eoh:ECO103_0106
ko:K00694	eoh:ECO103_4261
ko:K04016	eoh:ECO103_4825
ko:K00973	eoh:ECO103_2519
ko:K13926	eoh:ECO103_4212
ko:K00758	eoh:ECO103_5243
ko:K01079	eoh:ECO103_5249
ko:K05877	eoh:ECO103_2147
ko:K01491	eoh:ECO103_0501
ko:K00884	eoh:ECO103_1164
ko:K07263	eoh:ECO103_1621
ko:K00823	eoh:ECO103_1466
ko:K00564	eoh:ECO103_5155
ko:K03761	eoh:ECO103_3166
ko:K01524	eoh:ECO103_4386
ko:K09477	eoh:ECO103_0620
ko:K01835	eoh:ECO103_0685
ko:K09810	eoh:ECO103_1162
ko:K11904	eoh:ECO103_0230
ko:K13292	eoh:ECO103_3387
ko:K02001	eoh:ECO103_3219
ko:K02000	eoh:ECO103_3218
ko:K12142	eoh:ECO103_3002
ko:K03580	eoh:ECO103_5066
ko:K05799	eoh:ECO103_0113
ko:K10804	eoh:ECO103_0470
ko:K14225	eoh:ECO103_tRNA88
ko:K16345	eoh:ECO103_4503
ko:K00024	eoh:ECO103_3977
ko:K01935	eoh:ECO103_0813
ko:K00656	eoh:ECO103_0867
ko:K04069	eoh:ECO103_0868
ko:K03750	eoh:ECO103_0871
ko:K13051	eoh:ECO103_0872
ko:K11534	eoh:ECO103_0884
ko:K08160	eoh:ECO103_0886
ko:K07085	eoh:ECO103_0891
ko:K11073	eoh:ECO103_0898
ko:K11076	eoh:ECO103_0899
ko:K11075	eoh:ECO103_0900
ko:K11074	eoh:ECO103_0901
ko:K03212	eoh:ECO103_0903
ko:K09996	eoh:ECO103_0904
ko:K09999	eoh:ECO103_0906
ko:K09997	eoh:ECO103_0907
ko:K11066	eoh:ECO103_0911
ko:K01620	eoh:ECO103_0914
ko:K08322	eoh:ECO103_1719
ko:K08323	eoh:ECO103_1720
ko:K09771	eoh:ECO103_1721
ko:K07309	eoh:ECO103_1726
ko:K07310	eoh:ECO103_1727
ko:K07311	eoh:ECO103_1728
ko:K03281	eoh:ECO103_1731
ko:K01935	eoh:ECO103_1732
ko:K08224	eoh:ECO103_1735
ko:K04775	eoh:ECO103_1738
ko:K11742	eoh:ECO103_1739
ko:K11743	eoh:ECO103_1740
ko:K11744	eoh:ECO103_1741
ko:K00963	eoh:ECO103_2521
ko:K03208	eoh:ECO103_2529
ko:K03207	eoh:ECO103_2530
ko:K02377	eoh:ECO103_2531
ko:K01711	eoh:ECO103_2532
ko:K03818	eoh:ECO103_2533
ko:K03819	eoh:ECO103_2537
ko:K01991	eoh:ECO103_2541
ko:K07289	eoh:ECO103_2543
ko:K01494	eoh:ECO103_2544
ko:K00876	eoh:ECO103_2545
ko:K01247	eoh:ECO103_2547
ko:K04046	eoh:ECO103_2548
ko:K07799	eoh:ECO103_2552
ko:K07788	eoh:ECO103_2553
ko:K07789	eoh:ECO103_2554
ko:K00390	eoh:ECO103_3306
ko:K00381	eoh:ECO103_3307
ko:K01737	eoh:ECO103_3309
ko:K00313	eoh:ECO103_3310
ko:K10026	eoh:ECO103_3320
ko:K06872	eoh:ECO103_3321
ko:K01689	eoh:ECO103_3322
