ko:K22617	bsuc:BSSP2_I1954
ko:K21909	bsuc:BSSP2_II0819
ko:K00001	bsuc:BSSP2_I0860
ko:K01271	bsuc:BSSP2_I1080
ko:K02031	bsuc:BSSP2_II0735
ko:K22616	bsuc:BSSP2_I1576
ko:K02031	bsuc:BSSP2_II0364
ko:K02031	bsuc:BSSP2_II1064
ko:K02032	bsuc:BSSP2_II1041
ko:K02032	bsuc:BSSP2_II0363
ko:K02032	bsuc:BSSP2_II0972
ko:K02032	bsuc:BSSP2_II0734
ko:K00035	bsuc:BSSP2_II0898
ko:K14218	bsuc:BSSP2_I1667
ko:K14218	bsuc:BSSP2_II1308
ko:K14218	bsuc:BSSP2_II1087
ko:K14227	bsuc:BSSP2_I1668
ko:K14227	bsuc:BSSP2_II1309
ko:K14227	bsuc:BSSP2_II1088
ko:K14218	bsuc:BSSP2_I0018
ko:K01271	bsuc:BSSP2_I1552
ko:K07005	bsuc:BSSP2_I1393
ko:K21911	bsuc:BSSP2_II0824
ko:K00130	bsuc:BSSP2_I0561
ko:K11209	bsuc:BSSP2_I0638
ko:K00249	bsuc:BSSP2_I0427
ko:K00001	bsuc:BSSP2_II0686
ko:K00065	bsuc:BSSP2_II0938
ko:K00076	bsuc:BSSP2_I1644
ko:K01144	bsuc:BSSP2_I1406
ko:K11079	bsuc:BSSP2_II1071
ko:K22616	bsuc:BSSP2_I1575
ko:K00108	bsuc:BSSP2_I0562
ko:K04771	bsuc:BSSP2_I0622
ko:K00344	bsuc:BSSP2_II0350
ko:K02483	bsuc:BSSP2_I0623
ko:K19270	bsuc:BSSP2_I0870
ko:K21686	bsuc:BSSP2_I1205
ko:K11077	bsuc:BSSP2_II1069
ko:K14226	bsuc:BSSP2_I1626
ko:K03446	bsuc:BSSP2_II0083
ko:K13010	bsuc:BSSP2_I0534
ko:K05799	bsuc:BSSP2_II0140
ko:K14219	bsuc:BSSP2_I0293
ko:K14232	bsuc:BSSP2_I0733
ko:K14233	bsuc:BSSP2_I0648
ko:K01980	bsuc:BSSP2_II1307
ko:K01161	bsuc:BSSP2_II0585
ko:K14234	bsuc:BSSP2_I0278
ko:K14233	bsuc:BSSP2_II0521
