ko:K02888	crh:A353_0173
ko:K03650	crh:A353_01
ko:K03495	crh:A353_02
ko:K02108	crh:A353_03
ko:K02110	crh:A353_04
ko:K02111	crh:A353_07
ko:K02115	crh:A353_08
ko:K02112	crh:A353_09
ko:K00611	crh:A353_011
ko:K03786	crh:A353_012
ko:K00615	crh:A353_013
ko:K00297	crh:A353_015
ko:K01265	crh:A353_019
ko:K02967	crh:A353_020
ko:K02337	crh:A353_023
ko:K00549	crh:A353_025
ko:K02909	crh:A353_027
ko:K01735	crh:A353_029
ko:K01687	crh:A353_030
ko:K00600	crh:A353_032
ko:K01939	crh:A353_034
ko:K09014	crh:A353_035
ko:K09013	crh:A353_036
ko:K11717	crh:A353_038
ko:K00566	crh:A353_039
ko:K02518	crh:A353_040
ko:K01657	crh:A353_046
ko:K00948	crh:A353_051
ko:K02835	crh:A353_052
ko:K02434	crh:A353_053
ko:K00765	crh:A353_056
ko:K00013	crh:A353_057
ko:K02871	crh:A353_058
ko:K02996	crh:A353_059
ko:K00800	crh:A353_062
ko:K02945	crh:A353_063
ko:K04077	crh:A353_064
ko:K04078	crh:A353_065
ko:K03086	crh:A353_074
ko:K00817	crh:A353_076
ko:K02500	crh:A353_077
ko:K01814	crh:A353_078
ko:K02501	crh:A353_079
ko:K01693	crh:A353_080
ko:K03664	crh:A353_084
ko:K03687	crh:A353_085
ko:K04043	crh:A353_086
ko:K00215	crh:A353_087
ko:K01956	crh:A353_089
ko:K01955	crh:A353_090
ko:K02519	crh:A353_092
ko:K02956	crh:A353_093
ko:K01866	crh:A353_094
ko:K01886	crh:A353_095
ko:K01358	crh:A353_099
ko:K03544	crh:A353_0100
ko:K06131	crh:A353_0101
ko:K01876	crh:A353_0102
ko:K13821	crh:A353_0105
ko:K01649	crh:A353_0106
ko:K01736	crh:A353_0107
ko:K01703	crh:A353_0108
ko:K01704	crh:A353_0109
ko:K00052	crh:A353_0110
ko:K00133	crh:A353_0111
ko:K01875	crh:A353_0112
ko:K02887	crh:A353_0119
ko:K02520	crh:A353_0121
ko:K04564	crh:A353_0122
ko:K03596	crh:A353_0124
ko:K01626	crh:A353_0125
ko:K06168	crh:A353_0127
ko:K01869	crh:A353_0129
ko:K01902	crh:A353_0130
ko:K01903	crh:A353_0131
ko:K01874	crh:A353_0134
ko:K01940	crh:A353_0136
ko:K01714	crh:A353_0139
ko:K00116	crh:A353_0141
ko:K00928	crh:A353_0144
ko:K01872	crh:A353_0145
ko:K01873	crh:A353_0147
ko:K01867	crh:A353_0153
ko:K02913	crh:A353_0154
ko:K02902	crh:A353_0155
ko:K04567	crh:A353_0157
ko:K02836	crh:A353_0158
ko:K01733	crh:A353_0159
ko:K00003	crh:A353_0160
ko:K02959	crh:A353_0163
ko:K00053	crh:A353_0165
ko:K01652	crh:A353_0167
ko:K06180	crh:A353_0168
ko:K01870	crh:A353_0169
ko:K03979	crh:A353_0171
ko:K02899	crh:A353_0172
ko:K03040	crh:A353_0175
ko:K02986	crh:A353_0176
ko:K02948	crh:A353_0177
ko:K02952	crh:A353_0178
ko:K02919	crh:A353_0179
ko:K02876	crh:A353_0180
ko:K02988	crh:A353_0181
ko:K02933	crh:A353_0183
ko:K02994	crh:A353_0184
ko:K02954	crh:A353_0185
