ko:K01985	baph:IX46_02530
ko:K01977	baph:IX46_01280
ko:K03495	baph:IX46_00005
ko:K02108	baph:IX46_00010
ko:K02110	baph:IX46_00015
ko:K02109	baph:IX46_00020
ko:K02113	baph:IX46_00025
ko:K02111	baph:IX46_00030
ko:K02115	baph:IX46_00035
ko:K02112	baph:IX46_00040
ko:K02114	baph:IX46_00045
ko:K02470	baph:IX46_00050
ko:K02338	baph:IX46_00055
ko:K02313	baph:IX46_00060
ko:K02914	baph:IX46_00065
ko:K03536	baph:IX46_00070
ko:K08998	baph:IX46_00075
ko:K03217	baph:IX46_00080
ko:K03650	baph:IX46_00085
ko:K04078	baph:IX46_00095
ko:K08316	baph:IX46_00120
ko:K03110	baph:IX46_00125
ko:K03089	baph:IX46_00130
ko:K00820	baph:IX46_00135
ko:K04042	baph:IX46_00140
ko:K03576	baph:IX46_00155
ko:K00549	baph:IX46_00160
ko:K00602	baph:IX46_00165
ko:K04077	baph:IX46_00100
ko:K02356	baph:IX46_00105
ko:K02315	baph:IX46_00110
ko:K02317	baph:IX46_00115
ko:K05787	baph:IX46_00170
ko:K03046	baph:IX46_00175
ko:K03043	baph:IX46_00180
ko:K02935	baph:IX46_00185
ko:K02864	baph:IX46_00190
ko:K02863	baph:IX46_00195
ko:K02867	baph:IX46_00200
ko:K02601	baph:IX46_00205
ko:K03073	baph:IX46_00210
ko:K00075	baph:IX46_00235
ko:K00297	baph:IX46_00240
ko:K01438	baph:IX46_00245
ko:K00145	baph:IX46_00250
ko:K00930	baph:IX46_00255
ko:K01940	baph:IX46_00260
ko:K01972	baph:IX46_00345
ko:K01885	baph:IX46_00365
ko:K02408	baph:IX46_00375
ko:K01755	baph:IX46_00265
ko:K02777	baph:IX46_00325
ko:K08483	baph:IX46_00330
ko:K02784	baph:IX46_00335
ko:K01738	baph:IX46_00340
ko:K03071	baph:IX46_00275
ko:K00640	baph:IX46_00280
ko:K03086	baph:IX46_00285
ko:K02316	baph:IX46_00290
ko:K02970	baph:IX46_00295
ko:K01409	baph:IX46_00300
ko:K02858	baph:IX46_00305
ko:K03272	baph:IX46_00310
ko:K03439	baph:IX46_02850
ko:K03575	baph:IX46_02855
ko:K01776	baph:IX46_02865
ko:K01141	baph:IX46_02870
ko:K09802	baph:IX46_02875
ko:K01520	baph:IX46_02895
ko:K01082	baph:IX46_02900
ko:K02939	baph:IX46_02905
ko:K02963	baph:IX46_02910
ko:K02990	baph:IX46_02915
ko:K12573	baph:IX46_02920
ko:K01939	baph:IX46_02925
ko:K04087	baph:IX46_02930
ko:K04088	baph:IX46_02935
ko:K00791	baph:IX46_02940
ko:K00009	baph:IX46_02945
ko:K02798	baph:IX46_02950
ko:K02799	baph:IX46_02950
ko:K02800	baph:IX46_02950
ko:K01810	baph:IX46_02955
ko:K13288	baph:IX46_02960
ko:K01448	baph:IX46_02970
ko:K02909	baph:IX46_02975
ko:K01419	baph:IX46_02985
ko:K03667	baph:IX46_02990
ko:K04080	baph:IX46_02995
ko:K00528	baph:IX46_03000
ko:K04568	baph:IX46_03005
ko:K00954	baph:IX46_03010
ko:K15984	baph:IX46_03030
ko:K16322	baph:IX46_03035
ko:K08224	baph:IX46_03040
ko:K01778	baph:IX46_03045
ko:K06202	baph:IX46_03050
ko:K01749	baph:IX46_03055
ko:K01719	baph:IX46_03060
ko:K03628	baph:IX46_03080
ko:K03671	baph:IX46_03085
ko:K03656	baph:IX46_03090
ko:K00053	baph:IX46_03095
ko:K01687	baph:IX46_03100
ko:K04487	baph:IX46_03110
ko:K04488	baph:IX46_03115
ko:K04082	baph:IX46_03120
ko:K04044	baph:IX46_03125
ko:K04755	baph:IX46_03130
ko:K03977	baph:IX46_03135
ko:K14230	baph:IX46_02885
ko:K00974	baph:IX46_00315
ko:K06153	baph:IX46_00320
ko:K02902	baph:IX46_00440
ko:K09800	baph:IX46_00445
ko:K01507	baph:IX46_00450
ko:K03592	baph:IX46_00455
ko:K00647	baph:IX46_00470
ko:K00616	baph:IX46_00475
ko:K00615	baph:IX46_00480
ko:K01439	baph:IX46_00485
ko:K01714	baph:IX46_00495
ko:K01736	baph:IX46_00500
ko:K00765	baph:IX46_00510
ko:K00013	baph:IX46_00515
ko:K00817	baph:IX46_00520
ko:K01089	baph:IX46_00525
ko:K07056	baph:IX46_00465
ko:K02409	baph:IX46_00380
ko:K02410	baph:IX46_00385
ko:K02411	baph:IX46_00390
ko:K02412	baph:IX46_00395
ko:K02413	baph:IX46_00400
ko:K02416	baph:IX46_00410
ko:K02417	baph:IX46_00415
ko:K02419	baph:IX46_00420
ko:K02420	baph:IX46_00425
ko:K02421	baph:IX46_00430
ko:K02913	baph:IX46_00435
ko:K01814	baph:IX46_00535
ko:K02500	baph:IX46_00540
ko:K11755	baph:IX46_00545
ko:K00033	baph:IX46_00550
ko:K01494	baph:IX46_00555
ko:K01874	baph:IX46_00560
ko:K04075	baph:IX46_00565
ko:K00793	baph:IX46_00575
ko:K03617	baph:IX46_00580
ko:K03616	baph:IX46_00585
ko:K02501	baph:IX46_00530
ko:K03615	baph:IX46_00595
ko:K03614	baph:IX46_00600
ko:K03612	baph:IX46_00605
ko:K03613	baph:IX46_00610
ko:K10773	baph:IX46_00615
ko:K04066	baph:IX46_00620
ko:K01866	baph:IX46_00625
ko:K01626	baph:IX46_00645
ko:K01868	baph:IX46_00650
ko:K02520	baph:IX46_00655
ko:K02916	baph:IX46_00660
ko:K02887	baph:IX46_00665
ko:K01889	baph:IX46_00670
ko:K01890	baph:IX46_00675
ko:K05997	baph:IX46_00630
ko:K04764	baph:IX46_00680
ko:K07568	baph:IX46_00685
ko:K00773	baph:IX46_00690
ko:K03210	baph:IX46_00695
ko:K01879	baph:IX46_00700
ko:K01878	baph:IX46_00705
ko:K01495	baph:IX46_00710
ko:K01151	baph:IX46_00715
ko:K02897	baph:IX46_00720
ko:K03771	baph:IX46_00730
ko:K02528	baph:IX46_00735
ko:K01525	baph:IX46_00740
ko:K00287	baph:IX46_00745
ko:K03586	baph:IX46_01165
ko:K03438	baph:IX46_01170
ko:K01653	baph:IX46_01175
ko:K01652	baph:IX46_01180
ko:K03734	baph:IX46_01185
ko:K04771	baph:IX46_01190
ko:K00674	baph:IX46_01195
ko:K01265	baph:IX46_01200
ko:K02967	baph:IX46_01205
ko:K02357	baph:IX46_01210
ko:K09903	baph:IX46_01215
ko:K02838	baph:IX46_01220
ko:K00099	baph:IX46_01225
ko:K00806	baph:IX46_01235
ko:K07277	baph:IX46_01245
ko:K03271	baph:IX46_01315
ko:K00769	baph:IX46_01320
ko:K03687	baph:IX46_01325
ko:K09801	baph:IX46_01330
ko:K03664	baph:IX46_01335
ko:K11991	baph:IX46_01340
ko:K00997	baph:IX46_01345
ko:K03685	baph:IX46_01355
ko:K03596	baph:IX46_01370
ko:K00566	baph:IX46_01375
ko:K01756	baph:IX46_01380
ko:K08308	baph:IX46_01385
ko:K00208	baph:IX46_01390
ko:K01147	baph:IX46_01395
ko:K03801	baph:IX46_01410
ko:K03644	baph:IX46_01415
ko:K01591	baph:IX46_01420
ko:K01497	baph:IX46_01425
ko:K06131	baph:IX46_01430
ko:K10806	baph:IX46_01435
ko:K06190	baph:IX46_01440
ko:K01695	baph:IX46_01450
ko:K01696	baph:IX46_01455
ko:K13498	baph:IX46_01460
ko:K00766	baph:IX46_01465
ko:K02342	baph:IX46_01305
ko:K07790	baph:IX46_01470
ko:K01092	baph:IX46_01480
ko:K06941	baph:IX46_01485
ko:K03526	baph:IX46_01490
ko:K01892	baph:IX46_01495
ko:K00600	baph:IX46_01500
ko:K01935	baph:IX46_01505
ko:K01012	baph:IX46_01510
ko:K00833	baph:IX46_01515
ko:K07404	baph:IX46_01520
ko:K03723	baph:IX46_01525
ko:K09808	baph:IX46_01530
ko:K09810	baph:IX46_01535
ko:K09808	baph:IX46_01540
ko:K00134	baph:IX46_01545
ko:K06879	baph:IX46_01550
