ko:K07489	ypo:BZ17_3368
ko:K20542	ypo:BZ17_2747
ko:K13060	ypo:BZ17_3351
ko:K08723	ypo:BZ17_242
ko:K21029	ypo:BZ17_1007
ko:K01990	ypo:BZ17_1316
ko:K15634	ypo:BZ17_1960
ko:K19734	ypo:BZ17_4139
ko:K19734	ypo:BZ17_3352
ko:K20866	ypo:BZ17_2569
ko:K02495	ypo:BZ17_2574
ko:K19789	ypo:BZ17_1221
ko:K07493	ypo:BZ17_368
ko:K00344	ypo:BZ17_2196
ko:K21908	ypo:BZ17_3134
ko:K01271	ypo:BZ17_2315
ko:K07493	ypo:BZ17_1779
ko:K01138	ypo:BZ17_3532
ko:K01593	ypo:BZ17_1292
ko:K07713	ypo:BZ17_1322
ko:K00130	ypo:BZ17_1331
ko:K13002	ypo:BZ17_1536
ko:K03973	ypo:BZ17_193
ko:K02032	ypo:BZ17_2042
ko:K00632	ypo:BZ17_2317
ko:K07493	ypo:BZ17_2397
ko:K02081	ypo:BZ17_3543
ko:K02032	ypo:BZ17_3682
ko:K13001	ypo:BZ17_1540
ko:K13000	ypo:BZ17_1542
ko:K12453	ypo:BZ17_1546
ko:K03892	ypo:BZ17_1770
ko:K05799	ypo:BZ17_1843
ko:K07493	ypo:BZ17_1851
ko:K03293	ypo:BZ17_2409
ko:K01406	ypo:BZ17_2771
ko:K01139	ypo:BZ17_2560
ko:K11894	ypo:BZ17_2965
ko:K04753	ypo:BZ17_3219
ko:K11904	ypo:BZ17_3370
ko:K04057	ypo:BZ17_4265
ko:K05874	ypo:BZ17_51
ko:K05874	ypo:BZ17_3567
ko:K14234	ypo:BZ17_2936
ko:K14235	ypo:BZ17_2464
ko:K20881	ypo:BZ17_2826
ko:K00632	ypo:BZ17_4002
ko:K01120	ypo:BZ17_3716
ko:K01992	ypo:BZ17_1317
ko:K01992	ypo:BZ17_1318
ko:K00020	ypo:BZ17_3018
ko:K00839	ypo:BZ17_1676
ko:K01138	ypo:BZ17_3544
ko:K07497	ypo:BZ17_1407
ko:K07497	ypo:BZ17_563
ko:K07497	ypo:BZ17_579
ko:K07497	ypo:BZ17_590
ko:K07497	ypo:BZ17_2266
ko:K07497	ypo:BZ17_2267
ko:K07497	ypo:BZ17_3298
ko:K07497	ypo:BZ17_4202
ko:K07497	ypo:BZ17_4211
ko:K07497	ypo:BZ17_4216
ko:K07497	ypo:BZ17_4217
ko:K07497	ypo:BZ17_4228
ko:K07497	ypo:BZ17_4239
ko:K07497	ypo:BZ17_4243
ko:K07497	ypo:BZ17_4245
ko:K07497	ypo:BZ17_2640
ko:K07497	ypo:BZ17_2682
ko:K07497	ypo:BZ17_1891
ko:K11904	ypo:BZ17_1024
ko:K19337	ypo:BZ17_417
ko:K02031	ypo:BZ17_3681
ko:K19334	ypo:BZ17_2037
ko:K12341	ypo:BZ17_4223
ko:K07493	ypo:BZ17_3297
ko:K02464	ypo:BZ17_3563
ko:K02485	ypo:BZ17_363
ko:K01175	ypo:BZ17_1409
ko:K19092	ypo:BZ17_4208
ko:K19333	ypo:BZ17_89
ko:K00525	ypo:BZ17_3670
ko:K02031	ypo:BZ17_2041
ko:K06867	ypo:BZ17_3729
ko:K06867	ypo:BZ17_3303
ko:K06867	ypo:BZ17_1763
ko:K18292	ypo:BZ17_545
ko:K18290	ypo:BZ17_546
ko:K18288	ypo:BZ17_547
ko:K07688	ypo:BZ17_548
ko:K07679	ypo:BZ17_549
ko:K07345	ypo:BZ17_550
ko:K07347	ypo:BZ17_552
ko:K10111	ypo:BZ17_556
ko:K02026	ypo:BZ17_557
ko:K02025	ypo:BZ17_558
ko:K02027	ypo:BZ17_559
ko:K03710	ypo:BZ17_561
ko:K09803	ypo:BZ17_571
ko:K01586	ypo:BZ17_582
ko:K15256	ypo:BZ17_585
ko:K06887	ypo:BZ17_591
ko:K01886	ypo:BZ17_1416
ko:K02802	ypo:BZ17_1417
ko:K02803	ypo:BZ17_1417
ko:K02804	ypo:BZ17_1417
ko:K02564	ypo:BZ17_1418
ko:K01443	ypo:BZ17_1419
ko:K02565	ypo:BZ17_1420
ko:K02398	ypo:BZ17_3268
ko:K02386	ypo:BZ17_3269
ko:K02387	ypo:BZ17_3270
ko:K02388	ypo:BZ17_3271
ko:K02389	ypo:BZ17_3272
ko:K02390	ypo:BZ17_3273
ko:K02391	ypo:BZ17_3274
ko:K02392	ypo:BZ17_3275
ko:K02393	ypo:BZ17_3276
ko:K02394	ypo:BZ17_3277
ko:K02395	ypo:BZ17_3278
ko:K02396	ypo:BZ17_3279
ko:K02397	ypo:BZ17_3280
ko:K00008	ypo:BZ17_4099
ko:K10439	ypo:BZ17_4100
ko:K10441	ypo:BZ17_4101
ko:K10440	ypo:BZ17_4102
ko:K02529	ypo:BZ17_4103
ko:K16135	ypo:BZ17_4104
ko:K07246	ypo:BZ17_4105
ko:K03451	ypo:BZ17_4106
ko:K15125	ypo:BZ17_4110
ko:K10111	ypo:BZ17_4116
ko:K01840	ypo:BZ17_4117
ko:K02027	ypo:BZ17_4119
ko:K02025	ypo:BZ17_4120
ko:K02026	ypo:BZ17_4121
ko:K16053	ypo:BZ17_4126
ko:K15342	ypo:BZ17_4127
ko:K07012	ypo:BZ17_4128
ko:K19127	ypo:BZ17_4129
ko:K19128	ypo:BZ17_4130
ko:K19129	ypo:BZ17_4131
ko:K19130	ypo:BZ17_4132
ko:K10713	ypo:BZ17_4134
ko:K08368	ypo:BZ17_4135
ko:K11105	ypo:BZ17_4141
ko:K03670	ypo:BZ17_4143
ko:K03669	ypo:BZ17_4144
ko:K03305	ypo:BZ17_4146
ko:K02517	ypo:BZ17_4147
ko:K07146	ypo:BZ17_4149
ko:K11744	ypo:BZ17_4150
ko:K02566	ypo:BZ17_1421
ko:K01497	ypo:BZ17_319
ko:K01681	ypo:BZ17_320
ko:K13634	ypo:BZ17_322
ko:K03168	ypo:BZ17_323
ko:K04774	ypo:BZ17_326
ko:K19221	ypo:BZ17_328
ko:K06178	ypo:BZ17_329
ko:K07053	ypo:BZ17_331
ko:K01657	ypo:BZ17_332
ko:K01658	ypo:BZ17_333
ko:K00766	ypo:BZ17_334
ko:K13498	ypo:BZ17_335
ko:K01696	ypo:BZ17_336
ko:K01695	ypo:BZ17_337
ko:K07275	ypo:BZ17_339
ko:K06190	ypo:BZ17_342
ko:K10806	ypo:BZ17_343
ko:K03832	ypo:BZ17_344
ko:K09780	ypo:BZ17_346
ko:K09981	ypo:BZ17_347
ko:K06131	ypo:BZ17_350
ko:K09901	ypo:BZ17_351
ko:K10823	ypo:BZ17_353
ko:K15583	ypo:BZ17_354
ko:K15582	ypo:BZ17_355
ko:K15581	ypo:BZ17_356
ko:K15580	ypo:BZ17_357
ko:K04072	ypo:BZ17_359
ko:K03746	ypo:BZ17_361
ko:K00012	ypo:BZ17_362
ko:K09858	ypo:BZ17_364
ko:K01433	ypo:BZ17_365
ko:K01142	ypo:BZ17_370
ko:K08320	ypo:BZ17_371
ko:K03169	ypo:BZ17_373
ko:K01008	ypo:BZ17_374
ko:K03835	ypo:BZ17_1204
ko:K02356	ypo:BZ17_1205
ko:K01686	ypo:BZ17_1206
ko:K00040	ypo:BZ17_1207
ko:K13637	ypo:BZ17_1208
ko:K13694	ypo:BZ17_1212
ko:K13893	ypo:BZ17_1214
ko:K13894	ypo:BZ17_1215
ko:K13895	ypo:BZ17_1216
ko:K13896	ypo:BZ17_1217
ko:K07552	ypo:BZ17_1219
ko:K06183	ypo:BZ17_1220
ko:K02897	ypo:BZ17_1222
ko:K01876	ypo:BZ17_429
ko:K07136	ypo:BZ17_431
ko:K15256	ypo:BZ17_432
ko:K15257	ypo:BZ17_433
ko:K06201	ypo:BZ17_434
ko:K09907	ypo:BZ17_435
ko:K01887	ypo:BZ17_436
ko:K11016	ypo:BZ17_437
ko:K11017	ypo:BZ17_438
ko:K03980	ypo:BZ17_439
ko:K03790	ypo:BZ17_442
ko:K08162	ypo:BZ17_443
ko:K04477	ypo:BZ17_446
ko:K02054	ypo:BZ17_451
ko:K02053	ypo:BZ17_452
ko:K02055	ypo:BZ17_453
ko:K03321	ypo:BZ17_456
ko:K07491	ypo:BZ17_457
ko:K01627	ypo:BZ17_458
ko:K02493	ypo:BZ17_461
ko:K02835	ypo:BZ17_462
ko:K02492	ypo:BZ17_463
ko:K02494	ypo:BZ17_464
ko:K00919	ypo:BZ17_465
ko:K00948	ypo:BZ17_466
ko:K01056	ypo:BZ17_468
ko:K06942	ypo:BZ17_469
ko:K06889	ypo:BZ17_473
ko:K07665	ypo:BZ17_474
ko:K07644	ypo:BZ17_475
ko:K01607	ypo:BZ17_476
ko:K05541	ypo:BZ17_1311
ko:K11927	ypo:BZ17_1313
ko:K01993	ypo:BZ17_1315
ko:K07709	ypo:BZ17_1323
ko:K07803	ypo:BZ17_1324
ko:K11537	ypo:BZ17_1325
ko:K03815	ypo:BZ17_1326
ko:K02168	ypo:BZ17_1329
ko:K02167	ypo:BZ17_1330
ko:K06890	ypo:BZ17_1333
ko:K03635	ypo:BZ17_1334
ko:K03636	ypo:BZ17_1335
ko:K03637	ypo:BZ17_1336
ko:K03639	ypo:BZ17_1337
ko:K03702	ypo:BZ17_1341
ko:K01935	ypo:BZ17_1343
ko:K02169	ypo:BZ17_1344
ko:K00652	ypo:BZ17_1345
ko:K01012	ypo:BZ17_1346
ko:K00833	ypo:BZ17_1347
ko:K07404	ypo:BZ17_1348
ko:K02017	ypo:BZ17_1350
ko:K02018	ypo:BZ17_1351
ko:K02020	ypo:BZ17_1352
ko:K02019	ypo:BZ17_1354
ko:K05776	ypo:BZ17_1355
ko:K07052	ypo:BZ17_1357
ko:K01784	ypo:BZ17_1358
ko:K00965	ypo:BZ17_1359
ko:K00849	ypo:BZ17_1360
ko:K01785	ypo:BZ17_1361
ko:K04568	ypo:BZ17_2155
ko:K00244	ypo:BZ17_2156
ko:K00245	ypo:BZ17_2157
ko:K00246	ypo:BZ17_2158
ko:K00247	ypo:BZ17_2159
ko:K11741	ypo:BZ17_2160
ko:K02356	ypo:BZ17_2161
ko:K04077	ypo:BZ17_2164
ko:K04078	ypo:BZ17_2165
ko:K07113	ypo:BZ17_2166
ko:K01744	ypo:BZ17_2167
ko:K07791	ypo:BZ17_2168
ko:K03926	ypo:BZ17_2169
ko:K04084	ypo:BZ17_2170
ko:K05796	ypo:BZ17_2172
ko:K19298	ypo:BZ17_2178
ko:K02856	ypo:BZ17_2180
ko:K02854	ypo:BZ17_2181
ko:K02855	ypo:BZ17_2182
ko:K00848	ypo:BZ17_2185
ko:K01813	ypo:BZ17_2186
ko:K01629	ypo:BZ17_2187
ko:K03534	ypo:BZ17_2189
ko:K03111	ypo:BZ17_2190
ko:K03701	ypo:BZ17_2191
ko:K00832	ypo:BZ17_2193
ko:K01775	ypo:BZ17_2194
ko:K05539	ypo:BZ17_2198
ko:K09823	ypo:BZ17_2199
ko:K01356	ypo:BZ17_2200
ko:K00901	ypo:BZ17_2201
ko:K00631	ypo:BZ17_2202
ko:K03179	ypo:BZ17_2203
ko:K03181	ypo:BZ17_2204
ko:K03704	ypo:BZ17_3013
ko:K03704	ypo:BZ17_3014
ko:K03704	ypo:BZ17_3015
ko:K01607	ypo:BZ17_3019
ko:K03557	ypo:BZ17_3023
ko:K01953	ypo:BZ17_1422
ko:K03184	ypo:BZ17_1429
ko:K06168	ypo:BZ17_1430
ko:K07042	ypo:BZ17_1432
ko:K06189	ypo:BZ17_1433
ko:K03820	ypo:BZ17_1434
ko:K10001	ypo:BZ17_1435
ko:K10003	ypo:BZ17_1436
ko:K10002	ypo:BZ17_1437
ko:K10004	ypo:BZ17_1438
ko:K01869	ypo:BZ17_1440
ko:K03643	ypo:BZ17_1441
ko:K02340	ypo:BZ17_1442
ko:K00969	ypo:BZ17_1443
ko:K09710	ypo:BZ17_1444
ko:K00783	ypo:BZ17_1445
ko:K05515	ypo:BZ17_1446
ko:K05837	ypo:BZ17_1447
ko:K03642	ypo:BZ17_1448
ko:K07258	ypo:BZ17_1449
ko:K09158	ypo:BZ17_1450
ko:K03801	ypo:BZ17_1451
ko:K03644	ypo:BZ17_1452
ko:K03425	ypo:BZ17_1453
ko:K06199	ypo:BZ17_1454
ko:K03704	ypo:BZ17_1455
ko:K06147	ypo:BZ17_1461
ko:K03337	ypo:BZ17_1463
ko:K03335	ypo:BZ17_1464
ko:K03338	ypo:BZ17_1465
ko:K17209	ypo:BZ17_1467
ko:K17210	ypo:BZ17_1468
ko:K17208	ypo:BZ17_1469
ko:K14393	ypo:BZ17_2262
ko:K00602	ypo:BZ17_2273
ko:K01945	ypo:BZ17_2274
ko:K05787	ypo:BZ17_2276
ko:K09891	ypo:BZ17_2277
ko:K05982	ypo:BZ17_2278
ko:K01599	ypo:BZ17_2279
ko:K03426	ypo:BZ17_2281
ko:K07740	ypo:BZ17_2282
ko:K03147	ypo:BZ17_2283
ko:K00788	ypo:BZ17_2284
ko:K03148	ypo:BZ17_2285
ko:K03154	ypo:BZ17_2286
ko:K03149	ypo:BZ17_2287
ko:K03150	ypo:BZ17_2288
ko:K03046	ypo:BZ17_2289
ko:K03043	ypo:BZ17_2290
ko:K02935	ypo:BZ17_2292
ko:K02864	ypo:BZ17_2293
ko:K02863	ypo:BZ17_2294
ko:K02867	ypo:BZ17_2295
ko:K02601	ypo:BZ17_2296
ko:K03073	ypo:BZ17_2297
ko:K02358	ypo:BZ17_2298
ko:K00867	ypo:BZ17_2304
ko:K03524	ypo:BZ17_2305
