ko:K02495	sfs:SFyv_5686
ko:K18919	sfs:SFyv_0021
ko:K18928	sfs:SFyv_0356
ko:K18922	sfs:SFyv_0675
ko:K21905	sfs:SFyv_5197
ko:K03761	sfs:SFyv_3838
ko:K02345	sfs:SFyv_2715
ko:K07012	sfs:SFyv_4027
ko:K03275	sfs:SFyv_5303
ko:K03297	sfs:SFyv_2896
ko:K21907	sfs:SFyv_5117
ko:K21901	sfs:SFyv_5111
ko:K21908	sfs:SFyv_5116
ko:K21906	sfs:SFyv_5198
ko:K21029	sfs:SFyv_1098
ko:K18922	sfs:SFyv_0673
ko:K14224	sfs:SFyv_tRNA3
ko:K14224	sfs:SFyv_tRNA43
ko:K14224	sfs:SFyv_tRNA36
ko:K14224	sfs:SFyv_tRNA44
ko:K14224	sfs:SFyv_tRNA60
ko:K14224	sfs:SFyv_tRNA49
ko:K08151	sfs:SFyv_1483
ko:K01990	sfs:SFyv_1052
ko:K03111	sfs:SFyv_6025
ko:K07497	sfs:SFyv_0293
ko:K07497	sfs:SFyv_0967
ko:K07497	sfs:SFyv_2995
ko:K18968	sfs:SFyv_0437
ko:K10906	sfs:SFyv_2029
ko:K00526	sfs:SFyv_3371
ko:K00287	sfs:SFyv_0063
ko:K08348	sfs:SFyv_2563
ko:K08348	sfs:SFyv_2564
ko:K19234	sfs:SFyv_2504
ko:K19230	sfs:SFyv_1919
ko:K19353	sfs:SFyv_5836
ko:K11209	sfs:SFyv_3457
ko:K02031	sfs:SFyv_2550
ko:K14218	sfs:SFyv_tRNA2
ko:K14218	sfs:SFyv_tRNA72
ko:K19789	sfs:SFyv_3299
ko:K03722	sfs:SFyv_2085
ko:K14230	sfs:SFyv_tRNA77
ko:K14230	sfs:SFyv_tRNA87
ko:K03446	sfs:SFyv_2683
ko:K22597	sfs:SFyv_1942
ko:K21430	sfs:SFyv_1110
ko:K01007	sfs:SFyv_2241
ko:K01816	sfs:SFyv_0606
ko:K08156	sfs:SFyv_0450
ko:K07495	sfs:SFyv_2159
ko:K10678	sfs:SFyv_1131
ko:K01582	sfs:SFyv_0244
ko:K01980	sfs:SFyv_rRNA1
ko:K01980	sfs:SFyv_rRNA3
ko:K01980	sfs:SFyv_rRNA5
ko:K01980	sfs:SFyv_rRNA4
ko:K01980	sfs:SFyv_rRNA7
ko:K01980	sfs:SFyv_rRNA6
ko:K01980	sfs:SFyv_rRNA2
ko:K00087	sfs:SFyv_4158
ko:K07713	sfs:SFyv_5907
ko:K07495	sfs:SFyv_6186
ko:K07483	sfs:SFyv_0670
ko:K07483	sfs:SFyv_3016
ko:K07483	sfs:SFyv_1461
ko:K07483	sfs:SFyv_0309
ko:K07483	sfs:SFyv_3204
ko:K07483	sfs:SFyv_0411
ko:K07483	sfs:SFyv_0985
ko:K07483	sfs:SFyv_1566
ko:K07483	sfs:SFyv_1574
ko:K07483	sfs:SFyv_2706
ko:K07483	sfs:SFyv_5353
ko:K07483	sfs:SFyv_2810
ko:K07483	sfs:SFyv_4318
ko:K04753	sfs:SFyv_4448
ko:K07483	sfs:SFyv_0648
ko:K19540	sfs:SFyv_4889
ko:K19540	sfs:SFyv_4890
ko:K00984	sfs:SFyv_1489
ko:K01612	sfs:SFyv_4007
ko:K01704	sfs:SFyv_0089
ko:K01703	sfs:SFyv_0090
ko:K00052	sfs:SFyv_0091
ko:K01649	sfs:SFyv_0092
ko:K05798	sfs:SFyv_0094
ko:K01652	sfs:SFyv_0096
ko:K01653	sfs:SFyv_0097
ko:K03435	sfs:SFyv_0099
ko:K03925	sfs:SFyv_0105
ko:K03438	sfs:SFyv_0106
ko:K03586	sfs:SFyv_0107
ko:K03587	sfs:SFyv_0108
ko:K01928	sfs:SFyv_0109
ko:K01929	sfs:SFyv_0110
ko:K01000	sfs:SFyv_0111
ko:K01925	sfs:SFyv_0112
ko:K03588	sfs:SFyv_0113
ko:K02563	sfs:SFyv_0114
ko:K01924	sfs:SFyv_0115
ko:K01921	sfs:SFyv_0116
ko:K03589	sfs:SFyv_0117
ko:K03590	sfs:SFyv_0118
ko:K03531	sfs:SFyv_0120
ko:K02535	sfs:SFyv_0121
ko:K13301	sfs:SFyv_0122
ko:K03070	sfs:SFyv_0125
ko:K02362	sfs:SFyv_0677
ko:K07214	sfs:SFyv_0681
ko:K02364	sfs:SFyv_0685
ko:K02364	sfs:SFyv_0686
ko:K02013	sfs:SFyv_0692
ko:K02015	sfs:SFyv_0693
ko:K02015	sfs:SFyv_0694
ko:K08225	sfs:SFyv_0695
ko:K02016	sfs:SFyv_0697
ko:K02361	sfs:SFyv_0698
ko:K02361	sfs:SFyv_0699
ko:K02363	sfs:SFyv_0701
ko:K01252	sfs:SFyv_0702
ko:K07404	sfs:SFyv_1247
ko:K03319	sfs:SFyv_1253
ko:K01681	sfs:SFyv_1254
ko:K01051	sfs:SFyv_1256
ko:K04069	sfs:SFyv_1264
ko:K00656	sfs:SFyv_1266
ko:K06212	sfs:SFyv_1267
ko:K09136	sfs:SFyv_1268
ko:K00831	sfs:SFyv_1272
ko:K00800	sfs:SFyv_1273
ko:K07387	sfs:SFyv_1275
ko:K00945	sfs:SFyv_1278
ko:K02945	sfs:SFyv_1279
ko:K02575	sfs:SFyv_1827
ko:K00370	sfs:SFyv_1830
ko:K00371	sfs:SFyv_1831
ko:K00373	sfs:SFyv_1832
ko:K00374	sfs:SFyv_1833
ko:K01433	sfs:SFyv_1834
ko:K09858	sfs:SFyv_1835
ko:K07001	sfs:SFyv_1836
ko:K00963	sfs:SFyv_1838
ko:K04072	sfs:SFyv_1843
ko:K15580	sfs:SFyv_1849
ko:K15581	sfs:SFyv_1850
ko:K15582	sfs:SFyv_1851
ko:K15583	sfs:SFyv_1852
ko:K10823	sfs:SFyv_1854
ko:K09901	sfs:SFyv_1855
ko:K06131	sfs:SFyv_1856
ko:K10716	sfs:SFyv_1858
ko:K03617	sfs:SFyv_2415
ko:K03616	sfs:SFyv_2416
ko:K03615	sfs:SFyv_2417
ko:K03614	sfs:SFyv_2419
ko:K03612	sfs:SFyv_2421
ko:K03613	sfs:SFyv_2422
ko:K10773	sfs:SFyv_2423
ko:K03305	sfs:SFyv_2424
ko:K00799	sfs:SFyv_2425
ko:K00868	sfs:SFyv_2426
ko:K01866	sfs:SFyv_2427
ko:K00275	sfs:SFyv_2429
ko:K09001	sfs:SFyv_2436
ko:K06077	sfs:SFyv_2438
ko:K06075	sfs:SFyv_2439
ko:K09933	sfs:SFyv_2991
ko:K01241	sfs:SFyv_3000
ko:K13635	sfs:SFyv_3007
ko:K00768	sfs:SFyv_3011
ko:K02233	sfs:SFyv_3012
ko:K08326	sfs:SFyv_3553
ko:K08326	sfs:SFyv_3555
ko:K11203	sfs:SFyv_3556
ko:K11202	sfs:SFyv_3557
ko:K00845	sfs:SFyv_3558
ko:K03322	sfs:SFyv_3563
ko:K11535	sfs:SFyv_3564
ko:K01885	sfs:SFyv_3571
ko:K14347	sfs:SFyv_3576
ko:K09954	sfs:SFyv_3577
ko:K01972	sfs:SFyv_3578
ko:K03528	sfs:SFyv_3580
ko:K06203	sfs:SFyv_3581
ko:K01738	sfs:SFyv_3583
ko:K07323	sfs:SFyv_4692
ko:K02067	sfs:SFyv_4694
ko:K02066	sfs:SFyv_4695
ko:K02065	sfs:SFyv_4696
ko:K07301	sfs:SFyv_4697
ko:K06041	sfs:SFyv_4698
ko:K03270	sfs:SFyv_4699
ko:K11719	sfs:SFyv_4700
ko:K09774	sfs:SFyv_4701
ko:K06861	sfs:SFyv_4702
ko:K03092	sfs:SFyv_4703
ko:K05808	sfs:SFyv_4704
ko:K02806	sfs:SFyv_4705
ko:K06958	sfs:SFyv_4706
ko:K08485	sfs:SFyv_4707
ko:K03814	sfs:SFyv_4709
ko:K03814	sfs:SFyv_4710
ko:K07648	sfs:SFyv_4712
ko:K07139	sfs:SFyv_4713
ko:K00265	sfs:SFyv_4714
ko:K00266	sfs:SFyv_4716
ko:K00885	sfs:SFyv_4723
ko:K01788	sfs:SFyv_4724
ko:K03290	sfs:SFyv_4725
ko:K01639	sfs:SFyv_4726
ko:K03326	sfs:SFyv_4735
ko:K03600	sfs:SFyv_4736
ko:K03599	sfs:SFyv_4737
ko:K02996	sfs:SFyv_4739
ko:K02871	sfs:SFyv_4742
ko:K06916	sfs:SFyv_4743
ko:K09908	sfs:SFyv_4744
ko:K04691	sfs:SFyv_4748
ko:K00024	sfs:SFyv_4749
ko:K03402	sfs:SFyv_4750
ko:K03623	sfs:SFyv_4752
ko:K03468	sfs:SFyv_4754
ko:K15548	sfs:SFyv_4755
ko:K03568	sfs:SFyv_4760
ko:K08301	sfs:SFyv_4762
ko:K06287	sfs:SFyv_4763
ko:K03571	sfs:SFyv_4764
ko:K03755	sfs:SFyv_5963
ko:K03759	sfs:SFyv_5964
ko:K03760	sfs:SFyv_5965
ko:K07771	sfs:SFyv_5966
ko:K07643	sfs:SFyv_5967
ko:K03762	sfs:SFyv_5968
ko:K06193	sfs:SFyv_5972
ko:K04750	sfs:SFyv_5973
ko:K02041	sfs:SFyv_5975
ko:K02044	sfs:SFyv_5978
ko:K02042	sfs:SFyv_5979
ko:K13631	sfs:SFyv_5987
ko:K13639	sfs:SFyv_5988
ko:K06901	sfs:SFyv_5992
ko:K03316	sfs:SFyv_5994
ko:K14393	sfs:SFyv_5997
ko:K01895	sfs:SFyv_5999
ko:K01895	sfs:SFyv_6000
ko:K03385	sfs:SFyv_6001
ko:K04013	sfs:SFyv_6002
ko:K04014	sfs:SFyv_6003
ko:K04015	sfs:SFyv_6005
ko:K04016	sfs:SFyv_6006
ko:K04017	sfs:SFyv_6007
ko:K04018	sfs:SFyv_6008
ko:K11102	sfs:SFyv_6011
ko:K07126	sfs:SFyv_6012
ko:K15550	sfs:SFyv_6019
ko:K15547	sfs:SFyv_6020
ko:K15549	sfs:SFyv_6021
ko:K03701	sfs:SFyv_6026
ko:K03788	sfs:SFyv_6029
ko:K00832	sfs:SFyv_6031
ko:K01775	sfs:SFyv_6032
ko:K05539	sfs:SFyv_6036
ko:K00873	sfs:SFyv_2500
ko:K06078	sfs:SFyv_2502
ko:K02426	sfs:SFyv_2505
ko:K11717	sfs:SFyv_2506
ko:K11717	sfs:SFyv_2508
ko:K09015	sfs:SFyv_2509
ko:K09013	sfs:SFyv_2510
ko:K09014	sfs:SFyv_2511
ko:K05997	sfs:SFyv_2512
ko:K00012	sfs:SFyv_3046
ko:K00033	sfs:SFyv_3047
ko:K12990	sfs:SFyv_3052
ko:K01790	sfs:SFyv_3054
ko:K00973	sfs:SFyv_3055
ko:K00067	sfs:SFyv_3057
ko:K00963	sfs:SFyv_3059
ko:K16703	sfs:SFyv_3062
ko:K16710	sfs:SFyv_3063
ko:K16695	sfs:SFyv_3064
ko:K03606	sfs:SFyv_3066
ko:K01840	sfs:SFyv_3068
ko:K00971	sfs:SFyv_3070
ko:K03208	sfs:SFyv_3072
ko:K03207	sfs:SFyv_3073
ko:K02377	sfs:SFyv_3074
ko:K01711	sfs:SFyv_3076
ko:K03818	sfs:SFyv_3077
ko:K13620	sfs:SFyv_3081
ko:K13684	sfs:SFyv_3082
ko:K03819	sfs:SFyv_3083
ko:K01580	sfs:SFyv_3628
ko:K01776	sfs:SFyv_3630
ko:K04019	sfs:SFyv_3635
ko:K04029	sfs:SFyv_3636
ko:K04031	sfs:SFyv_3637
ko:K00029	sfs:SFyv_3639
ko:K00616	sfs:SFyv_3640
ko:K00615	sfs:SFyv_3641
ko:K12945	sfs:SFyv_3645
ko:K07674	sfs:SFyv_3649
ko:K07674	sfs:SFyv_3650
ko:K18324	sfs:SFyv_3651
ko:K01439	sfs:SFyv_3654
ko:K06999	sfs:SFyv_3656
ko:K06957	sfs:SFyv_3658
ko:K07054	sfs:SFyv_3659
ko:K01923	sfs:SFyv_3660
ko:K07287	sfs:SFyv_3661
ko:K01714	sfs:SFyv_3662
ko:K03567	sfs:SFyv_3663
ko:K03564	sfs:SFyv_3664
ko:K12136	sfs:SFyv_3665
ko:K02904	sfs:SFyv_4835
ko:K02878	sfs:SFyv_4836
ko:K02982	sfs:SFyv_4837
ko:K02890	sfs:SFyv_4838
ko:K02965	sfs:SFyv_4839
ko:K02886	sfs:SFyv_4840
ko:K02892	sfs:SFyv_4842
ko:K02926	sfs:SFyv_4843
ko:K02906	sfs:SFyv_4844
ko:K02946	sfs:SFyv_4845
ko:K02506	sfs:SFyv_4846
ko:K03594	sfs:SFyv_4847
ko:K02192	sfs:SFyv_4848
ko:K02358	sfs:SFyv_4849
ko:K02355	sfs:SFyv_4851
ko:K02992	sfs:SFyv_4853
ko:K02950	sfs:SFyv_4854
ko:K07237	sfs:SFyv_4855
ko:K07236	sfs:SFyv_4856
ko:K07235	sfs:SFyv_4857
ko:K03772	sfs:SFyv_4860
ko:K03745	sfs:SFyv_4861
ko:K03775	sfs:SFyv_4863
ko:K07070	sfs:SFyv_4864
ko:K11747	sfs:SFyv_4865
ko:K06158	sfs:SFyv_4867
ko:K07019	sfs:SFyv_4868
ko:K09898	sfs:SFyv_4869
ko:K00855	sfs:SFyv_4870
ko:K07397	sfs:SFyv_4871
ko:K10914	sfs:SFyv_4872
ko:K01664	sfs:SFyv_4876
