ko:K18929	hpo:HMPREF4655_20381
ko:K19302	hpo:HMPREF4655_20744
ko:K18928	hpo:HMPREF4655_20382
ko:K00566	hpo:HMPREF4655_20217
ko:K09859	hpo:HMPREF4655_20222
ko:K03415	hpo:HMPREF4655_20223
ko:K13747	hpo:HMPREF4655_20224
ko:K03760	hpo:HMPREF4655_20226
ko:K04487	hpo:HMPREF4655_20462
ko:K13819	hpo:HMPREF4655_20463
ko:K04485	hpo:HMPREF4655_20465
ko:K12267	hpo:HMPREF4655_20466
ko:K07090	hpo:HMPREF4655_20468
ko:K00979	hpo:HMPREF4655_20472
ko:K03981	hpo:HMPREF4655_20473
ko:K03786	hpo:HMPREF4655_20654
ko:K00950	hpo:HMPREF4655_20656
ko:K02404	hpo:HMPREF4655_20657
ko:K04562	hpo:HMPREF4655_20658
ko:K02405	hpo:HMPREF4655_20660
ko:K02416	hpo:HMPREF4655_20661
ko:K02417	hpo:HMPREF4655_20662
ko:K07478	hpo:HMPREF4655_20666
ko:K05516	hpo:HMPREF4655_20668
ko:K12506	hpo:HMPREF4655_20672
ko:K00995	hpo:HMPREF4655_20675
ko:K01714	hpo:HMPREF4655_20678
ko:K02108	hpo:HMPREF4655_20767
ko:K07270	hpo:HMPREF4655_20769
ko:K00384	hpo:HMPREF4655_20770
ko:K03671	hpo:HMPREF4655_20771
ko:K07460	hpo:HMPREF4655_20772
ko:K00003	hpo:HMPREF4655_20773
ko:K03703	hpo:HMPREF4655_20774
ko:K05847	hpo:HMPREF4655_20777
ko:K02557	hpo:HMPREF4655_20780
ko:K02556	hpo:HMPREF4655_20781
ko:K02415	hpo:HMPREF4655_20788
ko:K00997	hpo:HMPREF4655_20789
ko:K07043	hpo:HMPREF4655_20792
ko:K07270	hpo:HMPREF4655_20793
ko:K14652	hpo:HMPREF4655_20796
ko:K03831	hpo:HMPREF4655_20800
ko:K03637	hpo:HMPREF4655_20801
ko:K15846	hpo:HMPREF4655_20802
ko:K03545	hpo:HMPREF4655_20804
ko:K01358	hpo:HMPREF4655_20805
ko:K01462	hpo:HMPREF4655_20806
ko:K07391	hpo:HMPREF4655_20807
ko:K01534	hpo:HMPREF4655_20808
ko:K03070	hpo:HMPREF4655_20813
ko:K03634	hpo:HMPREF4655_20814
ko:K01682	hpo:HMPREF4655_20820
ko:K09903	hpo:HMPREF4655_20822
ko:K03060	hpo:HMPREF4655_20823
ko:K01866	hpo:HMPREF4655_20825
ko:K00459	hpo:HMPREF4655_20826
ko:K01448	hpo:HMPREF4655_20827
ko:K01870	hpo:HMPREF4655_20015
ko:K06941	hpo:HMPREF4655_20019
ko:K06041	hpo:HMPREF4655_20020
ko:K02528	hpo:HMPREF4655_20022
ko:K01433	hpo:HMPREF4655_20027
ko:K04773	hpo:HMPREF4655_20028
ko:K03563	hpo:HMPREF4655_20037
ko:K00919	hpo:HMPREF4655_20038
ko:K03664	hpo:HMPREF4655_20039
ko:K03561	hpo:HMPREF4655_20040
ko:K03536	hpo:HMPREF4655_20042
ko:K03217	hpo:HMPREF4655_20044
ko:K03650	hpo:HMPREF4655_20046
ko:K01173	hpo:HMPREF4655_20230
ko:K01338	hpo:HMPREF4655_20232
ko:K05807	hpo:HMPREF4655_20233
ko:K13626	hpo:HMPREF4655_20235
ko:K02372	hpo:HMPREF4655_20237
ko:K00677	hpo:HMPREF4655_20238
ko:K03544	hpo:HMPREF4655_20239
ko:K03569	hpo:HMPREF4655_20240
ko:K03570	hpo:HMPREF4655_20241
ko:K03179	hpo:HMPREF4655_20254
ko:K01613	hpo:HMPREF4655_20257
ko:K03517	hpo:HMPREF4655_20258
ko:K00767	hpo:HMPREF4655_20259
ko:K03797	hpo:HMPREF4655_20266
ko:K00655	hpo:HMPREF4655_20268
ko:K03648	hpo:HMPREF4655_20269
ko:K00134	hpo:HMPREF4655_20270
ko:K00927	hpo:HMPREF4655_20271
ko:K03284	hpo:HMPREF4655_20272
ko:K01749	hpo:HMPREF4655_20481
ko:K09457	hpo:HMPREF4655_20005
ko:K09710	hpo:HMPREF4655_20006
ko:K00791	hpo:HMPREF4655_20007
ko:K00075	hpo:HMPREF4655_20011
ko:K02420	hpo:HMPREF4655_20012
ko:K02412	hpo:HMPREF4655_20013
ko:K01881	hpo:HMPREF4655_20482
ko:K02492	hpo:HMPREF4655_20483
ko:K02523	hpo:HMPREF4655_20484
ko:K04047	hpo:HMPREF4655_20487
ko:K07710	hpo:HMPREF4655_20488
ko:K02394	hpo:HMPREF4655_20490
ko:K05592	hpo:HMPREF4655_20491
ko:K13896	hpo:HMPREF4655_20494
ko:K01939	hpo:HMPREF4655_20499
ko:K11749	hpo:HMPREF4655_20502
ko:K03601	hpo:HMPREF4655_20503
ko:K03695	hpo:HMPREF4655_20506
ko:K01465	hpo:HMPREF4655_20508
ko:K06168	hpo:HMPREF4655_20511
ko:K09778	hpo:HMPREF4655_20512
ko:K06940	hpo:HMPREF4655_20516
ko:K01609	hpo:HMPREF4655_20518
ko:K01524	hpo:HMPREF4655_20520
ko:K02841	hpo:HMPREF4655_20521
ko:K02517	hpo:HMPREF4655_20522
ko:K00773	hpo:HMPREF4655_20523
ko:K09944	hpo:HMPREF4655_20524
ko:K01735	hpo:HMPREF4655_20525
ko:K07337	hpo:HMPREF4655_20053
ko:K06178	hpo:HMPREF4655_20055
ko:K02337	hpo:HMPREF4655_20056
ko:K00428	hpo:HMPREF4655_20057
ko:K02065	hpo:HMPREF4655_20061
ko:K02066	hpo:HMPREF4655_20062
ko:K00826	hpo:HMPREF4655_20064
ko:K00943	hpo:HMPREF4655_20072
ko:K00954	hpo:HMPREF4655_20073
ko:K03186	hpo:HMPREF4655_20074
ko:K02386	hpo:HMPREF4655_20075
ko:K03657	hpo:HMPREF4655_20076
ko:K01875	hpo:HMPREF4655_20078
ko:K03602	hpo:HMPREF4655_20080
ko:K03183	hpo:HMPREF4655_20081
ko:K08973	hpo:HMPREF4655_20082
ko:K01993	hpo:HMPREF4655_20086
ko:K03306	hpo:HMPREF4655_20089
ko:K01928	hpo:HMPREF4655_20092
ko:K02897	hpo:HMPREF4655_20094
ko:K01056	hpo:HMPREF4655_20095
ko:K11720	hpo:HMPREF4655_20096
ko:K13821	hpo:HMPREF4655_20277
ko:K03190	hpo:HMPREF4655_20293
ko:K03189	hpo:HMPREF4655_20294
ko:K03188	hpo:HMPREF4655_20295
ko:K03187	hpo:HMPREF4655_20296
ko:K01428	hpo:HMPREF4655_20299
ko:K03101	hpo:HMPREF4655_20301
ko:K03431	hpo:HMPREF4655_20302
ko:K02968	hpo:HMPREF4655_20303
ko:K02835	hpo:HMPREF4655_20304
ko:K02996	hpo:HMPREF4655_20312
ko:K02871	hpo:HMPREF4655_20313
ko:K00116	hpo:HMPREF4655_20315
ko:K03086	hpo:HMPREF4655_20317
ko:K03168	hpo:HMPREF4655_20327
ko:K02887	hpo:HMPREF4655_20331
ko:K02916	hpo:HMPREF4655_20332
ko:K02520	hpo:HMPREF4655_20333
ko:K01868	hpo:HMPREF4655_20334
ko:K01586	hpo:HMPREF4655_20533
ko:K01163	hpo:HMPREF4655_20535
ko:K02397	hpo:HMPREF4655_20538
ko:K02888	hpo:HMPREF4655_20539
ko:K02899	hpo:HMPREF4655_20540
ko:K12368	hpo:HMPREF4655_20541
ko:K12370	hpo:HMPREF4655_20543
ko:K12372	hpo:HMPREF4655_20545
ko:K03979	hpo:HMPREF4655_20546
ko:K01845	hpo:HMPREF4655_20549
ko:K07226	hpo:HMPREF4655_20559
ko:K01887	hpo:HMPREF4655_20560
ko:K03116	hpo:HMPREF4655_20561
ko:K00942	hpo:HMPREF4655_20562
ko:K02393	hpo:HMPREF4655_20567
ko:K00912	hpo:HMPREF4655_20571
ko:K00053	hpo:HMPREF4655_20573
ko:K03609	hpo:HMPREF4655_20574
ko:K03608	hpo:HMPREF4655_20575
ko:K04096	hpo:HMPREF4655_20576
ko:K00937	hpo:HMPREF4655_20681
ko:K01154	hpo:HMPREF4655_20682
ko:K03427	hpo:HMPREF4655_20683
ko:K01153	hpo:HMPREF4655_20684
ko:K01153	hpo:HMPREF4655_20685
ko:K08602	hpo:HMPREF4655_20691
ko:K06207	hpo:HMPREF4655_20704
ko:K03781	hpo:HMPREF4655_20711
ko:K01159	hpo:HMPREF4655_20718
ko:K03781	hpo:HMPREF4655_20720
ko:K06193	hpo:HMPREF4655_20723
ko:K01521	hpo:HMPREF4655_20725
ko:K02390	hpo:HMPREF4655_20726
ko:K04651	hpo:HMPREF4655_20727
ko:K00748	hpo:HMPREF4655_20729
ko:K03624	hpo:HMPREF4655_20730
ko:K09943	hpo:HMPREF4655_20099
ko:K11752	hpo:HMPREF4655_20102
ko:K03312	hpo:HMPREF4655_20103
ko:K08591	hpo:HMPREF4655_20106
ko:K01633	hpo:HMPREF4655_20107
ko:K01042	hpo:HMPREF4655_20110
ko:K02600	hpo:HMPREF4655_20111
ko:K03655	hpo:HMPREF4655_20116
ko:K01142	hpo:HMPREF4655_20119
ko:K02313	hpo:HMPREF4655_20121
ko:K00820	hpo:HMPREF4655_20124
ko:K01154	hpo:HMPREF4655_20126
ko:K03427	hpo:HMPREF4655_20128
ko:K01153	hpo:HMPREF4655_20129
ko:K07043	hpo:HMPREF4655_20130
ko:K01476	hpo:HMPREF4655_20134
ko:K00259	hpo:HMPREF4655_20136
ko:K00858	hpo:HMPREF4655_20141
ko:K03631	hpo:HMPREF4655_20142
ko:K01783	hpo:HMPREF4655_20147
ko:K03168	hpo:HMPREF4655_20339
ko:K02406	hpo:HMPREF4655_20340
ko:K01628	hpo:HMPREF4655_20343
ko:K03705	hpo:HMPREF4655_20344
ko:K03687	hpo:HMPREF4655_20345
ko:K04043	hpo:HMPREF4655_20346
ko:K07173	hpo:HMPREF4655_20349
ko:K00364	hpo:HMPREF4655_20741
ko:K09805	hpo:HMPREF4655_20743
ko:K03427	hpo:HMPREF4655_20747
ko:K01154	hpo:HMPREF4655_20748
ko:K01153	hpo:HMPREF4655_20750
ko:K00878	hpo:HMPREF4655_20751
ko:K00941	hpo:HMPREF4655_20752
ko:K00788	hpo:HMPREF4655_20753
ko:K13038	hpo:HMPREF4655_20755
ko:K15894	hpo:HMPREF4655_20756
ko:K09860	hpo:HMPREF4655_20759
ko:K03530	hpo:HMPREF4655_20760
ko:K03977	hpo:HMPREF4655_20761
ko:K00797	hpo:HMPREF4655_20763
ko:K00859	hpo:HMPREF4655_20764
ko:K03841	hpo:HMPREF4655_20148
ko:K02357	hpo:HMPREF4655_20156
ko:K02967	hpo:HMPREF4655_20157
ko:K03313	hpo:HMPREF4655_20159
ko:K03210	hpo:HMPREF4655_20160
ko:K09765	hpo:HMPREF4655_20354
ko:K01733	hpo:HMPREF4655_20356
ko:K00645	hpo:HMPREF4655_20364
ko:K01752	hpo:HMPREF4655_20375
ko:K03837	hpo:HMPREF4655_20376
ko:K01626	hpo:HMPREF4655_20377
ko:K03564	hpo:HMPREF4655_20379
ko:K00782	hpo:HMPREF4655_20380
ko:K03303	hpo:HMPREF4655_20383
ko:K03303	hpo:HMPREF4655_20384
ko:K03575	hpo:HMPREF4655_20385
ko:K00404	hpo:HMPREF4655_20387
ko:K00405	hpo:HMPREF4655_20388
ko:K07447	hpo:HMPREF4655_20577
ko:K06180	hpo:HMPREF4655_20588
ko:K07462	hpo:HMPREF4655_20589
ko:K01937	hpo:HMPREF4655_20590
ko:K02409	hpo:HMPREF4655_20592
ko:K02410	hpo:HMPREF4655_20593
ko:K02411	hpo:HMPREF4655_20594
ko:K01662	hpo:HMPREF4655_20595
ko:K03596	hpo:HMPREF4655_20596
ko:K02392	hpo:HMPREF4655_20600
ko:K03466	hpo:HMPREF4655_20602
ko:K00615	hpo:HMPREF4655_20604
ko:K11753	hpo:HMPREF4655_20605
ko:K06442	hpo:HMPREF4655_20606
ko:K00609	hpo:HMPREF4655_20608
ko:K07241	hpo:HMPREF4655_20615
ko:K03072	hpo:HMPREF4655_20161
ko:K03074	hpo:HMPREF4655_20162
ko:K01869	hpo:HMPREF4655_20164
ko:K11754	hpo:HMPREF4655_20166
ko:K03723	hpo:HMPREF4655_20170
ko:K00411	hpo:HMPREF4655_20171
ko:K00412	hpo:HMPREF4655_20172
ko:K00413	hpo:HMPREF4655_20173
ko:K03587	hpo:HMPREF4655_20177
ko:K02408	hpo:HMPREF4655_20179
ko:K02388	hpo:HMPREF4655_20180
ko:K02387	hpo:HMPREF4655_20181
ko:K03588	hpo:HMPREF4655_20182
ko:K02016	hpo:HMPREF4655_20183
ko:K02073	hpo:HMPREF4655_20185
ko:K05515	hpo:HMPREF4655_20186
ko:K03978	hpo:HMPREF4655_20188
ko:K03798	hpo:HMPREF4655_20622
ko:K02687	hpo:HMPREF4655_20623
ko:K03413	hpo:HMPREF4655_20624
ko:K06950	hpo:HMPREF4655_20627
ko:K03525	hpo:HMPREF4655_20734
ko:K09792	hpo:HMPREF4655_20735
ko:K03273	hpo:HMPREF4655_20736
ko:K03274	hpo:HMPREF4655_20737
ko:K03272	hpo:HMPREF4655_20738
ko:K03271	hpo:HMPREF4655_20739
ko:K09774	hpo:HMPREF4655_20189
ko:K03270	hpo:HMPREF4655_20191
ko:K03642	hpo:HMPREF4655_20192
ko:K08307	hpo:HMPREF4655_20193
ko:K03424	hpo:HMPREF4655_20194
ko:K00793	hpo:HMPREF4655_20195
ko:K00407	hpo:HMPREF4655_20389
ko:K00406	hpo:HMPREF4655_20390
ko:K01689	hpo:HMPREF4655_20397
ko:K00891	hpo:HMPREF4655_20400
ko:K01698	hpo:HMPREF4655_20405
ko:K08303	hpo:HMPREF4655_20410
ko:K02836	hpo:HMPREF4655_20412
ko:K02421	hpo:HMPREF4655_20415
ko:K01624	hpo:HMPREF4655_20418
ko:K02356	hpo:HMPREF4655_20419
ko:K03820	hpo:HMPREF4655_20422
ko:K03558	hpo:HMPREF4655_20423
ko:K04567	hpo:HMPREF4655_20424
ko:K00600	hpo:HMPREF4655_20425
ko:K00246	hpo:HMPREF4655_20433
ko:K01803	hpo:HMPREF4655_20434
ko:K00208	hpo:HMPREF4655_20435
ko:K02536	hpo:HMPREF4655_20436
ko:K00789	hpo:HMPREF4655_20437
ko:K00940	hpo:HMPREF4655_20438
ko:K03501	hpo:HMPREF4655_20628
ko:K07568	hpo:HMPREF4655_20629
ko:K03118	hpo:HMPREF4655_20630
ko:K03117	hpo:HMPREF4655_20631
ko:K03551	hpo:HMPREF4655_20632
ko:K00606	hpo:HMPREF4655_20633
ko:K03610	hpo:HMPREF4655_20638
ko:K04061	hpo:HMPREF4655_20196
ko:K02071	hpo:HMPREF4655_20197
ko:K02072	hpo:HMPREF4655_20198
ko:K03474	hpo:HMPREF4655_20202
ko:K00097	hpo:HMPREF4655_20203
ko:K02392	hpo:HMPREF4655_20205
ko:K03625	hpo:HMPREF4655_20207
ko:K00794	hpo:HMPREF4655_20208
ko:K01627	hpo:HMPREF4655_20209
ko:K01673	hpo:HMPREF4655_20210
ko:K01591	hpo:HMPREF4655_20211
ko:K01918	hpo:HMPREF4655_20212
ko:K04077	hpo:HMPREF4655_20214
ko:K04078	hpo:HMPREF4655_20215
ko:K02911	hpo:HMPREF4655_20440
ko:K03621	hpo:HMPREF4655_20441
ko:K00648	hpo:HMPREF4655_20442
