ko:K01183	bal:BACI_c04380
ko:K03429	bal:BACI_c05050
ko:K05739	bal:BACI_c15450
ko:K14989	bal:BACI_c31360
ko:K14988	bal:BACI_c31350
ko:K13281	bal:BACI_c53420
ko:K02862	bal:BACI_c38970
ko:K01777	bal:BACI_c27990
ko:K07260	bal:BACI_c48540
ko:K08153	bal:BACI_c08720
ko:K06313	bal:BACI_c27140
ko:K14665	bal:BACI_c03890
ko:K15770	bal:BACI_c39720
ko:K07213	bal:BACI_c36810
ko:K07461	bal:BACI_c00420
ko:K07056	bal:BACI_c00430
ko:K06284	bal:BACI_c00440
ko:K01874	bal:BACI_c00450
ko:K03424	bal:BACI_c00460
ko:K05985	bal:BACI_c00470
ko:K02528	bal:BACI_c00480
ko:K06423	bal:BACI_c00510
ko:K00919	bal:BACI_c00520
ko:K06412	bal:BACI_c00550
ko:K04042	bal:BACI_c00560
ko:K00948	bal:BACI_c00570
ko:K01056	bal:BACI_c00580
ko:K03723	bal:BACI_c00600
ko:K04769	bal:BACI_c00610
ko:K07571	bal:BACI_c00690
ko:K01938	bal:BACI_c20710
ko:K03088	bal:BACI_c20780
ko:K00432	bal:BACI_c20830
ko:K03924	bal:BACI_c20860
ko:K00370	bal:BACI_c20890
ko:K00371	bal:BACI_c20900
ko:K00373	bal:BACI_c20910
ko:K00374	bal:BACI_c20920
ko:K03639	bal:BACI_c20940
ko:K03750	bal:BACI_c20960
ko:K03635	bal:BACI_c20970
ko:K06382	bal:BACI_c00730
ko:K04075	bal:BACI_c00740
ko:K00760	bal:BACI_c00750
ko:K03798	bal:BACI_c00760
ko:K03525	bal:BACI_c00770
ko:K04083	bal:BACI_c00780
ko:K01738	bal:BACI_c00790
ko:K02982	bal:BACI_c01430
ko:K02878	bal:BACI_c01440
ko:K02904	bal:BACI_c01450
ko:K02961	bal:BACI_c01460
ko:K02874	bal:BACI_c01470
ko:K02895	bal:BACI_c01480
ko:K02931	bal:BACI_c01490
ko:K02954	bal:BACI_c01500
ko:K02994	bal:BACI_c01510
ko:K02933	bal:BACI_c01520
ko:K02881	bal:BACI_c01530
ko:K02988	bal:BACI_c01540
ko:K02907	bal:BACI_c01550
ko:K02876	bal:BACI_c01560
ko:K03076	bal:BACI_c01570
ko:K01265	bal:BACI_c01590
ko:K02518	bal:BACI_c01600
ko:K02919	bal:BACI_c01610
ko:K02952	bal:BACI_c01620
ko:K02948	bal:BACI_c01630
ko:K03040	bal:BACI_c01640
ko:K02879	bal:BACI_c01650
ko:K06173	bal:BACI_c01690
ko:K02871	bal:BACI_c01710
ko:K01665	bal:BACI_c00800
ko:K00796	bal:BACI_c00830
ko:K01633	bal:BACI_c00840
ko:K00950	bal:BACI_c00850
ko:K04567	bal:BACI_c00880
ko:K03696	bal:BACI_c01070
ko:K04485	bal:BACI_c01080
ko:K00991	bal:BACI_c01110
ko:K01770	bal:BACI_c01120
ko:K00640	bal:BACI_c01150
ko:K01883	bal:BACI_c01160
ko:K11145	bal:BACI_c01170
ko:K03218	bal:BACI_c01180
ko:K06962	bal:BACI_c01190
ko:K03091	bal:BACI_c01200
ko:K03073	bal:BACI_c01210
ko:K02601	bal:BACI_c01220
ko:K02867	bal:BACI_c01230
ko:K02863	bal:BACI_c01240
ko:K02864	bal:BACI_c01260
ko:K02935	bal:BACI_c01270
ko:K03043	bal:BACI_c01290
ko:K03046	bal:BACI_c01300
ko:K07590	bal:BACI_c01310
ko:K02950	bal:BACI_c01320
ko:K02992	bal:BACI_c01330
ko:K02355	bal:BACI_c01340
ko:K02358	bal:BACI_c01350
ko:K02946	bal:BACI_c01360
ko:K02906	bal:BACI_c01370
ko:K02926	bal:BACI_c01380
ko:K02892	bal:BACI_c01390
ko:K02886	bal:BACI_c01400
ko:K02965	bal:BACI_c01410
ko:K02890	bal:BACI_c01420
ko:K01200	bal:BACI_c26940
ko:K02996	bal:BACI_c01720
ko:K01448	bal:BACI_c01740
ko:K06294	bal:BACI_c01760
ko:K06349	bal:BACI_c01770
ko:K15580	bal:BACI_c02330
ko:K00286	bal:BACI_c02370
ko:K02018	bal:BACI_c02390
ko:K02020	bal:BACI_c02400
ko:K00655	bal:BACI_c02480
ko:K03424	bal:BACI_c02530
ko:K02034	bal:BACI_c02630
ko:K00457	bal:BACI_c02700
ko:K00451	bal:BACI_c02720
ko:K01921	bal:BACI_c02750
ko:K01929	bal:BACI_c02760
ko:K05592	bal:BACI_c02770
ko:K00997	bal:BACI_c02800
ko:K01775	bal:BACI_c02820
ko:K07723	bal:BACI_c02830
ko:K06959	bal:BACI_c02850
ko:K00865	bal:BACI_c01920
ko:K01476	bal:BACI_c01930
ko:K03431	bal:BACI_c01960
ko:K00820	bal:BACI_c01990
ko:K11476	bal:BACI_c02020
ko:K02072	bal:BACI_c02110
ko:K02071	bal:BACI_c02120
ko:K02073	bal:BACI_c02130
ko:K07552	bal:BACI_c02200
ko:K07979	bal:BACI_c41890
ko:K04077	bal:BACI_c03120
ko:K03657	bal:BACI_c03490
ko:K01972	bal:BACI_c03500
ko:K07090	bal:BACI_c03520
ko:K00764	bal:BACI_c03390
ko:K01933	bal:BACI_c03400
ko:K11175	bal:BACI_c03410
ko:K00602	bal:BACI_c03420
ko:K01945	bal:BACI_c03430
ko:K06925	bal:BACI_c03030
ko:K03789	bal:BACI_c03050
ko:K06158	bal:BACI_c03070
ko:K01926	bal:BACI_c03080
ko:K04078	bal:BACI_c03110
ko:K00899	bal:BACI_c03930
ko:K08963	bal:BACI_c03940
ko:K01628	bal:BACI_c03950
ko:K02015	bal:BACI_c03960
ko:K02015	bal:BACI_c03970
ko:K02016	bal:BACI_c03980
ko:K07074	bal:BACI_c04110
ko:K05548	bal:BACI_c04120
ko:K02029	bal:BACI_c04150
ko:K07058	bal:BACI_c04640
ko:K01534	bal:BACI_c04660
ko:K03100	bal:BACI_c04690
ko:K07300	bal:BACI_c04750
ko:K01676	bal:BACI_c04790
ko:K01247	bal:BACI_c04810
ko:K06173	bal:BACI_c04830
ko:K06714	bal:BACI_c04850
ko:K01425	bal:BACI_c04930
ko:K00656	bal:BACI_c05030
ko:K04069	bal:BACI_c05040
ko:K01421	bal:BACI_c04240
ko:K00878	bal:BACI_c04270
ko:K00788	bal:BACI_c04280
ko:K07791	bal:BACI_c04290
ko:K02071	bal:BACI_c03570
ko:K02072	bal:BACI_c03580
ko:K02073	bal:BACI_c03590
ko:K02435	bal:BACI_c03660
ko:K02434	bal:BACI_c03680
ko:K01091	bal:BACI_c03700
ko:K07043	bal:BACI_c03840
ko:K03315	bal:BACI_c03880
ko:K03387	bal:BACI_c03910
ko:K01881	bal:BACI_c04510
ko:K05795	bal:BACI_c04550
ko:K05795	bal:BACI_c04560
ko:K02016	bal:BACI_c06230
ko:K02015	bal:BACI_c06240
ko:K02015	bal:BACI_c06250
ko:K02013	bal:BACI_c06260
ko:K06131	bal:BACI_c06330
ko:K02818	bal:BACI_c06380
ko:K02819	bal:BACI_c06380
ko:K06295	bal:BACI_c06430
ko:K03310	bal:BACI_c06510
ko:K07071	bal:BACI_c05080
ko:K03565	bal:BACI_c05090
ko:K03575	bal:BACI_c05140
ko:K01845	bal:BACI_c05220
ko:K03564	bal:BACI_c05270
ko:K03216	bal:BACI_c05560
ko:K07180	bal:BACI_c05580
ko:K09786	bal:BACI_c05590
ko:K03300	bal:BACI_c05690
ko:K05813	bal:BACI_c05790
ko:K00375	bal:BACI_c05920
ko:K02379	bal:BACI_c05970
ko:K00123	bal:BACI_c05980
ko:K01126	bal:BACI_c06010
ko:K00259	bal:BACI_c06020
ko:K01534	bal:BACI_c06050
ko:K00763	bal:BACI_c06060
ko:K11535	bal:BACI_c06150
ko:K01744	bal:BACI_c06180
ko:K03303	bal:BACI_c06190
ko:K06425	bal:BACI_c06210
ko:K03305	bal:BACI_c06220
ko:K01951	bal:BACI_c03180
ko:K06901	bal:BACI_c03200
ko:K01588	bal:BACI_c03320
ko:K01589	bal:BACI_c03330
