ko:K06896	snb:SP670_1565
ko:K02029	snb:SP670_0759
ko:K02769	snb:SP670_1703
ko:K15580	snb:SP670_1610
ko:K02313	snb:SP670_0001
ko:K02338	snb:SP670_0002
ko:K02160	snb:SP670_0497
ko:K02356	snb:SP670_0508
ko:K14982	snb:SP670_1524
ko:K03483	snb:SP670_0467
ko:K01835	snb:SP670_0799
ko:K01056	snb:SP670_0028
ko:K10682	snb:SP670_0157
ko:K10681	snb:SP670_0158
ko:K02986	snb:SP670_0159
ko:K07146	snb:SP670_0165
ko:K03449	snb:SP670_0171
ko:K01091	snb:SP670_0175
ko:K01752	snb:SP670_0176
ko:K01752	snb:SP670_0177
ko:K01933	snb:SP670_0125
ko:K11175	snb:SP670_0126
ko:K00602	snb:SP670_0128
ko:K01945	snb:SP670_0129
ko:K01588	snb:SP670_0131
ko:K03723	snb:SP670_0029
ko:K02003	snb:SP670_0181
ko:K01940	snb:SP670_0183
ko:K02982	snb:SP670_0289
ko:K02878	snb:SP670_0290
ko:K02904	snb:SP670_0291
ko:K02961	snb:SP670_0292
ko:K03763	snb:SP670_0346
ko:K06901	snb:SP670_0360
ko:K00796	snb:SP670_0363
ko:K11754	snb:SP670_0364
ko:K01495	snb:SP670_0365
ko:K13940	snb:SP670_0366
ko:K02871	snb:SP670_0368
ko:K03438	snb:SP670_0403
ko:K01000	snb:SP670_0406
ko:K07173	snb:SP670_0409
ko:K07447	snb:SP670_0270
ko:K11754	snb:SP670_0272
ko:K06131	snb:SP670_0274
ko:K02946	snb:SP670_0282
ko:K02906	snb:SP670_0283
ko:K02926	snb:SP670_0284
ko:K02892	snb:SP670_0285
ko:K02886	snb:SP670_0286
ko:K02965	snb:SP670_0287
ko:K02890	snb:SP670_0288
ko:K02874	snb:SP670_0293
ko:K02895	snb:SP670_0294
ko:K02931	snb:SP670_0295
ko:K02954	snb:SP670_0296
ko:K02994	snb:SP670_0297
ko:K02933	snb:SP670_0298
ko:K02881	snb:SP670_0299
ko:K02988	snb:SP670_0300
ko:K02907	snb:SP670_0301
ko:K02876	snb:SP670_0302
ko:K03076	snb:SP670_0303
ko:K02518	snb:SP670_0305
ko:K02952	snb:SP670_0306
ko:K02948	snb:SP670_0307
ko:K03040	snb:SP670_0308
ko:K02879	snb:SP670_0309
ko:K07166	snb:SP670_0310
ko:K09157	snb:SP670_0311
ko:K02011	snb:SP670_0313
ko:K02011	snb:SP670_0314
ko:K02012	snb:SP670_0317
ko:K04069	snb:SP670_0319
ko:K02759	snb:SP670_0322
ko:K02760	snb:SP670_0323
ko:K02761	snb:SP670_0324
ko:K00656	snb:SP670_0325
ko:K00005	snb:SP670_0327
ko:K01869	snb:SP670_0328
ko:K03551	snb:SP670_0332
ko:K09962	snb:SP670_0333
ko:K00806	snb:SP670_0334
ko:K00981	snb:SP670_0335
ko:K01881	snb:SP670_0337
ko:K00820	snb:SP670_0339
ko:K02950	snb:SP670_0343
ko:K02992	snb:SP670_0344
ko:K02355	snb:SP670_0345
ko:K02996	snb:SP670_0369
ko:K01223	snb:SP670_0372
ko:K02760	snb:SP670_0374
ko:K02759	snb:SP670_0376
ko:K02761	snb:SP670_0378
