ko:K13040	sbn:Sbal195_3859
ko:K02409	sbn:Sbal195_3068
ko:K10773	sbn:Sbal195_2106
ko:K03575	sbn:Sbal195_3196
ko:K01760	sbn:Sbal195_1873
ko:K01755	sbn:Sbal195_4209
ko:K19416	sbn:Sbal195_2313
ko:K10563	sbn:Sbal195_4464
ko:K14682	sbn:Sbal195_0391
ko:K12297	sbn:Sbal195_2685
ko:K03602	sbn:Sbal195_1384
ko:K02470	sbn:Sbal195_0004
ko:K02469	sbn:Sbal195_2404
ko:K05788	sbn:Sbal195_2395
ko:K05515	sbn:Sbal195_3453
ko:K01077	sbn:Sbal195_0695
ko:K22317	sbn:Sbal195_1580
ko:K03530	sbn:Sbal195_1630
ko:K04764	sbn:Sbal195_1909
ko:K10126	sbn:Sbal195_2953
ko:K01028	sbn:Sbal195_2978
ko:K06879	sbn:Sbal195_1461
ko:K02478	sbn:Sbal195_1696
ko:K02451	sbn:Sbal195_1234
ko:K08722	sbn:Sbal195_2185
ko:K01142	sbn:Sbal195_2816
ko:K04567	sbn:Sbal195_3614
ko:K04564	sbn:Sbal195_1819
ko:K02904	sbn:Sbal195_0208
ko:K02911	sbn:Sbal195_1755
ko:K01889	sbn:Sbal195_1907
ko:K00324	sbn:Sbal195_0952
ko:K05786	sbn:Sbal195_0393
ko:K01876	sbn:Sbal195_2423
ko:K05851	sbn:Sbal195_4093
ko:K02879	sbn:Sbal195_0225
ko:K02986	sbn:Sbal195_0223
ko:K02881	sbn:Sbal195_0216
ko:K02954	sbn:Sbal195_0213
ko:K00242	sbn:Sbal195_2631
ko:K07462	sbn:Sbal195_3641
ko:K02501	sbn:Sbal195_2540
ko:K02500	sbn:Sbal195_2542
ko:K03547	sbn:Sbal195_1676
ko:K00166	sbn:Sbal195_2199
ko:K02878	sbn:Sbal195_0207
ko:K02355	sbn:Sbal195_0197
ko:K02992	sbn:Sbal195_0196
ko:K02950	sbn:Sbal195_0195
ko:K02935	sbn:Sbal195_0192
ko:K01095	sbn:Sbal195_3297
ko:K02863	sbn:Sbal195_0190
ko:K02867	sbn:Sbal195_0189
ko:K02463	sbn:Sbal195_0163
ko:K00575	sbn:Sbal195_3101
ko:K03631	sbn:Sbal195_3296
ko:K03111	sbn:Sbal195_0581
ko:K03746	sbn:Sbal195_2996
ko:K01924	sbn:Sbal195_0414
ko:K02535	sbn:Sbal195_0418
ko:K02884	sbn:Sbal195_1290
ko:K03656	sbn:Sbal195_4106
ko:K00609	sbn:Sbal195_1238
ko:K01585	sbn:Sbal195_1805
ko:K00575	sbn:Sbal195_2361
