ko:K00086	ecln:ECNIH4_18110
ko:K19586	ecln:ECNIH4_12605
ko:K06120	ecln:ECNIH4_18100
ko:K02345	ecln:ECNIH4_09355
ko:K14234	ecln:ECNIH4_01140
ko:K06122	ecln:ECNIH4_18090
ko:K06121	ecln:ECNIH4_18095
ko:K11741	ecln:ECNIH4_08865
ko:K11741	ecln:ECNIH4_08830
ko:K07497	ecln:ECNIH4_09455
ko:K07497	ecln:ECNIH4_17195
ko:K07497	ecln:ECNIH4_22585
ko:K07497	ecln:ECNIH4_22865
ko:K18842	ecln:ECNIH4_23025
ko:K18589	ecln:ECNIH4_23410
ko:K03111	ecln:ECNIH4_21230
ko:K18968	ecln:ECNIH4_17840
ko:K00526	ecln:ECNIH4_07355
ko:K18699	ecln:ECNIH4_23090
ko:K01990	ecln:ECNIH4_15725
ko:K19227	ecln:ECNIH4_10715
ko:K19230	ecln:ECNIH4_10700
ko:K19229	ecln:ECNIH4_10705
ko:K02031	ecln:ECNIH4_11425
ko:K02031	ecln:ECNIH4_16755
ko:K19789	ecln:ECNIH4_07465
ko:K00108	ecln:ECNIH4_16710
ko:K08348	ecln:ECNIH4_11325
ko:K08348	ecln:ECNIH4_11330
ko:K02485	ecln:ECNIH4_10135
ko:K12979	ecln:ECNIH4_21135
ko:K04103	ecln:ECNIH4_06815
ko:K22597	ecln:ECNIH4_10750
ko:K01007	ecln:ECNIH4_13380
ko:K08156	ecln:ECNIH4_11365
ko:K00433	ecln:ECNIH4_14710
ko:K02483	ecln:ECNIH4_11670
ko:K19587	ecln:ECNIH4_12595
ko:K04753	ecln:ECNIH4_03795
ko:K00632	ecln:ECNIH4_21675
ko:K00130	ecln:ECNIH4_04305
ko:K11741	ecln:ECNIH4_20885
ko:K05874	ecln:ECNIH4_11730
ko:K14236	ecln:ECNIH4_01145
ko:K14236	ecln:ECNIH4_10115
ko:K06218	ecln:ECNIH4_20380
ko:K18850	ecln:ECNIH4_13890
ko:K14236	ecln:ECNIH4_10110
ko:K14221	ecln:ECNIH4_18455
ko:K14221	ecln:ECNIH4_18510
ko:K14221	ecln:ECNIH4_22070
ko:K14219	ecln:ECNIH4_05275
ko:K14219	ecln:ECNIH4_05280
ko:K14219	ecln:ECNIH4_05290
ko:K14219	ecln:ECNIH4_05285
ko:K18768	ecln:ECNIH4_23585
ko:K18889	ecln:ECNIH4_17505
ko:K13654	ecln:ECNIH4_11155
ko:K03630	ecln:ECNIH4_18205
ko:K11198	ecln:ECNIH4_20365
ko:K11199	ecln:ECNIH4_20365
ko:K11200	ecln:ECNIH4_20365
ko:K07352	ecln:ECNIH4_09100
ko:K01977	ecln:ECNIH4_01300
ko:K14231	ecln:ECNIH4_04020
ko:K14231	ecln:ECNIH4_20980
ko:K14225	ecln:ECNIH4_08635
ko:K14225	ecln:ECNIH4_20815
ko:K14225	ecln:ECNIH4_20810
ko:K14225	ecln:ECNIH4_20805
ko:K14228	ecln:ECNIH4_20220
ko:K01980	ecln:ECNIH4_02495
ko:K01980	ecln:ECNIH4_01305
ko:K01980	ecln:ECNIH4_18520
ko:K01980	ecln:ECNIH4_22080
ko:K01980	ecln:ECNIH4_21630
ko:K01980	ecln:ECNIH4_20990
ko:K01980	ecln:ECNIH4_22625
ko:K01980	ecln:ECNIH4_05955
ko:K18920	ecln:ECNIH4_19230
ko:K14223	ecln:ECNIH4_16275
ko:K14229	ecln:ECNIH4_06745
ko:K14229	ecln:ECNIH4_15975
ko:K14229	ecln:ECNIH4_15965
ko:K14229	ecln:ECNIH4_15955
