ko:K19416	amad:I636_10590
ko:K18923	amad:I636_02820
ko:K12066	amad:I636_05965
ko:K07172	amad:I636_16045
ko:K03297	amad:I636_14990
ko:K01563	amad:I636_08890
ko:K11741	amad:I636_00840
ko:K21430	amad:I636_02650
ko:K03111	amad:I636_01105
ko:K19597	amad:I636_05985
ko:K00254	amad:I636_10350
ko:K19736	amad:I636_07150
ko:K18828	amad:I636_18460
ko:K07577	amad:I636_17865
ko:K01271	amad:I636_02935
ko:K19226	amad:I636_05535
ko:K13693	amad:I636_10870
ko:K18820	amad:I636_18650
ko:K01897	amad:I636_12325
ko:K03559	amad:I636_05660
ko:K06075	amad:I636_05760
ko:K07245	amad:I636_01680
ko:K03559	amad:I636_16345
ko:K03559	amad:I636_03585
ko:K19092	amad:I636_12305
ko:K03417	amad:I636_15025
ko:K19092	amad:I636_15490
ko:K08282	amad:I636_10260
ko:K11209	amad:I636_17895
ko:K14223	amad:I636_t19703
ko:K14223	amad:I636_t19693
ko:K01897	amad:I636_03610
ko:K00265	amad:I636_15100
ko:K00951	amad:I636_03740
ko:K01897	amad:I636_12585
ko:K01190	amad:I636_01305
ko:K17713	amad:I636_13340
ko:K01586	amad:I636_00975
ko:K02553	amad:I636_00995
ko:K03186	amad:I636_01005
ko:K02558	amad:I636_01010
ko:K03841	amad:I636_01015
ko:K09950	amad:I636_01025
ko:K07107	amad:I636_01035
ko:K04046	amad:I636_01040
ko:K03701	amad:I636_01050
ko:K02529	amad:I636_01080
ko:K00965	amad:I636_01090
ko:K00849	amad:I636_01095
ko:K00864	amad:I636_01145
ko:K02444	amad:I636_01150
ko:K00111	amad:I636_01155
ko:K03974	amad:I636_05540
ko:K03969	amad:I636_05545
ko:K03970	amad:I636_05550
ko:K00500	amad:I636_05560
ko:K03721	amad:I636_05565
ko:K16171	amad:I636_05570
ko:K05800	amad:I636_05580
ko:K00263	amad:I636_05585
ko:K00453	amad:I636_05600
ko:K00472	amad:I636_05620
ko:K03561	amad:I636_05650
ko:K03561	amad:I636_05655
ko:K00800	amad:I636_10700
ko:K00831	amad:I636_10705
ko:K02469	amad:I636_10710
ko:K11107	amad:I636_10730
ko:K01923	amad:I636_10755
ko:K07287	amad:I636_10760
ko:K01714	amad:I636_10765
ko:K03567	amad:I636_10770
ko:K03564	amad:I636_10775
ko:K03809	amad:I636_10800
ko:K10763	amad:I636_10810
ko:K09938	amad:I636_10815
ko:K01933	amad:I636_10820
ko:K11175	amad:I636_10825
ko:K15256	amad:I636_10850
ko:K15257	amad:I636_10855
ko:K15918	amad:I636_10860
ko:K07026	amad:I636_10865
ko:K00690	amad:I636_10875
ko:K01091	amad:I636_10880
ko:K03750	amad:I636_10885
ko:K03327	amad:I636_10890
ko:K07141	amad:I636_10895
ko:K09989	amad:I636_10900
ko:K01738	amad:I636_10910
ko:K07648	amad:I636_15090
ko:K00266	amad:I636_15105
ko:K02227	amad:I636_15125
ko:K01866	amad:I636_15155
ko:K09001	amad:I636_15170
ko:K02429	amad:I636_15175
ko:K08973	amad:I636_15200
ko:K14155	amad:I636_15220
ko:K06207	amad:I636_15230
ko:K01915	amad:I636_15240
ko:K07708	amad:I636_15250
ko:K07712	amad:I636_15255
ko:K00655	amad:I636_15265
ko:K09893	amad:I636_15270
ko:K01873	amad:I636_15310
ko:K02339	amad:I636_15315
ko:K01255	amad:I636_15320
ko:K07091	amad:I636_15325
ko:K11720	amad:I636_15330
ko:K02529	amad:I636_19485
ko:K07443	amad:I636_19505
ko:K02114	amad:I636_19525
ko:K02112	amad:I636_19530
ko:K02115	amad:I636_19535
ko:K02111	amad:I636_19540
ko:K02113	amad:I636_19545
ko:K02109	amad:I636_19550
ko:K02110	amad:I636_19555
ko:K02108	amad:I636_19560
ko:K03501	amad:I636_19580
ko:K03495	amad:I636_19585
ko:K06205	amad:I636_19600
ko:K03650	amad:I636_19605
ko:K09767	amad:I636_19610
ko:K03217	amad:I636_19615
ko:K08998	amad:I636_19620
ko:K03536	amad:I636_19625
ko:K02914	amad:I636_19630
ko:K05838	amad:I636_02665
ko:K09937	amad:I636_02680
ko:K01939	amad:I636_02685
ko:K06991	amad:I636_02695
ko:K01207	amad:I636_02715
ko:K07106	amad:I636_02730
ko:K01775	amad:I636_02735
ko:K06193	amad:I636_02775
ko:K03829	amad:I636_02780
ko:K09803	amad:I636_02805
ko:K01825	amad:I636_02925
ko:K08309	amad:I636_02930
ko:K07238	amad:I636_02940
ko:K02523	amad:I636_02945
ko:K02888	amad:I636_02950
ko:K06192	amad:I636_07185
ko:K03808	amad:I636_07190
ko:K01893	amad:I636_07205
ko:K07301	amad:I636_07215
ko:K00833	amad:I636_07240
ko:K01012	amad:I636_07245
ko:K02169	amad:I636_07255
ko:K01935	amad:I636_07260
ko:K05995	amad:I636_07265
ko:K06074	amad:I636_07280
ko:K01626	amad:I636_07285
ko:K09954	amad:I636_07295
ko:K03639	amad:I636_07305
ko:K06938	amad:I636_07335
ko:K05541	amad:I636_07340
ko:K10804	amad:I636_07355
ko:K02003	amad:I636_07360
ko:K07071	amad:I636_07370
ko:K07589	amad:I636_07375
ko:K07637	amad:I636_07385
ko:K09780	amad:I636_07405
ko:K01695	amad:I636_07410
ko:K01696	amad:I636_07415
ko:K13498	amad:I636_07420
ko:K03581	amad:I636_11490
ko:K03582	amad:I636_11495
ko:K03583	amad:I636_11500
ko:K09897	amad:I636_11555
ko:K09916	amad:I636_11655
ko:K03310	amad:I636_11670
ko:K00134	amad:I636_11680
ko:K00705	amad:I636_11710
ko:K00134	amad:I636_11715
ko:K01792	amad:I636_11720
ko:K01625	amad:I636_11725
ko:K01690	amad:I636_11735
ko:K01057	amad:I636_11740
ko:K00036	amad:I636_11745
ko:K06214	amad:I636_15900
ko:K04338	amad:I636_15905
ko:K04337	amad:I636_15910
ko:K04335	amad:I636_15920
ko:K11927	amad:I636_15945
ko:K00426	amad:I636_15950
ko:K00425	amad:I636_15955
ko:K00925	amad:I636_15965
ko:K02275	amad:I636_16015
ko:K15408	amad:I636_16020
ko:K03782	amad:I636_16125
ko:K06987	amad:I636_16720
ko:K01895	amad:I636_16740
ko:K07093	amad:I636_16765
ko:K02358	amad:I636_16780
ko:K03525	amad:I636_16785
ko:K03524	amad:I636_16790
ko:K00075	amad:I636_16795
ko:K03717	amad:I636_16825
ko:K00012	amad:I636_16845
ko:K00067	amad:I636_16860
ko:K01790	amad:I636_16865
ko:K00973	amad:I636_16870
ko:K03832	amad:I636_05665
ko:K06957	amad:I636_05675
ko:K03811	amad:I636_05695
ko:K03789	amad:I636_05710
ko:K06222	amad:I636_05740
ko:K07154	amad:I636_05780
ko:K01647	amad:I636_09875
ko:K00242	amad:I636_09885
ko:K00239	amad:I636_09890
ko:K00240	amad:I636_09895
ko:K00164	amad:I636_09900
ko:K00658	amad:I636_09905
ko:K01903	amad:I636_09910
ko:K01902	amad:I636_09915
ko:K16211	amad:I636_09965
ko:K01886	amad:I636_09980
ko:K06219	amad:I636_10020
ko:K03778	amad:I636_10025
ko:K00432	amad:I636_10030
ko:K00563	amad:I636_10060
ko:K07014	amad:I636_10070
ko:K09904	amad:I636_10075
ko:K06899	amad:I636_10080
ko:K00850	amad:I636_10120
ko:K00262	amad:I636_14230
ko:K03563	amad:I636_14235
ko:K16091	amad:I636_14335
ko:K15726	amad:I636_14340
ko:K16264	amad:I636_14360
ko:K00382	amad:I636_14395
ko:K00627	amad:I636_14400
ko:K00163	amad:I636_14405
ko:K03807	amad:I636_14415
ko:K03806	amad:I636_14420
ko:K06985	amad:I636_14425
ko:K00767	amad:I636_14430
ko:K02654	amad:I636_14445
ko:K00859	amad:I636_14450
ko:K09862	amad:I636_14460
ko:K03070	amad:I636_14475
ko:K02535	amad:I636_14485
ko:K07659	amad:I636_18630
ko:K07638	amad:I636_18640
ko:K01610	amad:I636_18655
ko:K04083	amad:I636_18660
ko:K04762	amad:I636_18665
ko:K02452	amad:I636_18670
ko:K02453	amad:I636_18675
ko:K02455	amad:I636_18685
ko:K02456	amad:I636_18690
ko:K02457	amad:I636_18695
ko:K02458	amad:I636_18700
ko:K02459	amad:I636_18705
ko:K02460	amad:I636_18710
ko:K02461	amad:I636_18715
ko:K02462	amad:I636_18720
ko:K08312	amad:I636_18750
ko:K03669	amad:I636_18765
ko:K03670	amad:I636_18770
ko:K06158	amad:I636_18795
ko:K07070	amad:I636_18800
ko:K03745	amad:I636_18815
ko:K04760	amad:I636_18835
ko:K06959	amad:I636_18840
ko:K02529	amad:I636_18875
ko:K01805	amad:I636_18910
ko:K07243	amad:I636_03810
ko:K02871	amad:I636_03835
ko:K02996	amad:I636_03840
ko:K00411	amad:I636_03845
ko:K00412	amad:I636_03850
ko:K00413	amad:I636_03855
ko:K03599	amad:I636_03860
ko:K03600	amad:I636_03865
ko:K06213	amad:I636_03870
ko:K06958	amad:I636_03880
ko:K05808	amad:I636_03890
ko:K03092	amad:I636_03895
ko:K06861	amad:I636_03900
ko:K09774	amad:I636_03905
