ko:K02518	smum:SMML_v1c01680
ko:K02919	smum:SMML_v1c01690
ko:K02952	smum:SMML_v1c01700
ko:K02948	smum:SMML_v1c01710
ko:K02986	smum:SMML_v1c01720
ko:K03040	smum:SMML_v1c01730
ko:K02879	smum:SMML_v1c01740
ko:K01778	smum:SMML_v1c01750
ko:K03438	smum:SMML_v1c01760
ko:K01755	smum:SMML_v1c01790
ko:K00161	smum:SMML_v1c01800
ko:K00627	smum:SMML_v1c01810
ko:K00134	smum:SMML_v1c01830
ko:K03218	smum:SMML_v1c01850
ko:K01754	smum:SMML_v1c01860
ko:K00053	smum:SMML_v1c01870
ko:K01653	smum:SMML_v1c01880
ko:K01652	smum:SMML_v1c01890
ko:K01687	smum:SMML_v1c01900
ko:K03801	smum:SMML_v1c00010
ko:K01873	smum:SMML_v1c00020
ko:K01735	smum:SMML_v1c00030
ko:K02945	smum:SMML_v1c00040
ko:K03628	smum:SMML_v1c00050
ko:K02835	smum:SMML_v1c00060
ko:K03786	smum:SMML_v1c00070
ko:K02078	smum:SMML_v1c00080
ko:K02114	smum:SMML_v1c00090
ko:K02112	smum:SMML_v1c00100
ko:K02528	smum:SMML_v1c00110
ko:K01886	smum:SMML_v1c00120
ko:K03495	smum:SMML_v1c00130
ko:K07056	smum:SMML_v1c00145
ko:K00948	smum:SMML_v1c00150
ko:K02897	smum:SMML_v1c00160
ko:K02115	smum:SMML_v1c00170
ko:K02111	smum:SMML_v1c00180
ko:K02113	smum:SMML_v1c00190
ko:K02109	smum:SMML_v1c00200
ko:K02110	smum:SMML_v1c00210
ko:K02108	smum:SMML_v1c00220
ko:K00928	smum:SMML_v1c00230
ko:K05595	smum:SMML_v1c00240
ko:K00052	smum:SMML_v1c00250
ko:K01704	smum:SMML_v1c00260
ko:K01703	smum:SMML_v1c00270
ko:K01649	smum:SMML_v1c00280
ko:K01866	smum:SMML_v1c00290
ko:K01869	smum:SMML_v1c00300
ko:K00175	smum:SMML_v1c00310
ko:K01875	smum:SMML_v1c00320
ko:K02902	smum:SMML_v1c00330
ko:K02913	smum:SMML_v1c00340
ko:K06180	smum:SMML_v1c00360
ko:K06173	smum:SMML_v1c00370
ko:K03046	smum:SMML_v1c00380
ko:K03043	smum:SMML_v1c00390
ko:K02935	smum:SMML_v1c00400
ko:K02863	smum:SMML_v1c00410
ko:K02867	smum:SMML_v1c00420
ko:K02358	smum:SMML_v1c00430
ko:K02426	smum:SMML_v1c00440
ko:K01358	smum:SMML_v1c00450
ko:K03544	smum:SMML_v1c00460
ko:K03555	smum:SMML_v1c00470
ko:K02967	smum:SMML_v1c00480
ko:K02996	smum:SMML_v1c00490
ko:K02871	smum:SMML_v1c00500
ko:K04043	smum:SMML_v1c00510
ko:K02520	smum:SMML_v1c00520
ko:K02916	smum:SMML_v1c00530
ko:K02887	smum:SMML_v1c00540
ko:K01462	smum:SMML_v1c00550
ko:K07447	smum:SMML_v1c00560
ko:K00674	smum:SMML_v1c00570
ko:K00826	smum:SMML_v1c00580
ko:K00566	smum:SMML_v1c00600
ko:K03686	smum:SMML_v1c00610
ko:K03687	smum:SMML_v1c00620
ko:K00382	smum:SMML_v1c00630
ko:K02834	smum:SMML_v1c00650
ko:K03650	smum:SMML_v1c00660
ko:K02337	smum:SMML_v1c00670
ko:K01940	smum:SMML_v1c00680
ko:K00145	smum:SMML_v1c00690
ko:K01956	smum:SMML_v1c00710
ko:K01955	smum:SMML_v1c00720
ko:K13043	smum:SMML_v1c00730
ko:K00930	smum:SMML_v1c00740
ko:K01438	smum:SMML_v1c00750
ko:K00891	smum:SMML_v1c00760
ko:K04075	smum:SMML_v1c00770
ko:K01695	smum:SMML_v1c00780
ko:K01609	smum:SMML_v1c00800
ko:K00766	smum:SMML_v1c00810
ko:K01658	smum:SMML_v1c00820
ko:K01657	smum:SMML_v1c00830
ko:K04487	smum:SMML_v1c00840
ko:K01338	smum:SMML_v1c00850
ko:K01586	smum:SMML_v1c00860
ko:K01736	smum:SMML_v1c00870
ko:K04079	smum:SMML_v1c00880
ko:K18707	smum:SMML_v1c00890
ko:K03070	smum:SMML_v1c00900
ko:K02884	smum:SMML_v1c00910
ko:K01733	smum:SMML_v1c00930
ko:K00872	smum:SMML_v1c00940
ko:K12524	smum:SMML_v1c00950
ko:K03977	smum:SMML_v1c00960
ko:K03644	smum:SMML_v1c00970
ko:K02914	smum:SMML_v1c00980
ko:K00174	smum:SMML_v1c01000
ko:K01867	smum:SMML_v1c01010
ko:K07277	smum:SMML_v1c01020
ko:K01893	smum:SMML_v1c01030
ko:K02888	smum:SMML_v1c01040
ko:K02899	smum:SMML_v1c01050
ko:K02990	smum:SMML_v1c01060
ko:K02963	smum:SMML_v1c01070
ko:K02939	smum:SMML_v1c01080
ko:K01714	smum:SMML_v1c01110
ko:K02836	smum:SMML_v1c01120
ko:K00215	smum:SMML_v1c01130
ko:K03100	smum:SMML_v1c01140
ko:K02970	smum:SMML_v1c01150
ko:K00014	smum:SMML_v1c01160
ko:K03979	smum:SMML_v1c01170
ko:K00164	smum:SMML_v1c01200
ko:K00658	smum:SMML_v1c01210
ko:K03664	smum:SMML_v1c01220
ko:K04077	smum:SMML_v1c01250
ko:K04078	smum:SMML_v1c01260
ko:K06168	smum:SMML_v1c01270
ko:K09014	smum:SMML_v1c01280
ko:K09013	smum:SMML_v1c01290
ko:K09015	smum:SMML_v1c01300
ko:K11717	smum:SMML_v1c01310
ko:K02519	smum:SMML_v1c01320
ko:K04516	smum:SMML_v1c01330
ko:K04518	smum:SMML_v1c01340
ko:K00133	smum:SMML_v1c01350
ko:K02968	smum:SMML_v1c01360
ko:K00800	smum:SMML_v1c01370
ko:K02959	smum:SMML_v1c01380
ko:K00812	smum:SMML_v1c01390
ko:K02911	smum:SMML_v1c01400
ko:K00162	smum:SMML_v1c01410
ko:K03086	smum:SMML_v1c01420
ko:K00962	smum:SMML_v1c01430
ko:K02956	smum:SMML_v1c01440
ko:K02909	smum:SMML_v1c01450
ko:K02950	smum:SMML_v1c01460
ko:K02992	smum:SMML_v1c01470
ko:K02355	smum:SMML_v1c01480
ko:K02946	smum:SMML_v1c01490
ko:K02906	smum:SMML_v1c01500
ko:K02926	smum:SMML_v1c01510
ko:K02886	smum:SMML_v1c01530
ko:K02965	smum:SMML_v1c01540
ko:K02890	smum:SMML_v1c01550
ko:K02982	smum:SMML_v1c01560
ko:K02878	smum:SMML_v1c01570
ko:K02961	smum:SMML_v1c01580
ko:K02874	smum:SMML_v1c01590
ko:K02931	smum:SMML_v1c01600
ko:K02954	smum:SMML_v1c01610
ko:K02994	smum:SMML_v1c01620
ko:K02933	smum:SMML_v1c01630
ko:K02881	smum:SMML_v1c01640
ko:K02988	smum:SMML_v1c01650
ko:K02876	smum:SMML_v1c01660
ko:K03076	smum:SMML_v1c01670
ko:K01985	smum:SMML_v1r030
ko:K01977	smum:SMML_v1r010
ko:K01980	smum:SMML_v1r020
ko:K14226	smum:SMML_v1t050
ko:K14235	smum:SMML_v1t060
ko:K14218	smum:SMML_v1t120
ko:K14228	smum:SMML_v1t140
ko:K14233	smum:SMML_v1t210
ko:K14219	smum:SMML_v1t250
ko:K14232	smum:SMML_v1t200
ko:K14224	smum:SMML_v1t280
ko:K14223	smum:SMML_v1t290
ko:K14230	smum:SMML_v1t010
ko:K14220	smum:SMML_v1t020
ko:K14237	smum:SMML_v1t150
ko:K00821	smum:SMML_v1c00700
ko:K14229	smum:SMML_v1t170
