ko:K01006	lms:LMLG_2238
ko:K01699	lms:LMLG_2826
ko:K22010	lms:LMLG_1089
ko:K15771	lms:LMLG_0801
ko:K11051	lms:LMLG_2694
ko:K05350	lms:LMLG_2617
ko:K11741	lms:LMLG_2464
ko:K11741	lms:LMLG_2463
ko:K09692	lms:LMLG_2311
ko:K18926	lms:LMLG_2418
ko:K02003	lms:LMLG_2391
ko:K06412	lms:LMLG_2389
ko:K06412	lms:LMLG_2388
ko:K04042	lms:LMLG_2387
ko:K00948	lms:LMLG_2386
ko:K01114	lms:LMLG_2380
ko:K02897	lms:LMLG_2373
ko:K01056	lms:LMLG_2371
ko:K03723	lms:LMLG_2370
ko:K07571	lms:LMLG_2366
ko:K03798	lms:LMLG_2364
ko:K03525	lms:LMLG_2363
ko:K04083	lms:LMLG_2362
ko:K01738	lms:LMLG_2361
ko:K00796	lms:LMLG_2913
ko:K01633	lms:LMLG_2933
ko:K00950	lms:LMLG_2916
ko:K04567	lms:LMLG_2918
ko:K03696	lms:LMLG_0827
ko:K04485	lms:LMLG_0826
ko:K00991	lms:LMLG_0824
ko:K01770	lms:LMLG_0823
ko:K04024	lms:LMLG_1103
ko:K13922	lms:LMLG_1099
ko:K02440	lms:LMLG_1097
ko:K00925	lms:LMLG_1096
ko:K04019	lms:LMLG_1087
ko:K03735	lms:LMLG_1086
ko:K03736	lms:LMLG_1085
ko:K04026	lms:LMLG_1084
ko:K04032	lms:LMLG_1080
ko:K04023	lms:LMLG_1075
ko:K04030	lms:LMLG_1074
ko:K02224	lms:LMLG_1070
ko:K02227	lms:LMLG_1069
ko:K06042	lms:LMLG_1068
ko:K02188	lms:LMLG_1067
ko:K02191	lms:LMLG_1065
ko:K05936	lms:LMLG_1064
ko:K02189	lms:LMLG_1063
ko:K05895	lms:LMLG_1060
ko:K13542	lms:LMLG_1059
ko:K03394	lms:LMLG_1057
ko:K02007	lms:LMLG_1056
ko:K02232	lms:LMLG_1052
ko:K09936	lms:LMLG_1050
ko:K09936	lms:LMLG_1049
ko:K01000	lms:LMLG_0393
ko:K01928	lms:LMLG_0392
ko:K03438	lms:LMLG_0389
ko:K03925	lms:LMLG_0388
ko:K00077	lms:LMLG_0384
ko:K02911	lms:LMLG_0382
ko:K07040	lms:LMLG_0381
ko:K00954	lms:LMLG_0377
ko:K02259	lms:LMLG_0370
ko:K14166	lms:LMLG_0366
ko:K03282	lms:LMLG_0364
ko:K01442	lms:LMLG_0361
ko:K04077	lms:LMLG_0360
ko:K04078	lms:LMLG_0359
ko:K01926	lms:LMLG_0356
ko:K06158	lms:LMLG_0355
ko:K03789	lms:LMLG_0351
ko:K06925	lms:LMLG_0349
ko:K06199	lms:LMLG_0346
ko:K06199	lms:LMLG_0345
ko:K01940	lms:LMLG_0337
ko:K01755	lms:LMLG_0336
ko:K02529	lms:LMLG_2359
ko:K00615	lms:LMLG_2357
ko:K00615	lms:LMLG_2356
ko:K00864	lms:LMLG_2355
ko:K03752	lms:LMLG_2351
ko:K02018	lms:LMLG_2349
ko:K02020	lms:LMLG_2348
ko:K03750	lms:LMLG_2347
ko:K03753	lms:LMLG_2346
ko:K03636	lms:LMLG_2344
ko:K03637	lms:LMLG_2343
ko:K03639	lms:LMLG_2342
ko:K03638	lms:LMLG_2341
ko:K01462	lms:LMLG_2338
ko:K00161	lms:LMLG_2336
ko:K00162	lms:LMLG_2335
ko:K00627	lms:LMLG_2963
ko:K00382	lms:LMLG_2332
ko:K02003	lms:LMLG_2324
ko:K03284	lms:LMLG_2323
ko:K06207	lms:LMLG_2319
ko:K03588	lms:LMLG_2314
ko:K02016	lms:LMLG_2312
ko:K00963	lms:LMLG_2307
ko:K06208	lms:LMLG_2909
ko:K01735	lms:LMLG_2910
ko:K01736	lms:LMLG_2911
ko:K00940	lms:LMLG_2912
ko:K03183	lms:LMLG_0502
ko:K01495	lms:LMLG_0500
ko:K03530	lms:LMLG_0499
ko:K00057	lms:LMLG_0497
ko:K03977	lms:LMLG_0496
ko:K02945	lms:LMLG_0495
ko:K00945	lms:LMLG_0494
ko:K03654	lms:LMLG_0491
ko:K07651	lms:LMLG_0485
ko:K07775	lms:LMLG_0484
ko:K06178	lms:LMLG_3000
ko:K06024	lms:LMLG_0481
ko:K05896	lms:LMLG_0480
ko:K01586	lms:LMLG_0479
ko:K01839	lms:LMLG_0477
ko:K02015	lms:LMLG_0474
ko:K02015	lms:LMLG_0473
ko:K02016	lms:LMLG_0472
ko:K02013	lms:LMLG_0471
ko:K01625	lms:LMLG_0462
ko:K03710	lms:LMLG_0457
ko:K02346	lms:LMLG_0456
ko:K07124	lms:LMLG_0455
ko:K00036	lms:LMLG_0453
ko:K07464	lms:LMLG_2422
ko:K01448	lms:LMLG_0031
ko:K06975	lms:LMLG_0026
ko:K02034	lms:LMLG_0023
ko:K09817	lms:LMLG_0006
ko:K09816	lms:LMLG_0005
ko:K02341	lms:LMLG_2865
ko:K07461	lms:LMLG_2871
ko:K07056	lms:LMLG_2872
ko:K06284	lms:LMLG_2874
ko:K01874	lms:LMLG_2408
ko:K03424	lms:LMLG_2400
ko:K05985	lms:LMLG_2398
ko:K02528	lms:LMLG_2397
ko:K00919	lms:LMLG_2395
ko:K00973	lms:LMLG_2304
ko:K01790	lms:LMLG_2303
ko:K00067	lms:LMLG_2301
ko:K00763	lms:LMLG_2575
ko:K02760	lms:LMLG_2578
ko:K01951	lms:LMLG_2579
ko:K03827	lms:LMLG_2591
ko:K01358	lms:LMLG_2809
ko:K02304	lms:LMLG_2812
ko:K04031	lms:LMLG_2815
ko:K04029	lms:LMLG_2816
ko:K02231	lms:LMLG_2818
ko:K02233	lms:LMLG_2819
ko:K13919	lms:LMLG_2827
