ko:K19744	pnc:NCGM2_5052
ko:K18094	pnc:NCGM2_2994
ko:K00254	pnc:NCGM2_4170
ko:K11741	pnc:NCGM2_1513
ko:K18095	pnc:NCGM2_2993
ko:K18302	pnc:NCGM2_4808
ko:K10014	pnc:NCGM2_4033
ko:K19591	pnc:NCGM2_0755
ko:K19595	pnc:NCGM2_4648
ko:K03297	pnc:NCGM2_0525
ko:K02028	pnc:NCGM2_0436
ko:K18979	pnc:NCGM2_0570
ko:K02487	pnc:NCGM2_1426
ko:K03560	pnc:NCGM2_0209
ko:K22617	pnc:NCGM2_1253
ko:K19593	pnc:NCGM2_4646
ko:K16238	pnc:NCGM2_5222
ko:K09691	pnc:NCGM2_6227
ko:K18131	pnc:NCGM2_5773
ko:K18130	pnc:NCGM2_4852
ko:K18129	pnc:NCGM2_2995
ko:K03457	pnc:NCGM2_5754
ko:K11741	pnc:NCGM2_4391
ko:K11741	pnc:NCGM2_2800
ko:K06998	pnc:NCGM2_2821
ko:K03446	pnc:NCGM2_3940
ko:K08151	pnc:NCGM2_2003
ko:K21429	pnc:NCGM2_5623
ko:K16081	pnc:NCGM2_4669
ko:K00638	pnc:NCGM2_1372
ko:K07497	pnc:NCGM2_3760
ko:K07497	pnc:NCGM2_4500
ko:K03111	pnc:NCGM2_5477
ko:K07497	pnc:NCGM2_0043
ko:K07267	pnc:NCGM2_5303
ko:K12960	pnc:NCGM2_4281
ko:K02226	pnc:NCGM2_2164
ko:K02313	pnc:NCGM2_0001
ko:K02338	pnc:NCGM2_0002
ko:K03629	pnc:NCGM2_0003
ko:K02470	pnc:NCGM2_0004
ko:K00655	pnc:NCGM2_0005
ko:K03273	pnc:NCGM2_0006
ko:K01879	pnc:NCGM2_0008
ko:K01878	pnc:NCGM2_0009
ko:K01246	pnc:NCGM2_0010
ko:K02517	pnc:NCGM2_0011
ko:K09125	pnc:NCGM2_0013
ko:K03500	pnc:NCGM2_0016
ko:K00604	pnc:NCGM2_0017
ko:K01462	pnc:NCGM2_0018
ko:K04096	pnc:NCGM2_0020
ko:K07566	pnc:NCGM2_0021
ko:K00228	pnc:NCGM2_0023
ko:K00014	pnc:NCGM2_0024
ko:K02002	pnc:NCGM2_0029
ko:K10253	pnc:NCGM2_0032
ko:K07690	pnc:NCGM2_0034
ko:K01695	pnc:NCGM2_0035
ko:K01696	pnc:NCGM2_0036
ko:K09165	pnc:NCGM2_0038
ko:K15125	pnc:NCGM2_0041
ko:K01953	pnc:NCGM2_0056
ko:K07559	pnc:NCGM2_0058
ko:K02492	pnc:NCGM2_0921
ko:K02835	pnc:NCGM2_0922
ko:K02493	pnc:NCGM2_0923
ko:K01776	pnc:NCGM2_0925
ko:K01669	pnc:NCGM2_0927
ko:K06955	pnc:NCGM2_0930
ko:K07071	pnc:NCGM2_0931
ko:K01772	pnc:NCGM2_0932
ko:K07347	pnc:NCGM2_0935
ko:K00761	pnc:NCGM2_0941
ko:K00760	pnc:NCGM2_0942
ko:K00116	pnc:NCGM2_0947
ko:K07286	pnc:NCGM2_0948
ko:K07507	pnc:NCGM2_0954
ko:K07402	pnc:NCGM2_0972
ko:K07141	pnc:NCGM2_0973
ko:K00528	pnc:NCGM2_0976
ko:K03282	pnc:NCGM2_0977
ko:K07347	pnc:NCGM2_1848
ko:K01657	pnc:NCGM2_1855
ko:K03517	pnc:NCGM2_1858
ko:K03564	pnc:NCGM2_1862
ko:K03567	pnc:NCGM2_1863
ko:K01714	pnc:NCGM2_1864
ko:K07287	pnc:NCGM2_1865
ko:K01923	pnc:NCGM2_1867
ko:K08196	pnc:NCGM2_1875
ko:K00459	pnc:NCGM2_1882
ko:K09760	pnc:NCGM2_1892
ko:K09858	pnc:NCGM2_1900
ko:K00381	pnc:NCGM2_2750
ko:K06941	pnc:NCGM2_2754
ko:K07400	pnc:NCGM2_2762
ko:K09984	pnc:NCGM2_2764
ko:K07168	pnc:NCGM2_2770
ko:K00404	pnc:NCGM2_2772
ko:K09781	pnc:NCGM2_2773
ko:K02018	pnc:NCGM2_2779
ko:K02020	pnc:NCGM2_2780
ko:K02452	pnc:NCGM2_2785
ko:K02453	pnc:NCGM2_2786
ko:K12543	pnc:NCGM2_2793
ko:K12541	pnc:NCGM2_2794
ko:K12542	pnc:NCGM2_2795
ko:K07023	pnc:NCGM2_2796
ko:K07303	pnc:NCGM2_2798
ko:K07302	pnc:NCGM2_2799
ko:K00330	pnc:NCGM2_2801
ko:K02336	pnc:NCGM2_2804
ko:K15371	pnc:NCGM2_4185
ko:K03924	pnc:NCGM2_4187
ko:K01256	pnc:NCGM2_4202
ko:K09916	pnc:NCGM2_4204
ko:K00858	pnc:NCGM2_4207
ko:K09977	pnc:NCGM2_4208
ko:K02462	pnc:NCGM2_4218
ko:K02461	pnc:NCGM2_4219
ko:K02460	pnc:NCGM2_4220
ko:K02459	pnc:NCGM2_4221
ko:K02458	pnc:NCGM2_4222
ko:K02457	pnc:NCGM2_4223
ko:K02456	pnc:NCGM2_4224
ko:K02455	pnc:NCGM2_4225
ko:K00371	pnc:NCGM2_5062
ko:K00370	pnc:NCGM2_5063
ko:K02575	pnc:NCGM2_5064
ko:K02575	pnc:NCGM2_5065
ko:K07673	pnc:NCGM2_5067
ko:K05846	pnc:NCGM2_5078
ko:K05845	pnc:NCGM2_5079
ko:K05846	pnc:NCGM2_5080
ko:K05847	pnc:NCGM2_5081
ko:K03088	pnc:NCGM2_5089
ko:K02837	pnc:NCGM2_5093
ko:K08303	pnc:NCGM2_5103
ko:K03750	pnc:NCGM2_5104
ko:K03638	pnc:NCGM2_5105
ko:K03636	pnc:NCGM2_5107
ko:K03637	pnc:NCGM2_5108
ko:K07175	pnc:NCGM2_5112
ko:K03556	pnc:NCGM2_5114
ko:K01919	pnc:NCGM2_5963
ko:K14682	pnc:NCGM2_5964
ko:K01438	pnc:NCGM2_5966
ko:K03306	pnc:NCGM2_5967
ko:K07220	pnc:NCGM2_5968
ko:K07340	pnc:NCGM2_5971
ko:K00281	pnc:NCGM2_5973
ko:K02437	pnc:NCGM2_5974
ko:K00605	pnc:NCGM2_5975
ko:K02011	pnc:NCGM2_5976
ko:K02012	pnc:NCGM2_5977
ko:K03185	pnc:NCGM2_5983
ko:K09895	pnc:NCGM2_5985
ko:K09888	pnc:NCGM2_5987
ko:K13926	pnc:NCGM2_5992
ko:K01993	pnc:NCGM2_5993
ko:K02415	pnc:NCGM2_5994
ko:K02445	pnc:NCGM2_5996
ko:K03182	pnc:NCGM2_5998
ko:K03628	pnc:NCGM2_6000
ko:K03671	pnc:NCGM2_6002
ko:K01524	pnc:NCGM2_6003
ko:K00937	pnc:NCGM2_6004
ko:K01698	pnc:NCGM2_6005
ko:K09768	pnc:NCGM2_6009
ko:K07243	pnc:NCGM2_6010
ko:K05834	pnc:NCGM2_6011
ko:K06158	pnc:NCGM2_6014
ko:K07396	pnc:NCGM2_0062
ko:K01091	pnc:NCGM2_0069
ko:K01414	pnc:NCGM2_0071
ko:K07070	pnc:NCGM2_0072
ko:K02003	pnc:NCGM2_0077
ko:K11890	pnc:NCGM2_0080
ko:K11891	pnc:NCGM2_0081
ko:K11892	pnc:NCGM2_0082
ko:K11893	pnc:NCGM2_0083
ko:K11906	pnc:NCGM2_0084
ko:K11902	pnc:NCGM2_0086
ko:K11901	pnc:NCGM2_0087
ko:K11900	pnc:NCGM2_0088
ko:K11903	pnc:NCGM2_0089
ko:K11898	pnc:NCGM2_0090
ko:K11897	pnc:NCGM2_0091
ko:K11896	pnc:NCGM2_0092
ko:K11895	pnc:NCGM2_0093
ko:K11907	pnc:NCGM2_0094
ko:K01673	pnc:NCGM2_0107
ko:K02275	pnc:NCGM2_0109
ko:K02276	pnc:NCGM2_0112
ko:K02259	pnc:NCGM2_0116
ko:K07152	pnc:NCGM2_0118
ko:K03781	pnc:NCGM2_0978
ko:K09794	pnc:NCGM2_0980
ko:K04485	pnc:NCGM2_0982
ko:K06200	pnc:NCGM2_0985
ko:K00600	pnc:NCGM2_0990
ko:K02003	pnc:NCGM2_0999
ko:K06076	pnc:NCGM2_1004
ko:K00262	pnc:NCGM2_1006
ko:K00428	pnc:NCGM2_1007
ko:K07074	pnc:NCGM2_1010
ko:K14415	pnc:NCGM2_1011
ko:K14414	pnc:NCGM2_1015
ko:K03773	pnc:NCGM2_1024
ko:K02523	pnc:NCGM2_1027
ko:K02888	pnc:NCGM2_1028
ko:K02899	pnc:NCGM2_1029
ko:K03979	pnc:NCGM2_1030
ko:K00931	pnc:NCGM2_1031
ko:K05805	pnc:NCGM2_1032
ko:K02968	pnc:NCGM2_1033
ko:K03980	pnc:NCGM2_1034
ko:K11753	pnc:NCGM2_1035
ko:K08993	pnc:NCGM2_1903
ko:K00275	pnc:NCGM2_1910
ko:K02647	pnc:NCGM2_1911
ko:K00865	pnc:NCGM2_1913
ko:K06077	pnc:NCGM2_1915
ko:K05559	pnc:NCGM2_1916
ko:K05560	pnc:NCGM2_1917
ko:K05561	pnc:NCGM2_1918
ko:K05562	pnc:NCGM2_1919
ko:K05563	pnc:NCGM2_1920
ko:K05564	pnc:NCGM2_1921
ko:K01738	pnc:NCGM2_1923
ko:K08985	pnc:NCGM2_1926
ko:K04079	pnc:NCGM2_1930
ko:K01996	pnc:NCGM2_1932
ko:K01995	pnc:NCGM2_1933
ko:K01998	pnc:NCGM2_1934
ko:K01997	pnc:NCGM2_1935
ko:K01999	pnc:NCGM2_1936
ko:K02387	pnc:NCGM2_1940
ko:K02388	pnc:NCGM2_1941
ko:K02389	pnc:NCGM2_1942
ko:K02390	pnc:NCGM2_1943
ko:K02391	pnc:NCGM2_1944
ko:K02392	pnc:NCGM2_1945
ko:K02393	pnc:NCGM2_1946
ko:K02394	pnc:NCGM2_1947
ko:K02395	pnc:NCGM2_1948
ko:K02396	pnc:NCGM2_1949
ko:K00648	pnc:NCGM2_1952
ko:K01434	pnc:NCGM2_2811
ko:K01626	pnc:NCGM2_2819
ko:K03088	pnc:NCGM2_2829
ko:K06995	pnc:NCGM2_2835
ko:K02230	pnc:NCGM2_2843
ko:K09136	pnc:NCGM2_2847
ko:K00549	pnc:NCGM2_2848
ko:K03790	pnc:NCGM2_2849
ko:K13483	pnc:NCGM2_2852
ko:K11178	pnc:NCGM2_2853
ko:K11177	pnc:NCGM2_2854
ko:K02452	pnc:NCGM2_4227
ko:K02453	pnc:NCGM2_4228
ko:K10764	pnc:NCGM2_4230
ko:K00764	pnc:NCGM2_4231
ko:K03558	pnc:NCGM2_4232
ko:K03749	pnc:NCGM2_4233
ko:K11754	pnc:NCGM2_4234
ko:K01963	pnc:NCGM2_4235
ko:K01817	pnc:NCGM2_4236
ko:K06173	pnc:NCGM2_4237
ko:K00133	pnc:NCGM2_4240
ko:K00052	pnc:NCGM2_4241
ko:K01704	pnc:NCGM2_4243
ko:K01703	pnc:NCGM2_4244
ko:K04080	pnc:NCGM2_4249
ko:K05541	pnc:NCGM2_4252
ko:K07107	pnc:NCGM2_4253
ko:K01625	pnc:NCGM2_4254
ko:K03543	pnc:NCGM2_4263
ko:K03446	pnc:NCGM2_4264
ko:K03702	pnc:NCGM2_4265
ko:K00832	pnc:NCGM2_4266
ko:K02237	pnc:NCGM2_4268
ko:K05788	pnc:NCGM2_4272
ko:K02945	pnc:NCGM2_4273
ko:K00945	pnc:NCGM2_4274
ko:K00800	pnc:NCGM2_4275
ko:K00817	pnc:NCGM2_4276
ko:K14170	pnc:NCGM2_4277
ko:K00831	pnc:NCGM2_4278
ko:K02469	pnc:NCGM2_4279
ko:K00426	pnc:NCGM2_5123
ko:K00425	pnc:NCGM2_5124
ko:K02073	pnc:NCGM2_5126
ko:K02168	pnc:NCGM2_5128
ko:K03119	pnc:NCGM2_5130
ko:K15552	pnc:NCGM2_5131
ko:K15551	pnc:NCGM2_5133
ko:K03530	pnc:NCGM2_5135
ko:K10805	pnc:NCGM2_5137
ko:K07679	pnc:NCGM2_5141
ko:K07690	pnc:NCGM2_5144
ko:K07007	pnc:NCGM2_5146
ko:K09945	pnc:NCGM2_5149
ko:K03579	pnc:NCGM2_5158
ko:K03579	pnc:NCGM2_5159
ko:K06181	pnc:NCGM2_5166
ko:K01241	pnc:NCGM2_5169
ko:K09456	pnc:NCGM2_5171
ko:K00941	pnc:NCGM2_5174
ko:K03773	pnc:NCGM2_6017
ko:K07740	pnc:NCGM2_6018
ko:K03611	pnc:NCGM2_6019
ko:K02498	pnc:NCGM2_6020
ko:K02496	pnc:NCGM2_6021
ko:K01749	pnc:NCGM2_6023
ko:K08083	pnc:NCGM2_6024
ko:K08082	pnc:NCGM2_6025
ko:K01755	pnc:NCGM2_6026
ko:K03284	pnc:NCGM2_6031
ko:K05851	pnc:NCGM2_6035
ko:K06140	pnc:NCGM2_6037
ko:K06202	pnc:NCGM2_6039
ko:K01586	pnc:NCGM2_6041
ko:K01778	pnc:NCGM2_6042
ko:K09921	pnc:NCGM2_6043
ko:K03733	pnc:NCGM2_6044
ko:K03320	pnc:NCGM2_6052
ko:K04752	pnc:NCGM2_6053
ko:K07391	pnc:NCGM2_6055
ko:K02168	pnc:NCGM2_6056
ko:K03656	pnc:NCGM2_6060
ko:K00156	pnc:NCGM2_6061
ko:K03816	pnc:NCGM2_6062
ko:K01775	pnc:NCGM2_6066
ko:K00285	pnc:NCGM2_6068
ko:K09978	pnc:NCGM2_6069
ko:K03366	pnc:NCGM2_5351
ko:K19735	pnc:NCGM2_1857
ko:K18138	pnc:NCGM2_5771
ko:K02014	pnc:NCGM2_0201
ko:K16152	pnc:NCGM2_4545
ko:K07165	pnc:NCGM2_4546
ko:K10009	pnc:NCGM2_0295
ko:K16092	pnc:NCGM2_2155
ko:K11020	pnc:NCGM2_2021
ko:K13063	pnc:NCGM2_2820
ko:K16091	pnc:NCGM2_5091
ko:K16091	pnc:NCGM2_4394
ko:K16090	pnc:NCGM2_1086
ko:K16090	pnc:NCGM2_2209
ko:K13060	pnc:NCGM2_2314
ko:K16088	pnc:NCGM2_5371
ko:K16089	pnc:NCGM2_2842
ko:K16088	pnc:NCGM2_5466
ko:K16147	pnc:NCGM2_3134
ko:K19611	pnc:NCGM2_1714
ko:K16137	pnc:NCGM2_3178
ko:K02029	pnc:NCGM2_2139
ko:K02030	pnc:NCGM2_2142
ko:K16137	pnc:NCGM2_0698
ko:K02014	pnc:NCGM2_3468
ko:K02014	pnc:NCGM2_2827
ko:K14218	pnc:NCGM2_4258
ko:K14218	pnc:NCGM2_4260
ko:K11903	pnc:NCGM2_6030
ko:K11903	pnc:NCGM2_2553
ko:K11903	pnc:NCGM2_2397
ko:K01626	pnc:NCGM2_5458
ko:K02014	pnc:NCGM2_5726
ko:K02014	pnc:NCGM2_4975
ko:K06600	pnc:NCGM2_5781
ko:K06599	pnc:NCGM2_5782
ko:K00130	pnc:NCGM2_6145
ko:K02014	pnc:NCGM2_0910
ko:K02014	pnc:NCGM2_2253
ko:K00627	pnc:NCGM2_4553
ko:K00162	pnc:NCGM2_4554
ko:K00161	pnc:NCGM2_4555
ko:K00263	pnc:NCGM2_4556
ko:K00459	pnc:NCGM2_5401
ko:K01915	pnc:NCGM2_6302
ko:K01845	pnc:NCGM2_6303
ko:K03832	pnc:NCGM2_6313
ko:K06204	pnc:NCGM2_6318
ko:K01448	pnc:NCGM2_6320
ko:K09007	pnc:NCGM2_6321
ko:K01465	pnc:NCGM2_6323
ko:K07080	pnc:NCGM2_6328
ko:K00574	pnc:NCGM2_6329
ko:K00820	pnc:NCGM2_6337
ko:K04042	pnc:NCGM2_6340
ko:K02114	pnc:NCGM2_6341
ko:K02112	pnc:NCGM2_6342
ko:K02115	pnc:NCGM2_6343
ko:K02111	pnc:NCGM2_6344
ko:K02113	pnc:NCGM2_6345
ko:K02109	pnc:NCGM2_6346
ko:K02110	pnc:NCGM2_6347
ko:K02108	pnc:NCGM2_6348
ko:K03501	pnc:NCGM2_6352
ko:K03495	pnc:NCGM2_6353
ko:K03303	pnc:NCGM2_0764
ko:K03664	pnc:NCGM2_0766
ko:K09801	pnc:NCGM2_0768
ko:K06186	pnc:NCGM2_0769
ko:K03631	pnc:NCGM2_0771
ko:K03687	pnc:NCGM2_0773
ko:K04043	pnc:NCGM2_0774
ko:K03686	pnc:NCGM2_0775
ko:K00215	pnc:NCGM2_0776
ko:K01956	pnc:NCGM2_0777
ko:K11250	pnc:NCGM2_0778
ko:K01955	pnc:NCGM2_0779
ko:K03624	pnc:NCGM2_0780
ko:K07574	pnc:NCGM2_0783
ko:K03798	pnc:NCGM2_0785
ko:K00796	pnc:NCGM2_0786
ko:K03431	pnc:NCGM2_0787
ko:K01803	pnc:NCGM2_0788
ko:K03075	pnc:NCGM2_0789
ko:K09748	pnc:NCGM2_0792
ko:K02600	pnc:NCGM2_0793
ko:K02519	pnc:NCGM2_0794
ko:K02834	pnc:NCGM2_0795
ko:K02956	pnc:NCGM2_0797
ko:K00962	pnc:NCGM2_0799
ko:K00673	pnc:NCGM2_1674
ko:K00673	pnc:NCGM2_1675
ko:K06447	pnc:NCGM2_1676
ko:K01484	pnc:NCGM2_1677
ko:K05526	pnc:NCGM2_1679
ko:K01620	pnc:NCGM2_1680
ko:K01872	pnc:NCGM2_1681
ko:K00928	pnc:NCGM2_1682
ko:K03563	pnc:NCGM2_1683
ko:K06213	pnc:NCGM2_1694
ko:K14441	pnc:NCGM2_1697
ko:K03549	pnc:NCGM2_1699
ko:K14205	pnc:NCGM2_1702
ko:K02346	pnc:NCGM2_1706
ko:K07014	pnc:NCGM2_1707
ko:K03778	pnc:NCGM2_1710
ko:K07678	pnc:NCGM2_1711
ko:K12339	pnc:NCGM2_1715
ko:K03215	pnc:NCGM2_1716
ko:K09912	pnc:NCGM2_1720
ko:K05820	pnc:NCGM2_2580
ko:K08967	pnc:NCGM2_2582
ko:K09880	pnc:NCGM2_2583
ko:K01247	pnc:NCGM2_2585
ko:K00797	pnc:NCGM2_2586
ko:K03229	pnc:NCGM2_2589
ko:K03228	pnc:NCGM2_2590
ko:K03226	pnc:NCGM2_2592
ko:K03225	pnc:NCGM2_2593
ko:K03224	pnc:NCGM2_2596
ko:K04058	pnc:NCGM2_2597
ko:K03230	pnc:NCGM2_2602
ko:K03219	pnc:NCGM2_2616
ko:K03220	pnc:NCGM2_2617
ko:K03221	pnc:NCGM2_2618
ko:K03222	pnc:NCGM2_2622
ko:K03223	pnc:NCGM2_2624
ko:K05349	pnc:NCGM2_2625
ko:K07395	pnc:NCGM2_2633
ko:K07088	pnc:NCGM2_2635
ko:K03449	pnc:NCGM2_3503
ko:K03381	pnc:NCGM2_3510
ko:K03464	pnc:NCGM2_3511
ko:K05783	pnc:NCGM2_3520
ko:K05784	pnc:NCGM2_3521
ko:K05550	pnc:NCGM2_3522
ko:K05549	pnc:NCGM2_3523
ko:K15726	pnc:NCGM2_3525
ko:K07644	pnc:NCGM2_3529
ko:K07789	pnc:NCGM2_3532
ko:K07788	pnc:NCGM2_3533
ko:K07799	pnc:NCGM2_3534
ko:K00817	pnc:NCGM2_3539
ko:K11065	pnc:NCGM2_3540
ko:K03310	pnc:NCGM2_3541
ko:K00981	pnc:NCGM2_3544
ko:K03088	pnc:NCGM2_4007
ko:K13541	pnc:NCGM2_4014
ko:K02229	pnc:NCGM2_4016
ko:K02188	pnc:NCGM2_4018
ko:K05895	pnc:NCGM2_4019
ko:K02013	pnc:NCGM2_4022
ko:K02016	pnc:NCGM2_4023
ko:K02015	pnc:NCGM2_4024
ko:K10016	pnc:NCGM2_4034
ko:K10015	pnc:NCGM2_4035
ko:K10017	pnc:NCGM2_4036
ko:K10680	pnc:NCGM2_4043
ko:K13580	pnc:NCGM2_4053
ko:K01626	pnc:NCGM2_4055
ko:K02230	pnc:NCGM2_4056
ko:K02234	pnc:NCGM2_4057
ko:K02189	pnc:NCGM2_4059
ko:K05936	pnc:NCGM2_4060
ko:K06938	pnc:NCGM2_4934
ko:K03710	pnc:NCGM2_4939
ko:K01443	pnc:NCGM2_4940
ko:K00820	pnc:NCGM2_4941
ko:K01952	pnc:NCGM2_4946
ko:K09965	pnc:NCGM2_4948
ko:K01920	pnc:NCGM2_5791
ko:K03832	pnc:NCGM2_5792
ko:K07735	pnc:NCGM2_5793
ko:K07447	pnc:NCGM2_5794
ko:K02825	pnc:NCGM2_5795
ko:K00609	pnc:NCGM2_5796
ko:K01465	pnc:NCGM2_5797
ko:K01697	pnc:NCGM2_5799
ko:K02670	pnc:NCGM2_5802
ko:K02669	pnc:NCGM2_5803
ko:K06997	pnc:NCGM2_5804
ko:K00286	pnc:NCGM2_5805
ko:K02221	pnc:NCGM2_5806
ko:K09131	pnc:NCGM2_5807
ko:K00641	pnc:NCGM2_5809
ko:K03439	pnc:NCGM2_5817
ko:K03149	pnc:NCGM2_5818
ko:K03154	pnc:NCGM2_5819
ko:K03814	pnc:NCGM2_5821
ko:K03089	pnc:NCGM2_5823
ko:K09811	pnc:NCGM2_5824
ko:K09812	pnc:NCGM2_5825
ko:K03110	pnc:NCGM2_5826
ko:K00154	pnc:NCGM2_5834
ko:K00954	pnc:NCGM2_5837
ko:K05520	pnc:NCGM2_5846
ko:K06969	pnc:NCGM2_5847
ko:K01040	pnc:NCGM2_0233
ko:K07823	pnc:NCGM2_0234
ko:K01857	pnc:NCGM2_0236
ko:K01055	pnc:NCGM2_0237
ko:K08195	pnc:NCGM2_0241
ko:K08191	pnc:NCGM2_0247
ko:K00457	pnc:NCGM2_0248
ko:K00014	pnc:NCGM2_0250
ko:K03786	pnc:NCGM2_0251
ko:K00481	pnc:NCGM2_0253
ko:K03827	pnc:NCGM2_0255
ko:K03182	pnc:NCGM2_0260
ko:K11903	pnc:NCGM2_0270
ko:K07043	pnc:NCGM2_0276
ko:K01153	pnc:NCGM2_0277
ko:K03924	pnc:NCGM2_0279
ko:K01154	pnc:NCGM2_0283
ko:K03427	pnc:NCGM2_0284
ko:K07727	pnc:NCGM2_0289
ko:K07323	pnc:NCGM2_1149
ko:K00790	pnc:NCGM2_1152
ko:K00765	pnc:NCGM2_1153
ko:K00013	pnc:NCGM2_1155
ko:K00817	pnc:NCGM2_1156
ko:K04691	pnc:NCGM2_1157
ko:K00957	pnc:NCGM2_1160
ko:K00955	pnc:NCGM2_1161
ko:K09908	pnc:NCGM2_1162
ko:K07018	pnc:NCGM2_1163
ko:K01867	pnc:NCGM2_1164
ko:K06916	pnc:NCGM2_1165
ko:K02871	pnc:NCGM2_1170
ko:K02996	pnc:NCGM2_1171
ko:K00411	pnc:NCGM2_1172
ko:K00412	pnc:NCGM2_1173
ko:K00413	pnc:NCGM2_1174
ko:K03599	pnc:NCGM2_1175
ko:K03600	pnc:NCGM2_1176
ko:K03271	pnc:NCGM2_1178
ko:K07460	pnc:NCGM2_1179
ko:K07121	pnc:NCGM2_1180
ko:K07056	pnc:NCGM2_1181
ko:K03925	pnc:NCGM2_1182
ko:K03438	pnc:NCGM2_1183
ko:K03586	pnc:NCGM2_1184
ko:K03587	pnc:NCGM2_1185
ko:K01928	pnc:NCGM2_1186
ko:K01929	pnc:NCGM2_1187
ko:K01000	pnc:NCGM2_1188
ko:K01925	pnc:NCGM2_1189
ko:K03588	pnc:NCGM2_1190
ko:K02563	pnc:NCGM2_1191
ko:K01924	pnc:NCGM2_1192
ko:K01921	pnc:NCGM2_1193
ko:K03589	pnc:NCGM2_1194
ko:K03590	pnc:NCGM2_1195
ko:K03531	pnc:NCGM2_1196
ko:K02535	pnc:NCGM2_1197
ko:K03070	pnc:NCGM2_1200
ko:K00620	pnc:NCGM2_1201
ko:K00798	pnc:NCGM2_1204
ko:K07397	pnc:NCGM2_2077
ko:K06911	pnc:NCGM2_2079
ko:K06911	pnc:NCGM2_2084
ko:K01649	pnc:NCGM2_2091
ko:K08304	pnc:NCGM2_2096
ko:K10536	pnc:NCGM2_2100
ko:K12251	pnc:NCGM2_2101
ko:K10536	pnc:NCGM2_2103
ko:K03543	pnc:NCGM2_2116
ko:K12536	pnc:NCGM2_2126
ko:K12537	pnc:NCGM2_2127
ko:K08195	pnc:NCGM2_2980
ko:K01555	pnc:NCGM2_2982
ko:K00451	pnc:NCGM2_2983
ko:K01640	pnc:NCGM2_2985
ko:K01968	pnc:NCGM2_2986
ko:K13766	pnc:NCGM2_2987
ko:K01969	pnc:NCGM2_2988
ko:K00012	pnc:NCGM2_2997
ko:K00963	pnc:NCGM2_2998
ko:K14347	pnc:NCGM2_3001
ko:K05800	pnc:NCGM2_3003
ko:K15256	pnc:NCGM2_3010
ko:K01652	pnc:NCGM2_3011
ko:K01915	pnc:NCGM2_3014
ko:K14052	pnc:NCGM2_3015
ko:K07862	pnc:NCGM2_3017
ko:K08998	pnc:NCGM2_3021
ko:K03088	pnc:NCGM2_3027
ko:K01725	pnc:NCGM2_3029
ko:K01673	pnc:NCGM2_3030
ko:K11921	pnc:NCGM2_3031
