ko:K18929	cjei:N135_00076
ko:K04652	cjei:N135_00675
ko:K04655	cjei:N135_00678
ko:K07304	cjei:N135_00689
ko:K01507	cjei:N135_00690
ko:K00939	cjei:N135_00691
ko:K08077	cjei:N135_00495
ko:K02342	cjei:N135_00500
ko:K06603	cjei:N135_00596
ko:K02028	cjei:N135_00517
ko:K03711	cjei:N135_00444
ko:K00244	cjei:N135_00453
ko:K00245	cjei:N135_00454
ko:K07126	cjei:N135_00457
ko:K00059	cjei:N135_00483
ko:K06921	cjei:N135_00837
ko:K18928	cjei:N135_00077
ko:K18139	cjei:N135_00409
ko:K01978	cjei:N135_02365
ko:K12574	cjei:N135_01799
ko:K18682	cjei:N135_01241
ko:K02031	cjei:N135_01664
ko:K11782	cjei:N135_01373
ko:K03559	cjei:N135_01715
ko:K02484	cjei:N135_01254
ko:K02484	cjei:N135_01259
ko:K02484	cjei:N135_01295
ko:K01916	cjei:N135_00855
ko:K02030	cjei:N135_00861
ko:K00567	cjei:N135_00879
ko:K01885	cjei:N135_00888
ko:K07098	cjei:N135_00889
ko:K01664	cjei:N135_00903
ko:K03342	cjei:N135_00904
ko:K04763	cjei:N135_00905
ko:K03469	cjei:N135_01722
ko:K02067	cjei:N135_01734
ko:K02004	cjei:N135_01746
ko:K02004	cjei:N135_01747
ko:K01082	cjei:N135_01770
ko:K07031	cjei:N135_01515
ko:K01854	cjei:N135_01531
ko:K01262	cjei:N135_00705
ko:K07792	cjei:N135_00720
ko:K02454	cjei:N135_01561
ko:K03286	cjei:N135_01568
ko:K03406	cjei:N135_01597
ko:K00127	cjei:N135_01600
ko:K00124	cjei:N135_01601
ko:K03635	cjei:N135_01609
ko:K09952	cjei:N135_01613
ko:K00058	cjei:N135_00929
ko:K02028	cjei:N135_00940
ko:K10041	cjei:N135_00959
ko:K00575	cjei:N135_00960
ko:K06013	cjei:N135_00771
ko:K02055	cjei:N135_00775
ko:K02030	cjei:N135_00783
ko:K03796	cjei:N135_01619
ko:K06857	cjei:N135_01625
ko:K03406	cjei:N135_01647
ko:K02033	cjei:N135_01666
ko:K02004	cjei:N135_00982
ko:K06346	cjei:N135_00998
ko:K01270	cjei:N135_01017
ko:K02030	cjei:N135_01019
ko:K01585	cjei:N135_00809
ko:K02574	cjei:N135_00827
ko:K00974	cjei:N135_00834
ko:K11085	cjei:N135_00848
ko:K00076	cjei:N135_00852
ko:K02035	cjei:N135_01667
ko:K00674	cjei:N135_01687
ko:K03593	cjei:N135_01688
ko:K02014	cjei:N135_01696
ko:K01104	cjei:N135_01291
ko:K02242	cjei:N135_01064
ko:K01959	cjei:N135_01073
ko:K03148	cjei:N135_01082
ko:K01439	cjei:N135_01084
ko:K00088	cjei:N135_01094
ko:K02433	cjei:N135_01095
ko:K01719	cjei:N135_01117
ko:K07457	cjei:N135_01120
ko:K03498	cjei:N135_01371
ko:K03499	cjei:N135_01372
ko:K01885	cjei:N135_01376
ko:K03177	cjei:N135_01139
ko:K03406	cjei:N135_01147
ko:K05595	cjei:N135_01148
ko:K07305	cjei:N135_01149
ko:K01784	cjei:N135_01168
ko:K02843	cjei:N135_01184
ko:K08738	cjei:N135_01189
ko:K09981	cjei:N135_01198
ko:K00016	cjei:N135_01201
ko:K03768	cjei:N135_01205
ko:K15896	cjei:N135_01402
ko:K15898	cjei:N135_01406
ko:K01409	cjei:N135_01432
ko:K01679	cjei:N135_01452
ko:K00769	cjei:N135_01458
ko:K02428	cjei:N135_01462
ko:K07017	cjei:N135_01464
ko:K03326	cjei:N135_01477
ko:K01760	cjei:N135_01481
ko:K14228	cjei:N135_01753
ko:K02238	cjei:N135_01243
ko:K13640	cjei:N135_01263
ko:K03455	cjei:N135_01264
ko:K03076	cjei:N135_01777
ko:K02876	cjei:N135_01778
ko:K03611	cjei:N135_00907
ko:K03673	cjei:N135_00912
ko:K02400	cjei:N135_00919
ko:K02956	cjei:N135_00921
ko:K03466	cjei:N135_00922
ko:K02397	cjei:N135_00923
ko:K15738	cjei:N135_00926
ko:K02945	cjei:N135_00931
ko:K03527	cjei:N135_00932
ko:K00800	cjei:N135_00933
ko:K01890	cjei:N135_00934
ko:K01889	cjei:N135_00935
ko:K02503	cjei:N135_00936
ko:K03152	cjei:N135_00937
ko:K02029	cjei:N135_00939
ko:K03310	cjei:N135_00941
ko:K03216	cjei:N135_00942
ko:K01775	cjei:N135_00943
ko:K07152	cjei:N135_00948
ko:K01738	cjei:N135_00949
ko:K03530	cjei:N135_00950
ko:K10806	cjei:N135_00952
ko:K06200	cjei:N135_00954
ko:K00948	cjei:N135_00955
ko:K10040	cjei:N135_00956
ko:K10040	cjei:N135_00957
ko:K10039	cjei:N135_00958
ko:K03412	cjei:N135_00961
ko:K01808	cjei:N135_00962
ko:K02988	cjei:N135_01779
ko:K02881	cjei:N135_01780
ko:K02933	cjei:N135_01781
ko:K02994	cjei:N135_01782
ko:K02954	cjei:N135_01783
ko:K02931	cjei:N135_01784
ko:K02895	cjei:N135_01785
ko:K02874	cjei:N135_01786
ko:K02961	cjei:N135_01787
ko:K02904	cjei:N135_01788
ko:K02878	cjei:N135_01789
ko:K02982	cjei:N135_01790
ko:K02890	cjei:N135_01791
ko:K02965	cjei:N135_01792
ko:K02886	cjei:N135_01793
ko:K02892	cjei:N135_01794
ko:K02926	cjei:N135_01795
ko:K02906	cjei:N135_01796
ko:K02946	cjei:N135_01797
ko:K06178	cjei:N135_01798
ko:K02528	cjei:N135_01800
ko:K06941	cjei:N135_01802
ko:K01704	cjei:N135_01809
ko:K01703	cjei:N135_01810
ko:K00052	cjei:N135_01811
ko:K01649	cjei:N135_01812
ko:K09457	cjei:N135_01816
ko:K00651	cjei:N135_01818
ko:K01740	cjei:N135_01819
ko:K02390	cjei:N135_01820
ko:K01159	cjei:N135_01821
ko:K00759	cjei:N135_00964
ko:K01255	cjei:N135_00966
ko:K06942	cjei:N135_00967
ko:K01755	cjei:N135_00968
ko:K01610	cjei:N135_00969
ko:K01960	cjei:N135_00970
ko:K03308	cjei:N135_00971
ko:K03308	cjei:N135_00972
ko:K02110	cjei:N135_00973
ko:K07088	cjei:N135_00975
ko:K05939	cjei:N135_00976
ko:K02029	cjei:N135_00981
ko:K03070	cjei:N135_00983
ko:K03634	cjei:N135_00984
ko:K12251	cjei:N135_00988
ko:K00602	cjei:N135_00994
ko:K05801	cjei:N135_00995
ko:K01952	cjei:N135_00996
ko:K03650	cjei:N135_00997
ko:K03217	cjei:N135_00999
ko:K03536	cjei:N135_01001
ko:K02914	cjei:N135_01002
ko:K07107	cjei:N135_01006
ko:K15257	cjei:N135_01013
ko:K09861	cjei:N135_01021
ko:K00611	cjei:N135_01029
ko:K01698	cjei:N135_01030
ko:K03501	cjei:N135_01032
ko:K03086	cjei:N135_01036
ko:K08296	cjei:N135_01037
ko:K01735	cjei:N135_01043
ko:K09944	cjei:N135_01044
ko:K00773	cjei:N135_01045
ko:K01996	cjei:N135_01050
ko:K01995	cjei:N135_01051
ko:K01998	cjei:N135_01052
ko:K01997	cjei:N135_01053
ko:K01999	cjei:N135_01054
ko:K01999	cjei:N135_01055
ko:K00133	cjei:N135_01059
ko:K09860	cjei:N135_01062
ko:K02469	cjei:N135_01063
ko:K03596	cjei:N135_01066
ko:K03686	cjei:N135_01070
ko:K03588	cjei:N135_01074
ko:K02563	cjei:N135_01075
ko:K03449	cjei:N135_01076
ko:K00788	cjei:N135_01079
ko:K03150	cjei:N135_01080
ko:K03149	cjei:N135_01081
ko:K03154	cjei:N135_01083
ko:K06895	cjei:N135_01085
ko:K12410	cjei:N135_01086
ko:K07456	cjei:N135_01088
ko:K01924	cjei:N135_01090
ko:K03602	cjei:N135_01093
ko:K01870	cjei:N135_01097
ko:K00995	cjei:N135_01102
ko:K11749	cjei:N135_01103
ko:K02990	cjei:N135_01107
ko:K02963	cjei:N135_01109
