ko:K01212	bami:KSO_000245
ko:K08153	bami:KSO_014485
ko:K21900	bami:KSO_001645
ko:K05338	bami:KSO_006070
ko:K05339	bami:KSO_006075
ko:K02520	bami:KSO_006080
ko:K02916	bami:KSO_006085
ko:K02887	bami:KSO_006090
ko:K03217	bami:KSO_000020
ko:K06346	bami:KSO_000025
ko:K02914	bami:KSO_000010
ko:K03536	bami:KSO_000015
ko:K03650	bami:KSO_000030
ko:K03495	bami:KSO_000035
ko:K03501	bami:KSO_000040
ko:K06942	bami:KSO_000085
ko:K02990	bami:KSO_000090
ko:K01218	bami:KSO_001130
ko:K01759	bami:KSO_000125
ko:K07052	bami:KSO_000135
ko:K01607	bami:KSO_000185
ko:K15986	bami:KSO_000260
ko:K06329	bami:KSO_000270
ko:K07668	bami:KSO_000365
ko:K07652	bami:KSO_000370
ko:K00819	bami:KSO_000450
ko:K03518	bami:KSO_000590
ko:K01619	bami:KSO_000815
ko:K01479	bami:KSO_000835
ko:K06902	bami:KSO_000965
ko:K01258	bami:KSO_001050
ko:K01784	bami:KSO_001055
ko:K01759	bami:KSO_001280
ko:K02116	bami:KSO_002005
ko:K03386	bami:KSO_000610
ko:K03488	bami:KSO_001435
ko:K07257	bami:KSO_001530
ko:K00294	bami:KSO_001570
ko:K06610	bami:KSO_000725
ko:K00010	bami:KSO_000730
ko:K16013	bami:KSO_001100
ko:K16012	bami:KSO_001105
ko:K03491	bami:KSO_001200
ko:K01222	bami:KSO_001220
ko:K00625	bami:KSO_001635
ko:K10947	bami:KSO_001665
ko:K03294	bami:KSO_001690
ko:K01480	bami:KSO_001735
ko:K07729	bami:KSO_001765
ko:K00374	bami:KSO_001825
ko:K06147	bami:KSO_001840
ko:K03048	bami:KSO_001865
ko:K00616	bami:KSO_001890
ko:K02446	bami:KSO_001900
ko:K00027	bami:KSO_001925
ko:K08234	bami:KSO_001940
ko:K18924	bami:KSO_012935
ko:K01791	bami:KSO_002665
ko:K16961	bami:KSO_017730
ko:K19689	bami:KSO_012265
ko:K22044	bami:KSO_012370
ko:K06979	bami:KSO_018245
ko:K07114	bami:KSO_002075
ko:K07114	bami:KSO_002080
ko:K01181	bami:KSO_002140
ko:K10439	bami:KSO_002505
ko:K10440	bami:KSO_002510
ko:K00852	bami:KSO_002525
ko:K06325	bami:KSO_002460
ko:K09693	bami:KSO_002655
ko:K02851	bami:KSO_002730
ko:K07692	bami:KSO_002750
ko:K02240	bami:KSO_002760
ko:K02241	bami:KSO_002765
ko:K02242	bami:KSO_002770
ko:K01104	bami:KSO_002320
ko:K09762	bami:KSO_003120
ko:K00090	bami:KSO_003140
ko:K02564	bami:KSO_002990
ko:K06023	bami:KSO_003000
ko:K03929	bami:KSO_003275
ko:K03299	bami:KSO_003400
ko:K00851	bami:KSO_003405
ko:K01607	bami:KSO_003775
ko:K07213	bami:KSO_003805
ko:K00380	bami:KSO_003845
ko:K04488	bami:KSO_004275
ko:K03316	bami:KSO_003860
ko:K01569	bami:KSO_003965
ko:K11617	bami:KSO_004050
ko:K11618	bami:KSO_004055
ko:K10118	bami:KSO_004330
ko:K09684	bami:KSO_004380
