ko:K00020	cpsu:CPTB_00721
ko:K18926	cpsu:CPTB_00512
ko:K15733	cpsu:CPTB_01999
ko:K18955	cpsu:CPTB_00481
ko:K01906	cpsu:CPTB_02008
ko:K19745	cpsu:CPTB_01523
ko:K00130	cpsu:CPTB_01366
ko:K21480	cpsu:CPTB_01688
ko:K21687	cpsu:CPTB_00389
ko:K21688	cpsu:CPTB_00300
ko:K00652	cpsu:CPTB_02007
ko:K02483	cpsu:CPTB_01406
ko:K14228	cpsu:CPTB_tRNA00034
ko:K14221	cpsu:CPTB_tRNA00030
ko:K14221	cpsu:CPTB_tRNA00031
ko:K14234	cpsu:CPTB_tRNA00014
ko:K14225	cpsu:CPTB_tRNA00026
ko:K14228	cpsu:CPTB_tRNA00022
ko:K14233	cpsu:CPTB_tRNA00020
ko:K14233	cpsu:CPTB_tRNA00016
ko:K14234	cpsu:CPTB_tRNA00012
ko:K01990	cpsu:CPTB_00888
ko:K01992	cpsu:CPTB_00887
ko:K02015	cpsu:CPTB_00398
ko:K02015	cpsu:CPTB_00399
ko:K02016	cpsu:CPTB_00400
ko:K01673	cpsu:CPTB_00401
ko:K03664	cpsu:CPTB_00402
ko:K09811	cpsu:CPTB_00403
ko:K09812	cpsu:CPTB_00404
ko:K12942	cpsu:CPTB_00405
ko:K02836	cpsu:CPTB_00407
ko:K05602	cpsu:CPTB_00409
ko:K17490	cpsu:CPTB_00411
ko:K17489	cpsu:CPTB_00412
ko:K17489	cpsu:CPTB_00413
ko:K03416	cpsu:CPTB_00414
ko:K11738	cpsu:CPTB_00415
ko:K00368	cpsu:CPTB_00423
ko:K09118	cpsu:CPTB_00432
ko:K07177	cpsu:CPTB_00434
ko:K07043	cpsu:CPTB_00436
ko:K03657	cpsu:CPTB_00438
ko:K03426	cpsu:CPTB_00439
ko:K10716	cpsu:CPTB_00440
ko:K03657	cpsu:CPTB_00441
ko:K02016	cpsu:CPTB_01223
ko:K02015	cpsu:CPTB_01224
ko:K02013	cpsu:CPTB_01225
ko:K03306	cpsu:CPTB_01231
ko:K02035	cpsu:CPTB_01233
ko:K02033	cpsu:CPTB_01234
ko:K02031	cpsu:CPTB_01235
ko:K02034	cpsu:CPTB_01235
ko:K07284	cpsu:CPTB_01238
ko:K04043	cpsu:CPTB_01243
ko:K03687	cpsu:CPTB_01244
ko:K03686	cpsu:CPTB_01245
ko:K13640	cpsu:CPTB_01246
ko:K00138	cpsu:CPTB_01249
ko:K00138	cpsu:CPTB_01250
ko:K13953	cpsu:CPTB_01251
ko:K02005	cpsu:CPTB_01254
ko:K02003	cpsu:CPTB_01255
ko:K02004	cpsu:CPTB_01256
ko:K03312	cpsu:CPTB_01266
ko:K01992	cpsu:CPTB_01268
ko:K01990	cpsu:CPTB_01269
ko:K03695	cpsu:CPTB_01270
ko:K07284	cpsu:CPTB_01271
ko:K07284	cpsu:CPTB_01274
ko:K01421	cpsu:CPTB_02036
ko:K07054	cpsu:CPTB_02038
ko:K01876	cpsu:CPTB_02039
ko:K07478	cpsu:CPTB_02041
ko:K01872	cpsu:CPTB_02042
ko:K07447	cpsu:CPTB_02043
ko:K07082	cpsu:CPTB_02044
ko:K00014	cpsu:CPTB_02045
ko:K02654	cpsu:CPTB_02046
ko:K01736	cpsu:CPTB_02047
ko:K00891	cpsu:CPTB_02048
ko:K01735	cpsu:CPTB_02049
ko:K03786	cpsu:CPTB_02050
ko:K02356	cpsu:CPTB_02052
ko:K03625	cpsu:CPTB_02053
ko:K07071	cpsu:CPTB_02056
ko:K02825	cpsu:CPTB_02057
ko:K00609	cpsu:CPTB_02058
ko:K01465	cpsu:CPTB_02059
ko:K01956	cpsu:CPTB_02060
ko:K01955	cpsu:CPTB_02061
ko:K01591	cpsu:CPTB_02062
ko:K00942	cpsu:CPTB_02065
ko:K03060	cpsu:CPTB_02066
ko:K13038	cpsu:CPTB_02067
ko:K00789	cpsu:CPTB_02068
ko:K04066	cpsu:CPTB_02069
ko:K01462	cpsu:CPTB_02070
ko:K00604	cpsu:CPTB_02071
ko:K03500	cpsu:CPTB_02072
ko:K01783	cpsu:CPTB_02073
ko:K11752	cpsu:CPTB_02074
ko:K00793	cpsu:CPTB_02075
ko:K14652	cpsu:CPTB_02076
ko:K00794	cpsu:CPTB_02077
ko:K03703	cpsu:CPTB_02079
ko:K06958	cpsu:CPTB_02080
ko:K09762	cpsu:CPTB_02082
ko:K00134	cpsu:CPTB_02083
ko:K00927	cpsu:CPTB_02084
ko:K01803	cpsu:CPTB_02085
ko:K00919	cpsu:CPTB_00298
ko:K02528	cpsu:CPTB_00299
ko:K03424	cpsu:CPTB_00301
ko:K01874	cpsu:CPTB_00302
ko:K07056	cpsu:CPTB_00303
ko:K15977	cpsu:CPTB_00309
ko:K03790	cpsu:CPTB_00311
ko:K03750	cpsu:CPTB_00312
ko:K00963	cpsu:CPTB_00313
ko:K01934	cpsu:CPTB_00314
ko:K03282	cpsu:CPTB_00316
ko:K08372	cpsu:CPTB_00319
ko:K07653	cpsu:CPTB_00320
ko:K07669	cpsu:CPTB_00321
ko:K02911	cpsu:CPTB_00322
ko:K02909	cpsu:CPTB_00323
ko:K02902	cpsu:CPTB_00324
ko:K02913	cpsu:CPTB_00325
