ko:K00020	cpse:CPTA_00811
ko:K18926	cpse:CPTA_01021
ko:K15733	cpse:CPTA_01764
ko:K18955	cpse:CPTA_01052
ko:K01906	cpse:CPTA_01755
ko:K19745	cpse:CPTA_00003
ko:K00130	cpse:CPTA_00163
ko:K21480	cpse:CPTA_02073
ko:K21687	cpse:CPTA_01143
ko:K21688	cpse:CPTA_01231
ko:K00652	cpse:CPTA_01756
ko:K02483	cpse:CPTA_00122
ko:K14228	cpse:CPTA_tRNA00004
ko:K14221	cpse:CPTA_tRNA00007
ko:K14221	cpse:CPTA_tRNA00008
ko:K14234	cpse:CPTA_tRNA00024
ko:K14225	cpse:CPTA_tRNA00012
ko:K14228	cpse:CPTA_tRNA00016
ko:K14233	cpse:CPTA_tRNA00018
ko:K14233	cpse:CPTA_tRNA00022
ko:K14234	cpse:CPTA_tRNA00026
ko:K18917	cpse:CPTA_01181
ko:K01990	cpse:CPTA_00645
ko:K01992	cpse:CPTA_00646
ko:K01495	cpse:CPTA_00173
ko:K03798	cpse:CPTA_00174
ko:K00760	cpse:CPTA_00175
ko:K04075	cpse:CPTA_00176
ko:K07259	cpse:CPTA_00177
ko:K01507	cpse:CPTA_00178
ko:K11103	cpse:CPTA_00180
ko:K04077	cpse:CPTA_00188
ko:K05565	cpse:CPTA_00194
ko:K05567	cpse:CPTA_00195
ko:K05568	cpse:CPTA_00196
ko:K05569	cpse:CPTA_00197
ko:K05570	cpse:CPTA_00198
ko:K05571	cpse:CPTA_00199
ko:K06048	cpse:CPTA_00201
ko:K01462	cpse:CPTA_00204
ko:K01142	cpse:CPTA_00206
ko:K06131	cpse:CPTA_00207
ko:K01990	cpse:CPTA_00209
ko:K03574	cpse:CPTA_00210
ko:K02030	cpse:CPTA_00212
ko:K14949	cpse:CPTA_00213
ko:K00925	cpse:CPTA_00214
ko:K13788	cpse:CPTA_00215
ko:K00528	cpse:CPTA_00216
ko:K02348	cpse:CPTA_00217
ko:K08289	cpse:CPTA_00218
ko:K07101	cpse:CPTA_00219
ko:K01488	cpse:CPTA_01011
ko:K00761	cpse:CPTA_01015
ko:K01840	cpse:CPTA_01017
ko:K00382	cpse:CPTA_01019
ko:K01958	cpse:CPTA_01020
ko:K11263	cpse:CPTA_01023
ko:K01011	cpse:CPTA_01024
ko:K06287	cpse:CPTA_01030
ko:K00852	cpse:CPTA_01031
ko:K02529	cpse:CPTA_01032
ko:K01966	cpse:CPTA_01035
ko:K01966	cpse:CPTA_01036
ko:K03524	cpse:CPTA_01038
ko:K01589	cpse:CPTA_01040
ko:K01588	cpse:CPTA_01041
ko:K02026	cpse:CPTA_01044
ko:K02025	cpse:CPTA_01045
ko:K02027	cpse:CPTA_01047
ko:K16870	cpse:CPTA_01050
ko:K00966	cpse:CPTA_01051
ko:K01840	cpse:CPTA_01055
ko:K01809	cpse:CPTA_01058
ko:K00791	cpse:CPTA_01820
ko:K06168	cpse:CPTA_01827
ko:K03565	cpse:CPTA_01828
ko:K03523	cpse:CPTA_01831
ko:K16784	cpse:CPTA_01832
ko:K03743	cpse:CPTA_01836
ko:K00995	cpse:CPTA_01837
ko:K09780	cpse:CPTA_01838
ko:K05794	cpse:CPTA_01839
ko:K03466	cpse:CPTA_01840
ko:K12574	cpse:CPTA_01842
ko:K01714	cpse:CPTA_01843
ko:K00215	cpse:CPTA_01846
ko:K00962	cpse:CPTA_01847
ko:K02956	cpse:CPTA_01848
ko:K11753	cpse:CPTA_01850
ko:K03177	cpse:CPTA_01851
ko:K02834	cpse:CPTA_01856
ko:K02519	cpse:CPTA_01857
ko:K07742	cpse:CPTA_01858
ko:K02600	cpse:CPTA_01859
ko:K09748	cpse:CPTA_01860
ko:K01881	cpse:CPTA_01862
ko:K09861	cpse:CPTA_01863
ko:K02303	cpse:CPTA_01864
ko:K00567	cpse:CPTA_01867
ko:K02224	cpse:CPTA_01868
ko:K01738	cpse:CPTA_00076
ko:K00640	cpse:CPTA_00077
ko:K06975	cpse:CPTA_00078
ko:K00005	cpse:CPTA_00079
ko:K00425	cpse:CPTA_00080
ko:K00426	cpse:CPTA_00081
ko:K16013	cpse:CPTA_00082
ko:K16012	cpse:CPTA_00083
ko:K18118	cpse:CPTA_00084
ko:K02039	cpse:CPTA_00086
ko:K02036	cpse:CPTA_00088
ko:K02038	cpse:CPTA_00090
ko:K02037	cpse:CPTA_00091
ko:K02040	cpse:CPTA_00092
ko:K15520	cpse:CPTA_00093
ko:K02619	cpse:CPTA_00097
ko:K06980	cpse:CPTA_00099
ko:K01933	cpse:CPTA_00101
ko:K00764	cpse:CPTA_00103
ko:K03647	cpse:CPTA_00105
ko:K11068	cpse:CPTA_00107
ko:K01952	cpse:CPTA_00108
ko:K01952	cpse:CPTA_00109
ko:K01952	cpse:CPTA_00110
ko:K00432	cpse:CPTA_00111
ko:K01354	cpse:CPTA_00112
ko:K01923	cpse:CPTA_00114
ko:K01756	cpse:CPTA_00115
ko:K03499	cpse:CPTA_00116
ko:K01945	cpse:CPTA_00118
ko:K01424	cpse:CPTA_00903
ko:K02994	cpse:CPTA_00905
ko:K02933	cpse:CPTA_00906
ko:K02881	cpse:CPTA_00907
ko:K02988	cpse:CPTA_00908
ko:K02907	cpse:CPTA_00909
ko:K02876	cpse:CPTA_00910
ko:K15770	cpse:CPTA_00912
ko:K15771	cpse:CPTA_00913
ko:K15772	cpse:CPTA_00914
ko:K10112	cpse:CPTA_00918
ko:K03076	cpse:CPTA_00920
ko:K00939	cpse:CPTA_00921
ko:K01265	cpse:CPTA_00922
ko:K01265	cpse:CPTA_00923
ko:K01186	cpse:CPTA_00924
ko:K02518	cpse:CPTA_00927
ko:K02952	cpse:CPTA_00928
ko:K02948	cpse:CPTA_00929
ko:K02986	cpse:CPTA_00930
ko:K03040	cpse:CPTA_00931
ko:K02879	cpse:CPTA_00932
ko:K06173	cpse:CPTA_00934
ko:K14743	cpse:CPTA_00938
ko:K03466	cpse:CPTA_00940
ko:K02871	cpse:CPTA_00944
ko:K02996	cpse:CPTA_00945
ko:K03431	cpse:CPTA_00946
ko:K01775	cpse:CPTA_00951
ko:K06925	cpse:CPTA_00952
ko:K07085	cpse:CPTA_00953
ko:K03789	cpse:CPTA_00956
ko:K01409	cpse:CPTA_00957
ko:K01876	cpse:CPTA_01724
ko:K07054	cpse:CPTA_01725
ko:K01421	cpse:CPTA_01727
ko:K00299	cpse:CPTA_01730
ko:K01752	cpse:CPTA_01731
ko:K18292	cpse:CPTA_01732
ko:K01892	cpse:CPTA_01736
ko:K11065	cpse:CPTA_01738
ko:K03768	cpse:CPTA_01739
ko:K00951	cpse:CPTA_01741
ko:K00759	cpse:CPTA_01742
ko:K02035	cpse:CPTA_01743
ko:K03074	cpse:CPTA_01744
ko:K03072	cpse:CPTA_01745
ko:K03210	cpse:CPTA_01746
ko:K03551	cpse:CPTA_01747
ko:K03550	cpse:CPTA_01748
ko:K01159	cpse:CPTA_01749
ko:K10805	cpse:CPTA_01753
ko:K08256	cpse:CPTA_01758
ko:K00995	cpse:CPTA_01760
ko:K01868	cpse:CPTA_01763
ko:K07156	cpse:CPTA_01766
ko:K16647	cpse:CPTA_01768
ko:K01207	cpse:CPTA_00329
ko:K16648	cpse:CPTA_00331
ko:K01596	cpse:CPTA_00338
ko:K03439	cpse:CPTA_00339
ko:K06860	cpse:CPTA_00340
ko:K12437	cpse:CPTA_00347
ko:K12428	cpse:CPTA_00348
ko:K13671	cpse:CPTA_00352
ko:K13687	cpse:CPTA_00354
ko:K14136	cpse:CPTA_00356
ko:K16650	cpse:CPTA_00358
ko:K01126	cpse:CPTA_00362
ko:K02445	cpse:CPTA_00363
ko:K01854	cpse:CPTA_00364
ko:K02013	cpse:CPTA_00365
ko:K02015	cpse:CPTA_00366
ko:K02016	cpse:CPTA_00367
ko:K01875	cpse:CPTA_00373
ko:K03710	cpse:CPTA_00374
ko:K04518	cpse:CPTA_00379
ko:K03327	cpse:CPTA_01169
ko:K01697	cpse:CPTA_01170
ko:K01586	cpse:CPTA_01171
ko:K02035	cpse:CPTA_01174
ko:K02033	cpse:CPTA_01175
ko:K02034	cpse:CPTA_01176
ko:K02031	cpse:CPTA_01177
ko:K02032	cpse:CPTA_01177
ko:K02228	cpse:CPTA_01180
ko:K01082	cpse:CPTA_01184
ko:K03724	cpse:CPTA_01186
ko:K03649	cpse:CPTA_01187
ko:K05522	cpse:CPTA_01188
ko:K01810	cpse:CPTA_01190
ko:K00135	cpse:CPTA_01191
ko:K04093	cpse:CPTA_01192
ko:K03657	cpse:CPTA_01193
ko:K11175	cpse:CPTA_01196
ko:K00602	cpse:CPTA_01197
ko:K10008	cpse:CPTA_01198
ko:K10005	cpse:CPTA_01199
ko:K10006	cpse:CPTA_01200
ko:K10007	cpse:CPTA_01201
ko:K01644	cpse:CPTA_01202
ko:K02963	cpse:CPTA_01205
ko:K02954	cpse:CPTA_01206
ko:K02913	cpse:CPTA_01207
ko:K02902	cpse:CPTA_01208
ko:K02909	cpse:CPTA_01209
ko:K02911	cpse:CPTA_01210
ko:K07669	cpse:CPTA_01211
ko:K07653	cpse:CPTA_01212
ko:K08372	cpse:CPTA_01213
ko:K03282	cpse:CPTA_01215
ko:K01934	cpse:CPTA_01217
ko:K00963	cpse:CPTA_01218
ko:K01870	cpse:CPTA_01968
ko:K02221	cpse:CPTA_01971
ko:K09772	cpse:CPTA_01973
ko:K05810	cpse:CPTA_01974
ko:K03531	cpse:CPTA_01975
ko:K03589	cpse:CPTA_01976
ko:K01924	cpse:CPTA_01977
ko:K02563	cpse:CPTA_01979
ko:K03588	cpse:CPTA_01980
ko:K01925	cpse:CPTA_01981
ko:K01000	cpse:CPTA_01982
ko:K01929	cpse:CPTA_01983
ko:K01928	cpse:CPTA_01984
ko:K03587	cpse:CPTA_01985
ko:K03438	cpse:CPTA_01987
ko:K03925	cpse:CPTA_01988
ko:K00297	cpse:CPTA_01993
ko:K13787	cpse:CPTA_01994
ko:K14337	cpse:CPTA_01995
ko:K01626	cpse:CPTA_01998
ko:K00655	cpse:CPTA_02001
ko:K00845	cpse:CPTA_02002
ko:K13668	cpse:CPTA_02003
ko:K03891	cpse:CPTA_02007
ko:K03890	cpse:CPTA_02008
ko:K03889	cpse:CPTA_02009
ko:K02276	cpse:CPTA_02010
ko:K02275	cpse:CPTA_02012
ko:K01953	cpse:CPTA_02013
ko:K00817	cpse:CPTA_00649
ko:K14445	cpse:CPTA_00650
ko:K03480	cpse:CPTA_00651
ko:K02803	cpse:CPTA_00652
ko:K02804	cpse:CPTA_00652
ko:K06996	cpse:CPTA_00654
ko:K04561	cpse:CPTA_00655
ko:K00375	cpse:CPTA_00657
ko:K06215	cpse:CPTA_00658
ko:K08681	cpse:CPTA_00659
ko:K04517	cpse:CPTA_00660
ko:K11991	cpse:CPTA_00662
ko:K06994	cpse:CPTA_00663
ko:K00773	cpse:CPTA_00664
ko:K01885	cpse:CPTA_00665
ko:K03299	cpse:CPTA_00666
ko:K00851	cpse:CPTA_00667
ko:K00098	cpse:CPTA_00668
ko:K00046	cpse:CPTA_00669
ko:K02343	cpse:CPTA_00673
ko:K09747	cpse:CPTA_00674
ko:K06187	cpse:CPTA_00675
ko:K03299	cpse:CPTA_00676
ko:K07009	cpse:CPTA_00684
ko:K02342	cpse:CPTA_00686
ko:K01649	cpse:CPTA_00689
ko:K05346	cpse:CPTA_00690
ko:K03784	cpse:CPTA_00691
ko:K03574	cpse:CPTA_01476
ko:K00057	cpse:CPTA_01478
ko:K01921	cpse:CPTA_01479
ko:K00946	cpse:CPTA_01481
ko:K03648	cpse:CPTA_01483
ko:K07030	cpse:CPTA_01484
ko:K03655	cpse:CPTA_01485
ko:K08316	cpse:CPTA_01487
ko:K00954	cpse:CPTA_01488
ko:K07090	cpse:CPTA_01489
ko:K02028	cpse:CPTA_01491
ko:K02029	cpse:CPTA_01492
ko:K02030	cpse:CPTA_01493
ko:K08974	cpse:CPTA_01494
ko:K02945	cpse:CPTA_01498
ko:K02755	cpse:CPTA_01499
ko:K02756	cpse:CPTA_01499
ko:K02757	cpse:CPTA_01499
ko:K00859	cpse:CPTA_01500
ko:K03702	cpse:CPTA_01502
ko:K03701	cpse:CPTA_01507
ko:K02520	cpse:CPTA_01508
ko:K02916	cpse:CPTA_01509
ko:K02887	cpse:CPTA_01510
ko:K03437	cpse:CPTA_01512
ko:K01889	cpse:CPTA_01513
ko:K01890	cpse:CPTA_01514
ko:K00145	cpse:CPTA_01515
ko:K00620	cpse:CPTA_01516
ko:K00930	cpse:CPTA_01517
ko:K00611	cpse:CPTA_01519
ko:K03402	cpse:CPTA_01520
ko:K01940	cpse:CPTA_01521
ko:K01755	cpse:CPTA_01522
ko:K09791	cpse:CPTA_01523
ko:K01866	cpse:CPTA_01524
ko:K06200	cpse:CPTA_00001
ko:K14645	cpse:CPTA_00002
ko:K07124	cpse:CPTA_00004
ko:K13288	cpse:CPTA_00005
ko:K01714	cpse:CPTA_00007
ko:K08281	cpse:CPTA_00010
ko:K03564	cpse:CPTA_00013
ko:K00997	cpse:CPTA_00015
ko:K11533	cpse:CPTA_00016
ko:K07052	cpse:CPTA_00023
ko:K02492	cpse:CPTA_00803
ko:K01749	cpse:CPTA_00804
ko:K13542	cpse:CPTA_00805
ko:K01698	cpse:CPTA_00806
ko:K01599	cpse:CPTA_00809
ko:K00231	cpse:CPTA_00810
ko:K01845	cpse:CPTA_00812
ko:K06196	cpse:CPTA_00815
ko:K07399	cpse:CPTA_00816
ko:K02013	cpse:CPTA_00818
ko:K02016	cpse:CPTA_00819
ko:K02015	cpse:CPTA_00820
ko:K02548	cpse:CPTA_00824
ko:K01911	cpse:CPTA_00825
ko:K01661	cpse:CPTA_00826
ko:K03326	cpse:CPTA_00827
ko:K02549	cpse:CPTA_00828
ko:K02551	cpse:CPTA_00829
ko:K12583	cpse:CPTA_00831
ko:K03183	cpse:CPTA_00832
ko:K00016	cpse:CPTA_00833
ko:K00805	cpse:CPTA_00835
ko:K03073	cpse:CPTA_00836
ko:K02601	cpse:CPTA_00837
ko:K02867	cpse:CPTA_00838
ko:K02863	cpse:CPTA_00839
ko:K01372	cpse:CPTA_00840
ko:K01372	cpse:CPTA_00841
ko:K01372	cpse:CPTA_00842
