ko:K15581	ecq:ECED1_1396
ko:K00932	ecq:ECED1_3780
ko:K13888	ecq:ECED1_0845
ko:K02495	ecq:ECED1_4567
ko:K01760	ecq:ECED1_3658
ko:K06133	ecq:ECED1_4148
ko:K07229	ecq:ECED1_3738
ko:K11746	ecq:ECED1_0045
ko:K05812	ecq:ECED1_3015
ko:K11733	ecq:ECED1_2605
ko:K03765	ecq:ECED1_4869
ko:K11734	ecq:ECED1_0110
ko:K01961	ecq:ECED1_3907
ko:K11904	ecq:ECED1_1610
ko:K10823	ecq:ECED1_1399
ko:K18138	ecq:ECED1_0485
ko:K01524	ecq:ECED1_2926
ko:K18922	ecq:ECED1_0575
ko:K11742	ecq:ECED1_1768
ko:K01270	ecq:ECED1_0271
ko:K02566	ecq:ECED1_0656
ko:K11754	ecq:ECED1_2779
ko:K00113	ecq:ECED1_2708
ko:K12265	ecq:ECED1_3160
ko:K02574	ecq:ECED1_2669
ko:K02778	ecq:ECED1_1244
ko:K02779	ecq:ECED1_1244
ko:K12113	ecq:ECED1_3743
ko:K12147	ecq:ECED1_1197
ko:K12148	ecq:ECED1_1204
ko:K12149	ecq:ECED1_1205
ko:K07304	ecq:ECED1_5077
ko:K12111	ecq:ECED1_3744
ko:K01079	ecq:ECED1_5259
ko:K02483	ecq:ECED1_2234
ko:K00632	ecq:ECED1_2805
ko:K12289	ecq:ECED1_4052
ko:K02654	ecq:ECED1_3615
ko:K09810	ecq:ECED1_1260
ko:K12266	ecq:ECED1_3158
ko:K11991	ecq:ECED1_2987
ko:K00703	ecq:ECED1_4104
ko:K12264	ecq:ECED1_3159
ko:K12340	ecq:ECED1_3701
ko:K08318	ecq:ECED1_4582
ko:K03533	ecq:ECED1_1075
ko:K11085	ecq:ECED1_0941
ko:K07307	ecq:ECED1_0925
ko:K01784	ecq:ECED1_0720
ko:K11892	ecq:ECED1_0231
ko:K00832	ecq:ECED1_4768
ko:K01628	ecq:ECED1_3253
ko:K01096	ecq:ECED1_1488
ko:K08348	ecq:ECED1_1624
ko:K04091	ecq:ECED1_0965
ko:K04781	ecq:ECED1_2244
ko:K00575	ecq:ECED1_2152
ko:K00299	ecq:ECED1_0967
ko:K21905	ecq:ECED1_4194
ko:K11941	ecq:ECED1_1191
ko:K02554	ecq:ECED1_0378
ko:K01485	ecq:ECED1_0369
ko:K12152	ecq:ECED1_1278
ko:K03810	ecq:ECED1_1212
ko:K07251	ecq:ECED1_1249
ko:K01835	ecq:ECED1_0670
ko:K01840	ecq:ECED1_2394
ko:K12262	ecq:ECED1_1575
ko:K00058	ecq:ECED1_3371
ko:K01023	ecq:ECED1_3704
ko:K05835	ecq:ECED1_4508
ko:K00029	ecq:ECED1_2896
ko:K08161	ecq:ECED1_1198
ko:K03711	ecq:ECED1_0664
ko:K03636	ecq:ECED1_0749
ko:K11896	ecq:ECED1_0236
ko:K07592	ecq:ECED1_3783
ko:K03972	ecq:ECED1_1516
ko:K06934	ecq:ECED1_3384
ko:K11750	ecq:ECED1_0273
ko:K01420	ecq:ECED1_1544
ko:K07480	ecq:ECED1_0077
ko:K02824	ecq:ECED1_2920
ko:K02414	ecq:ECED1_2210
ko:K11747	ecq:ECED1_4012
ko:K11903	ecq:ECED1_0240
ko:K01759	ecq:ECED1_1851
ko:K09251	ecq:ECED1_3741
ko:K05875	ecq:ECED1_2154
ko:K08322	ecq:ECED1_1748
ko:K04775	ecq:ECED1_1767
ko:K04334	ecq:ECED1_1186
ko:K00262	ecq:ECED1_1962
ko:K03208	ecq:ECED1_2396
ko:K04335	ecq:ECED1_1185
ko:K07470	ecq:ECED1_2360
ko:K03719	ecq:ECED1_0863
ko:K11743	ecq:ECED1_1769
ko:K06889	ecq:ECED1_4977
ko:K04333	ecq:ECED1_1184
ko:K08682	ecq:ECED1_0427
ko:K07782	ecq:ECED1_2181
ko:K11755	ecq:ECED1_2375
ko:K00228	ecq:ECED1_2878
ko:K02598	ecq:ECED1_4031
ko:K03279	ecq:ECED1_4310
ko:K12974	ecq:ECED1_2825
ko:K12975	ecq:ECED1_4224
ko:K07126	ecq:ECED1_5081
ko:K13288	ecq:ECED1_4949
ko:K12962	ecq:ECED1_2725
ko:K07793	ecq:ECED1_4529
ko:K05874	ecq:ECED1_5220
ko:K02458	ecq:ECED1_3995
ko:K09946	ecq:ECED1_2426
ko:K02458	ecq:ECED1_3607
ko:K02851	ecq:ECED1_4469
ko:K01034	ecq:ECED1_2687
ko:K01460	ecq:ECED1_3638
ko:K00906	ecq:ECED1_4723
ko:K10906	ecq:ECED1_1744
ko:K02805	ecq:ECED1_4476
ko:K02853	ecq:ECED1_4479
ko:K06871	ecq:ECED1_4483
ko:K02498	ecq:ECED1_4486
ko:K02496	ecq:ECED1_4488
ko:K01719	ecq:ECED1_4489
ko:K01749	ecq:ECED1_4490
ko:K05851	ecq:ECED1_4491
ko:K06202	ecq:ECED1_4492
ko:K01778	ecq:ECED1_4494
ko:K09921	ecq:ECED1_4495
ko:K03733	ecq:ECED1_4496
ko:K03657	ecq:ECED1_4498
ko:K03284	ecq:ECED1_4501
ko:K05786	ecq:ECED1_4504
ko:K03654	ecq:ECED1_4507
ko:K03576	ecq:ECED1_4513
ko:K00549	ecq:ECED1_4514
ko:K00615	ecq:ECED1_4517
ko:K01534	ecq:ECED1_4142
ko:K08172	ecq:ECED1_2287
ko:K04016	ecq:ECED1_4802
ko:K12684	ecq:ECED1_1676
ko:K12684	ecq:ECED1_2075
ko:K12684	ecq:ECED1_2484
ko:K06282	ecq:ECED1_1056
ko:K06281	ecq:ECED1_1057
ko:K03620	ecq:ECED1_1058
