ko:K07050	bsz:DK67_1949
ko:K18893	bsz:DK67_777
ko:K13967	bsz:DK67_2418
ko:K22617	bsz:DK67_221
ko:K03695	bsz:DK67_485
ko:K02888	bsz:DK67_501
ko:K02899	bsz:DK67_502
ko:K00919	bsz:DK67_1327
ko:K03313	bsz:DK67_1330
ko:K02523	bsz:DK67_1333
ko:K01878	bsz:DK67_1335
ko:K01879	bsz:DK67_1337
ko:K07566	bsz:DK67_1338
ko:K01945	bsz:DK67_1346
ko:K03179	bsz:DK67_1347
ko:K00275	bsz:DK67_1348
ko:K00208	bsz:DK67_1351
ko:K03704	bsz:DK67_1354
ko:K09778	bsz:DK67_1357
ko:K01736	bsz:DK67_1359
ko:K14652	bsz:DK67_1360
ko:K03602	bsz:DK67_1362
ko:K06911	bsz:DK67_1366
ko:K01662	bsz:DK67_1367
ko:K06442	bsz:DK67_1368
ko:K03215	bsz:DK67_1369
ko:K06966	bsz:DK67_1370
ko:K06147	bsz:DK67_1373
ko:K01613	bsz:DK67_1374
ko:K17103	bsz:DK67_1375
ko:K00764	bsz:DK67_1377
ko:K03558	bsz:DK67_1378
ko:K01644	bsz:DK67_2189
ko:K08738	bsz:DK67_2196
ko:K09794	bsz:DK67_2197
ko:K00104	bsz:DK67_2201
ko:K11472	bsz:DK67_2202
ko:K11473	bsz:DK67_2203
ko:K01679	bsz:DK67_2214
ko:K06221	bsz:DK67_2204
ko:K01246	bsz:DK67_2206
ko:K01892	bsz:DK67_2208
ko:K02502	bsz:DK67_2209
ko:K00765	bsz:DK67_2210
ko:K02429	bsz:DK67_2211
ko:K02429	bsz:DK67_2212
ko:K15977	bsz:DK67_2213
ko:K21909	bsz:DK67_2820
ko:K00001	bsz:DK67_1756
ko:K01271	bsz:DK67_1957
ko:K00344	bsz:DK67_2565
ko:K04077	bsz:DK67_2216
ko:K02031	bsz:DK67_2742
ko:K03297	bsz:DK67_1824
ko:K07492	bsz:DK67_1441
ko:K07492	bsz:DK67_1457
ko:K22616	bsz:DK67_769
ko:K02031	bsz:DK67_2412
ko:K00035	bsz:DK67_2894
ko:K11741	bsz:DK67_1687
ko:K22310	bsz:DK67_49
ko:K01271	bsz:DK67_790
ko:K07005	bsz:DK67_930
ko:K21911	bsz:DK67_2824
ko:K02031	bsz:DK67_3043
ko:K00130	bsz:DK67_1476
ko:K09472	bsz:DK67_3119
ko:K19233	bsz:DK67_505
ko:K19232	bsz:DK67_121
ko:K00336	bsz:DK67_1717
ko:K04078	bsz:DK67_2217
ko:K11753	bsz:DK67_2219
ko:K01870	bsz:DK67_2220
ko:K12262	bsz:DK67_2222
ko:K06178	bsz:DK67_2224
ko:K08316	bsz:DK67_2225
ko:K07263	bsz:DK67_2226
ko:K07263	bsz:DK67_2227
ko:K07263	bsz:DK67_2228
ko:K07001	bsz:DK67_2229
ko:K10564	bsz:DK67_3090
ko:K03455	bsz:DK67_2230
ko:K03592	bsz:DK67_2231
ko:K01092	bsz:DK67_2232
ko:K09778	bsz:DK67_2234
ko:K02527	bsz:DK67_2235
ko:K00912	bsz:DK67_2236
ko:K03572	bsz:DK67_2238
ko:K08196	bsz:DK67_2239
ko:K08196	bsz:DK67_2240
ko:K06446	bsz:DK67_2242
ko:K01845	bsz:DK67_3053
ko:K01628	bsz:DK67_3055
ko:K03777	bsz:DK67_3058
ko:K09815	bsz:DK67_3069
ko:K09817	bsz:DK67_3070
ko:K09816	bsz:DK67_3071
ko:K09823	bsz:DK67_3072
ko:K02421	bsz:DK67_3078
ko:K02400	bsz:DK67_3079
ko:K02420	bsz:DK67_3080
ko:K02389	bsz:DK67_3081
ko:K06601	bsz:DK67_3082
ko:K06602	bsz:DK67_3083
ko:K02397	bsz:DK67_3084
ko:K02396	bsz:DK67_3085
ko:K02390	bsz:DK67_3086
ko:K10565	bsz:DK67_3089
ko:K11209	bsz:DK67_1550
ko:K02557	bsz:DK67_3091
ko:K00249	bsz:DK67_1344
ko:K00001	bsz:DK67_2697
ko:K00065	bsz:DK67_2930
ko:K00076	bsz:DK67_709
ko:K01144	bsz:DK67_918
ko:K11079	bsz:DK67_3050
ko:K22616	bsz:DK67_770
ko:K00108	bsz:DK67_1477
ko:K04771	bsz:DK67_1535
ko:K19270	bsz:DK67_1764
ko:K21686	bsz:DK67_1105
ko:K11077	bsz:DK67_3048
ko:K13010	bsz:DK67_1450
ko:K18588	bsz:DK67_1164
ko:K02409	bsz:DK67_3093
ko:K02406	bsz:DK67_3094
ko:K10543	bsz:DK67_3098
ko:K10545	bsz:DK67_3099
ko:K10544	bsz:DK67_3100
ko:K02510	bsz:DK67_3104
ko:K00241	bsz:DK67_450
ko:K00242	bsz:DK67_451
ko:K00239	bsz:DK67_452
ko:K00240	bsz:DK67_453
ko:K03185	bsz:DK67_455
ko:K10805	bsz:DK67_456
ko:K10805	bsz:DK67_457
ko:K03320	bsz:DK67_458
ko:K03466	bsz:DK67_459
ko:K09780	bsz:DK67_464
ko:K00057	bsz:DK67_465
ko:K01409	bsz:DK67_466
ko:K01749	bsz:DK67_467
ko:K01719	bsz:DK67_468
ko:K02498	bsz:DK67_470
ko:K00568	bsz:DK67_479
ko:K00928	bsz:DK67_480
ko:K08484	bsz:DK67_481
ko:K02835	bsz:DK67_482
ko:K03446	bsz:DK67_2143
ko:K13584	bsz:DK67_728
ko:K13588	bsz:DK67_729
ko:K06975	bsz:DK67_732
ko:K00566	bsz:DK67_735
ko:K12368	bsz:DK67_738
ko:K12368	bsz:DK67_739
ko:K12368	bsz:DK67_740
ko:K12369	bsz:DK67_741
ko:K12370	bsz:DK67_742
ko:K12371	bsz:DK67_743
ko:K12372	bsz:DK67_744
ko:K02000	bsz:DK67_745
ko:K02001	bsz:DK67_746
ko:K02002	bsz:DK67_747
ko:K03719	bsz:DK67_753
ko:K13503	bsz:DK67_754
ko:K01649	bsz:DK67_756
ko:K07275	bsz:DK67_759
ko:K07393	bsz:DK67_760
ko:K03924	bsz:DK67_765
ko:K09986	bsz:DK67_766
ko:K00970	bsz:DK67_768
ko:K03824	bsz:DK67_771
ko:K00228	bsz:DK67_772
ko:K03216	bsz:DK67_775
ko:K00411	bsz:DK67_778
ko:K00412	bsz:DK67_779
ko:K00413	bsz:DK67_780
ko:K00759	bsz:DK67_781
ko:K02528	bsz:DK67_1598
ko:K00097	bsz:DK67_1599
ko:K03771	bsz:DK67_1600
ko:K04744	bsz:DK67_1601
ko:K11720	bsz:DK67_1602
ko:K07091	bsz:DK67_1603
ko:K01255	bsz:DK67_1604
ko:K00111	bsz:DK67_1
ko:K02444	bsz:DK67_2
ko:K01082	bsz:DK67_7
ko:K00955	bsz:DK67_8
ko:K00957	bsz:DK67_9
ko:K16871	bsz:DK67_10
ko:K07782	bsz:DK67_11
ko:K00548	bsz:DK67_12
ko:K01442	bsz:DK67_843
ko:K09799	bsz:DK67_846
ko:K08281	bsz:DK67_845
ko:K06193	bsz:DK67_847
ko:K00479	bsz:DK67_849
ko:K09988	bsz:DK67_850
ko:K00598	bsz:DK67_854
ko:K00297	bsz:DK67_858
ko:K07088	bsz:DK67_859
ko:K07273	bsz:DK67_862
ko:K05801	bsz:DK67_864
ko:K03322	bsz:DK67_867
ko:K03438	bsz:DK67_868
ko:K03587	bsz:DK67_870
ko:K01928	bsz:DK67_871
ko:K01929	bsz:DK67_872
ko:K01000	bsz:DK67_873
ko:K01925	bsz:DK67_874
ko:K03588	bsz:DK67_875
ko:K02563	bsz:DK67_876
ko:K01924	bsz:DK67_877
ko:K00075	bsz:DK67_878
ko:K01921	bsz:DK67_879
ko:K03589	bsz:DK67_880
ko:K03590	bsz:DK67_881
ko:K03531	bsz:DK67_882
ko:K02535	bsz:DK67_883
ko:K05807	bsz:DK67_884
ko:K03631	bsz:DK67_885
ko:K01972	bsz:DK67_886
ko:K01262	bsz:DK67_887
ko:K02687	bsz:DK67_889
ko:K07152	bsz:DK67_890
ko:K00330	bsz:DK67_1711
ko:K00331	bsz:DK67_1712
ko:K00332	bsz:DK67_1713
ko:K00333	bsz:DK67_1714
ko:K00334	bsz:DK67_1715
ko:K00337	bsz:DK67_1718
ko:K00338	bsz:DK67_1719
ko:K00339	bsz:DK67_1720
ko:K00340	bsz:DK67_1721
ko:K00341	bsz:DK67_1722
ko:K00342	bsz:DK67_1723
ko:K00343	bsz:DK67_1724
ko:K03524	bsz:DK67_1725
ko:K12574	bsz:DK67_1726
ko:K05606	bsz:DK67_1727
ko:K01881	bsz:DK67_1729
ko:K09808	bsz:DK67_1730
ko:K09810	bsz:DK67_1731
ko:K02337	bsz:DK67_1732
ko:K02986	bsz:DK67_1736
ko:K14058	bsz:DK67_1737
ko:K07552	bsz:DK67_1739
ko:K07390	bsz:DK67_1741
ko:K01952	bsz:DK67_1743
ko:K01952	bsz:DK67_1746
ko:K01952	bsz:DK67_1747
ko:K01923	bsz:DK67_1748
ko:K02510	bsz:DK67_1750
ko:K07002	bsz:DK67_1751
ko:K07104	bsz:DK67_1752
ko:K01756	bsz:DK67_1753
ko:K01783	bsz:DK67_1754
ko:K02517	bsz:DK67_1755
ko:K09458	bsz:DK67_1757
ko:K03723	bsz:DK67_2573
ko:K09159	bsz:DK67_2574
ko:K03655	bsz:DK67_2575
ko:K00820	bsz:DK67_2576
ko:K04042	bsz:DK67_2577
ko:K06196	bsz:DK67_2578
ko:K14205	bsz:DK67_2579
ko:K03801	bsz:DK67_2584
ko:K02622	bsz:DK67_2586
ko:K02433	bsz:DK67_2588
ko:K02435	bsz:DK67_2589
ko:K07447	bsz:DK67_2592
ko:K09456	bsz:DK67_2591
ko:K00609	bsz:DK67_2593
ko:K01465	bsz:DK67_2594
ko:K08591	bsz:DK67_2595
ko:K04096	bsz:DK67_2596
ko:K03168	bsz:DK67_2598
ko:K12573	bsz:DK67_2599
ko:K02913	bsz:DK67_2603
ko:K02488	bsz:DK67_2604
ko:K11443	bsz:DK67_2605
ko:K06140	bsz:DK67_2607
ko:K02346	bsz:DK67_2608
ko:K02342	bsz:DK67_2616
ko:K00285	bsz:DK67_2620
ko:K02030	bsz:DK67_2621
ko:K01486	bsz:DK67_2625
ko:K01273	bsz:DK67_2626
ko:K02339	bsz:DK67_1605
ko:K06158	bsz:DK67_1607
ko:K00940	bsz:DK67_1609
ko:K09914	bsz:DK67_1610
ko:K03635	bsz:DK67_1611
ko:K03636	bsz:DK67_1612
ko:K03703	bsz:DK67_1614
ko:K16079	bsz:DK67_1616
ko:K00799	bsz:DK67_1617
ko:K01166	bsz:DK67_1618
ko:K07115	bsz:DK67_1620
ko:K11175	bsz:DK67_1624
ko:K01933	bsz:DK67_1625
ko:K01784	bsz:DK67_1629
ko:K03303	bsz:DK67_1632
ko:K00939	bsz:DK67_1638
ko:K01993	bsz:DK67_2469
ko:K01990	bsz:DK67_2470
ko:K02050	bsz:DK67_2473
ko:K02049	bsz:DK67_2474
ko:K02051	bsz:DK67_2475
ko:K03885	bsz:DK67_2486
ko:K06996	bsz:DK67_2488
ko:K03310	bsz:DK67_2490
ko:K00651	bsz:DK67_2491
ko:K07273	bsz:DK67_2492
ko:K00648	bsz:DK67_2493
ko:K00833	bsz:DK67_2494
ko:K01935	bsz:DK67_2495
ko:K00652	bsz:DK67_2496
ko:K01012	bsz:DK67_2497
ko:K03831	bsz:DK67_2499
ko:K07078	bsz:DK67_2500
ko:K05559	bsz:DK67_2502
ko:K05560	bsz:DK67_2503
ko:K05561	bsz:DK67_2504
ko:K05562	bsz:DK67_2505
ko:K05563	bsz:DK67_2506
ko:K05564	bsz:DK67_2507
ko:K16013	bsz:DK67_2509
ko:K16012	bsz:DK67_2510
ko:K00425	bsz:DK67_2511
ko:K00426	bsz:DK67_2512
ko:K03710	bsz:DK67_2514
ko:K10117	bsz:DK67_2516
ko:K10118	bsz:DK67_2517
ko:K10119	bsz:DK67_2518
ko:K01419	bsz:DK67_286
ko:K03667	bsz:DK67_287
ko:K08304	bsz:DK67_291
ko:K07113	bsz:DK67_293
ko:K03071	bsz:DK67_294
ko:K02342	bsz:DK67_295
ko:K00859	bsz:DK67_296
ko:K00014	bsz:DK67_297
ko:K06287	bsz:DK67_298
ko:K09773	bsz:DK67_299
ko:K01599	bsz:DK67_300
ko:K08973	bsz:DK67_301
ko:K03628	bsz:DK67_303
ko:K06888	bsz:DK67_304
ko:K03650	bsz:DK67_306
ko:K03495	bsz:DK67_307
ko:K03501	bsz:DK67_308
ko:K02340	bsz:DK67_311
ko:K05833	bsz:DK67_312
ko:K05832	bsz:DK67_313
ko:K01989	bsz:DK67_314
ko:K02529	bsz:DK67_317
ko:K00059	bsz:DK67_327
ko:K04085	bsz:DK67_333
ko:K01962	bsz:DK67_335
ko:K04763	bsz:DK67_336
ko:K00891	bsz:DK67_338
ko:K01735	bsz:DK67_339
ko:K03743	bsz:DK67_1166
ko:K12506	bsz:DK67_1167
ko:K07708	bsz:DK67_1169
ko:K07712	bsz:DK67_1170
ko:K13598	bsz:DK67_1171
ko:K13599	bsz:DK67_1172
ko:K03499	bsz:DK67_1173
ko:K03666	bsz:DK67_1175
ko:K03665	bsz:DK67_1176
ko:K01358	bsz:DK67_1177
ko:K03544	bsz:DK67_1178
ko:K01338	bsz:DK67_1179
ko:K03530	bsz:DK67_1180
ko:K03701	bsz:DK67_1181
ko:K02043	bsz:DK67_1185
ko:K05774	bsz:DK67_1186
ko:K05595	bsz:DK67_1187
ko:K02469	bsz:DK67_1188
ko:K00954	bsz:DK67_1190
ko:K07568	bsz:DK67_1193
ko:K00773	bsz:DK67_1194
ko:K03585	bsz:DK67_1196
ko:K18138	bsz:DK67_1197
ko:K00252	bsz:DK67_1201
ko:K03190	bsz:DK67_1211
ko:K01430	bsz:DK67_1212
ko:K01429	bsz:DK67_1214
ko:K01428	bsz:DK67_1215
ko:K03187	bsz:DK67_1216
ko:K03188	bsz:DK67_1217
ko:K03189	bsz:DK67_1218
ko:K15599	bsz:DK67_2029
ko:K06147	bsz:DK67_2031
ko:K02529	bsz:DK67_2032
ko:K02529	bsz:DK67_2033
ko:K09959	bsz:DK67_2034
ko:K13953	bsz:DK67_2035
