ko:K01006	lmoj:LM220_20145
ko:K07045	lmoj:LM220_18530
ko:K01699	lmoj:LM220_17012
ko:K22010	lmoj:LM220_17117
ko:K11741	lmoj:LM220_13242
ko:K11741	lmoj:LM220_13247
ko:K18926	lmoj:LM220_07037
ko:K12574	lmoj:LM220_03127
ko:K01791	lmoj:LM220_09830
ko:K03491	lmoj:LM220_18575
ko:K07089	lmoj:LM220_04061
ko:K00867	lmoj:LM220_04076
ko:K03652	lmoj:LM220_04106
ko:K03800	lmoj:LM220_04131
ko:K03216	lmoj:LM220_04151
ko:K01104	lmoj:LM220_04166
ko:K04079	lmoj:LM220_04181
ko:K04047	lmoj:LM220_04186
ko:K03449	lmoj:LM220_18605
ko:K01443	lmoj:LM220_04271
ko:K03710	lmoj:LM220_04286
ko:K02851	lmoj:LM220_04291
ko:K08303	lmoj:LM220_04301
ko:K03799	lmoj:LM220_18630
ko:K07816	lmoj:LM220_04336
ko:K00858	lmoj:LM220_04341
ko:K06180	lmoj:LM220_18635
ko:K00208	lmoj:LM220_04356
ko:K03740	lmoj:LM220_18640
ko:K01223	lmoj:LM220_04036
ko:K14188	lmoj:LM220_18645
ko:K03739	lmoj:LM220_00100
ko:K03367	lmoj:LM220_18650
ko:K03708	lmoj:LM220_17650
ko:K03696	lmoj:LM220_17660
ko:K04485	lmoj:LM220_17665
ko:K00991	lmoj:LM220_01382
ko:K01770	lmoj:LM220_17670
ko:K09698	lmoj:LM220_01397
ko:K00640	lmoj:LM220_17675
ko:K01883	lmoj:LM220_17680
ko:K11145	lmoj:LM220_01422
ko:K03218	lmoj:LM220_01427
ko:K06962	lmoj:LM220_01432
ko:K03091	lmoj:LM220_01437
ko:K02913	lmoj:LM220_01442
ko:K03073	lmoj:LM220_01447
ko:K02601	lmoj:LM220_01452
ko:K01807	lmoj:LM220_00120
ko:K00826	lmoj:LM220_00140
ko:K02867	lmoj:LM220_17690
ko:K02863	lmoj:LM220_17695
ko:K02864	lmoj:LM220_01487
ko:K03046	lmoj:LM220_01552
ko:K01223	lmoj:LM220_01562
ko:K01439	lmoj:LM220_01612
ko:K15975	lmoj:LM220_17730
ko:K02034	lmoj:LM220_01637
ko:K01223	lmoj:LM220_01652
ko:K02072	lmoj:LM220_17745
ko:K02071	lmoj:LM220_01747
ko:K02073	lmoj:LM220_17750
ko:K08969	lmoj:LM220_01762
ko:K07668	lmoj:LM220_01767
ko:K07652	lmoj:LM220_01772
ko:K00783	lmoj:LM220_01807
ko:K03491	lmoj:LM220_17780
ko:K02761	lmoj:LM220_01847
ko:K02760	lmoj:LM220_01852
ko:K02759	lmoj:LM220_01867
ko:K03707	lmoj:LM220_02325
ko:K00878	lmoj:LM220_02330
ko:K00941	lmoj:LM220_02335
ko:K01223	lmoj:LM220_02345
ko:K02935	lmoj:LM220_01492
ko:K00564	lmoj:LM220_01497
ko:K15770	lmoj:LM220_01517
ko:K15771	lmoj:LM220_01522
ko:K15772	lmoj:LM220_01527
ko:K01182	lmoj:LM220_01532
ko:K03336	lmoj:LM220_05227
ko:K05937	lmoj:LM220_05232
ko:K03648	lmoj:LM220_05242
ko:K00286	lmoj:LM220_05282
ko:K02003	lmoj:LM220_05332
ko:K02004	lmoj:LM220_18000
ko:K15524	lmoj:LM220_05377
ko:K03306	lmoj:LM220_05402
ko:K01759	lmoj:LM220_05407
ko:K07238	lmoj:LM220_05447
ko:K07729	lmoj:LM220_05457
ko:K05340	lmoj:LM220_18025
ko:K03924	lmoj:LM220_06252
ko:K10974	lmoj:LM220_06262
ko:K09703	lmoj:LM220_06267
ko:K06885	lmoj:LM220_07577
ko:K10254	lmoj:LM220_06787
ko:K06941	lmoj:LM220_06792
ko:K13653	lmoj:LM220_06797
ko:K02911	lmoj:LM220_06837
ko:K00014	lmoj:LM220_06862
ko:K03785	lmoj:LM220_06867
ko:K03697	lmoj:LM220_00250
ko:K00432	lmoj:LM220_00170
ko:K11050	lmoj:LM220_18665
ko:K07052	lmoj:LM220_00255
ko:K11189	lmoj:LM220_00275
ko:K08483	lmoj:LM220_00280
ko:K00841	lmoj:LM220_00295
ko:K05822	lmoj:LM220_00325
ko:K05823	lmoj:LM220_00330
ko:K02000	lmoj:LM220_00355
ko:K02001	lmoj:LM220_00360
ko:K11051	lmoj:LM220_00195
ko:K02002	lmoj:LM220_00365
ko:K06201	lmoj:LM220_00380
ko:K00243	lmoj:LM220_00385
ko:K11622	lmoj:LM220_00390
ko:K11617	lmoj:LM220_00395
ko:K02837	lmoj:LM220_00200
ko:K00567	lmoj:LM220_00245
ko:K11618	lmoj:LM220_00400
ko:K03499	lmoj:LM220_00405
ko:K02529	lmoj:LM220_05832
ko:K00615	lmoj:LM220_05842
ko:K00615	lmoj:LM220_05847
ko:K03752	lmoj:LM220_05877
ko:K02017	lmoj:LM220_18710
ko:K02018	lmoj:LM220_05892
ko:K02020	lmoj:LM220_18715
ko:K03750	lmoj:LM220_05907
ko:K03753	lmoj:LM220_05912
ko:K03635	lmoj:LM220_05917
ko:K03636	lmoj:LM220_05922
ko:K03637	lmoj:LM220_05927
ko:K03639	lmoj:LM220_18720
ko:K03638	lmoj:LM220_05942
ko:K01462	lmoj:LM220_18725
ko:K00161	lmoj:LM220_18730
ko:K00162	lmoj:LM220_05977
ko:K00627	lmoj:LM220_05982
ko:K00382	lmoj:LM220_05987
ko:K00615	lmoj:LM220_04997
ko:K00616	lmoj:LM220_05002
ko:K01808	lmoj:LM220_05012
ko:K01803	lmoj:LM220_05017
ko:K05879	lmoj:LM220_05022
ko:K05878	lmoj:LM220_05027
ko:K00244	lmoj:LM220_17945
ko:K01624	lmoj:LM220_05112
ko:K05995	lmoj:LM220_17955
ko:K06193	lmoj:LM220_05152
ko:K02761	lmoj:LM220_05177
ko:K02760	lmoj:LM220_05182
ko:K06608	lmoj:LM220_17970
ko:K00140	lmoj:LM220_05212
ko:K03337	lmoj:LM220_05217
ko:K03338	lmoj:LM220_05222
ko:K03976	lmoj:LM220_12822
ko:K07150	lmoj:LM220_12842
ko:K07118	lmoj:LM220_12847
ko:K05786	lmoj:LM220_18420
ko:K11733	lmoj:LM220_12872
ko:K03316	lmoj:LM220_12892
ko:K11072	lmoj:LM220_12917
ko:K11071	lmoj:LM220_18430
ko:K01674	lmoj:LM220_12942
ko:K00847	lmoj:LM220_18435
ko:K00054	lmoj:LM220_18450
ko:K03324	lmoj:LM220_13057
ko:K03737	lmoj:LM220_13062
ko:K04041	lmoj:LM220_13072
ko:K07088	lmoj:LM220_13082
ko:K13256	lmoj:LM220_13112
ko:K06147	lmoj:LM220_13117
ko:K02029	lmoj:LM220_13197
ko:K02030	lmoj:LM220_13197
ko:K02028	lmoj:LM220_18495
ko:K01921	lmoj:LM220_13252
ko:K01929	lmoj:LM220_13257
ko:K02529	lmoj:LM220_13267
ko:K02025	lmoj:LM220_08080
ko:K01226	lmoj:LM220_18515
ko:K05592	lmoj:LM220_08125
ko:K02759	lmoj:LM220_08175
ko:K02760	lmoj:LM220_08180
ko:K02761	lmoj:LM220_08185
ko:K09167	lmoj:LM220_13272
ko:K08981	lmoj:LM220_13277
ko:K00231	lmoj:LM220_13282
ko:K00997	lmoj:LM220_13287
ko:K01775	lmoj:LM220_13292
ko:K07723	lmoj:LM220_13297
ko:K07315	lmoj:LM220_13322
ko:K03090	lmoj:LM220_13337
ko:K05518	lmoj:LM220_13342
ko:K03321	lmoj:LM220_13347
ko:K03095	lmoj:LM220_13367
ko:K02761	lmoj:LM220_18555
ko:K03492	lmoj:LM220_03946
ko:K00383	lmoj:LM220_18560
ko:K00135	lmoj:LM220_04016
ko:K02761	lmoj:LM220_04026
ko:K02759	lmoj:LM220_18570
ko:K06959	lmoj:LM220_18545
ko:K02304	lmoj:LM220_16937
ko:K04031	lmoj:LM220_16952
ko:K04029	lmoj:LM220_16957
ko:K02231	lmoj:LM220_18835
ko:K02233	lmoj:LM220_18840
ko:K13919	lmoj:LM220_17017
ko:K13920	lmoj:LM220_17022
ko:K13923	lmoj:LM220_17052
ko:K04024	lmoj:LM220_17057
ko:K13922	lmoj:LM220_17082
ko:K13921	lmoj:LM220_17087
ko:K02440	lmoj:LM220_17092
ko:K00925	lmoj:LM220_17097
ko:K04720	lmoj:LM220_17102
ko:K16651	lmoj:LM220_17107
ko:K04019	lmoj:LM220_18860
ko:K03735	lmoj:LM220_18865
ko:K03736	lmoj:LM220_17152
ko:K04026	lmoj:LM220_17157
ko:K04027	lmoj:LM220_17172
ko:K04032	lmoj:LM220_18875
ko:K04030	lmoj:LM220_17217
ko:K02227	lmoj:LM220_17252
ko:K06042	lmoj:LM220_17257
ko:K02188	lmoj:LM220_18895
ko:K03399	lmoj:LM220_17277
ko:K06978	lmoj:LM220_06877
ko:K01808	lmoj:LM220_06897
ko:K01783	lmoj:LM220_06902
ko:K02773	lmoj:LM220_06932
ko:K01783	lmoj:LM220_18150
ko:K02774	lmoj:LM220_06962
ko:K02775	lmoj:LM220_06967
ko:K00948	lmoj:LM220_06972
ko:K07282	lmoj:LM220_18165
ko:K08987	lmoj:LM220_07032
ko:K01222	lmoj:LM220_18175
ko:K07166	lmoj:LM220_07127
ko:K09157	lmoj:LM220_18190
ko:K01222	lmoj:LM220_07147
ko:K02083	lmoj:LM220_18195
ko:K01635	lmoj:LM220_07167
ko:K02016	lmoj:LM220_18200
ko:K02781	lmoj:LM220_07192
ko:K02782	lmoj:LM220_07197
ko:K02783	lmoj:LM220_07197
ko:K02783	lmoj:LM220_07202
ko:K08325	lmoj:LM220_07257
ko:K03305	lmoj:LM220_07262
ko:K07404	lmoj:LM220_07282
ko:K00262	lmoj:LM220_07292
ko:K01523	lmoj:LM220_07297
ko:K01496	lmoj:LM220_18215
ko:K02500	lmoj:LM220_07307
ko:K01814	lmoj:LM220_18220
ko:K02501	lmoj:LM220_07322
ko:K01693	lmoj:LM220_07327
ko:K00013	lmoj:LM220_18225
ko:K00765	lmoj:LM220_07342
ko:K02502	lmoj:LM220_07347
ko:K04486	lmoj:LM220_07352
ko:K07443	lmoj:LM220_07357
ko:K06901	lmoj:LM220_07367
ko:K01223	lmoj:LM220_07372
ko:K03492	lmoj:LM220_07377
ko:K06999	lmoj:LM220_07412
ko:K06969	lmoj:LM220_07417
ko:K03070	lmoj:LM220_07427
ko:K01669	lmoj:LM220_00020
ko:K07030	lmoj:LM220_18245
ko:K00641	lmoj:LM220_00060
ko:K01740	lmoj:LM220_00065
ko:K03523	lmoj:LM220_15430
ko:K10947	lmoj:LM220_15435
ko:K06147	lmoj:LM220_18255
ko:K06147	lmoj:LM220_15485
ko:K01118	lmoj:LM220_02475
ko:K01126	lmoj:LM220_02505
ko:K07090	lmoj:LM220_18265
ko:K07025	lmoj:LM220_02610
ko:K01534	lmoj:LM220_02645
ko:K03294	lmoj:LM220_02675
ko:K07104	lmoj:LM220_02680
ko:K03284	lmoj:LM220_02690
ko:K08976	lmoj:LM220_18300
ko:K07457	lmoj:LM220_04542
ko:K00868	lmoj:LM220_04587
ko:K02419	lmoj:LM220_04682
ko:K02420	lmoj:LM220_04687
ko:K02421	lmoj:LM220_04692
ko:K02401	lmoj:LM220_04697
ko:K02400	lmoj:LM220_18330
ko:K02404	lmoj:LM220_18335
ko:K02392	lmoj:LM220_04727
ko:K00575	lmoj:LM220_04732
ko:K02556	lmoj:LM220_04742
ko:K02557	lmoj:LM220_04747
ko:K03415	lmoj:LM220_04762
ko:K02406	lmoj:LM220_04767
ko:K03413	lmoj:LM220_04772
ko:K03407	lmoj:LM220_04777
ko:K02417	lmoj:LM220_18340
ko:K02389	lmoj:LM220_04807
ko:K02390	lmoj:LM220_18350
ko:K02417	lmoj:LM220_04822
ko:K02416	lmoj:LM220_04827
ko:K02417	lmoj:LM220_04832
ko:K09770	lmoj:LM220_04847
ko:K02396	lmoj:LM220_04857
ko:K02397	lmoj:LM220_18355
ko:K02407	lmoj:LM220_04872
ko:K02422	lmoj:LM220_04877
ko:K02387	lmoj:LM220_04887
ko:K02388	lmoj:LM220_04892
ko:K02408	lmoj:LM220_04897
ko:K02409	lmoj:LM220_04902
ko:K02410	lmoj:LM220_18360
ko:K02411	lmoj:LM220_04917
ko:K02412	lmoj:LM220_04922
ko:K10947	lmoj:LM220_04937
ko:K00158	lmoj:LM220_18370
ko:K00820	lmoj:LM220_07587
ko:K07726	lmoj:LM220_07617
ko:K01990	lmoj:LM220_07637
ko:K15975	lmoj:LM220_18395
ko:K06999	lmoj:LM220_10847
ko:K03665	lmoj:LM220_10857
ko:K07098	lmoj:LM220_18400
ko:K03800	lmoj:LM220_10872
ko:K02795	lmoj:LM220_10927
ko:K02793	lmoj:LM220_10937
ko:K01118	lmoj:LM220_10947
ko:K11737	lmoj:LM220_10952
ko:K03284	lmoj:LM220_06022
ko:K01092	lmoj:LM220_06032
ko:K06207	lmoj:LM220_18740
ko:K03588	lmoj:LM220_06062
ko:K01958	lmoj:LM220_06067
ko:K02016	lmoj:LM220_18745
ko:K00963	lmoj:LM220_18765
ko:K00763	lmoj:LM220_05577
ko:K01916	lmoj:LM220_05582
ko:K02760	lmoj:LM220_05592
ko:K01951	lmoj:LM220_18785
ko:K03827	lmoj:LM220_16802
ko:K06889	lmoj:LM220_16812
ko:K01358	lmoj:LM220_16927
ko:K19975	lmoj:LM220_09260
ko:K19973	lmoj:LM220_09275
ko:K00951	lmoj:LM220_19670
ko:K19689	lmoj:LM220_19965
ko:K11070	lmoj:LM220_12932
ko:K10027	lmoj:LM220_00265
ko:K08986	lmoj:LM220_18585
ko:K01992	lmoj:LM220_10827
ko:K01977	lmoj:LM220_20970
ko:K01977	lmoj:LM220_17640
ko:K01977	lmoj:LM220_20055
ko:K01977	lmoj:LM220_21265
ko:K01992	lmoj:LM220_00150
ko:K01992	lmoj:LM220_04617
ko:K01992	lmoj:LM220_12622
ko:K02191	lmoj:LM220_17282
ko:K10112	lmoj:LM220_01707
ko:K14227	lmoj:LM220_20965
ko:K14227	lmoj:LM220_21260
ko:K14218	lmoj:LM220_20960
ko:K14218	lmoj:LM220_21255
ko:K02357	lmoj:LM220_15760
ko:K02967	lmoj:LM220_19855
ko:K07106	lmoj:LM220_15790
ko:K07139	lmoj:LM220_19865
ko:K01953	lmoj:LM220_19870
ko:K00789	lmoj:LM220_15830
ko:K00016	lmoj:LM220_15850
ko:K08998	lmoj:LM220_15865
ko:K01911	lmoj:LM220_19885
ko:K01661	lmoj:LM220_15885
ko:K08680	lmoj:LM220_15890
ko:K02551	lmoj:LM220_15895
ko:K02552	lmoj:LM220_19890
ko:K02548	lmoj:LM220_15910
ko:K01760	lmoj:LM220_15920
ko:K00549	lmoj:LM220_19895
ko:K09825	lmoj:LM220_01876
ko:K01679	lmoj:LM220_12537
ko:K01992	lmoj:LM220_12542
ko:K01990	lmoj:LM220_20865
ko:K12555	lmoj:LM220_12562
ko:K00014	lmoj:LM220_20875
ko:K13531	lmoj:LM220_12642
ko:K13530	lmoj:LM220_20890
ko:K06180	lmoj:LM220_12652
ko:K07220	lmoj:LM220_12672
ko:K03306	lmoj:LM220_12677
ko:K02029	lmoj:LM220_12682
ko:K02030	lmoj:LM220_12682
ko:K02028	lmoj:LM220_12687
ko:K06901	lmoj:LM220_12707
ko:K05520	lmoj:LM220_12717
ko:K02759	lmoj:LM220_12727
ko:K07461	lmoj:LM220_06352
ko:K07056	lmoj:LM220_06357
ko:K06284	lmoj:LM220_06362
ko:K05340	lmoj:LM220_06367
ko:K01874	lmoj:LM220_06392
ko:K02025	lmoj:LM220_06402
ko:K01182	lmoj:LM220_22305
ko:K03424	lmoj:LM220_06457
ko:K05985	lmoj:LM220_06482
ko:K02528	lmoj:LM220_06487
ko:K00919	lmoj:LM220_06497
ko:K03478	lmoj:LM220_06502
ko:K09685	lmoj:LM220_06507
ko:K02005	lmoj:LM220_22315
ko:K02003	lmoj:LM220_06522
ko:K02004	lmoj:LM220_22320
ko:K06412	lmoj:LM220_06537
ko:K06412	lmoj:LM220_06542
ko:K04042	lmoj:LM220_06552
ko:K00948	lmoj:LM220_06557
ko:K01771	lmoj:LM220_06567
ko:K11031	lmoj:LM220_06572
ko:K01114	lmoj:LM220_22335
ko:K00016	lmoj:LM220_06632
ko:K02897	lmoj:LM220_06637
ko:K01056	lmoj:LM220_06647
ko:K09816	lmoj:LM220_03207
ko:K09817	lmoj:LM220_03212
ko:K15986	lmoj:LM220_19570
ko:K01151	lmoj:LM220_03227
ko:K03527	lmoj:LM220_03237
ko:K06967	lmoj:LM220_03247
ko:K03086	lmoj:LM220_03257
ko:K09768	lmoj:LM220_03272
ko:K09773	lmoj:LM220_19580
ko:K01879	lmoj:LM220_19585
ko:K01878	lmoj:LM220_19590
ko:K03584	lmoj:LM220_03307
ko:K01489	lmoj:LM220_03322
ko:K07042	lmoj:LM220_03332
ko:K09117	lmoj:LM220_03357
ko:K02970	lmoj:LM220_03362
ko:K09761	lmoj:LM220_03367
ko:K02687	lmoj:LM220_03372
ko:K03686	lmoj:LM220_19600
ko:K04043	lmoj:LM220_19605
ko:K03687	lmoj:LM220_19610
ko:K03705	lmoj:LM220_01187
ko:K03596	lmoj:LM220_01217
ko:K02968	lmoj:LM220_01222
ko:K02340	lmoj:LM220_19620
ko:K02238	lmoj:LM220_19625
ko:K02237	lmoj:LM220_19630
ko:K09710	lmoj:LM220_11627
ko:K00969	lmoj:LM220_19635
ko:K07574	lmoj:LM220_11647
ko:K00014	lmoj:LM220_19640
ko:K06948	lmoj:LM220_11662
ko:K07015	lmoj:LM220_11667
ko:K01243	lmoj:LM220_11682
ko:K03624	lmoj:LM220_11692
ko:K00876	lmoj:LM220_19650
ko:K01925	lmoj:LM220_03497
ko:K01000	lmoj:LM220_03502
ko:K01928	lmoj:LM220_20415
ko:K08724	lmoj:LM220_03517
ko:K03438	lmoj:LM220_03527
ko:K03925	lmoj:LM220_20425
